year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.1, 12.3,,3.3,,2.4,,0.3,,0.0,,0.0,,0.0,,0.0,
1961, 10.2,,0.8,,4.9,,0.2,,0.3,,0.0,,0.0,,0.0,,0.0
1962,,9.7, 11.8, 20.3,,1.5,,1.2,,1.3,,0.0,,0.0,,0.0,
1963, 28.9, 27.1,,7.5,,2.2,,0.1,,0.0,,0.0,,0.0,,0.0,
1964, 17.4,,8.8,,9.9,,1.5,,0.0,,0.0,,0.0,,0.0,,0.0
1965, 15.5, 12.5, 11.2,,1.9,,0.1,,0.0,,0.0,,0.0,,0.0,,0.7
1966, 16.0,,6.2,,6.9,,1.9,,0.0,,0.0,,0.0,,0.0,,0.0
1967, 11.4,,8.0,,1.9,,3.6,,1.0,,0.0,,0.0,,0.0,,0.0
1968, 14.4, 17.8,,5.4,,8.2,,0.1,,0.0,,0.0,,0.0,,0.0,
1969,,8.2, 19.7, 11.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.6,
1970, 10.8, 15.0, 16.3,,7.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.3
1971,,8.2,,8.5, 10.7,,3.1,,1.4,,0.0,,0.0,,0.0,,0.0
1972, 11.5,,6.3,,5.8,,0.4,,0.0,,0.0,,0.0,,0.0,,0.0
1973,,9.6, 13.8,,9.1,,3.8,,0.2,,0.0,,0.0,,0.0,,0.0
1974,,4.5,,4.8,,5.0,,1.5,,1.2,,0.0,,0.0,,0.0,
1975,,2.5,,9.8,,7.8,,4.8,,0.2,,0.0,,0.0,,0.0,
1976,,9.3,,9.4, 12.2,,3.0,,0.1,,0.0,,0.0,,0.0,,0.0
1977, 13.8,,5.8,,5.3,,6.1,,0.4,,0.0,,0.0,,0.0,,0.0
1978, 13.7, 15.5,,5.1,,6.3,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 25.8, 21.7,,7.7,,3.4,,3.4,,0.0,,0.0,,0.0,,0.0,
1980, 16.0,,6.0,,7.3,,2.5,,1.2,,0.0,,0.0,,0.0,,0.0
1981, 12.9, 18.4,,3.3,,3.3,,2.0,,0.0,,0.0,,0.0,,0.0,
1982, 15.4,,8.1,,6.7,,3.1,,1.0,,0.0,,0.0,,0.0,,0.0
1983,,3.7, 18.8,,3.5,,4.4,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 12.3, 10.1,,5.3,,7.1,,0.6,,0.0,,0.0,,0.0,,0.0,
1985, 24.2, 15.2, 12.8,,2.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.2
1986, 12.7, 24.2,,9.2,,3.7,,0.0,,0.0,,0.0,,0.0,,0.1,
1987, 20.7, 14.3, 16.3,,0.3,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5
1988,,7.8,,7.6,,4.7,,4.6,,0.0,,0.0,,0.0,,0.0,
1989,,7.1,,6.3,,2.2,,2.6,,0.0,,0.0,,0.0,,0.0,
1990,,1.3,,1.6,,3.2,,5.7,,0.3,,0.0,,0.0,,0.0,
1991, 10.0, 18.8,,3.7,,3.7,,0.9,,0.0,,0.0,,0.0,,0.0,
1992, 11.9,,9.7,,0.9,,2.1,,0.0,,0.0,,0.0,,0.0,,0.0
1993,,5.8,,4.3,,8.9,,0.4,,0.0,,0.0,,0.0,,0.0,
1994,,7.9, 13.6,,1.6,,1.2,,0.1,,0.0,,0.0,,0.0,,0.0
1995,,9.3,,2.7, 12.1,,3.7,,0.8,,0.0,,0.0,,0.0,,0.0
1996,,7.4, 18.8,,9.4,,6.1,,3.4,,0.0,,0.0,,0.0,,0.0
1997, 19.7,,5.4,,1.6,,3.9,,0.9,,0.0,,0.0,,0.0,,0.0
1998,,7.0,,5.6,,3.6,,2.3,,0.1,,0.0,,0.0,,0.0,
1999,,5.3,,9.0,,1.9,,3.2,,0.0,,0.0,,0.0,,0.0,
2000,,9.1,,5.8,,3.5,,3.5,,0.0,,0.0,,0.0,,0.0,
2001, 13.3, 12.1,,6.9,,1.5,,0.1,,0.0,,0.0,,0.0,,0.0,
2002,,8.3,,4.1,,4.4,,1.5,,0.0,,0.0,,0.0,,0.0,
2003, 12.0, 14.1,,8.0,,4.5,,0.0,,0.0,,0.0,,0.0,,0.1,
2004,,8.9, 10.2,,4.4,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0
2005,,4.3, 10.8,,7.9,,1.3,,0.4,,0.0,,0.0,,0.0,,0.0
2006,,8.5,,8.0, 12.3,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0
2007,,4.3,,8.3,,2.1,,1.0,,0.0,,0.0,,0.0,,0.0,
2008,,1.0, 13.3,,5.2,,4.9,,0.1,,0.0,,0.0,,0.0,,0.0
2009, 14.7, 12.3,,7.2,,0.3,,0.0,,0.0,,0.0,,0.0,,0.0,
2010, 16.0, 15.8,,8.3,,2.8,,1.7,,0.0,,0.0,,0.0,,0.0,
2011,,9.9,,2.6,,6.0,,0.1,,0.7,,0.0,,0.0,,0.0,
2012,,9.2, 14.1,,3.1,,3.9,,0.1,,0.0,,0.0,,0.0,,0.0
2013, 16.2, 11.9, 16.8,,9.1,,1.2,,0.0,,0.0,,0.0,,0.0,,0.0
2014,,5.0,,0.4,,5.2,,0.9,,0.3,,0.0,,0.0,,0.0,
2015, 12.9,,9.6,,4.8,,1.3,,0.4,,0.0,,0.0,,0.0,,0.0
2016,,7.9, 10.8,,6.1,,3.8,,0.8,,0.0,,0.0,,0.0,,0.0
2017, 16.1,,2.0,,0.1,,2.3,,0.1,,0.0,,0.0,,0.0,,0.0
2018,,6.8, 16.1,,9.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2019, 12.7,,8.3,,0.9,,5.1,,0.0,,0.0,,0.0,,0.0,,0.0
2020,,3.4,,3.4,,4.2,,1.3,,1.2,,0.0,,0.0,,0.0,
2021, 15.8, 10.2,,2.0, 12.1,,1.3,,0.0,,0.0,,0.0,,0.0,,0.0
