year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 11.5,,0.0, 10.7,,7.3, 15.3,,7.3, 17.1, 19.0,,8.1, 17.0, 11.4, 14.5,
1892,,8.3, 11.3,,7.9,,8.3,,7.7, 13.1,,8.6, 10.5,,9.4, 19.3,
1893, 12.6, 14.7,,2.8,,1.3,,5.8,,6.4, 16.2, 11.0,,6.9, 14.2, 12.2, 10.1
1894, 13.7,,9.9,,5.8,,9.9, 11.1, 11.2, 14.9, 14.6, 10.6, 15.8, 11.5, 11.3,,33.7
1895, 12.1,,2.2, 12.2,,7.8,,4.6,,5.8, 13.2, 13.2,,1.6, 14.3, 14.6,
1896,,6.2,,3.8, 17.4,,8.1,,2.5,,9.3,,6.5, 12.4, 17.1, 17.3,
1897, 11.2, 10.1, 14.6, 10.4,,7.5,,9.2,,5.0, 14.6, 11.6,,5.8,,8.0, 11.0
1898,,5.3,,7.5,,8.6,,9.8, 16.8, 10.8,,4.7,,9.4,,1.8, 10.1
1899, 13.2,,8.1,,5.9, 12.5, 11.0,,5.6,,6.6,,4.8, 12.2,,7.5,
1900, 16.4, 16.0,,4.0,,8.1,,7.3, 15.2,,7.5, 14.1,,4.9, 12.1, 13.7, 12.5
1901,,5.6,,8.0, 13.6, 11.0,,5.8,,6.6,,7.0,,6.3,,5.9, 11.1
1902,,5.3,,7.3,,7.0,,6.6, 16.6, 12.6,,8.9, 14.8,,5.1, 11.1,
1903, 10.3,,4.6, 15.4, 11.3, 12.8,,8.6, 14.6, 13.8, 11.1, 22.8, 10.3,,7.2,,23.5
1904, 12.3, 13.9,,9.9,,5.9, 11.1,,5.5,,8.0,,7.5,,9.4,,8.2
1905,,5.6,,7.7, 15.3, 13.2,,4.2, 12.5,,5.6, 13.0,,9.3, 12.1, 13.8,
1906, 15.9, 14.0, 14.0,,6.2,,9.3,,8.7,,5.1,,7.2,,6.8, 14.4, 12.7
1907,,6.6,,8.4,,7.6, 15.4, 15.4, 13.5, 10.0,,9.9,,4.4, 15.7, 10.1, 12.6
1908,,5.4, 12.2, 15.1, 12.4, 10.1,,5.3, 10.6, 12.0, 10.2,,7.3,,7.4, 11.9,
1909,,7.0,,4.5, 15.1,,8.2,,6.6, 14.4, 14.6,,9.6, 13.8, 17.6,,5.6
1910, 11.9, 14.7,,4.3, 12.2, 14.1,,9.6, 11.6, 13.9,,4.4,,8.7, 12.1, 16.0,
1911,,8.5,,9.5, 12.4,,7.7,,5.7,,9.9,,3.7,,5.3,,8.4
1912, 13.7,,9.2, 13.8,,1.6,,8.4, 15.9, 12.4, 21.4,,7.3, 10.3, 12.1, 14.2,
1913, 14.4,,4.2, 14.6, 12.0,,8.7,,6.2,,8.7,,6.2,,8.3, 12.7, 11.0
1914,,5.1,,9.0, 17.3,,5.8,,8.3,,7.0, 11.4,,7.8,,6.3,
1915, 15.5, 16.5,,8.0,,5.0,,6.5,,5.6, 15.6, 12.0,,6.3,,6.5, 10.7
1916,,8.5, 17.6, 15.7,,9.5, 10.6, 13.7, 10.3, 12.5,,7.0, 13.7, 11.3, 13.9,,46.4
1917, 11.2,,5.2, 11.4, 11.7,,4.3,,8.6,,9.0, 18.2,,6.6, 13.3,,9.0
1918,,9.5,,7.7,,5.1, 10.5,,8.3,,6.3, 15.6,,7.7, 19.9, 10.2, 10.7
1919, 16.3,,9.8, 13.0, 13.8,,3.7,,7.7, 12.5,,9.3,,7.0,,8.8, 14.1
1920, 12.0,,4.0, 10.7, 20.1,,8.8,,6.2, 15.6,,7.8, 11.6,,4.2,,5.6
1921, 12.6,,1.6,,7.9,,7.9,,8.7,,3.2,,2.2,,9.5,,3.6
1922, 16.0, 11.8, 13.5, 13.1,,8.0,,8.5, 15.4, 12.5, 10.6,,7.2,,7.1, 11.7,
1923,,9.3, 16.0,,9.5,,7.1, 10.1,,6.0,,8.7,,8.3, 10.6, 15.6,
1924, 11.0,,7.8,,4.3, 10.1, 15.7,,9.9, 11.5, 15.0, 12.7, 13.5,,8.9, 10.9,
1925,,7.8, 11.4,,8.6, 14.0, 12.0,,2.8, 10.1, 13.1, 13.8,,9.7, 12.6, 11.4,
1926, 12.9, 12.0,,2.1, 14.8, 12.0, 12.9, 10.3,,9.2,,8.9, 11.2, 15.2,,4.8,
1927, 10.4, 12.0, 13.0, 11.2,,5.5, 17.4, 11.5, 15.3, 13.8,,8.7, 12.7,,9.5,,27.2
1928, 16.3,,8.4, 11.2,,9.0,,9.4, 11.5,,5.9, 11.7,,4.4, 12.5, 13.0, 13.9
1929,,9.2,,3.9,,0.4,,7.5,,7.5,,6.0,,7.9,,6.7,
1930, 13.1,,5.9,,7.3, 11.2, 12.5,,4.1, 13.4, 13.1, 15.9,,7.5, 16.0, 10.8,
1931, 12.9, 15.5,,2.4, 15.4, 10.6,,8.2, 12.7, 13.3, 10.3,,3.9, 10.2,,6.2,
1932,,7.5,,3.5,,7.9, 17.1, 18.5,,2.6, 13.5,,8.2, 11.8, 18.7,,8.9
1933,,9.0, 10.9, 10.5,,6.3, 10.1, 11.4,,8.5,,4.7,,9.1, 10.0, 11.5,
1934, 10.0,,3.5, 12.3, 12.2,,5.8,,7.9,,6.0,,9.5,,7.2, 10.5,
1935, 10.5, 11.3,,4.4, 16.1,,6.2, 15.6,,4.4,,5.9, 15.0, 11.8, 16.4, 13.6,
1936, 16.8, 11.9,,6.2,,8.7,,4.9, 14.4, 18.3,,5.2, 12.3, 12.4, 13.2, 12.1,
1937, 17.2, 15.7, 15.5, 12.9, 10.6,,8.6,,7.9,,5.7, 11.5,,7.4,,9.3, 14.5
1938, 16.3,,6.4,,2.9,,2.8, 10.1,,6.6, 10.7,,7.9, 11.6, 14.2, 10.6, 14.3
1939, 17.4,,4.9, 12.4, 11.7,,4.9,,8.8, 11.9,,9.4,,7.0, 18.2, 16.0,
1940,,8.3, 11.1, 10.2,,8.9,,6.5,,3.4, 14.2,,3.2,,6.1, 12.1, 17.2
1941, 12.8, 12.7,,9.9,,6.9,,8.3,,5.2, 11.0, 17.9,,2.6, 10.7, 12.0,
1942, 11.2,,4.3,,7.8,,6.5, 11.3,,4.3, 11.0,,9.2,,9.6, 12.3,
1943, 17.8,,6.0,,3.8,,6.9,,8.9,,9.7,,7.1, 10.1,,9.1,
1944,,8.5,,7.4,,3.3,,7.5,,5.1,,9.8,,8.3,,7.0, 13.0
1945, 12.9,,8.7,,5.7,,8.2,,9.8, 11.3,,6.6,,9.0,,9.4,
1946,,6.5, 12.1,,5.4,,6.9,,9.9, 17.2, 11.1, 15.3, 14.1,,7.3, 18.2, 14.3
1947, 11.1,,8.9, 18.4,,9.7,,5.2,,9.8,,8.3,,1.2,,6.3,
1948, 19.2,,7.4,,3.3,,8.6,,9.5, 14.1,,6.7, 11.8,,6.6,,8.6
1949,,7.4,,4.6,,5.3,,8.5,,8.2,,4.3,,5.8,,5.9,
1950,,5.4, 15.2,,5.0, 11.8,,9.4,,6.4, 13.2, 12.2, 15.5,,4.3, 19.2, 10.1
1951, 12.9, 15.7, 15.1, 13.9, 11.9,,6.8,,5.9, 13.1, 10.0,,5.7, 17.6, 10.2,,38.7
1952, 13.5,,6.1, 13.2, 10.0,,8.2,,8.3,,4.8, 11.6, 12.8, 11.4, 14.8, 14.8,
1953,,6.2,,7.0,,3.7, 12.0,,8.0, 11.3, 14.8,,8.5,,8.3,,9.5
1954,,7.9, 12.1, 11.2,,3.4,,9.3,,9.6, 13.4, 16.0, 12.8, 10.7, 14.7,,7.1
1955,,9.0, 12.4,,8.0,,4.2, 13.2,,9.1,,2.1,,6.0,,6.2,
1956, 14.9,,8.8,,4.3,,5.2,,4.7, 11.2, 10.4, 18.3,,9.0,,9.6,
1957, 10.6, 11.2, 11.1,,2.3,,8.3,,8.6, 14.5, 11.5, 13.4,,7.3,,7.0, 10.3
1958, 11.5, 12.5,,8.8,,6.2, 10.0, 14.2, 11.9, 13.0,,9.9, 11.4,,6.2, 13.5,
1959, 10.9,,0.9,,9.7, 11.7,,3.3,,6.7,,7.9,,6.0,,0.5,
1960, 14.3,,9.8,,6.1,,4.7,,3.4,,8.1, 16.9, 13.9, 12.1, 18.7, 18.4, 13.9
1961, 15.1, 11.5,,3.0, 12.2,,5.2,,5.0,,8.3, 11.9, 11.9, 13.6,,9.8, 12.3
1962, 12.8,,5.6,,8.5,,9.6, 13.3,,1.8,,9.6,,9.5, 12.2,,4.6
1963,,6.2,,5.6, 12.9, 13.6, 10.2,,9.4,,7.7, 15.6,,8.5,,7.7, 14.9
1964,,4.7,,7.0,,9.0, 10.8,,7.1, 12.6,,6.9,,7.1,,4.3,
1965, 13.4,,5.3, 10.3, 13.0, 11.7,,8.8, 14.5, 10.6, 11.0,,3.2, 14.6, 16.5,,30.0
1966,,9.2, 11.9,,5.0, 12.6,,9.8, 10.4, 12.8,,9.2,,5.5, 14.2, 14.9, 16.8
1967,,9.0,,8.6,,4.3, 10.7, 18.2,,3.4,,6.3, 10.0, 12.1, 15.0,,9.9
1968, 10.1,,6.7,,8.6,,9.4, 10.0, 13.8, 11.2, 13.6, 14.7,,8.5, 10.4,,8.4
1969, 12.3, 11.1, 10.4,,9.4, 14.9,,6.8,,6.3, 11.4,,1.1,,2.2, 12.9, 13.4
1970, 15.5, 13.9, 10.1, 15.7,,3.6,,5.2, 10.7,,6.6,,7.5,,7.1, 16.1, 10.1
1971, 13.6,,4.7, 10.0,,4.4,,7.9,,9.1,,5.2, 12.5,,4.4,,7.4
1972, 12.3, 10.3, 10.6, 11.0, 11.5,,9.6,,8.5,,3.1,,5.5,,1.8,,8.9
1973,,5.3,,6.3,,4.6, 10.4, 12.8,,3.8, 10.0,,4.8, 10.2,,7.8,
1974, 12.0, 11.9,,7.4,,3.2,,5.9,,9.5,,8.4, 12.5, 15.4, 14.6, 15.3,
1975, 14.4,,5.7, 17.3, 13.7,,7.7,,4.5,,7.7,,4.1, 10.7,,4.2, 10.6
1976,,7.9,,4.6,,4.3,,3.1,,7.6,,1.5,,4.0,,4.2, 13.4
1977, 13.7, 15.8, 12.6,,9.3,,9.8,,9.2,,3.2, 12.5,,3.9,,6.4, 12.1
1978, 13.5, 11.1, 12.9,,8.0,,6.9, 11.1, 10.1, 10.5,,6.1,,1.7,,5.5, 17.4
1979, 14.9,,9.1, 16.7, 13.5, 13.6,,7.2,,4.5, 10.3,,4.0,,7.9, 10.8, 15.9
1980,,7.1, 10.5, 12.9,,5.2,,2.9, 13.4, 12.0,,7.2,,4.2, 11.6, 10.7, 10.6
1981, 12.4,,5.6, 19.8,,7.6, 15.3,,6.8,,8.5,,3.5, 11.2, 13.8,,9.1
1982, 10.1,,6.2, 12.3,,3.8, 10.2, 15.5,,4.8, 10.6,,9.6, 14.4, 11.0,,7.2
1983,,9.2,,9.3, 11.7, 17.2, 18.6,,4.3,,5.3,,2.8, 12.2,,9.4,
1984, 16.4,,9.4, 10.2,,3.7,,7.4,,7.3,,5.4,,6.6, 14.1, 10.2, 13.2
1985, 12.4,,2.1, 11.9,,8.8,,8.8, 18.6, 10.3, 13.1,,5.1,,3.6, 10.3, 12.6
1986, 15.9,,4.3, 13.7, 15.1, 11.9,,5.4,,9.6,,8.9,,3.1, 11.1, 13.5, 12.9
1987,,4.7,,7.1, 10.7,,8.7, 12.1, 17.7, 11.9, 10.1,,8.4, 12.7,,9.8,
1988, 18.8,,8.3, 16.1,,6.8, 11.3,,6.2, 15.4,,7.4,,7.6,,9.2,
1989,,7.3,,8.9, 10.5, 15.2,,2.5,,9.5,,6.4,,6.6,,4.8,
1990, 13.9, 13.1,,3.5,,8.7,,2.1,,9.6,,4.2,,5.2,,7.5,
1991,,9.8,,8.1,,7.1,,9.4,,3.1, 18.5,,6.3,,3.7,,8.3
1992,,5.1,,5.5, 13.8,,8.5,,6.5,,5.9,,9.6, 12.3, 10.8,,9.6
1993, 12.8,,4.0,,3.7, 10.1,,7.1,,8.8, 13.4,,6.7, 11.6, 11.8,,7.7
1994, 14.2,,8.8, 12.0, 10.9,,9.3,,6.2,,6.4,,7.4, 10.8, 11.5,,6.7
1995, 15.3, 15.8, 11.4,,4.8,,5.1,,6.9,,6.0,,2.6, 16.5,,3.5,
1996,,6.0, 10.4,,6.8,,2.6,,6.3,,2.8,,8.1,,9.1,,4.6
1997,,3.2, 12.0,,4.0,,3.3,,8.7, 17.0,,8.9,,8.3,,3.9,
1998, 11.1,,2.3,,9.4, 21.2,,4.1, 17.5,,8.4,,5.4, 11.7, 15.3, 11.1, 14.4
1999, 13.4,,8.7, 10.8,,9.3,,6.9, 12.9,,4.8, 11.9, 12.9,,8.2,,9.0
2000,,6.3, 14.8,,5.3, 18.4, 13.8,,4.7, 10.7,,7.8, 10.6, 13.9, 16.6, 12.7,
2001,,9.3, 13.5, 17.0, 18.4,,5.4,,5.9, 10.2, 12.4, 14.8, 13.3, 11.5,,8.1,
2002, 10.8, 11.9,,7.6,,6.3, 12.7,,8.9, 11.8,,8.6,,4.4, 12.7, 17.8, 14.7
2003, 13.9,,5.7,,2.8,,5.4, 11.1,,9.8, 10.3,,1.6,,4.4,,8.5
2004, 18.4,,9.7,,9.6, 14.0,,7.5,,8.1, 10.9, 16.9,,6.8, 13.6,,8.7
2005,,8.8, 11.2,,8.8,,9.8,,8.8,,7.7,,8.0,,9.0,,9.5
2006,,5.2,,8.9,,9.4,,8.0, 15.0,,4.0,,6.1, 15.9,,8.7, 11.7
2007, 13.3, 14.8,,7.9,,0.1, 14.0, 15.1, 12.0,,9.1,,7.1,,4.1,,8.6
2008, 12.4,,5.9, 15.4, 11.5,,6.9,,7.2,,9.3, 14.3, 10.2,,9.3, 13.6,
2009, 12.1,,9.1,,8.4,,4.6,,7.1,,6.6, 14.9,,5.4,,2.4,
2010, 12.3, 17.1,,8.0,,5.1,,5.8,,6.7,,6.3, 14.4, 10.2, 12.0, 11.5,
2011, 10.3,,9.4,,2.1,,1.7,,3.7, 11.7,,9.7, 10.0,,6.6,,6.6
2012, 10.0,,3.8,,4.1, 19.2, 10.2, 15.0, 16.4,,9.7,,6.6, 16.1, 13.1, 17.1,
2013, 10.4,,6.9,,9.7,,6.4, 10.1,,6.3,,6.2,,7.9,,8.1, 15.2
2014, 22.8, 13.7,,5.9,,6.3, 12.8,,8.2,,9.6, 11.1,,4.4, 12.3, 14.0,
2015, 12.5,,8.1,,6.3,,6.0, 11.2,,6.1, 10.3, 11.6,,8.6,,9.6, 17.3
2016, 15.0,,7.6, 11.4, 13.0,,7.2, 15.3,,6.0,,6.7,,5.9,,7.9, 12.1
2017,,9.3,,9.8,,8.2,,4.7,,7.3,,5.7, 10.2,,9.3, 14.3,
2018, 13.0, 10.6, 15.2, 11.7,,5.4,,1.1,,3.6, 11.0,,6.3,,7.1,,8.2
2019,,6.2,,7.7, 11.0,,3.7,,9.6, 11.4,,8.0,,7.8, 10.6, 15.4, 15.9
2020,,9.1, 17.0,,6.3,,5.3,,0.8,,9.8,,9.2, 10.7,,7.6, 20.4
2021, 16.4,,9.8,,9.6,,1.4, 16.0,,7.9, 11.1,,7.7,,6.9,,9.9
