year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862, 35.5, 10.4, 91.7, 45.5, 73.6, 56.1, 56.9, 74.0, 53.0, 63.3, 31.0, 41.2,, ---, 210.8, 186.9, 147.2
1863, 65.2, 15.4, 24.1, 17.0, 26.3, 73.9, 22.4, 43.0, 73.9, 64.3, 74.4, 34.5, 121.8,,67.4, 139.3, 212.5
1864, 21.8, 31.5, 78.4, 13.8, 56.5, 28.0, 13.2, 20.7, 45.5, 23.9, 74.6, 23.1,,87.9, 148.7,,61.8
1865, 76.1, 62.1, 48.3, 10.3, 60.3, 34.2,100.8, 99.1,,7.3,177.4, 49.0, 25.7, 161.2, 118.9, 234.1, 233.7
1866, 64.4, 84.2, 34.4, 49.0, 43.2, 70.5, 63.0, 64.9, 81.7, 30.1, 60.3, 59.3, 174.2, 126.6, 198.4, 172.1, 704.9
1867, 77.7, 34.3, 45.4, 62.3, 73.1, 23.8, 92.3, 48.1, 59.1, 54.6, 22.0, 62.2, 171.3, 180.9, 164.1, 135.7, 654.9
1868, 66.5, 34.9, 43.7, 40.8, 18.8, 18.1,,9.8, 73.1, 51.4, 63.9, 38.3,113.0, 163.5, 103.3, 101.0, 153.6
1869, 55.6, 56.4, 56.3, 37.3, 78.8, 33.4, 13.2, 41.4, 78.9, 52.6, 60.6,104.4, 225.1, 172.5,,88.1, 192.1
1870, 27.7, 23.7, 41.2, 15.8, 16.3, 24.8, 45.0, 46.0, 41.8, 85.9, 30.6, 90.2, 155.7,,73.3, 115.8, 158.3
1871, 27.2, 48.3, 34.1, 78.3, 26.1, 77.0, 74.8, 19.9,112.4, 30.0, 39.4, 30.4, 165.6, 138.5, 171.7, 181.8, 597.8
1872, 74.4, 25.6, 59.0, 56.2, 61.8, 61.4,124.6, 80.3, 51.9, 88.1,105.8, 98.8, 130.4, 177.1, 266.2, 245.8, 887.9
1873, 53.5, 46.7, 35.9, 31.3, 51.4, 49.0, 52.9, 66.1, 63.4, 72.5, 44.9, 15.5, 198.9, 118.5, 168.0, 180.8, 582.9
1874, 30.0, 22.0, 19.7, 31.8, 24.4, 38.8, 26.1, 38.4, 70.9, 55.4, 56.6, 52.6,,67.5,,75.9, 103.3
1875, 53.2, 26.5, 12.1, 30.0, 47.4, 65.0,146.5, 30.8, 64.0, 92.5,118.1, 34.4, 132.3,,89.5, 242.3, 274.6
1876, 40.4, 61.0, 71.9, 70.2, 23.4, 43.7, 40.8, 47.9,110.6, 27.0, 77.7,116.1, 135.8, 165.5, 132.3, 215.3, 730.6
1877, 88.0, 56.5, 61.5, 69.2, 50.6, 31.1, 79.2, 86.1, 42.8, 40.4, 81.1, 52.4, 260.6, 181.3, 196.5, 164.3, 738.9
1878, 41.1, 32.6, 26.6, 44.0,106.8, 46.5, 24.3,117.4, 36.3, 52.1,127.6, 39.9, 126.1, 177.3, 188.3, 216.0, 695.2
1879, 44.1, 71.1, 22.8, 62.8, 70.1,105.9,111.0,110.7, 75.4, 24.3, 34.2, 19.7, 155.2, 155.7, 327.6, 133.8, 752.1
1880,,4.9, 45.5, 24.5, 48.1, 17.2, 77.6,129.0, 43.8, 91.5,134.8, 56.0, 63.1,,70.1,,89.8
1881, 28.2, 65.8, 42.9, 29.3, 21.9, 49.9, 49.0,107.9, 63.0, 75.1, 54.2, 80.6, 157.1,,94.1, 206.8, 192.4
1882, 34.9, 36.3, 35.4, 76.7, 39.0, 71.7, 69.1, 52.1, 69.1,138.9, 78.2, 81.5, 151.9, 151.1, 192.9, 286.2, 783.0
1883, 45.9, 72.5, 31.9, 39.2, 38.4, 81.2, 73.6, 23.2,106.0, 63.4, 81.8, 40.8, 199.9, 109.5, 178.1, 251.2, 697.9
1884, 45.1, 21.3, 29.6, 30.8, 17.8, 32.1, 61.2, 35.8, 65.5, 52.6, 37.5, 57.0, 107.3,,78.2, 129.1, 155.6
1885, 45.1, 58.9, 30.2, 42.6, 71.5, 39.3, 19.8, 39.5,110.6,125.7, 76.9, 26.3, 160.9, 144.3,,98.6, 313.2
1886, 65.1,,7.1, 39.2, 36.5, 74.2, 19.3, 90.4, 44.8, 33.9, 75.7, 70.1, 95.1,,98.5, 149.9, 154.4
1887, 39.3, 15.0, 39.0, 31.7, 47.8, 12.3, 26.0, 43.7, 58.9, 56.1, 66.7, 30.5, 149.5, 118.5,,82.0, 181.7
1888, 23.4, 40.4, 70.7, 45.8, 23.3, 47.9,113.0, 74.1, 33.1, 28.1, 86.7, 31.1,,94.3, 139.8, 235.0, 147.9
1889, 20.6, 42.2, 33.5, 55.4, 90.2, 45.0, 80.1, 65.7, 67.8, 92.9, 30.7, 33.3,,93.9, 179.2, 190.8, 191.5
1890, 53.6, 21.2, 61.5, 23.7, 48.5, 63.0, 92.5, 55.0, 16.7, 39.8, 68.3, 13.9, 108.1, 133.7, 210.5, 124.8, 557.6
1891, 43.5,,1.2, 38.0, 23.2, 73.1, 38.8, 84.3, 95.0, 23.3,117.8, 46.3, 80.4,,58.6, 134.3, 218.1
1892, 20.7, 50.3, 27.9, 38.4, 35.4, 76.1, 63.0, 79.5, 64.3,141.3, 45.8, 32.1, 151.4, 101.7, 218.6, 251.4, 674.8
