year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 36.1, 50.2, 89.8,116.1,267.8,225.1,115.7,216.2,164.4,132.4, 51.8, 31.0,, ---, 473.6, 557.0, 348.6
1920, 53.1, 88.9,141.6, 92.4,234.3,229.0,159.9,146.3,107.3,165.9, 82.6, 30.3, 173.1, 468.3, 535.1, 355.8,1531.5
1921, 46.6, 78.1,138.4,206.7,245.5,210.6,262.5,177.8,172.0,148.2, 70.3, 42.1, 155.0, 590.6, 650.9, 390.5,1798.8
1922, 36.2,102.2,103.6,167.0,276.6,227.4,148.9,147.8,128.6,134.2, 56.0, 47.4, 180.5, 547.2, 524.2, 318.9,1576.1
1923, 61.7, 57.4,100.4,146.3,152.7,130.5,225.5,245.1,183.8, 92.6, 93.0, 37.5, 166.5, 399.4, 601.0, 369.4,1526.5
1924, 59.4, 45.9,168.2,148.1,183.5,197.5,236.0,163.1,120.4, 94.4, 44.8, 47.9, 142.9, 499.8, 596.7, 259.7,1509.3
1925, 53.5, 68.7, 90.4,136.8,220.9,250.3,192.3,147.3,118.6,102.6, 83.1, 59.9, 170.1, 448.1, 589.8, 304.3,1524.3
1926, 48.3, 45.7,121.3,111.4,179.1,182.3,184.9,204.9,142.4,113.8, 45.5, 56.6, 153.8, 411.8, 572.1, 301.7,1436.2
1927, 56.9, 50.0,126.6,167.7,214.1,178.7,139.1,181.6,109.3,101.4, 56.4, 33.1, 163.5, 508.4, 499.3, 267.2,1415.1
1928, 61.6, 96.1, 99.8,133.0,168.3,222.2,277.5,192.4,209.7,119.0, 66.7, 51.8, 190.7, 401.1, 692.1, 395.4,1697.9
1929, 37.8, 56.7,165.7,148.2,245.2,197.5,238.4,184.5,192.0,118.8, 65.0, 66.8, 146.3, 559.2, 620.5, 375.7,1716.7
1930, 55.6, 60.7,129.9,118.3,166.2,231.6,172.8,220.5,124.7,137.4, 72.7, 32.3, 183.1, 414.4, 624.9, 334.8,1522.7
1931, 60.7, 55.9,169.4,119.7,173.7,191.3,156.7,158.0,113.0,123.3, 57.9, 39.8, 148.9, 462.8, 506.0, 294.2,1419.4
1932, 51.1, 64.6,134.4,126.0,116.1,194.1,144.0,185.4,116.0, 85.6, 43.0, 53.8, 155.6, 376.4, 523.5, 244.5,1313.9
1933, 63.5, 87.5,185.0,154.0,167.3,235.4,238.4,243.7,180.4, 97.5, 44.5, 42.1, 204.7, 506.3, 717.5, 322.4,1739.3
1934, 56.7, 99.7,118.6,122.8,207.2,195.9,268.4,186.6,185.0, 94.0, 43.0, 21.9, 198.5, 448.5, 650.9, 322.0,1599.6
1935, 49.9, 54.8,126.0,134.1,230.0,218.6,285.6,211.2,154.0,112.3, 57.9, 39.0, 126.7, 490.1, 715.4, 324.2,1673.5
1936, 44.3, 78.2, 84.4,150.4,182.1,203.5,157.4,178.2,113.3,108.4, 50.4, 60.4, 161.5, 416.9, 539.0, 272.1,1411.0
1937, 50.7, 67.3,107.0, 82.7,172.0,189.5,122.4,179.1,151.2, 85.7, 60.5, 28.5, 178.4, 361.8, 491.1, 297.4,1296.8
1938, 45.5, 74.6,169.9,158.0,169.2,204.3,170.6,164.5,120.6,124.9, 70.9, 46.7, 148.6, 497.2, 539.4, 316.5,1519.9
1939, 48.1,104.5, 93.7,170.2,195.3,214.5,168.6,170.3,143.0, 89.2, 40.5, 39.2, 199.3, 459.2, 553.4, 272.7,1477.2
1940, 72.2, 27.7,122.3,124.4,245.2,263.4,191.5,181.7,167.9,104.0, 78.2, 36.4, 139.1, 491.9, 636.6, 350.1,1614.9
1941, 30.8, 56.5,114.9,107.8,157.6,214.2,235.9,164.2,110.2,107.8, 40.9, 36.6, 123.7, 380.4, 614.3, 259.0,1377.5
1942, 30.1, 38.1, 90.1,237.9,206.4,234.5,183.6,154.7,133.8, 91.9, 47.4, 45.4, 104.7, 534.4, 572.8, 273.2,1493.9
1943, 53.9, 84.9,139.4,163.8,266.8,205.0,217.2,174.7,151.0, 98.0, 76.5, 50.5, 184.2, 570.0, 596.9, 325.5,1681.7
1944, 50.7, 56.8,119.2,149.7,238.1,167.4,146.3,206.6,151.6,102.8, 58.1, 47.4, 157.9, 506.9, 520.3, 312.5,1494.6
1945, 37.7, 68.6,138.6,171.6,187.7,207.1,200.0,151.2, 87.9,103.8, 38.6, 43.3, 153.8, 498.0, 558.3, 230.3,1436.2
1946, 56.3, 71.7,101.2,209.6,202.2,179.1,220.7,156.8,123.7, 87.6, 48.4, 63.3, 171.3, 513.0, 556.7, 259.7,1520.6
1947, 68.0, 26.7, 70.6,169.8,219.5,216.5,191.4,286.0,171.9,115.3, 81.4, 34.1, 158.1, 459.8, 693.9, 368.6,1651.2
1948, 42.8, 71.9,166.6,217.1,236.3,173.3,183.6,143.1,147.8, 97.8, 67.4, 55.0, 148.9, 619.9, 500.0, 312.9,1602.6
1949, 61.6,123.5,105.7,195.5,205.2,236.0,226.6,223.2,163.0,123.1, 68.9, 53.7, 240.1, 506.4, 685.8, 355.1,1786.1
1950, 39.1, 73.8,127.6,162.4,161.3,271.2,199.6,184.0,122.0,114.6, 51.5, 34.9, 166.6, 451.2, 654.8, 288.1,1541.9
1951, 50.3, 59.7,102.3,184.7,167.8,249.3,213.1,169.5,129.9,121.0, 56.9, 61.6, 144.9, 454.8, 632.0, 307.7,1566.1
1952, 76.9, 73.7, 89.6,177.3,227.2,204.5,197.3,186.8,132.5,116.0, 67.5, 59.7, 212.2, 494.1, 588.6, 316.0,1609.1
1953, 32.3, 64.5,126.8,162.3,223.5,131.4,191.8,215.7,171.7, 74.9, 51.8, 33.0, 156.5, 512.7, 539.0, 298.4,1479.8
1954, 61.1, 55.2, 95.4,165.9,159.2,148.8,137.1,131.9,164.4,104.5, 59.8, 59.3, 149.3, 420.6, 417.8, 328.8,1342.8
