year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.4,,8.2, 10.6, 11.2, 17.0, 18.9, 22.2, 23.8, 19.4, 13.3,,8.2,,6.8,
1885,,4.4,,9.0,,8.9, 12.8, 13.6, 19.5, 22.0, 18.7, 17.2, 10.8,,8.3,,5.9
1886,,4.2,,2.9,,7.6, 11.9, 15.7, 18.2, 21.4, 21.3, 19.1, 15.3,,9.5,,4.7
1887,,4.2,,7.4,,7.5, 11.1, 13.2, 20.8, 24.4, 21.9, 16.1, 11.0,,7.5,,5.2
1888,,5.5,,3.7,,6.2, 10.1, 15.9, 18.7, 18.0, 19.3, 17.2, 12.5, 10.1,,7.3,
1889,,4.9,,5.6,,8.7, 11.0, 17.3, 20.2, 19.8, 20.1, 17.2, 12.7,,9.4,,5.4
1890,,8.5,,5.9, 10.2, 11.5, 17.0, 18.9, 19.4, 19.5, 20.5, 14.3,,9.0,,0.9,
1891,,3.6,,8.3,,8.3, 10.4, 14.1, 19.2, 19.6, 18.9, 19.8, 14.3,,8.8,,7.6
1892,,4.7,,6.1,,6.3, 13.2, 17.1, 18.8, 18.8, 20.9, 17.5, 11.0,,9.3,,4.7
1893,,4.0,,7.6, 13.3, 16.1, 18.3, 21.0, 21.5, 23.3, 18.6, 14.6,,8.6,,7.3,
1894,,5.7,,8.3, 11.6, 14.7, 14.0, 18.3, 21.1, 19.2, 15.8, 12.9, 10.7,,7.5,,7.05
1895,,2.9,,1.9,,9.8, 13.0, 17.6, 20.2, 20.8, 21.3, 22.3, 11.8, 11.0,,6.4,
1896,,6.8,,7.3, 10.9, 13.2, 16.4, 21.9, 22.9, 19.3, 17.1, 11.5,,7.5,,6.3,
1897,,3.5,,8.1, 10.6, 11.5, 15.0, 20.3, 22.0, 21.9, 16.9, 14.2, 10.2,,7.4,,5.87
1898,,8.3,,8.0,,8.3, 13.2, 14.4, 18.2, 20.4, 22.4, 22.0, 15.4, 10.6,,9.6,
1899,,8.2,,9.0,,9.8, 12.2, 14.9, 20.6, 23.2, 23.7, 18.5, 14.2, 11.5,,4.8,
1900,,6.6,,6.0,,7.0, 13.3, 15.1, 19.7, 24.3, 20.5, 19.6, 14.4, 10.0,,9.5,
1901,,5.9,,4.4,,7.0, 13.6, 16.5, 19.7, 23.4, 22.3, 19.1, 14.1,,8.3,,6.1
1902,,7.4,,4.3, 10.8, 12.4, 13.4, 18.6, 20.4, 19.4, 18.0, 13.0,,9.5,,6.8,
1903,,6.6, 10.2, 11.4, 10.6, 16.0, 17.4, 20.5, 19.5, 18.1, 14.3,,9.6,,5.2,,7.80
1904,,6.0,,6.2,,8.0, 13.6, 15.7, 18.3, 23.2, 21.1, 17.4, 13.9,,8.6,,6.6
1905,,6.0,,7.6, 10.8, 11.2, 16.0, 19.3, 23.6, 20.4, 17.2, 10.8,,8.1,,6.5,
1906,,7.6,,6.3,,8.8, 12.5, 15.6, 18.8, 22.0, 23.3, 20.0, 15.5, 10.4,,5.2,
1907,,5.5,,5.6, 11.3, 12.0, 15.4, 17.4, 18.4, 20.1, 19.4, 14.3,,9.9,,7.2,
1908,,5.0,,8.1,,7.8,,9.8, 17.6, 19.7, 21.0, 19.8, 17.8, 16.1, 10.5,,5.9
1909,,5.5,,5.9,,6.7, 14.6, 16.4, 15.8, 19.7, 21.1, 16.4, 14.5,,8.3,,6.6
1910,,6.1,,8.1, 10.1, 12.0, 15.8, 19.7, 18.1, 20.4, 17.1, 14.6,,6.9,,8.4,
1911,,5.7,,7.7,,8.2, 12.2, 17.9, 19.7, 24.6, 24.9, 21.1, 13.5,,9.1,,8.3
1912,,6.0,,8.3, 10.9, 14.1, 17.6, 19.3, 21.2, 17.8, 15.2, 13.3,,8.7,,9.4,
1913,,6.8,,7.9, 10.3, 12.0, 17.2, 19.8, 18.4, 20.5, 18.7, 15.1, 11.7,,7.2,,8.05
1914,,5.4, 10.0,,9.9, 15.1, 16.1, 19.8, 21.5, 22.1, 19.3, 14.5, 10.1,,7.5,,7.45
1915,,6.0,,7.4,,8.8, 12.4, 15.8, 19.8, 20.0, 20.4, 18.7, 13.2,,7.0,,8.4
1916,,9.8,,6.7,,6.6, 13.5, 17.3, 16.0, 19.8, 21.6, 17.2, 14.5,,9.7,,5.0
1917,,3.1,,3.8,,6.4,,9.5, 18.7, 21.8, 21.4, 19.8, 19.0, 12.1, 10.6,,4.7
1918,,6.1,,8.9, 10.4, 10.0, 18.0, 18.8, 20.9, 21.5, 16.7, 12.8,,8.9,,9.4,
1919,,5.0,,4.5,,7.2, 11.6, 18.6, 19.8, 17.7, 22.0, 18.6, 12.0,,6.1,,7.9
