year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.8,,5.1,,6.2,,6.8, 11.4, 13.6, 16.7, 17.7, 14.8,,9.1,,5.1
1885,,2.1,,5.7,,4.3,,7.9,,8.9, 14.2, 16.3, 14.1, 12.5,,7.4,
1886,,1.6,,0.4,,4.1,,7.5, 10.7, 13.1, 16.1, 16.1, 14.5, 11.6,,6.3,
1887,,1.3,,3.6,,3.8,,6.4,,9.1, 15.0, 18.0, 16.0, 12.0,,7.2,
1888,,2.7,,1.2,,3.0,,6.0, 10.5, 13.8, 13.9, 14.6, 13.0,,7.6,,7.7
1889,,1.9,,2.2,,4.4,,6.9, 12.8, 15.2, 15.2, 15.2, 12.8,,9.0,,6.3
1890,,5.2,,2.9,,5.8,,6.9, 11.6, 14.1, 14.8, 14.7, 15.0,,9.6,,5.3
1891,,0.2,,3.6,,4.4,,6.0,,9.3, 14.4, 14.9, 14.5, 14.5, 10.3,,5.5
1892,,1.5,,2.8,,2.2,,7.1, 11.5, 13.3, 14.3, 15.7, 12.7,,7.3,,6.4
1893,,1.1,,4.3,,7.1,,9.5, 12.6, 15.0, 16.5, 17.7, 13.2, 10.3,,5.0,
1894,,2.6,,4.4,,6.3,,9.6,,9.3, 13.6, 16.0, 14.9, 11.9,,9.5,
1895, -0.0, -2.0,,5.4,,8.2, 11.8, 14.2, 15.9, 16.2, 15.8,,7.6,,7.6,,3.4
1896,,3.9,,3.7,,6.8,,8.3, 10.9, 16.2, 16.9, 14.5, 13.4,,7.6,,4.2
1897,,1.1,,5.1,,6.7,,7.0, 10.0, 15.3, 16.4, 16.8, 12.4,,9.8,,6.7
1898,,5.6,,4.3,,4.0,,8.1, 10.9, 13.5, 15.2, 16.9, 15.8, 11.7,,7.2,
1899,,5.0,,5.0,,4.4,,8.1, 10.0, 14.8, 17.8, 17.8, 13.9,,9.2,,7.9
1900,,3.7,,2.7,,3.5,,8.0, 10.4, 14.9, 18.5, 15.7, 14.4, 10.0,,7.1,
1901,,3.1,,1.4,,3.8,,8.4, 11.0, 14.1, 17.6, 16.7, 14.4,,9.7,,4.8
1902,,4.4,,1.2,,6.4,,7.6,,8.7, 13.9, 15.2, 14.6, 13.2,,9.4,
1903,,4.0,,6.5,,7.2,,6.2, 11.1, 12.6, 15.6, 14.7, 13.7, 10.8,,6.2,
1904,,3.2,,3.4,,4.3,,9.0, 11.2, 13.4, 17.6, 15.8, 12.7,,9.8,,5.0
1905,,2.9,,4.6,,6.7,,7.3, 10.6, 14.9, 18.2, 15.5, 13.1,,6.9,,4.9
1906,,4.7,,3.0,,4.8,,6.9, 10.9, 13.4, 16.4, 17.5, 14.6, 11.7,,7.4,
1907,,2.7,,2.4,,6.0,,7.7, 10.8, 13.2, 13.7, 15.1, 13.9, 10.3,,6.6,
1908,,1.9,,4.7,,4.1,,5.8, 12.7, 14.4, 16.0, 14.8, 13.1, 11.9,,7.1,
1909,,2.7,,2.3,,3.5,,8.8, 10.6, 11.9, 15.0, 15.8, 12.3, 10.9,,5.0,
1910,,3.3,,4.7,,5.6,,7.6, 11.2, 14.9, 14.3, 15.8, 13.0, 11.4,,3.3,
1911,,3.0,,4.3,,4.9,,7.7, 12.5, 14.6, 18.4, 19.1, 15.0,,9.8,,6.1
1912,,3.5,,5.3,,7.4,,8.5, 12.5, 14.5, 16.7, 13.7, 11.4,,8.3,,5.8
1913,,4.2,,4.5,,6.4,,7.8, 12.2, 14.5, 14.2, 15.3, 14.4, 11.3,,8.0,
1914,,2.8,,6.4,,6.1,,9.5, 11.0, 14.4, 16.6, 16.8, 13.8, 10.6,,6.7,
1915,,3.6,,4.1,,5.0,,7.5, 10.8, 14.3, 15.4, 15.7, 13.8,,9.4,,3.7
1916,,6.7,,3.5,,3.6,,8.4, 12.2, 11.7, 15.0, 16.6, 12.9, 10.8,,6.4,
1917,,1.4,,0.8,,2.7,,4.9, 13.0, 16.2, 16.3, 16.0, 14.4,,7.7,,7.3
1918,,3.0,,5.7,,5.7,,6.4, 12.5, 13.1, 15.8, 16.5, 12.6,,9.1,,5.5
1919,,2.5,,1.4,,3.8,,7.0, 12.8, 14.3, 13.6, 16.4, 13.4,,7.3,,3.2
1920,,4.7,,5.5,,7.4,,8.6, 12.4, 14.6, 14.8, 13.7, 13.4, 10.6,,6.0,
1921,,6.9,,4.5,,7.4,,8.3, 11.9, 14.1, 18.4, 16.6, 14.9, 13.3,,4.1,
1922,,3.2,,4.3,,4.8,,5.8, 13.2, 14.1, 14.2, 14.1, 12.4,,8.7,,5.2
1923,,4.6,,5.3,,6.3,,7.8, 10.0, 12.2, 18.2, 16.0, 12.9, 10.0,,3.1,
1924,,3.9,,2.4,,4.0,,7.3, 12.2, 14.6, 16.0, 14.7, 13.9, 10.7,,6.9,
1925,,4.8,,5.0,,4.6,,7.6, 12.3, 14.5, 17.2, 16.0, 11.7, 10.7,,4.4,
1926,,3.6,,6.7,,6.5,,9.4, 10.3, 13.6, 16.6, 16.6, 15.2,,8.5,,6.5
1927,,4.0,,3.9,,7.3,,8.4, 11.1, 12.9, 15.5, 16.2, 13.0, 10.5,,5.9,
1928,,4.5,,5.6,,6.1,,8.0, 10.3, 13.4, 17.4, 15.8, 13.3, 10.5,,7.7,
1929,,1.2, -0.6,,5.7,,6.2, 11.0, 13.5, 16.4, 16.1, 16.6,,9.9,,6.4,
1930,,5.6,,3.1,,5.4,,8.1, 11.0, 15.5, 15.7, 16.4, 14.1, 10.7,,6.2,
1931,,3.1,,3.4,,3.8,,8.0, 11.6, 14.9, 16.0, 14.6, 11.8,,9.1,,7.5
1932,,5.6,,2.8,,4.4,,7.1, 10.7, 13.8, 16.6, 18.1, 13.7,,9.1,,6.6
1933,,2.2,,4.1,,7.2,,9.1, 11.8, 14.9, 18.1, 18.3, 15.5, 10.5,,5.8,
1934,,3.6,,3.2,,4.8,,8.2, 11.5, 14.8, 17.6, 16.1, 15.2, 10.8,,6.0,
1935,,4.1,,5.6,,6.3,,8.0,,9.9, 15.4, 17.7, 17.4, 14.1,,9.8,
1936,,3.9,,2.2,,6.9,,6.4, 11.3, 15.0, 15.8, 16.2, 14.7,,9.2,,5.6
1937,,4.6,,5.4,,3.7,,8.6, 12.2, 14.5, 16.5, 17.3, 13.8, 11.0,,5.4,
1938,,5.3,,4.7,,9.1,,7.1, 10.6, 15.2, 15.8, 16.6, 14.4, 10.0,,8.9,
1939,,4.4,,5.3,,5.5,,8.7, 10.8, 13.9, 16.0, 16.9, 15.2,,8.7,,8.4
1940, -1.5,,1.5,,5.9,,8.5, 12.3, 16.1, 15.5, 15.8, 13.4,,9.8,,6.7,
1941,,0.5,,3.2,,5.0,,6.7,,9.0, 14.9, 18.3, 15.0, 14.7, 10.3,,6.1
1942,,0.1, -0.3,,4.4,,8.8, 11.2, 14.3, 15.9, 17.2, 14.4, 11.1,,5.4,,5.9
1943,,4.4,,5.3,,6.4, 11.1, 12.5, 14.7, 16.6, 16.8, 13.9, 11.2,,5.8,,3.5
1944,,5.5,,3.1,,4.8,,9.8, 11.3, 13.7, 16.7, 18.0, 12.9,,9.5,,6.2
1945,,0.2,,7.0,,8.1,,9.9, 12.7, 15.1, 17.3, 16.0, 14.7, 11.9,,7.4,
1946,,3.1,,5.8,,4.9,,9.8, 10.4, 13.5, 16.8, 15.2, 14.3, 10.3,,7.7,
1947,,1.4, -2.2,,3.7,,8.8, 13.7, 16.2, 17.8, 18.6, 15.7, 10.9,,7.0,,5.0
1948,,5.4,,4.5,,8.0,,9.2, 11.2, 14.0, 15.5, 15.5, 14.3, 10.1,,6.4,
1949,,4.7,,5.3,,4.4, 10.4, 10.5, 14.4, 17.4, 17.2, 17.2, 12.0,,6.2,,5.5
1950,,3.9,,5.7,,7.3,,7.7, 10.8, 16.7, 16.6, 16.5, 13.5, 10.0,,5.8,
1951,,3.8,,3.5,,4.5,,6.8, 10.2, 13.7, 16.8, 15.6, 14.7,,9.8,,8.2
1952,,2.8,,2.7,,6.2,,9.6, 13.0, 14.9, 17.1, 16.9, 11.4,,9.1,,3.9
1953,,2.7,,3.9,,5.2,,7.6, 12.4, 13.8, 15.8, 16.5, 14.0, 10.4,,7.9,
1954,,2.6,,2.0,,5.7,,7.1, 11.4, 13.9, 14.7, 15.2, 13.1, 12.2,,6.8,
1955,,2.0,,1.2,,3.0,,9.3,,9.8, 13.9, 16.7, 17.8, 14.5,,9.3,
1956,,3.2, -1.1,,5.7,,6.1, 12.1, 12.8, 16.1, 14.0, 14.6,,9.5,,5.7,
1957,,5.2,,5.3,,8.9,,8.4, 10.2, 15.1, 16.9, 15.7, 12.8, 11.0,,6.5,
1958,,3.1,,4.6,,3.5,,7.2, 11.6, 13.8, 16.2, 16.3, 15.3, 11.0,,6.4,
1959,,1.3,,3.9,,7.1,,9.6, 11.7, 15.3, 17.7, 17.9, 15.4, 12.6,,6.5,
1960,,3.7,,4.0,,6.0,,8.7, 12.5, 15.6, 15.3, 15.3, 13.5, 10.6,,7.4,
1961,,3.3,,6.6,,7.9, 10.1, 10.9, 15.0, 15.6, 16.0, 15.6, 11.1,,6.1,,2.7
1962,,4.0,,3.9,,2.4,,7.6, 10.0, 13.3, 14.7, 15.0, 12.8, 10.6,,5.3,
1963, -2.5, -1.4,,5.7,,8.4, 10.5, 14.7, 15.2, 14.6, 13.2, 10.6,,8.0,,2.3, -0.81
1964,,2.0,,4.1,,3.7,,8.6, 13.4, 14.1, 16.6, 16.2, 14.4,,8.6,,7.3
1965,,3.2,,2.9,,5.1,,8.0, 11.7, 14.1, 14.2, 15.2, 12.7, 11.0,,4.6,
1966,,2.3,,5.5,,6.1,,7.6, 11.1, 15.6, 15.0, 15.0, 14.3, 11.0,,5.4,
1967,,3.9,,5.2,,7.3,,7.4, 10.8, 13.9, 17.6, 16.1, 14.0, 11.2,,5.3,
1968,,3.6,,2.0,,6.6,,8.3, 10.0, 14.7, 15.0, 15.5, 14.3, 12.7,,6.6,
1969,,5.3,,0.7,,3.3,,7.6, 11.8, 13.7, 17.3, 16.4, 14.4, 13.1,,5.6,
1970,,3.3,,2.8,,3.2,,6.6, 12.8, 16.1, 15.7, 16.2, 14.8, 11.1,,7.6,
1971,,4.2,,4.4,,4.7,,7.5, 11.5, 12.6, 16.9, 16.4, 14.1, 11.4,,5.9,
1972,,3.3,,4.2,,6.5,,8.3, 11.0, 12.3, 15.7, 15.5, 12.0, 10.7,,6.1,
1973,,4.1,,3.9,,6.2,,7.1, 11.5, 15.3, 15.9, 17.1, 14.8,,9.2,,5.4
1974,,5.6,,5.3,,5.6,,7.9, 10.9, 13.9, 15.5, 15.8, 12.5,,7.5,,6.6
1975,,6.5,,4.4,,4.7,,8.1,,9.8, 14.1, 17.4, 18.9, 14.1,,9.9,
1976,,5.2,,4.1,,4.6,,7.9, 12.3, 17.5, 18.6, 17.3, 13.9, 11.1,,6.1,
1977,,2.6,,5.1,,6.9,,7.2, 10.4, 12.4, 15.9, 15.5, 13.7, 11.9,,6.7,
1978,,2.8,,2.4,,6.6,,6.2, 10.7, 13.9, 14.9, 15.2, 14.4, 11.7,,8.1,
1979, -0.6,,0.9,,4.8,,7.8, 10.9, 14.2, 16.4, 15.6, 14.0, 11.5,,6.2,,5.6
