year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.2,,2.0,,2.0,,2.4,,5.9,,8.4, 11.3, 11.6, 10.2,,4.8
1885, -0.3,,2.5, -0.2,,3.1,,4.3,,8.8, 10.7,,9.4,,7.9,,3.9
1886, -1.1, -2.1,,0.6,,3.1,,5.8,,7.9, 10.7, 10.9,,9.9,,7.9,
1887, -1.7, -0.3,,0.1,,1.6,,5.0,,9.1, 11.6, 10.0,,7.8,,3.4,
1888, -0.1, -1.3, -0.1,,1.9,,5.2,,8.9,,9.9,,9.9,,8.9,,2.7
1889, -1.1, -1.3,,0.2,,2.9,,8.2, 10.1, 10.7, 10.3,,8.3,,5.3,,3.2
1890,,1.9, -0.0,,1.5,,2.3,,6.1,,9.3, 10.2,,9.9,,9.6,
1891, -3.3, -1.1,,0.5,,1.7,,4.7,,9.5, 10.2, 10.1,,9.3,,6.1,
1892, -1.6, -0.5, -1.8,,0.9,,6.1,,7.8,,9.9, 10.4,,7.8,,3.5,
1893, -1.7,,1.0,,1.0,,2.8,,6.9,,9.0, 11.5, 12.1,,7.7,,6.0
1894, -0.5,,0.5,,1.1,,4.5,,4.7,,9.0, 11.0, 10.5,,7.9,,6.0
1895, -3.0, -5.9,,1.0,,3.5,,6.0,,8.3, 10.9, 11.0,,9.4,,3.3,
1896,,1.1,,0.1,,2.7,,3.5,,5.4, 10.6, 10.9,,9.7,,9.6,
1897, -1.2,,2.1,,2.9,,2.6,,5.0, 10.2, 10.8, 11.6,,7.9,,5.4,
1898,,2.8,,0.6, -0.3,,2.9,,7.2,,8.8, 10.0, 11.4,,9.5,,8.0
1899,,1.8,,1.1, -1.0,,3.9,,5.2,,9.1, 12.4, 11.9,,9.3,,4.2
1900,,0.8, -0.6, -0.1,,2.7,,5.5, 10.1, 12.6, 11.0,,9.2,,5.5,,4.3
1901,,0.3, -1.6,,0.5,,3.2,,5.5,,8.5, 11.9, 11.1,,9.7,,5.4
1902,,1.5, -1.9,,2.0,,2.9,,4.0,,9.1, 10.0,,9.7,,8.5,
1903,,1.3,,2.8,,2.9,,1.9,,6.2,,7.9, 10.7, 10.0,,9.2,
1904,,0.4,,0.5,,0.5,,4.4,,6.7,,8.4, 12.1, 10.5,,8.0,
1905, -0.2,,1.6,,2.7,,3.4,,5.3, 10.5, 12.8, 10.6,,9.0,,2.9,
1906,,1.9, -0.3,,0.9,,1.3,,6.4,,8.1, 10.8, 11.7,,9.2,,8.0
1907, -0.2, -0.8,,0.6,,3.4,,6.2,,9.0,,9.0, 10.1,,8.3,,6.4
1908, -1.3,,1.2,,0.3,,1.8,,7.7,,9.1, 11.0,,9.8,,8.5,
1909, -0.1, -1.3,,0.2,,3.1,,4.9,,8.0, 10.4, 10.4,,8.3,,7.2,
1910,,0.4,,1.3,,1.1,,3.1,,6.5, 10.2, 10.4, 11.2,,8.8,,8.1
1911,,0.3,,1.0,,1.6,,3.3,,7.1,,9.5, 12.1, 13.2,,8.8,
1912,,0.9,,2.3,,3.9,,2.9,,7.4,,9.7, 12.2,,9.6,,7.6
1913,,1.6,,1.2,,2.5,,3.7,,7.2,,9.0, 10.0, 10.1, 10.1,,7.4
1914,,0.2,,2.7,,2.3,,3.8,,5.8,,9.0, 11.7, 11.4,,8.4,
1915,,1.2,,0.8,,1.2,,2.6,,5.7,,8.7, 10.7, 11.0,,8.9,
1916,,3.7,,0.4,,0.6,,3.3,,7.0,,7.3, 10.2, 11.6,,8.7,
1917, -0.3, -2.2, -1.0,,0.4,,7.4, 10.5, 11.3, 12.1,,9.8,,3.3,,4.1, -1.3
1918, -0.2,,2.5,,1.0,,2.8,,7.0,,7.3, 10.7, 11.4,,8.6,,5.4
1919, -0.1, -1.7,,0.5,,2.4,,6.9,,8.8,,9.5, 10.8,,8.2,,2.5
1920,,1.3,,1.5,,2.7,,5.0,,7.2,,9.5, 10.3,,9.2,,8.9
1921,,4.0,,1.0,,2.9,,3.2,,6.3,,8.5, 12.0, 11.8,,9.3,
1922,,0.4,,0.9,,1.6,,1.6,,7.3,,8.9,,9.9,,9.6,
1923,,1.3,,2.6,,2.8,,3.7,,5.4,,7.7, 12.9, 10.6,,7.7,
1924,,1.4, -0.1, -0.6,,2.8,,7.6,,9.9, 10.7, 10.1, 10.3,,7.2,,4.0
1925,,1.9,,1.9,,1.1,,3.1,,7.3,,9.0, 11.9, 11.5,,7.6,
1926,,0.4,,3.8,,2.6,,5.1,,5.9,,9.0, 11.9, 11.5, 10.6,,4.4
1927,,1.0,,0.7,,3.6,,3.9,,5.8,,8.3, 11.4, 11.7,,9.1,
1928,,1.2,,1.8,,2.4,,3.8,,5.7,,8.3, 11.4, 11.0,,7.6,
1929, -1.0, -3.5, -0.2,,1.7,,5.6,,8.5, 10.8, 10.7, 10.7,,5.7,,3.0,
1930,,2.7,,0.7,,1.4,,4.3,,6.6, 10.2, 11.2, 11.4, 10.2,,6.6,
1931,,0.2,,0.3, -0.4,,4.0,,6.9, 10.2, 11.5, 10.4,,7.7,,4.5,
1932,,2.4, -0.2,,0.1,,3.0,,6.5,,8.7, 12.1, 12.9,,9.2,,5.3
1933, -0.6,,0.7,,2.2,,4.1,,7.1,,9.3, 12.5, 12.2, 10.6,,6.8,
1934,,0.3, -0.7,,0.8,,4.0,,6.1,,9.5, 11.4, 10.7,,9.7,,7.1
1935,,1.7,,2.5,,2.2,,4.1,,5.2, 10.6, 11.9, 11.3,,9.5,,5.7
1936,,1.0, -0.8,,3.5,,2.5,,6.7, 10.1, 11.7, 11.1, 10.8,,5.1,,2.3
1937,,1.7,,2.4,,0.3,,5.0,,7.7,,9.5, 12.0, 12.2,,8.8,
1938,,2.3,,1.7,,3.6,,2.1,,5.8, 10.1, 10.7, 11.8,,9.9,,5.8
1939,,1.8,,1.8,,2.1,,4.0,,5.8,,8.8, 11.3, 12.0, 11.2,,5.3
1940, -4.6, -1.1,,1.8,,4.0,,6.5, 10.3, 10.4, 10.4,,7.8,,5.8,,3.5
1941, -1.5,,0.1,,1.1,,2.8,,4.4,,9.7, 12.7, 10.5, 10.4,,6.4,
1942, -2.4, -2.5,,0.6,,4.2,,6.0,,8.3, 11.1, 12.1,,9.6,,7.2,
1943,,1.7,,1.6,,1.4,,5.9,,7.0,,9.6, 11.2, 11.7,,9.2,
1944,,2.4,,0.4,,0.4,,4.9,,5.5,,9.1, 12.3, 12.8,,8.6,
1945, -2.4,,3.5,,3.4,,4.7,,7.4, 10.1, 12.2, 11.4, 11.1,,7.8,,4.9
1946,,0.5,,2.9,,0.9,,4.0,,5.7,,8.6, 11.7, 10.6, 10.4,,7.0
1947, -1.4, -4.2,,0.3,,4.1,,8.1, 10.8, 13.1, 12.6, 10.4,,5.9,,3.6,
1948,,2.6,,1.4,,3.0,,4.1,,6.0,,9.4, 10.8, 10.9,,9.8,
1949,,1.6,,0.9,,0.8,,5.3,,5.4,,8.9, 11.5, 11.3, 12.5,,7.6
1950,,1.4,,2.2,,3.1,,3.3,,6.4, 11.2, 12.0, 11.4,,9.4,,6.2
1951,,1.0,,0.6,,1.1,,2.2,,6.2,,8.6, 11.5, 11.0, 10.5,,5.6
1952,,0.1, -0.5,,2.8,,4.6,,7.9,,9.5, 12.0, 12.1,,7.0,,5.3
1953,,0.4,,0.7,,0.4,,3.2,,7.6,,9.8, 11.2, 11.2,,9.2,
1954,,0.0, -0.9,,2.2,,2.4,,6.8,,9.9, 10.5, 10.8,,8.7,,8.6
1955, -0.6, -1.5, -0.9,,4.5,,5.2,,9.3, 11.4, 12.5,,9.6,,5.1,,4.3
1956,,0.4, -4.3,,1.7,,1.5,,6.2,,8.5, 11.9,,9.6, 10.6,,5.7
1957,,2.2,,2.1,,5.1,,4.1,,5.5,,9.2, 12.6, 11.3,,9.0,
1958,,0.3,,1.2,,0.1,,3.0,,6.7,,9.3, 11.7, 11.8, 11.3,,7.6
1959, -1.7,,0.8,,3.3,,5.3,,6.5,,9.5, 11.9, 12.6,,9.7,,7.9
1960,,1.0,,0.9,,3.1,,4.2,,7.7, 10.1, 10.8, 10.4,,9.5,,7.5
1961,,0.7,,3.5,,2.7,,5.8,,6.1,,9.3, 10.7, 11.0, 11.1,,7.2
1962,,0.8,,0.7, -1.5,,3.6,,5.9,,7.7, 10.4, 10.4,,8.5,,6.5
1963, -5.2, -4.0,,2.0,,4.2,,5.8,,9.9, 10.2, 10.2,,9.0,,7.1,
1964, -0.6,,1.3,,1.2,,4.7,,8.1,,9.6, 11.5, 11.0,,8.8,,4.3
1965,,0.6,,0.5,,1.0,,3.6,,7.3,,9.4, 10.1, 10.3,,8.4,
1966,,0.1,,2.9,,2.0,,4.0,,6.2, 10.5, 10.5, 10.1,,9.8,,7.7
1967,,1.4,,2.0,,3.4,,3.4,,6.4,,8.8, 12.5, 11.2, 10.1,,7.9
1968,,0.8, -0.5,,2.5,,3.4,,5.6, 10.0, 10.8, 11.7, 10.4,,9.5,,4.3
1969,,2.7, -1.9,,0.5,,2.7,,7.4,,8.4, 12.1, 12.1, 10.3,,8.7,
1970,,0.9, -0.4, -0.4,,2.8,,7.6, 10.4, 11.0, 11.1, 10.1,,7.0,,4.3,
1971,,1.6,,1.1,,1.4,,3.8,,6.2,,8.6, 11.5, 12.1,,8.7,
1972,,1.0,,1.6,,1.8,,4.7,,6.6,,7.7, 11.1, 10.5,,7.9,
1973,,1.6,,0.5,,1.6,,2.8,,7.0,,9.7, 11.3, 11.8, 10.0,,5.3
1974,,2.5,,2.3,,2.1,,3.4,,5.8,,9.1, 11.0, 10.8,,8.3,
1975,,3.6,,0.9,,2.0,,4.2,,5.8,,8.4, 12.1, 12.9,,9.4,
1976,,2.5,,1.2,,1.2,,3.5,,7.2, 11.1, 12.3, 11.3,,9.8,,8.0
1977,,0.2,,2.1,,3.4,,2.8,,6.1,,8.2, 11.1, 11.2,,9.6,
1978,,0.1, -0.3,,2.6,,2.7,,6.1,,9.2, 10.7, 10.7,,9.9,,7.9
1979, -3.6, -1.4,,1.4,,3.9,,6.1,,9.5, 11.3, 10.8,,9.1,,7.5,
1980, -0.5,,2.1,,1.6,,3.7,,5.6,,9.7, 10.4, 11.8, 10.7,,5.1,
1981,,1.3, -0.4,,5.1,,3.8,,7.0,,9.4, 11.2, 11.3, 10.2,,5.0,
1982, -0.7,,1.3,,1.7,,3.6,,6.3, 11.3, 12.0, 11.8,,9.9,,7.1,
1983,,3.3, -1.0,,2.5,,2.8,,6.3,,9.9, 13.1, 12.4, 10.3,,6.8,
1984,,0.3,,0.4,,1.6,,2.1,,5.2,,9.2, 10.7, 12.1, 10.1,,7.5
1985, -2.8, -1.4,,0.7,,4.4,,6.7,,8.5, 11.8, 10.7,,9.9,,7.5,
1986,,0.5, -3.6,,1.0,,2.4,,7.0,,9.5, 11.8, 10.1,,6.6,,7.2
1987, -1.9,,0.3,,0.2,,5.5,,5.5,,9.3, 11.7, 11.5, 10.0,,6.6,
1988,,2.4,,1.4,,2.8,,4.0,,7.6,,9.8, 11.3, 11.1,,9.5,
1989,,2.4,,2.0,,3.7,,3.0,,7.1,,8.8, 12.6, 11.5, 11.3,,8.6
1990,,3.4,,4.3,,4.2,,3.0,,6.7,,9.2, 10.9, 12.8,,8.6,
1991,,0.9, -1.9,,4.2,,3.6,,6.1,,8.4, 12.7, 12.4,,9.6,,6.8
1992,,1.2,,1.4,,4.0,,4.5,,8.2, 10.5, 12.6, 12.0,,9.7,,4.6
1993,,2.3,,1.9,,2.3,,5.8,,7.5, 10.0, 11.0, 10.2,,9.3,,6.1
1994,,2.0, -0.1,,4.1,,4.3,,7.0, 10.1, 13.3, 12.2,,9.7,,6.5,
1995,,1.4,,3.1,,1.5,,4.6,,6.3,,9.3, 13.3, 13.1,,9.9,
1996,,1.8, -1.0,,1.0,,3.5,,4.5,,8.8, 11.1, 11.9,,9.8,,7.5
1997, -0.9,,3.0,,4.2,,3.7,,6.5, 10.6, 11.9, 14.6, 10.2,,6.1,,5.2
1998,,2.3,,2.9,,4.5,,4.7,,8.1, 10.9, 11.6, 11.1, 11.3,,7.5,
1999,,2.5,,1.5,,3.8,,5.3,,8.5,,9.2, 12.7, 12.2, 12.0,,7.2
2000,,1.7,,2.5,,3.7,,4.4,,8.0, 11.0, 11.1, 12.2, 11.6,,7.4,
2001,,0.4,,1.1,,2.2,,4.0,,7.5,,9.4, 12.9, 13.0,,9.7, 10.5
2002,,2.3,,3.6,,3.4,,4.4,,7.9, 10.3, 11.9, 13.2, 10.1,,6.5,
2003,,1.6,,0.5,,2.4,,4.5,,7.5, 11.4, 13.3, 13.3,,8.4,,5.1
2004,,2.0,,2.9,,3.0,,5.1,,7.4, 10.9, 11.6, 13.8, 10.8,,7.7,
2005,,2.6,,1.2,,3.4,,4.7,,7.0, 10.4, 12.6, 11.2, 11.2, 10.3,,2.7
2006,,1.8,,1.3,,1.4,,4.3,,8.3, 10.5, 14.2, 12.1, 13.2, 10.0,,4.6
2007,,4.0,,2.6,,3.2,,5.7,,8.1, 11.0, 11.8, 11.2, 10.0,,7.0,
2008,,3.7,,0.7,,2.8,,3.7,,8.3, 10.1, 12.1, 13.1,,9.8,,5.5
2009, -0.1,,1.3,,2.3,,5.4,,7.7, 10.1, 12.1, 12.7, 10.6,,7.9,,6.0
2010, -0.8,,0.0,,2.5,,3.7,,5.8, 10.1, 13.5, 12.0, 10.0,,7.5,,2.9
2011,,1.8,,3.6,,2.4,,6.3,,7.7,,9.8, 10.8, 11.8, 11.1,,8.9
2012,,2.4,,0.3,,2.8,,3.5,,7.8, 10.0, 11.6, 12.7,,8.5,,6.7
2013,,0.3,,0.3,,0.1,,3.1,,5.8,,9.5, 12.6, 12.8,,9.6,
2014,,2.7,,3.4,,3.2,,6.2,,8.4, 10.3, 13.4, 11.2, 10.9,,9.7,
2015,,0.9,,0.9,,2.7,,3.9,,6.8,,9.2, 11.9, 12.4,,8.6,
2016,,2.1,,1.6,,2.1,,3.3,,7.9, 11.1, 12.7, 12.7, 12.6,,7.5,
2017,,0.2,,3.6,,5.0,,4.2,,8.8, 12.2, 12.9, 11.7,,9.7,,9.2
2018,,2.4, -0.5,,1.9,,6.6,,7.9, 10.8, 13.5, 12.8,,9.6,,7.2,
2019,,0.9,,1.8,,4.4,,3.6,,6.5, 10.9, 13.3, 12.5,,9.9,,7.2
2020,,3.8,,3.2,,2.7,,4.8,,6.9, 10.6, 11.9, 14.2,,9.9,,8.0
2021,,0.5,,1.9,,3.3,,1.2,,5.9, 11.7, 13.0, 12.3, 11.9,,8.5,
