year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.5, 14.3,,3.5,,2.7,,0.2,,0.0,,0.0,,0.0,,0.0,
1961, 12.7,,1.6,,4.8,,0.8,,0.6,,0.0,,0.0,,0.0,,0.0
1962,,8.9, 10.6, 21.1,,2.6,,0.9,,0.6,,0.0,,0.0,,0.0,
1963, 28.3, 26.7,,8.0,,1.7,,0.2,,0.0,,0.0,,0.0,,0.0,
1964, 13.0, 10.3, 10.4,,2.2,,0.0,,0.0,,0.0,,0.0,,0.1,,2.4
1965, 15.5, 13.3, 12.6,,2.9,,0.8,,0.0,,0.0,,0.0,,0.0,,0.3
1966, 15.6,,7.2,,5.7,,4.0,,0.1,,0.0,,0.0,,0.0,,0.0
1967, 10.7,,8.0,,2.6,,2.7,,1.8,,0.0,,0.0,,0.0,,0.0
1968, 12.9, 20.4,,6.7,,9.3,,0.7,,0.0,,0.0,,0.0,,0.0,
1969,,7.8, 19.4, 14.6,,7.1,,0.2,,0.0,,0.0,,0.0,,0.3,
1970, 11.0, 15.3, 16.3,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.7
1971,,8.1,,9.0, 10.1,,3.6,,1.3,,0.0,,0.0,,0.0,,0.0
1972, 10.5,,5.9,,6.4,,0.7,,0.1,,0.0,,0.0,,0.0,,0.1
1973, 10.3, 12.0, 10.3,,4.4,,0.7,,0.0,,0.0,,0.0,,0.0,,2.6
1974,,4.8,,6.4,,7.4,,3.2,,1.0,,0.0,,0.0,,0.0,
1975,,3.8,,8.9,,9.5,,6.1,,1.0,,0.1,,0.0,,0.0,
1976,,9.2,,9.7, 12.4,,4.3,,0.2,,0.0,,0.0,,0.0,,0.1
1977, 15.7,,6.1,,4.6,,6.1,,1.0,,0.0,,0.0,,0.0,,0.0
1978, 13.7, 16.2,,5.5,,6.6,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 26.1, 21.0,,9.7,,4.5,,4.3,,0.0,,0.0,,0.0,,0.2,
1980, 18.4,,5.2,,9.2,,2.9,,1.1,,0.0,,0.0,,0.0,,0.0
1981, 12.3, 18.2,,3.5,,4.1,,1.4,,0.0,,0.0,,0.0,,0.0,
1982, 13.8,,8.4,,6.2,,3.3,,1.8,,0.0,,0.0,,0.0,,0.0
1983,,4.2, 19.5,,4.2,,5.3,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 13.3, 11.8,,7.1,,7.4,,1.6,,0.0,,0.0,,0.0,,0.0,
1985, 24.0, 15.1, 12.9,,3.0,,0.1,,0.0,,0.0,,0.0,,0.0,,0.2
1986, 13.8, 24.4,,9.0,,6.5,,0.0,,0.0,,0.0,,0.0,,0.4,
