year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862, 68.1, 22.7,103.1, 65.0, 84.1, 74.2, 75.0, 67.1, 75.6,116.9, 31.1, 71.4,, ---, 252.2, 216.3, 223.6
1863,101.7, 23.9, 33.3, 33.4, 39.3, 96.5, 30.4, 78.8, 90.3,105.5, 76.0, 57.6, 197.0, 106.1, 205.7, 271.8, 766.9
1864, 42.0, 50.9, 75.3, 36.6, 51.2, 46.6, 24.3, 35.0, 74.2, 56.8, 84.3, 62.8, 150.5, 163.1, 105.9, 215.2, 640.0
1865, 88.3, 68.1, 41.5, 24.3, 78.9, 38.4, 79.3,115.7, 11.7,164.1, 84.9, 51.7, 219.2, 144.8, 233.4, 260.6, 846.9
1866,103.2, 96.4, 60.9, 48.2, 41.3, 72.5, 72.6, 91.9,145.3, 55.6, 78.8, 81.5, 251.3, 150.4, 237.1, 279.6, 948.2
1867, 99.5, 58.3, 71.9, 81.7, 66.1, 40.7, 96.4, 62.5, 63.8, 81.6, 29.0, 62.3, 239.3, 219.6, 199.6, 174.4, 813.7
1868, 95.2, 50.7, 66.5, 57.9, 36.1, 17.2, 18.6, 99.4, 79.1, 85.1, 57.5,167.5, 208.2, 160.4, 135.3, 221.7, 830.8
1869, 98.5, 79.2, 50.3, 45.1,106.2, 32.8, 21.0, 40.1,122.1, 61.1, 76.3,114.4, 345.1, 201.6,,93.9, 259.5
1870, 57.5, 53.4, 48.6, 20.2, 36.7, 32.2, 33.7, 51.5, 46.7,138.1, 60.6, 81.5, 225.2, 105.5, 117.4, 245.4, 660.5
1871, 53.6, 58.3, 39.1, 89.1, 29.5, 77.3,108.4, 40.3,132.9, 72.2, 36.5, 59.5, 193.4, 157.8, 226.1, 241.6, 796.8
1872,128.6, 80.1, 74.8, 68.7, 62.9, 95.8,112.5, 77.3, 92.3,130.3,128.7,123.5, 268.2, 206.4, 285.6, 351.3,1175.5
1873, 99.0, 46.9, 68.6, 23.2, 55.6, 55.1, 76.1, 91.6, 64.0, 83.7, 66.5, 23.1, 269.4, 147.3, 222.7, 214.2, 753.3
1874, 69.7, 53.9, 39.9, 43.7, 34.3, 34.4, 41.5, 81.8, 98.3,100.7, 84.4, 82.1, 146.8, 117.9, 157.7, 283.4, 764.8
1875,106.9, 40.4, 24.9, 34.4, 51.1, 80.1,130.7, 59.4, 86.6,139.7,130.2, 44.4, 229.4, 110.4, 270.2, 356.5, 928.8
1876, 42.7, 86.5, 92.3, 78.0, 20.9, 56.3, 44.3, 75.2,126.3, 60.4, 99.3,177.3, 173.7, 191.2, 175.7, 286.0, 959.6
1877,136.6, 65.0, 70.3, 82.9, 69.5, 40.3, 96.0,118.6, 65.1, 77.8,127.3, 68.0, 378.8, 222.7, 254.9, 270.2,1017.2
1878, 63.1, 44.2, 37.0, 63.0,116.9, 70.3, 33.6,139.3, 64.9, 89.6,103.0, 60.4, 175.3, 216.9, 243.2, 257.6, 885.3
1879, 63.6, 90.4, 31.8, 67.7, 71.0,125.2,109.2,131.8, 83.1, 35.3, 32.9, 36.6, 214.3, 170.6, 366.2, 151.3, 878.6
1880, 14.7, 79.9, 44.6, 54.8, 36.2, 78.4,136.4, 37.8,111.8,141.7, 83.2,103.4, 131.3, 135.6, 252.7, 336.6, 923.0
1881, 32.7, 95.4, 73.7, 30.5, 43.1, 67.8, 70.3,131.6, 65.4, 80.0, 97.2, 92.3, 231.5, 147.3, 269.7, 242.7, 880.1
1882, 56.4, 57.2, 50.5,102.5, 48.3,102.2,103.3, 71.2, 73.1,146.1,113.4,106.9, 205.8, 201.4, 276.8, 332.6,1031.1
1883, 88.9, 95.5, 36.3, 43.0, 46.3, 80.9, 85.9, 42.5,127.9, 86.3,100.8, 44.3, 291.3, 125.5, 209.3, 315.0, 878.6
1884, 95.7, 57.9, 61.2, 43.4, 34.3, 41.6, 90.2, 42.3, 61.0, 44.9, 46.9, 87.6, 197.8, 138.9, 174.1, 152.8, 707.0
1885, 61.0, 83.7, 45.4, 57.3, 70.8, 55.5, 22.9, 51.7,112.2,131.8, 86.6, 36.5, 232.3, 173.5, 130.2, 330.6, 815.4
1886,108.9, 22.3, 70.6, 56.0,110.8, 29.3, 93.8, 47.3, 61.6,121.8, 84.9,125.6, 167.7, 237.4, 170.4, 268.2, 932.8
1887, 65.8, 23.6, 45.1, 36.2, 48.5, 18.5, 35.6, 49.7, 82.6, 63.3, 79.7, 59.9, 214.9, 129.8, 103.8, 225.6, 608.3
1888, 32.6, 36.3, 88.5, 51.8, 32.2, 63.1,143.8, 72.0, 33.9, 41.1,139.6, 64.1, 128.8, 172.6, 279.0, 214.5, 799.1
1889, 34.0, 53.7, 72.5, 74.2, 80.0, 24.6, 74.1, 90.1, 53.5,112.5, 36.1, 54.4, 151.9, 226.7, 188.9, 202.2, 759.9
1890, 93.6, 25.4, 54.8, 40.8, 58.4, 70.8, 83.8, 89.6, 40.7, 46.9,100.5, 30.5, 173.3, 154.0, 244.2, 188.1, 735.8
1891, 58.7,,3.4, 52.6, 40.3, 75.0, 49.0, 78.9,139.1, 60.9,151.0, 82.3,117.7,,92.6, 168.0, 267.0
1892, 46.2, 54.3, 28.4, 33.3, 58.1, 75.6, 60.7, 95.5, 80.0,130.3, 60.7, 41.5, 218.3, 119.8, 231.9, 271.0, 764.8
1893, 52.7, 97.1, 15.3,,8.8, 42.7, 34.9, 91.6, 57.4, 53.8, 81.1, 66.6, 83.6, 191.3,,66.8, 183.9
1894, 78.2, 80.6, 45.7, 52.8, 60.4, 68.4, 94.3, 80.0, 44.2,106.4,103.3, 70.3, 242.4, 159.0, 242.8, 253.8, 884.7
