year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 15.6, 16.7,,4.3,,2.8,,0.6,,0.0,,0.0,,0.0,,0.0,
1961, 15.6,,3.7,,3.3,,2.0,,0.5,,0.0,,0.0,,0.0,,0.0
1962, 10.6, 10.6, 22.1,,4.7,,0.7,,0.6,,0.0,,0.0,,0.0,,2.0
1963, 26.4, 27.9,,9.3,,2.4,,0.3,,0.0,,0.0,,0.0,,0.0,
1964, 13.9, 11.6, 10.9,,1.3,,0.0,,0.0,,0.0,,0.0,,0.3,,3.3
1965, 16.5, 11.6, 15.3,,4.2,,1.3,,0.0,,0.0,,0.0,,0.0,,0.2
1966, 16.2, 11.3,,6.8,,6.0,,0.4,,0.0,,0.0,,0.0,,0.0,
1967, 12.5,,6.9,,3.6,,3.6,,2.3,,0.0,,0.0,,0.0,,0.0
1968, 15.0, 22.0,,8.1,,9.9,,1.8,,0.0,,0.0,,0.0,,0.0,
1969,,9.8, 20.9, 16.9,,9.0,,0.4,,0.1,,0.0,,0.0,,0.1,
1970, 12.4, 17.5, 18.3, 11.3,,0.1,,0.0,,0.0,,0.0,,0.0,,0.7,
1971, 10.6, 10.3, 11.2,,5.3,,1.7,,0.1,,0.0,,0.0,,0.0,,1.9
1972, 11.3,,8.8,,8.0,,1.2,,0.2,,0.0,,0.0,,0.0,,0.4
1973,,9.8, 13.0,,9.6,,6.4,,1.7,,0.0,,0.0,,0.0,,0.0
1974,,6.8,,8.1,,8.3,,5.2,,1.2,,0.2,,0.0,,0.0,
1975,,7.1, 10.4, 12.0,,5.8,,2.2,,0.3,,0.0,,0.0,,0.1,
1976, 10.9,,8.9, 13.2,,4.9,,0.1,,0.0,,0.0,,0.0,,0.1,
1977, 17.3,,8.2,,5.4,,6.6,,1.9,,0.1,,0.0,,0.0,,0.0
1978, 18.0, 17.9,,6.4,,7.1,,0.1,,0.1,,0.0,,0.0,,0.0,
1979, 26.4, 22.8, 12.8,,4.9,,5.2,,0.0,,0.0,,0.0,,0.5,,0.6
1980, 19.1,,6.4, 12.1,,3.9,,1.6,,0.0,,0.0,,0.0,,0.0,
1981, 14.6, 17.6,,5.9,,4.7,,2.1,,0.0,,0.0,,0.0,,0.0,
1982, 15.3, 10.0,,7.9,,4.0,,2.2,,0.0,,0.0,,0.0,,0.0,
1983,,6.0, 20.7,,4.7,,8.4,,0.1,,0.0,,0.0,,0.0,,0.1
1984, 17.8, 13.6,,8.1,,9.0,,2.5,,0.0,,0.0,,0.0,,0.0,
1985, 24.1, 17.4, 14.1,,3.3,,0.2,,0.0,,0.0,,0.0,,0.0,,0.1
1986, 16.1, 24.2, 10.7,,8.1,,0.1,,0.0,,0.0,,0.0,,0.7,,0.2
1987, 20.4, 15.7, 16.6,,0.8,,1.1,,0.0,,0.0,,0.0,,0.2,,2.3
1988,,8.1,,9.9,,9.9,,5.1,,0.2,,0.0,,0.0,,0.0,
1989,,4.6,,8.2,,7.4,,6.7,,0.4,,0.1,,0.0,,0.0,
1990,,4.3,,4.0,,5.0,,7.2,,0.1,,0.0,,0.0,,0.0,
1991, 18.9, 19.0,,4.5,,5.3,,0.7,,0.3,,0.0,,0.0,,0.1,
1992, 16.1,,8.4,,3.4,,2.2,,0.6,,0.0,,0.0,,0.0,,0.0
1993,,8.6,,6.8,,9.0,,1.9,,0.6,,0.0,,0.0,,0.0,
1994, 11.6, 17.0,,3.7,,3.8,,0.7,,0.0,,0.0,,0.0,,0.0,
1995, 15.7,,6.5, 15.7,,6.5,,2.5,,0.0,,0.0,,0.0,,0.3,
