year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 11.5,,1.1, 12.5,,9.7, 12.3,,6.0, 13.4, 19.1, 10.8, 16.4, 14.5, 15.7,, ---
1892,,9.6, 13.8,,8.5,,7.6, 14.3, 15.1,,8.0, 11.2, 11.1, 20.1,,9.8,
1893, 11.9, 14.6,,3.7,,3.2,,8.5,,7.3, 12.9, 12.6, 10.5, 10.0, 16.7, 12.7,
1894, 16.8, 13.3,,7.6, 10.8, 15.0, 12.7, 13.7, 15.0,,6.3, 19.3,,9.5, 12.1,,42.8
1895, 20.8,,5.5, 14.1,,8.6,,5.9,,8.8, 15.4, 13.9,,5.1, 16.1, 17.1, 12.5
1896,,7.5,,4.7, 15.3,,9.2,,4.3, 12.6,,9.5, 12.6, 16.8, 21.8,,8.4
1897, 13.9, 11.1, 17.9, 11.7,,8.4, 12.6,,6.2, 16.1, 12.4,,5.6, 12.3, 13.9,,44.8
1898,,6.2, 10.4, 10.8, 11.8, 12.7, 11.4,,5.6, 13.0,,3.3, 14.4, 13.4, 12.1,,30.5
1899, 17.5,,9.1, 10.6, 15.3, 15.3,,8.0, 10.5,,5.6, 14.7,,9.5,,9.9, 14.7
1900, 18.3, 18.4,,8.6,,8.9,,8.1, 15.3, 10.9, 15.9,,5.8, 17.1, 20.3, 15.1,
1901, 11.5, 12.4, 15.2, 11.9,,8.2,,9.3,,9.4,,9.3,,7.7, 13.3,,9.0
1902,,7.8,,9.6,,9.1,,8.4, 16.6, 12.6, 12.5, 13.7,,8.5, 16.9,,9.1
1903, 13.7,,8.9, 16.0, 11.4, 12.0,,7.9, 14.1, 14.9, 13.5, 24.5, 12.1, 10.7,,35.3,
1904, 12.5, 17.8, 12.8, 10.4, 11.6,,6.4, 10.9, 11.7,,8.0,,6.0,,9.6, 11.8,
1905,,5.3,,8.9, 14.3, 16.2,,5.1,,7.8,,6.4, 16.4, 11.9, 14.7, 17.5,
1906, 15.5, 11.6, 12.6,,7.2, 15.2,,8.6,,7.3, 13.4,,5.0, 19.3, 14.2, 13.8,
1907,,5.7,,8.9, 10.2, 12.2, 16.0, 16.1, 12.1, 12.0,,3.7, 19.5, 12.1, 15.1,,28.3
1908,,8.5, 10.6, 17.0, 14.1, 12.0,,5.8, 11.2, 12.5, 12.7,,8.7,,9.0, 10.6,
1909,,9.0,,6.7, 18.4, 12.8,,8.1, 10.4, 14.9, 12.2, 11.3, 17.9,,6.9, 16.9,
1910, 14.5, 16.4,,5.1, 14.0, 13.2,,9.8, 12.2, 15.5,,4.2, 11.5, 13.6, 15.2,,47.7
1911,,9.0,,9.1, 13.6, 10.1,,6.6, 10.0,,4.9, 10.3,,9.4, 13.5, 17.3, 20.1
1912, 17.2, 12.9, 15.5,,1.8,,9.9, 20.7, 15.2, 19.9,,7.6, 13.0, 11.9, 13.2,,50.1
1913, 15.1,,6.2, 17.0, 12.8,,9.8,,9.1,,5.5,,6.9,,9.6, 11.7, 14.6
1914,,9.8, 11.3, 16.1,,6.3,,9.5,,8.4, 10.6,,9.8,,7.2, 10.1, 18.2
1915, 16.1, 17.0, 10.7,,6.9,,7.1,,3.9, 17.2, 14.1,,6.0,,8.6, 10.5, 21.4
1916,,9.3, 18.7, 19.5, 10.1, 11.7, 12.5, 12.3, 11.8,,7.3, 18.4, 13.0, 15.6,,49.4,
1917, 15.6,,5.5, 12.7, 12.9,,8.5,,9.5,,7.0, 21.1,,6.9, 15.6, 10.2, 11.7
1918, 11.8, 11.0,,7.9,,9.5,,9.6,,5.5, 15.2,,9.5, 21.4, 13.1,,9.4
1919, 17.7, 10.2, 13.8, 11.1,,6.5,,9.1,,9.5,,9.4,,8.8, 12.5, 19.9, 18.9
1920, 15.2,,7.4, 13.1, 19.8, 11.7,,6.1, 18.8,,8.0, 10.2,,7.0,,7.3, 16.8
1921, 15.1,,1.6, 10.5,,8.8, 11.0,,3.7,,8.1, 16.4,,4.7,,7.1,
1922, 16.3, 12.4, 14.8, 12.0,,6.4,,9.2, 16.6, 12.6, 12.4, 12.8,,7.7, 14.2,,42.2
1923, 10.0, 19.6,,9.5, 10.0, 12.6,,6.0, 11.9, 16.3, 12.8, 15.2, 16.0, 15.4,,43.8,
1924, 10.9,,8.9,,4.5, 10.1, 19.1, 10.5, 15.8, 14.2, 13.4, 13.9,,9.6, 13.6,,35.2
1925,,9.0, 15.8, 10.0, 14.8, 16.7,,1.2,,8.1, 12.2, 12.8, 13.1, 13.3, 14.2,,38.4
1926, 16.5, 12.8,,6.4, 10.3, 14.7, 13.8, 10.1, 13.1,,9.3, 13.3, 18.2,,6.2,,43.4
1927, 13.1,,9.2, 14.2, 13.0,,8.7, 14.0, 11.4, 17.4, 15.6, 11.3, 15.6, 11.2,,28.6,
1928, 19.5, 10.7, 15.9,,8.4,,9.7, 15.3,,6.3, 15.0,,6.2, 15.8, 16.7, 11.9,
1929, 12.3,,7.3,,1.7,,7.4,,9.1,,9.6,,8.1, 13.5,,4.0, 13.3
1930, 15.7,,7.9, 11.0, 14.8, 10.0,,8.3, 14.1, 15.5, 15.3, 13.6, 13.7, 12.1,,43.7,
1931, 14.1, 14.7,,6.1, 16.4, 12.3, 13.6, 17.3, 12.1,,9.4,,8.1, 13.3,,8.0,
1932,,8.6,,6.7,,9.7, 16.5, 17.7,,3.6, 14.5,,6.6, 13.2, 20.1, 10.3,
1933, 10.6, 14.1, 10.9,,8.0, 12.2, 10.2, 10.7,,5.9,,6.9, 13.3, 13.9,,8.5,
1934, 11.9,,3.3, 13.3, 14.1,,7.9,,9.1,,8.5, 12.2,,9.8, 15.4, 10.8, 20.1
1935, 11.7, 12.7,,6.5, 14.7,,4.4, 16.4,,4.5,,7.3, 13.8, 17.1, 18.9, 13.5,
