year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 33.1, 47.7, 85.0,112.4,207.5,181.2,125.3,177.8,134.3,111.7, 42.6, 29.2,, ---, 405.0, 484.4, 288.6
1920, 49.7, 82.3,104.7, 93.7,186.7,204.9,116.9,119.2,102.8,100.9, 47.6, 30.0, 161.3, 385.1, 440.9, 251.2,1239.4
1921, 29.9, 62.8,105.6,179.4,225.7,210.5,195.9,131.5,156.3,122.0, 62.7, 44.6, 122.8, 510.7, 537.9, 341.0,1526.9
1922, 34.6, 71.5, 82.4,157.0,213.7,210.0,129.6,134.6, 83.0,103.1, 72.8, 33.7, 150.7, 453.1, 474.1, 258.9,1325.8
1923, 56.1, 36.6, 94.5,130.2,153.4,139.4,174.8,173.8,149.7, 96.6, 68.6, 41.8, 126.4, 378.1, 487.9, 315.0,1315.6
1924, 43.4, 46.5,126.8,133.2,134.4,163.7,171.3,129.3,120.0, 90.8, 47.9, 32.3, 131.6, 394.4, 464.3, 258.7,1239.4
1925, 39.6, 65.5, 98.8,135.1,151.6,209.7,177.9,127.8,110.6, 95.0, 72.7, 46.6, 137.3, 385.4, 515.4, 278.3,1330.8
1926, 34.0, 44.1,107.9,109.1,182.7,154.4,173.1,192.2,135.4,114.5, 49.2, 52.4, 124.6, 399.7, 519.7, 299.1,1348.8
1927, 38.0, 54.4,104.3,149.4,143.0,179.3,133.2,137.4, 98.5, 90.3, 58.9, 23.1, 144.8, 396.8, 449.8, 247.7,1209.8
1928, 48.6, 82.6, 66.2,127.4,136.7,183.1,234.9,163.6,149.3,100.0, 60.5, 42.9, 154.3, 330.3, 581.6, 309.8,1395.9
1929, 31.8, 33.9,157.4,147.8,200.7,181.1,186.0,151.5,163.0,111.4, 61.9, 49.4, 108.7, 505.9, 518.6, 336.3,1476.0
1930, 52.9, 46.1, 98.5, 93.7,154.4,203.0,152.8,181.2, 99.6,116.7, 76.9, 27.9, 148.4, 346.5, 537.0, 293.2,1303.6
1931, 64.5, 52.9,137.0,120.5,169.3,144.2,119.8,155.9, 86.0,134.2, 46.4, 44.2, 145.3, 426.8, 419.9, 266.6,1275.0
1932, 65.3, 71.3, 97.0,135.1,101.2,180.3,126.5,138.8,139.4, 84.3, 38.9, 41.9, 180.8, 333.3, 445.6, 262.6,1220.0
1933, 42.1, 71.2,152.7,117.4,120.9,228.1,210.5,206.4,152.7, 80.7, 44.4, 29.5, 155.2, 391.0, 645.0, 277.9,1456.5
1934, 60.2, 95.5, 95.8,114.3,177.3,170.8,240.4,165.2,151.9, 90.8, 40.9, 18.8, 185.3, 387.4, 576.3, 283.6,1421.8
1935, 44.3, 47.4,102.0,128.8,209.2,176.9,246.2,181.8,136.0, 82.7, 45.4, 47.2, 110.4, 440.0, 604.9, 264.2,1448.0
1936, 45.8, 71.7, 59.8,174.0,162.3,180.0,136.9,177.1, 95.0,102.5, 56.9, 50.3, 164.7, 396.1, 493.9, 254.4,1312.2
1937, 38.7, 75.5, 82.3, 76.3,161.3,158.8,122.5,151.0,128.3, 68.3, 53.9, 28.6, 164.5, 319.9, 432.3, 250.5,1145.3
1938, 50.7, 57.2,115.6,138.8,164.8,183.7,141.4,143.8,104.9,101.4, 72.2, 39.3, 136.6, 419.3, 469.0, 278.5,1314.1
