year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,2.4,,1.2,,1.6,,2.3,,5.1,,7.6, 10.4, 10.5,,8.8,
1885, -0.3,,1.1, -0.1,,2.5,,3.5,,7.9,,9.8,,8.6,,6.6,
1886, -1.6, -1.9, -0.2,,2.1,,4.6,,7.3,,9.9, 10.2,,8.5,,7.1,
1887, -1.4, -0.3,,0.2,,1.0,,4.2,,8.7, 10.9,,9.1,,6.8,,2.8
1888, -0.1, -1.1, -0.9,,1.6,,4.4,,6.9,,8.3,,8.7,,6.9,,3.3
1889, -0.2, -1.0,,0.0,,2.5,,6.8,,9.0,,9.2,,9.8,,7.5,
1890,,1.3,,0.0,,1.7,,1.5,,5.6,,8.4,,9.2,,9.1,
1891, -2.4, -0.4, -0.4,,0.9,,3.6,,8.1,,9.6,,9.4,,8.6,,4.6
1892, -1.7, -1.0, -2.1,,0.6,,5.2,,7.2,,8.5,,9.6,,7.0,,2.7
1893, -1.2,,0.1,,1.0,,2.3,,6.2,,8.6, 10.1, 11.4,,7.2,,4.6
1894, -0.9, -0.1,,0.5,,3.5,,3.5,,7.7, 10.3,,9.2,,6.9,,4.3
1895, -3.7, -5.5,,0.7,,2.7,,5.2,,7.7,,9.6, 10.5,,8.9,,2.3
1896,,1.0,,0.4,,1.5,,3.6,,5.1,,9.7, 10.0,,9.2,,8.4
1897, -1.6,,1.3,,2.0,,1.7,,3.8,,8.8,,9.6, 10.6,,6.6,
1898,,2.8,,0.1, -0.3,,2.9,,5.5,,7.6,,8.6, 10.2,,9.1,
1899,,0.4, -0.0, -0.3,,2.5,,3.9,,8.2, 11.3, 10.7,,7.7,,3.7,
1900,,0.5, -2.0, -0.3,,2.6,,5.0,,8.8, 11.5,,9.6,,8.0,,4.3
1901, -0.2, -1.3,,0.5,,2.3,,5.0,,7.5, 11.5, 10.1,,8.8,,4.3,
1902,,0.9, -2.6,,1.7,,1.9,,3.4,,7.6,,8.8,,8.2,,7.8
1903,,0.3,,2.6,,2.2,,1.0,,4.9,,7.1,,9.6,,8.9,
1904,,0.3, -0.4,,0.1,,3.6,,5.3,,7.7, 10.7,,9.5,,7.5,
1905, -0.0,,0.7,,1.8,,2.1,,4.8,,8.4, 11.2,,9.5,,7.7,
1906,,1.5, -1.3,,0.3,,0.5,,5.2,,8.2,,9.6, 10.6,,8.0,
1907, -0.3, -1.4,,0.7,,2.5,,5.0,,7.5,,8.4,,8.8,,7.3,
1908, -1.2,,0.9, -0.2,,1.3,,6.5,,7.7, 10.1,,8.9,,8.1,,7.4
1909, -0.6, -1.0, -0.7,,2.3,,4.2,,6.7,,9.5,,9.9,,7.1,,5.6
1910, -0.8,,0.5,,1.3,,1.7,,5.0,,8.6,,9.1, 10.2,,7.5,
1911,,0.5,,0.7,,1.2,,3.0,,6.4,,8.0, 10.5, 11.6,,7.5,
1912, -0.1,,0.9,,2.7,,2.5,,5.9,,8.9, 10.6,,8.2,,6.6,
1913,,0.1,,0.5,,1.1,,3.0,,5.8,,8.2,,9.2,,9.0,
1914,,0.2,,2.5,,1.4,,3.3,,5.0,,8.0, 10.5, 10.2,,7.4,
1915,,0.5, -0.1,,0.6,,2.1,,4.2,,7.4,,9.2,,9.7,,7.8
1916,,3.3, -0.2, -0.4,,2.6,,5.6,,6.6,,9.6, 10.5,,7.7,,5.4
1917, -0.5, -2.6, -1.4, -0.2,,5.6,,8.4,,9.9, 11.0,,8.9,,2.4,,4.1
1918, -0.7,,2.2,,1.1,,2.1,,6.6,,7.0,,9.4, 10.6,,6.7,
1919, -0.6, -1.6, -0.9,,2.1,,6.1,,8.1,,8.5,,9.5,,7.1,,2.8
1920,,0.5,,1.1,,2.0,,3.3,,5.7,,8.1,,9.4,,8.5,
1921,,2.7,,0.9,,2.4,,2.4,,5.1,,7.6, 10.8, 10.1,,8.4,
1922, -0.6, -0.2,,0.5,,0.3,,6.3,,7.6,,8.3,,8.4,,7.2,
1923,,1.8,,1.5,,2.0,,2.4,,3.7,,7.1, 11.6,,9.4,,7.1
1924,,0.4,,0.2, -1.8,,1.4,,5.9,,8.2,,9.8,,8.9,,8.8
