year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 15.9, 17.1,,4.7,,2.7,,0.4,,0.0,,0.0,,0.0,,0.0,
1961, 15.9,,3.7,,2.9,,2.1,,0.5,,0.0,,0.0,,0.0,,0.0
1962, 10.0, 10.4, 22.1,,4.6,,0.5,,0.6,,0.0,,0.0,,0.0,,1.9
1963, 26.9, 27.7,,9.2,,2.2,,0.2,,0.0,,0.0,,0.0,,0.0,
1964, 13.3, 11.6, 11.8,,2.0,,0.0,,0.0,,0.0,,0.0,,0.3,,2.6
1965, 16.6, 12.1, 14.9,,4.1,,1.4,,0.0,,0.0,,0.0,,0.0,,0.1
1966, 16.4, 11.1,,6.2,,6.7,,0.3,,0.0,,0.0,,0.0,,0.0,
1967, 11.6,,7.3,,3.4,,3.2,,2.3,,0.0,,0.0,,0.0,,0.0
1968, 14.1, 22.7,,8.1, 10.2,,1.6,,0.0,,0.0,,0.0,,0.0,,0.0
1969,,9.6, 20.9, 18.1,,8.9,,0.6,,0.0,,0.0,,0.0,,0.0,
1970, 12.5, 17.3, 18.0, 10.6,,0.0,,0.0,,0.0,,0.0,,0.0,,0.7,
1971,,9.8,,9.2, 11.1,,4.9,,1.4,,0.1,,0.0,,0.0,,0.0
1972, 10.9,,8.4,,7.8,,1.2,,0.2,,0.0,,0.0,,0.0,,0.4
1973,,9.7, 12.3,,9.3,,6.2,,1.5,,0.0,,0.0,,0.0,,0.0
1974,,6.4,,7.6,,8.3,,4.7,,1.1,,0.1,,0.0,,0.0,
1975,,6.3, 10.8, 12.4,,6.1,,2.1,,0.3,,0.0,,0.0,,0.1,
1976, 10.3,,9.3, 13.7,,4.6,,0.1,,0.0,,0.0,,0.0,,0.1,
1977, 17.6,,8.1,,5.3,,6.0,,1.7,,0.1,,0.0,,0.0,,0.0
1978, 16.7, 17.7,,6.3,,7.0,,0.1,,0.1,,0.0,,0.0,,0.0,
1979, 26.9, 22.4, 12.9,,5.0,,4.9,,0.0,,0.0,,0.0,,0.5,,0.4
1980, 19.0,,6.4, 12.4,,3.8,,1.3,,0.0,,0.0,,0.0,,0.0,
1981, 14.4, 18.0,,5.7,,4.9,,1.7,,0.0,,0.0,,0.0,,0.0,
1982, 15.1, 10.1,,7.0,,4.0,,2.2,,0.0,,0.0,,0.0,,0.0,
