year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 11.4,,1.6, 12.3, 10.2, 14.4,,7.1, 13.3, 20.4, 13.2, 17.7, 15.2, 17.4,, ---,
1892, 13.6, 13.7,,7.6,,8.4, 15.7, 15.5,,9.1, 13.2, 14.2, 19.7, 12.1, 10.5,,44.6
1893, 12.1, 16.7,,4.9,,3.9,,9.3,,8.2, 14.7, 13.7, 13.1, 12.6, 15.2, 15.6,
1894, 18.5, 15.9,,9.1, 12.6, 15.9, 13.2, 14.3, 16.2,,5.4, 16.8, 11.4, 13.1,,50.0,
1895, 19.9,,4.9, 15.0,,9.9,,5.7,,8.8, 16.7, 15.6,,6.0, 16.2, 17.3, 13.9
1896,,8.8,,6.4, 17.5, 11.0,,3.8, 13.5, 10.3, 13.3, 19.9, 20.5,,8.1, 20.1,
1897, 12.8, 12.8, 19.5, 12.9,,9.6, 12.5,,7.4, 18.0, 13.0,,6.8, 12.4, 15.9,,45.8
1898,,8.4, 13.8, 10.4, 12.3, 13.7, 12.1,,5.9, 14.0,,5.1, 15.3, 13.6, 15.2,,38.1
1899, 17.8,,9.5, 10.7, 16.2, 15.3,,8.2, 10.6,,7.4, 16.1, 10.0, 10.4, 14.5,,42.4
1900, 20.0, 17.0,,7.7, 10.2,,8.6, 15.6, 12.2, 15.9,,7.8, 18.6, 19.5, 18.1,,51.5
1901, 12.8, 11.8, 13.8, 12.7,,8.5, 10.3,,9.3, 11.9,,8.9, 14.7,,9.6, 18.5,
1902, 10.6,,9.5, 12.3,,9.6, 17.6, 12.0, 12.8, 14.8,,9.9, 17.5, 10.8, 13.5,,38.6
1903, 14.8, 12.3, 18.3, 11.1, 13.3,,8.0, 14.2, 17.2, 14.5, 26.5, 14.2, 11.5,,40.6,,42.7
1904, 15.5, 17.5, 12.9, 13.3, 12.7,,7.5, 10.6, 13.6,,8.1,,6.9, 10.7, 12.8,,44.5
1905,,8.9, 11.2, 16.6, 16.4,,5.2,,7.4,,8.0, 16.8, 12.2, 13.4, 17.5,,6.5
1906, 17.4, 13.2, 12.4,,8.2, 16.5,,9.0,,9.7, 14.9,,5.4, 21.2, 15.3, 16.5,
1907,,7.6, 10.3, 11.8, 12.6, 16.6, 19.4, 13.5, 13.8,,3.5, 20.7, 13.6, 15.4,,34.4,
1908, 10.1, 12.8, 17.1, 14.0, 14.5,,6.7, 11.9, 13.5, 13.8,,8.5, 11.0, 13.2,,38.4,
1909, 10.8,,6.9, 16.9, 13.3,,9.5, 11.2, 16.9, 13.8, 11.5, 18.6,,8.0, 18.9,,31.0
1910, 16.7, 19.6,,6.0, 15.5, 14.0, 10.8, 12.4, 17.0,,4.0, 10.6, 15.3, 17.8,,55.2,
1911,,9.1, 11.6, 12.5, 11.0,,7.0, 10.4,,5.2, 10.3,,9.9, 13.2, 17.6, 22.1,
1912, 17.2, 12.9, 18.8,,2.7, 10.7, 21.3, 15.0, 21.3,,8.0, 12.8, 12.9, 16.7,,52.2,
1913, 15.8,,7.9, 18.9, 14.3, 11.7, 10.4,,6.5,,7.4,,9.4, 12.5, 17.4,,9.8
1914, 11.2, 13.2, 18.7,,7.4, 10.8,,9.1, 12.4, 10.9,,8.6,,9.9, 18.4, 21.9,
1915, 16.5, 17.3, 10.9,,9.3,,7.7,,5.3, 17.4, 15.1,,5.4,,8.0,,9.0
1916, 12.8, 19.7, 17.6, 11.5, 11.9, 13.0, 12.4, 12.2,,8.3, 20.9, 14.7, 16.2,,54.6,,41.0
1917, 13.9,,6.7, 12.9, 12.9, 10.0, 10.5,,6.8, 22.4,,8.6, 18.4, 13.2, 12.3,,36.8
1918, 13.6, 13.7,,8.2,,9.1, 10.0,,7.9, 16.3, 11.8, 23.9, 14.7, 10.8, 19.2,,39.6
1919, 18.4,,8.9, 14.4, 12.7,,7.5, 10.3,,9.6, 11.0, 10.6, 11.4, 17.9, 20.9,,46.5
1920, 17.8, 10.3, 15.7, 21.8, 14.6,,8.4, 21.0,,9.2, 10.6,,7.6,,8.6, 16.5,
1921, 18.7,,1.8, 14.6,,8.6, 11.9,,3.7,,8.7, 17.8,,5.8,,9.2, 10.1
1922, 17.9, 14.8, 13.9, 13.6,,7.9, 10.5, 17.6, 14.8, 13.7,,9.8,,9.3, 16.6,,49.9
1923, 13.3, 20.8,,9.9, 11.1, 14.6,,7.2, 13.9, 18.7, 15.0, 18.5, 16.1, 16.9,,50.8,
1924, 13.4,,9.0,,5.4, 10.9, 20.9, 11.8, 17.3, 16.9, 16.4, 14.5, 10.4, 16.3,,39.3,
1925, 10.7, 18.3, 10.0, 15.6, 18.1,,1.2,,8.3, 14.4, 14.9, 14.7, 11.9, 15.1,,45.4,
1926, 17.9, 13.8,,8.1, 10.8, 15.6, 13.3, 11.0, 14.7, 12.1, 13.1, 18.6,,7.8,,46.8,
1927, 17.0, 10.4, 15.5, 14.1,,9.1, 14.8, 13.7, 18.8, 17.2, 13.2, 14.9,,9.4,,35.2,
