year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 32.0, 48.4, 87.7,111.6,208.0,184.6,136.6,166.6,131.5,106.7, 39.4, 26.1,, ---, 407.3, 487.8, 277.6
1920, 42.4, 71.8, 92.8, 85.6,171.7,190.6,107.6,113.6,102.2, 98.7, 43.8, 27.5, 140.3, 350.1, 411.8, 244.8,1148.4
1921, 24.8, 58.0, 93.7,178.9,217.1,216.8,194.3,129.1,151.7,107.6, 58.3, 36.7, 110.2, 489.6, 540.2, 317.6,1467.0
1922, 34.0, 62.2, 84.6,151.2,200.0,201.9,132.1,124.7, 79.9, 99.7, 63.1, 26.5, 133.0, 435.9, 458.7, 242.8,1260.0
1923, 45.7, 36.8, 94.1,129.5,154.1,137.0,161.4,154.9,137.5, 87.8, 60.5, 36.5, 108.9, 377.7, 453.3, 285.8,1235.7
1924, 36.8, 43.1,123.4,127.4,130.0,154.1,157.2,122.6,110.9, 85.6, 47.0, 27.6, 116.5, 380.8, 434.0, 243.5,1165.8
1925, 35.3, 57.5, 94.6,139.1,137.0,221.0,175.2,124.9,111.5, 84.0, 72.6, 42.7, 120.4, 370.7, 521.1, 268.0,1295.3
1926, 28.7, 39.5, 95.7,106.3,170.5,162.9,162.4,182.3,122.7,103.8, 45.4, 44.1, 110.8, 372.5, 507.6, 272.0,1264.4
1927, 31.9, 50.5, 94.2,139.6,145.6,169.9,128.4,128.7, 95.8, 85.3, 56.2, 23.1, 126.5, 379.5, 427.0, 237.3,1149.4
1928, 41.4, 72.5, 62.8,125.3,138.9,177.6,217.6,153.4,139.4, 90.6, 51.5, 34.9, 136.9, 327.0, 548.5, 281.4,1305.7
1929, 31.6, 35.2,160.2,146.2,209.3,194.5,177.7,139.9,154.0,101.2, 48.9, 42.0, 101.8, 515.7, 512.1, 304.1,1440.7
1930, 45.7, 50.3, 92.7, 92.4,155.1,201.5,140.5,165.0, 97.9,102.0, 66.7, 22.0, 138.0, 340.1, 507.0, 266.6,1231.7
1931, 54.4, 45.8,132.5,112.4,165.8,133.1,114.1,155.2, 82.2,122.8, 39.3, 34.5, 122.2, 410.7, 402.4, 244.4,1192.1
1932, 56.5, 66.6, 87.4,129.5,102.4,187.1,119.6,135.1,127.9, 79.0, 33.5, 38.4, 157.7, 319.2, 441.8, 240.3,1162.9
1933, 39.6, 70.3,139.7,111.2,124.3,215.9,197.3,193.5,157.2, 76.0, 43.5, 27.2, 148.3, 375.2, 606.7, 276.7,1395.7
1934, 54.2, 79.8, 87.6,115.7,163.0,178.4,232.7,153.1,142.0, 76.6, 36.7, 15.8, 161.2, 366.2, 564.2, 255.4,1335.6
1935, 41.1, 41.9, 96.4,132.9,230.3,168.1,229.6,180.1,125.9, 69.7, 41.9, 40.1,,98.7, 459.6, 577.8, 237.5
1936, 38.7, 67.6, 51.4,168.7,171.6,164.2,126.7,164.3, 90.0, 93.8, 50.5, 41.7, 146.5, 391.7, 455.2, 234.4,1229.4
1937, 31.7, 65.2, 78.7, 81.2,164.9,148.9,119.7,155.8,122.2, 65.4, 53.4, 27.5, 138.6, 324.8, 424.4, 241.0,1114.6
1938, 41.7, 56.5,106.5,146.1,164.4,172.8,129.7,145.3, 98.1, 87.3, 60.8, 36.2, 125.7, 417.0, 447.8, 246.2,1245.4
1939, 37.1, 65.0, 91.0,160.0,179.0,211.4,134.7,134.6, 95.5, 93.6, 43.3, 32.3, 138.3, 430.0, 480.7, 232.4,1277.6
1940, 45.0, 28.5, 97.2,104.0,204.0,284.2,148.3,154.8,145.6, 64.9, 48.7, 36.4, 105.9, 405.3, 587.3, 259.2,1361.7
1941, 31.2, 59.0, 95.4, 93.1,141.1,193.1,180.6,152.7, 78.7, 87.5, 37.0, 35.6, 126.6, 329.6, 526.4, 203.2,1185.0
1942, 21.2, 45.5, 62.4,202.8,197.0,195.6,169.1,103.0,136.5, 80.4, 41.4, 26.2, 102.3, 462.2, 467.8, 258.2,1281.1
1943, 35.5, 83.7,119.2,149.8,220.4,187.6,204.4,114.9,121.9, 86.2, 59.7, 36.9, 145.4, 489.3, 506.8, 267.7,1419.9
1944, 31.0, 50.5,107.2,127.1,161.8,145.5, 92.6,153.3,114.8, 81.7, 44.4, 36.1, 118.4, 396.1, 391.4, 241.0,1146.1
1945, 48.8, 61.5,107.1,173.3,155.2,172.9,169.5,156.3,102.6, 85.6, 38.1, 32.2, 146.4, 435.6, 498.7, 226.2,1303.0
1946, 34.6, 81.3,103.8,156.3,199.2,173.4,161.5,128.0, 96.1, 66.9, 27.5, 44.8, 148.1, 459.3, 463.0, 190.5,1273.5
1947, 36.0, 35.1, 66.4,134.1,167.6,152.5,145.7,252.1,129.4, 86.6, 85.0, 26.9, 115.9, 368.1, 550.3, 300.9,1317.3
1948, 32.5, 53.7,140.4,162.4,228.4,157.0,161.6,100.9, 94.4, 80.3, 54.7, 40.9, 113.2, 531.2, 419.4, 229.4,1307.2
1949, 45.2, 95.6,105.2,142.7,216.5,239.2,188.0,175.7,129.8, 83.3, 45.7, 38.3, 181.8, 464.4, 602.8, 258.8,1505.2
1950, 25.2, 70.8,112.8,137.0,145.7,221.6,174.2,145.8, 98.7, 90.2, 50.3, 34.3, 134.3, 395.6, 541.6, 239.1,1306.7
