year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,7.2,,6.5,,8.4,,9.9, 14.5, 17.3, 19.0, 20.6, 17.2, 11.5,,7.5,
1885,,3.9,,7.1,,6.7, 10.4, 11.6, 17.1, 19.3, 16.1, 15.0,,9.0,,7.1,
1886,,3.3,,2.9,,5.7,,9.7, 12.3, 15.9, 18.5, 18.5, 15.8, 12.6,,8.1,
1887,,4.0,,6.6,,6.2,,9.6, 12.0, 19.5, 20.9, 18.9, 14.0,,9.4,,6.2
1888,,5.2,,3.5,,4.5,,8.6, 14.0, 15.6, 15.6, 16.6, 14.8, 10.9,,8.7,
1889,,5.3,,4.8,,6.7,,9.0, 15.8, 19.1, 18.0, 17.1, 15.0, 10.5,,8.3,
1890,,7.5,,4.9,,8.5,,9.7, 14.9, 16.5, 16.9, 16.9, 17.9, 12.2,,8.0,
1891,,3.7,,8.0,,5.9,,8.4, 12.2, 17.5, 17.7, 16.5, 17.0, 11.6,,7.1,
1892,,3.7,,4.8,,5.4, 10.9, 14.4, 16.0, 16.3, 17.6, 14.5,,9.1,,8.0,
1893,,4.0,,6.1, 11.0, 13.9, 16.0, 18.9, 18.8, 20.5, 15.5, 12.3,,7.4,,6.8,
1894,,4.7,,6.8, 10.1, 12.5, 11.6, 16.3, 19.2, 16.5, 14.0, 11.1,,9.4,,6.7,
1895,,1.5,,1.0,,7.1, 11.2, 15.8, 18.2, 17.9, 18.8, 19.5,,9.5,,8.9,
1896,,6.4,,6.7,,8.7, 11.6, 15.8, 19.3, 19.3, 16.7, 15.1,,9.0,,6.7,
1897,,2.6,,6.7,,8.0,,9.3, 12.9, 17.6, 19.2, 19.8, 14.6, 12.5,,9.3,
1898,,8.0,,6.5,,6.8, 11.1, 12.5, 16.7, 18.3, 19.2, 18.3, 13.2,,8.7,,8.7
1899,,6.2,,7.2,,8.2, 10.1, 12.7, 19.4, 20.1, 21.0, 15.9, 12.6, 10.7,,3.8,
1900,,5.4,,3.9,,5.7, 11.5, 13.2, 18.0, 20.9, 17.6, 16.9, 12.0,,8.6,,8.7
1901,,5.2,,3.9,,6.3, 12.0, 15.5, 17.6, 21.7, 19.4, 16.7, 12.2,,7.6,,4.7
1902,,6.2,,3.3,,8.9, 10.8, 11.2, 16.4, 17.2, 16.7, 15.8, 11.5,,8.6,,6.3
1903,,5.4,,8.7,,9.1,,9.1, 13.5, 16.3, 17.9, 17.1, 15.7, 11.9,,8.3,
