year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,2.5,,1.2,,1.5,,2.1,,5.1,,7.5, 10.4, 10.5,,8.8,
1885, -0.4,,1.1, -0.3,,2.3,,3.4,,7.7,,9.7,,8.3,,6.5,
1886, -1.7, -1.9, -0.4,,2.1,,4.5,,7.4,,9.9, 10.2,,8.3,,7.0,
1887, -1.4, -0.4, -0.1,,0.8,,4.2,,8.8, 10.9,,9.0,,6.8,,2.9,
1888, -0.1, -1.3, -1.0,,1.6,,4.5,,7.0,,8.4,,8.8,,6.7,,3.4
1889,,0.0, -0.9,,0.1,,2.4,,6.9,,8.9,,9.1,,9.8,,7.5
1890,,1.4, -0.2,,1.7,,1.5,,5.7,,8.4,,9.2,,9.1,,9.7
1891, -2.1, -0.0, -0.5,,0.8,,3.8,,8.2,,9.6,,9.5,,8.7,,4.6
1892, -1.5, -0.8, -2.1,,0.7,,5.3,,7.4,,8.5,,9.7,,7.1,,2.7
1893, -1.1,,0.3,,1.3,,2.6,,6.3,,8.7, 10.2, 11.5,,7.3,,4.8
1894, -0.7,,0.1,,0.7,,3.6,,3.5,,7.9, 10.3,,9.4,,6.7,
1895, -3.8, -5.7,,0.7,,2.7,,5.4,,7.8,,9.6, 10.5,,9.1,,2.3
1896,,1.2,,0.5,,1.5,,3.8,,5.3,,9.8, 10.1,,9.2,,8.4
1897, -1.7,,1.5,,2.0,,1.7,,3.8,,9.0,,9.8, 10.6,,6.6,
1898,,3.1,,0.3, -0.3,,3.0,,5.5,,7.7,,8.8, 10.3,,9.2,
1899,,0.5,,0.0, -0.1,,2.7,,3.9,,8.5, 11.3, 10.8,,7.8,,3.8
1900,,0.7, -2.1, -0.4,,2.6,,4.9,,8.9, 11.6,,9.6,,7.8,,4.6
1901, -0.2, -1.4,,0.5,,2.5,,5.0,,7.6, 11.6, 10.1,,8.7,,4.5,
1902,,1.0, -2.7,,1.9,,1.9,,3.5,,7.8,,8.8,,8.3,,7.7
1903,,0.3,,2.8,,2.4,,1.0,,5.1,,7.2,,9.7,,9.1,
1904,,0.4, -0.5, -0.1,,3.7,,5.3,,7.7, 10.7,,9.5,,7.5,,5.0
1905,,0.2,,0.8,,1.9,,2.2,,4.8,,8.3, 11.2,,9.5,,7.6
1906,,1.7, -1.2,,0.3,,0.7,,5.4,,8.3,,9.5, 10.8,,7.8,
1907,,0.0, -1.4,,0.8,,2.4,,5.0,,7.5,,8.6,,8.9,,7.6
1908, -1.3,,1.2, -0.2,,1.3,,6.7,,7.8, 10.1,,9.0,,8.2,,7.5
1909, -0.4, -0.9, -0.8,,2.4,,4.2,,6.6,,9.6,,9.9,,7.0,,5.7
1910, -0.7,,0.6,,1.4,,1.8,,5.2,,8.6,,9.1, 10.3,,7.4,
1911,,0.6,,0.7,,1.1,,3.0,,6.7,,8.0, 10.7, 11.6,,7.5,
1912, -0.1,,0.9,,2.8,,2.7,,5.9,,8.9, 10.7,,8.3,,6.5,
1913,,0.2,,0.6,,1.2,,3.1,,5.7,,8.3,,9.3,,9.2,
1914,,0.3,,2.7,,1.5,,3.5,,5.0,,8.1, 10.5, 10.2,,7.4,
1915,,0.6, -0.0,,0.6,,2.3,,4.2,,7.4,,9.3,,9.8,,7.7
1916,,3.6, -0.1, -0.4,,2.7,,5.5,,6.7,,9.9, 10.7,,8.0,,5.7
1917, -0.6, -2.7, -1.4,,0.0,,5.8,,8.3,,9.9, 11.0,,9.2,,2.7,
1918, -0.4,,2.6,,1.1,,2.1,,6.6,,7.1,,9.5, 10.7,,6.9,
1919, -0.4, -1.7, -1.0,,2.3,,6.4,,8.2,,8.5,,9.7,,7.2,,2.9
1920,,0.7,,1.4,,2.2,,3.5,,5.9,,8.2,,9.5,,8.7,
1921,,3.0,,1.0,,2.5,,2.4,,5.1,,7.8, 10.9, 10.2,,8.4,
1922, -0.5,,0.0,,0.5,,0.2,,6.3,,7.6,,8.3,,8.5,,7.2
1923,,2.2,,1.5,,2.0,,2.4,,3.7,,7.4, 11.9,,9.6,,7.3
1924,,0.6,,0.2, -1.7,,1.4,,6.1,,8.4, 10.0,,9.1,,8.8,
1925,,1.4,,0.8,,1.0,,2.3,,6.2,,8.3, 10.9, 10.4,,6.5,
1926,,0.8,,2.6,,2.0,,3.9,,4.3,,8.0, 11.6, 10.6,,8.9,
1927,,1.0, -0.0,,2.6,,2.8,,4.6,,6.5, 10.6, 10.5,,7.8,,5.6
1928,,1.0,,1.4,,1.6,,2.9,,4.9,,6.9, 10.1, 10.0,,7.2,
1929, -1.3, -3.3, -0.1,,1.3,,5.1,,7.4,,9.9,,9.9,,8.8,,4.8
1930,,1.2, -0.9,,0.6,,3.7,,5.0,,8.8, 10.2, 10.4,,9.0,,5.9
1931, -0.6, -0.1, -1.2,,3.0,,5.6,,8.8, 10.7,,9.0,,7.1,,3.7,
1932,,2.2,,0.1,,0.4,,1.6,,5.4,,7.8, 11.2, 11.3,,7.7,
1933, -1.2,,0.3,,1.6,,3.9,,6.6,,9.0, 11.7, 11.5,,9.0,,6.0
1934,,0.7,,0.6,,0.3,,2.8,,5.4,,8.5, 11.4,,9.6,,8.6
1935,,1.1,,2.0,,2.5,,3.0,,3.8,,9.2, 10.7, 10.4,,8.1,
1936, -0.2, -1.7,,2.5,,1.2,,5.4,,8.5, 10.7, 10.5, 10.0,,4.9,,1.6
1937,,1.3,,1.0, -1.0,,4.2,,6.4,,8.5, 10.9, 10.6,,7.8,,5.8
1938,,1.9,,1.5,,4.4,,2.4,,5.0,,8.6,,9.7, 10.4,,8.7
1939,,0.3,,1.5,,1.7,,3.2,,5.6,,7.8, 10.4, 11.1,,9.3,
1940, -5.2, -1.3,,1.2,,2.9,,6.0,,9.2,,9.6,,9.6,,7.0,
1941, -2.8, -1.3, -0.0,,1.9,,3.7,,8.4, 11.1,,9.7,,9.9,,6.0,
1942, -2.1, -3.7,,0.1,,2.9,,5.0,,7.9,,9.7, 11.4,,8.3,,6.1
1943,,0.7,,1.9,,1.6,,5.0,,5.1,,8.7,,9.6, 10.4,,8.0
1944,,2.0,,0.2,,0.6,,4.4,,5.2,,7.9, 11.2, 11.0,,7.2,
1945, -3.3,,2.8,,3.0,,3.9,,5.9,,8.9, 11.3, 10.1,,9.1,,6.9
1946, -0.8,,1.9,,0.5,,4.1,,4.7,,7.6, 10.6,,9.3,,9.1,
1947, -0.8, -4.1, -1.5,,3.4,,6.7,,9.8, 11.6, 11.3,,9.1,,6.3,,2.5
1948,,1.3,,1.1,,2.4,,3.3,,4.5,,8.1, 10.3, 10.0,,9.1,
1949,,1.3,,1.1,,0.5,,4.8,,4.9,,8.1, 10.9, 10.9, 10.6,,7.0
1950,,1.1,,0.5,,2.4,,2.1,,5.7,,9.7, 10.6, 10.3,,8.2,
1951, -0.0, -0.2, -0.5,,1.6,,4.5,,7.5, 10.6,,9.9,,9.1,,5.3,
1952, -1.3, -0.6,,2.2,,3.6,,7.2,,8.6, 11.1, 10.5,,6.5,,4.7,
1953,,0.7,,1.0,,0.4,,1.6,,6.9,,9.0, 10.5, 10.6,,9.1,
1954, -0.4, -1.7,,1.2,,2.3,,6.1,,8.6,,9.3,,9.8,,7.3,
1955, -0.9, -2.8, -1.4,,3.9,,4.1,,7.8, 10.7, 11.7,,9.0,,4.4,,3.7
1956, -0.2, -3.6,,1.3,,1.0,,5.5,,7.8, 10.8,,8.5,,9.4,,5.2
1957,,1.6,,0.2,,4.3,,3.0,,4.6,,7.8, 11.5, 10.6,,7.9,
1958, -1.0, -0.0, -0.8,,2.2,,5.3,,8.2, 10.5, 10.8, 10.0,,6.4,,2.4,
1959, -2.7,,1.0,,2.7,,4.1,,6.2,,9.0, 10.9, 11.2,,8.3,,7.3
1960,,0.3, -0.4,,2.2,,3.8,,6.7,,9.4,,9.9,,9.8,,8.3
1961, -0.3,,2.6,,3.5,,4.8,,5.4,,8.6,,9.8,,9.8,,9.6
1962,,0.3,,0.7, -2.1,,2.5,,5.2,,7.6,,9.5,,9.5,,8.1
1963, -4.0, -4.6,,1.2,,3.6,,5.0,,9.1,,9.3,,9.4,,7.6,
1964,,0.1,,0.8,,0.7,,4.3,,7.3,,8.6, 10.4,,9.8,,8.1
1965, -0.3,,0.3, -0.3,,2.7,,6.1,,8.8,,8.9,,9.3,,8.2,
1966, -0.3,,1.3,,2.2,,2.6,,5.3,,9.9,,9.7,,9.6,,9.1
1967,,0.7,,1.8,,3.0,,3.2,,5.0,,8.0, 10.9, 10.5,,8.8,
1968,,0.6, -1.8,,1.8,,2.6,,4.4,,8.8,,9.8, 10.4,,9.1,
1969,,1.7, -2.9, -0.6,,1.8,,5.9,,7.6, 10.9, 11.3,,9.1,,8.4,
1970, -0.1, -1.4, -0.7,,1.9,,6.9,,9.4, 10.3, 10.7,,9.5,,5.9,,3.2
1971,,0.9,,0.9,,1.1,,2.8,,5.5,,7.4, 10.7, 10.5,,8.7,
1972,,0.9,,0.8,,1.4,,3.8,,5.7,,6.9,,9.9,,9.5,
1973,,1.4,,0.5,,1.5,,2.0,,6.0,,9.2, 10.6, 10.4,,9.0,
1974,,1.9,,1.8,,1.2,,2.3,,5.4,,7.8,,9.9,,9.7,
1975,,2.6,,0.6,,0.5,,3.6,,3.9,,7.6, 11.5, 12.3,,7.8,
1976,,2.2,,1.3,,0.6,,3.2,,6.4, 10.1, 11.1, 10.1,,8.5,,6.6
1977, -1.1,,0.7,,2.5,,2.5,,4.6,,7.1, 10.2, 10.0,,8.5,,7.4
1978, -0.6, -1.6,,2.2,,2.0,,5.7,,8.2,,9.4, 10.3,,9.5,,7.7
1979, -4.0, -1.9,,0.6,,2.9,,4.5,,8.7, 10.4,,9.7,,8.1,,6.8
1980, -1.0,,1.8,,0.3,,3.3,,4.7,,8.8,,9.6, 10.6,,9.9,
1981,,0.6, -0.4,,3.2,,2.8,,6.2,,8.5, 10.4, 10.6,,9.3,,3.4
1982, -1.4,,1.0,,1.3,,3.1,,5.1,,9.8, 10.9, 10.7,,8.8,,6.1
1983,,2.6, -1.7,,2.5,,1.7,,5.3,,8.5, 12.2, 10.9,,8.8,,5.9
1984, -0.5, -0.0,,1.2,,2.0,,4.1,,8.8, 10.2, 11.1,,9.1,,6.5,
1985, -2.2, -1.3,,0.2,,3.7,,5.8,,7.1, 10.8, 10.0,,9.4,,6.9, -0.2
1986, -0.4, -3.6,,0.6,,1.3,,6.3,,8.7, 10.5,,8.5,,5.8,,6.0
1987, -2.1, -0.5, -0.0,,4.7,,4.6,,7.8, 10.9, 10.7,,8.3,,5.0,,3.3
1988,,1.5,,1.1,,1.6,,3.5,,5.9,,9.1, 10.4, 10.3,,8.5,
1989,,2.9,,1.8,,2.3,,2.0,,6.4,,8.0, 11.5, 10.7,,9.1,
1990,,2.7,,3.3,,3.9,,2.4,,6.2,,8.8, 10.2, 12.1,,7.9,
1991, -0.7, -1.5,,3.5,,3.2,,6.1,,7.1, 12.0, 11.2,,8.4,,6.4,
1992,,0.1,,1.7,,3.0,,4.0,,7.0,,9.8, 10.9, 10.1,,8.6,
1993,,1.3,,2.0,,1.9,,4.8,,5.9,,9.0, 10.2,,9.0,,7.8
1994,,1.1, -0.9,,3.0,,3.4,,5.2,,8.9, 11.3, 10.4,,7.9,,5.5
1995,,0.1,,2.2,,0.6,,3.5,,5.8,,8.3, 12.1, 11.6,,8.6,
1996,,1.8, -1.1,,0.9,,3.5,,4.0,,7.9, 10.2, 11.0,,8.7,,6.9
1997, -0.8,,2.5,,3.5,,3.7,,5.3,,8.9, 11.0, 12.6,,8.8,,5.3
1998,,1.6,,4.0,,3.3,,3.4,,7.3,,9.3, 10.7, 10.6, 10.0,,5.9
1999,,1.7,,1.4,,3.1,,4.4,,7.7,,8.6, 11.6, 10.9, 10.3,,6.5
2000,,1.3,,2.1,,3.0,,3.1,,6.2,,9.4,,9.9, 10.9,,9.8
2001, -0.3, -0.4,,0.3,,2.7,,6.3,,8.5, 11.4, 11.1,,8.9,,9.4,
2002,,1.5,,2.6,,2.6,,3.5,,7.1,,9.4, 10.4, 12.1,,9.1,
2003,,1.3, -0.5,,1.9,,3.9,,7.1, 10.3, 12.3, 11.7,,8.3,,4.4,
2004,,1.7,,1.7,,2.1,,5.1,,6.4,,9.9, 10.5, 12.5,,9.6,
2005,,2.4,,1.1,,3.4,,3.7,,5.9,,9.8, 11.4, 10.5,,9.8,
2006,,1.1,,0.9,,0.5,,3.5,,6.5,,9.8, 12.4, 11.2, 11.5,,8.4
2007,,3.0,,2.0,,2.6,,5.3,,6.7,,9.8, 10.6, 10.4,,8.9,
2008,,2.7,,0.6,,1.6,,3.1,,7.3,,8.8, 11.3, 12.1,,9.2,
2009,,0.0,,1.0,,2.4,,4.3,,6.7,,9.0, 11.2, 11.7,,9.5,
2010, -1.6, -1.3,,1.4,,3.4,,5.2,,9.3, 11.9, 10.2,,9.5,,6.0,
2011,,0.2,,2.8,,1.8,,5.7,,7.0,,8.5,,9.7, 10.4, 10.2,
2012,,1.5,,0.9,,3.4,,2.7,,5.9,,8.9, 10.8, 11.3,,8.3,
2013,,0.6, -0.2, -1.0,,2.5,,5.5,,8.5, 12.1, 11.6,,8.9,,8.6,
2014,,2.1,,2.5,,2.8,,5.4,,7.6,,9.9, 11.5, 10.1,,9.6,
2015,,0.8,,0.5,,1.8,,3.0,,5.9,,8.1, 10.3, 10.9,,7.5,
2016,,1.9,,0.6,,1.7,,2.3,,6.7,,9.9, 11.6, 11.7, 11.2,,6.7
2017,,0.9,,2.7,,3.9,,3.8,,7.5, 10.8, 11.0, 10.8,,9.1,,8.5
2018,,1.7, -0.7,,0.7,,4.9,,7.0,,9.7, 12.0, 11.7,,8.6,,6.0
2019,,0.8,,1.9,,3.4,,3.2,,5.8,,9.2, 12.4, 12.3,,9.2,
2020,,3.0,,2.2,,1.9,,4.2,,6.1,,9.9, 10.7, 12.0,,8.6,
2021, -0.7,,1.1,,3.2,,0.3,,4.8,,9.9, 12.4, 11.5, 11.1,,8.0,
