year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.9, 17.2,,5.0,,2.5,,0.3,,0.0,,0.0,,0.0,,0.0,
1961, 14.8,,3.3,,2.6,,1.7,,0.6,,0.0,,0.0,,0.0,,0.0
1962,,8.4,,9.4, 22.1,,4.4,,0.3,,0.3,,0.0,,0.0,,0.0
1963, 27.8, 27.0,,8.4,,1.7,,0.3,,0.0,,0.0,,0.0,,0.0,
1964, 11.8, 10.9, 12.4,,3.1,,0.0,,0.0,,0.0,,0.0,,0.3,,1.7
1965, 15.6, 13.2, 12.8,,4.5,,1.4,,0.0,,0.0,,0.0,,0.0,,0.1
1966, 14.9,,9.2,,4.9,,6.6,,0.3,,0.0,,0.0,,0.0,,0.0
1967,,9.2,,7.4,,3.1,,2.9,,2.0,,0.0,,0.0,,0.0,
1968, 11.4, 22.3,,7.5, 10.1,,1.8,,0.0,,0.0,,0.0,,0.0,,0.0
1969,,8.8, 19.4, 16.7,,8.6,,1.1,,0.2,,0.0,,0.0,,0.2,
1970, 11.7, 15.9, 16.1,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.3
1971,,8.2,,7.6, 10.0,,4.3,,1.3,,0.1,,0.0,,0.0,,0.0
1972, 10.1,,7.3,,6.9,,1.3,,0.2,,0.0,,0.0,,0.0,,0.4
1973,,9.6, 10.6,,9.8,,5.8,,1.1,,0.1,,0.0,,0.0,,0.0
1974,,5.5,,6.1,,8.3,,4.7,,1.2,,0.1,,0.0,,0.0,
1975,,4.4, 10.3, 12.1,,6.4,,2.1,,0.2,,0.0,,0.0,,0.2,
1976,,8.2,,9.4, 13.4,,4.1,,0.1,,0.0,,0.0,,0.0,,0.1
1977, 16.3,,7.3,,4.2,,5.2,,1.8,,0.1,,0.0,,0.0,,0.1
1978, 12.5, 16.6,,5.2,,7.1,,0.1,,0.1,,0.0,,0.0,,0.0,
1979, 25.7, 20.9, 11.9,,5.2,,4.1,,0.0,,0.0,,0.0,,0.5,,0.1
1980, 18.5,,5.8, 11.4,,3.6,,1.2,,0.0,,0.0,,0.0,,0.0,
1981, 12.2, 17.6,,4.2,,5.1,,1.3,,0.0,,0.0,,0.0,,0.0,
1982, 14.0,,9.6,,5.6,,3.4,,2.8,,0.0,,0.0,,0.0,,0.0
1983,,5.0, 19.9,,4.0,,6.7,,0.1,,0.0,,0.0,,0.0,,0.0
1984, 14.1, 12.8,,7.9,,6.6,,2.6,,0.0,,0.0,,0.0,,0.0,
1985, 25.1, 13.7, 12.6,,3.1,,0.3,,0.1,,0.0,,0.0,,0.0,,0.2
1986, 14.6, 24.8,,8.4,,7.7,,0.0,,0.0,,0.0,,0.0,,1.1,
1987, 20.9, 15.1, 14.8,,1.2,,1.0,,0.0,,0.0,,0.0,,0.2,,1.5
1988,,4.3,,6.7,,6.3,,3.6,,0.3,,0.0,,0.0,,0.0,
1989,,2.6,,5.3,,5.5,,6.5,,0.4,,0.1,,0.0,,0.0,
1990,,2.8,,2.7,,3.6,,5.4,,0.1,,0.0,,0.0,,0.0,
1991, 16.6, 19.5,,4.2,,3.3,,0.7,,0.6,,0.0,,0.0,,0.1,
1992, 15.2,,5.4,,2.3,,1.6,,0.2,,0.0,,0.0,,0.0,,0.0
1993,,5.6,,5.4,,6.6,,1.6,,1.4,,0.0,,0.0,,0.0,
1994,,8.3, 14.1,,2.6,,4.2,,0.9,,0.0,,0.0,,0.0,,0.0
1995, 12.1,,4.4, 12.1,,3.9,,2.4,,0.0,,0.0,,0.0,,0.2,
1996,,8.8, 20.0,,9.4,,4.8,,4.3,,0.0,,0.0,,0.0,,0.0
1997, 18.8,,3.9,,3.2,,3.6,,1.6,,0.0,,0.0,,0.0,,0.0
1998,,9.9,,3.9,,3.7,,5.1,,0.1,,0.0,,0.0,,0.0,
1999,,6.6,,7.1,,3.6,,4.5,,0.0,,0.0,,0.0,,0.0,
2000,,9.0,,5.2,,5.0,,6.0,,0.1,,0.0,,0.0,,0.0,
2001, 15.6, 15.7, 12.0,,3.7,,1.0,,0.1,,0.0,,0.0,,0.0,,0.0
