year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862,115.5, 31.2, 99.0,111.6,111.8,117.2,123.7,104.2,103.1,211.6, 49.0,159.1,, ---, 322.4, 345.2, 363.7
1863,164.1, 47.9, 50.7, 59.8, 59.7,126.9, 39.3,125.9,147.6,184.0,120.4, 98.6, 371.1, 170.2, 292.1, 452.0,1224.9
1864, 78.0, 89.4, 92.1, 39.6, 55.6, 89.6, 58.4, 76.5,143.2, 72.1,131.9,110.0, 265.9, 187.4, 224.5, 347.2,1036.4
1865,117.3, 82.9, 52.2, 30.9,124.6, 23.8, 84.4,141.6, 32.2,147.6,117.7, 64.7, 310.2, 207.6, 249.8, 297.6,1019.9
1866,184.7,128.3, 95.7, 42.2, 51.4,110.1, 99.1,132.4,207.6, 75.1,155.8,139.7, 377.7, 189.3, 341.6, 438.5,1422.1
1867,137.3,104.8, 71.0,147.1, 58.3, 40.7,125.3, 80.8,100.8,136.8, 35.6,109.7, 381.9, 276.4, 246.8, 273.2,1148.2
1868,135.1,101.3,162.9, 69.1, 54.5, 20.8, 21.2,111.4, 69.5,128.7, 92.1,246.8, 346.1, 286.6, 153.4, 290.4,1213.7
1869,148.8,133.5, 49.5, 84.2, 88.0, 35.6, 44.1, 69.4,223.3, 90.6,156.6,148.2, 529.1, 221.8, 149.0, 470.5,1271.8
1870,106.4, 78.9, 75.6, 56.3, 69.7, 47.1, 42.7, 62.0, 89.1,248.4,108.0, 90.7, 333.6, 201.7, 151.8, 445.5,1075.0
1871, 85.8,103.7, 64.5, 90.2, 42.8, 69.8,149.7, 78.3,117.0,150.7, 59.7,112.8, 280.1, 197.5, 297.8, 327.4,1124.9
1872,198.3,128.8,113.7, 82.3, 79.5,161.1,143.2,110.2,206.2,204.8,169.8,160.2, 439.9, 275.5, 414.5, 580.8,1758.2
1873,188.2, 35.9, 92.5, 25.9, 67.0, 59.9,127.2,139.6, 99.9,152.2, 83.3, 58.4, 384.3, 185.3, 326.7, 335.4,1130.0
1874,129.8, 79.2,103.8, 53.1, 52.8, 29.0, 84.9,173.8,128.2,184.1,147.6,111.1, 267.4, 209.7, 287.8, 459.9,1277.4
1875,165.4, 48.9, 38.9, 40.0, 69.0,103.5,118.4, 94.0,149.7,147.0,144.7, 80.7, 325.4, 147.9, 315.9, 441.4,1200.2
1876, 62.6,140.2,115.9, 92.4, 22.3, 82.7, 85.2,115.4,133.8,112.8,125.8,193.6, 283.5, 230.6, 283.3, 372.4,1282.6
1877,223.4,129.7,100.1, 80.2, 97.5, 73.7,150.0,180.1,105.1,166.3,219.1,135.6, 546.6, 277.9, 403.8, 490.5,1660.8
1878,123.0, 65.0, 64.5, 56.5,132.5, 96.8, 31.7,155.0,130.2,141.5, 99.4, 85.7, 323.6, 253.5, 283.6, 371.0,1181.8
1879, 46.7,104.0, 72.1, 59.2, 66.1,143.2,152.6,203.9,116.0, 66.0, 39.3, 89.0, 236.5, 197.4, 499.7, 221.3,1158.2
1880, 31.2,108.6, 72.4, 65.4, 64.7,105.4,178.9, 59.7,116.0,115.7,163.6,176.9, 228.9, 202.5, 344.0, 395.2,1258.4
1881, 23.9,136.9,122.2, 46.5,108.6,106.4,113.2,165.6, 64.5, 93.3,164.5,128.9, 337.8, 277.3, 385.3, 322.4,1274.8
