year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 38.6, 59.3, 89.8,121.6,212.2,189.6,160.8,161.1,134.1,104.4, 42.4, 29.8,, ---, 423.6, 511.5, 280.9
1920, 37.3, 67.1, 86.5, 77.9,155.4,176.8,103.6,117.1,112.2,113.0, 50.2, 33.4, 134.2, 319.7, 397.5, 275.4,1130.4
1921, 24.4, 62.8, 83.3,185.7,215.5,226.3,208.8,128.2,153.4, 95.4, 56.2, 30.4, 120.6, 484.5, 563.2, 305.0,1470.3
1922, 40.9, 60.2,106.2,166.3,193.7,187.7,147.7,112.6, 89.3,107.1, 48.9, 22.2, 131.6, 466.2, 448.0, 245.3,1282.9
1923, 34.3, 46.8, 99.1,130.6,166.7,129.8,151.5,145.4,130.7, 80.5, 62.3, 35.9, 103.4, 396.4, 426.7, 273.5,1213.6
1924, 37.3, 47.0,133.6,135.5,138.1,146.3,151.2,120.8, 98.6, 87.9, 52.5, 33.5, 120.2, 407.3, 418.3, 239.0,1182.4
1925, 34.4, 53.7, 93.6,161.8,130.8,256.2,176.5,130.9,114.0, 72.4, 82.1, 41.8, 121.6, 386.2, 563.7, 268.5,1348.3
1926, 30.7, 36.6, 82.8,119.0,170.0,195.5,153.7,169.7,106.9, 92.5, 44.6, 32.0, 109.1, 371.8, 518.8, 243.9,1233.8
1927, 30.6, 57.0, 92.2,131.2,174.0,161.9,128.9,133.9, 99.4, 94.8, 55.5, 25.0, 119.5, 397.3, 424.8, 249.8,1184.4
1928, 37.7, 67.7, 71.5,133.1,161.4,173.4,196.2,147.6,141.6, 83.8, 44.1, 30.5, 130.4, 366.0, 517.2, 269.5,1288.6
1929, 39.5, 52.0,185.9,162.4,232.4,224.9,176.0,132.1,147.7, 93.7, 38.5, 41.3, 121.9, 580.7, 533.0, 279.9,1526.4
1930, 43.1, 65.6, 91.7,104.0,160.2,216.8,129.9,145.5, 99.7, 82.8, 53.1, 20.9, 150.1, 355.9, 492.2, 235.7,1213.3
1931, 46.1, 44.2,132.0,102.9,167.7,130.5,113.7,161.3, 86.1,112.0, 38.7, 24.5, 111.2, 402.6, 405.5, 236.9,1159.9
1932, 48.6, 69.4, 92.4,124.5,112.8,212.4,116.5,137.1,111.5, 70.8, 36.5, 39.1, 142.5, 329.7, 466.0, 218.8,1171.6
1933, 56.3, 73.2,132.3,124.0,139.4,195.4,186.6,179.4,170.2, 73.5, 49.9, 35.2, 168.7, 395.7, 561.4, 293.6,1415.4
1934, 51.4, 68.6, 88.5,125.2,150.7,200.7,225.7,143.6,133.7, 59.3, 34.9, 16.9, 155.2, 364.4, 569.9, 227.9,1299.1
1935, 37.7, 40.4, 99.9,144.4,248.1,159.9,209.3,174.5,113.9, 56.1, 47.6, 36.2,,94.9, 492.4, 543.6, 217.6
1936, 33.0, 68.5, 46.8,166.5,192.7,150.5,113.2,154.8, 91.3, 88.0, 47.5, 33.2, 137.8, 405.9, 418.5, 226.8,1185.9
1937, 28.8, 49.8, 89.5, 98.7,181.9,140.0,116.8,169.6,120.7, 71.7, 56.4, 30.7, 111.8, 370.1, 426.3, 248.8,1154.5
1938, 31.5, 59.1,101.0,178.0,167.3,159.0,118.7,148.7, 92.9, 76.4, 52.8, 37.9, 121.3, 446.4, 426.4, 222.2,1223.5
1939, 31.5, 59.3, 82.2,164.2,188.0,231.2,121.3,154.7,110.3,100.5, 35.5, 29.0, 128.7, 434.5, 507.2, 246.4,1307.8
1940, 56.3, 35.1, 98.8,104.6,194.4,288.4,151.1,149.5,139.1, 67.0, 40.0, 36.5, 120.4, 397.8, 588.9, 246.2,1360.8
1941, 35.7, 59.7,102.1,100.4,157.3,196.8,184.5,145.0, 95.6, 92.6, 38.9, 27.2, 131.9, 359.8, 526.3, 227.1,1235.9
1942, 32.7, 52.2, 67.8,199.0,200.7,210.9,159.3,103.0,124.9, 66.3, 40.4, 23.2, 112.1, 467.5, 473.2, 231.7,1280.5
1943, 30.0, 64.4,122.7,144.3,214.2,197.4,215.1,117.7,111.4, 88.3, 50.1, 36.2, 117.6, 481.3, 530.1, 249.9,1391.8
1944, 26.5, 59.7,114.8,136.5,175.9,144.2, 87.8,174.6,110.3, 75.1, 37.4, 37.7, 122.4, 427.2, 406.7, 222.9,1180.6
1945, 49.8, 62.1,100.1,182.1,153.8,168.5,144.2,171.2, 97.7, 83.5, 41.0, 29.3, 149.6, 436.0, 484.0, 222.3,1283.5
1946, 40.7, 66.4,116.5,154.8,227.8,154.7,155.2,129.3, 90.0, 78.8, 23.9, 40.6, 136.4, 499.1, 439.2, 192.7,1278.7
1947, 37.9, 39.9, 66.9,127.2,161.7,150.6,133.7,271.4,110.8, 98.5, 67.9, 23.0, 118.4, 355.8, 555.6, 277.3,1289.6
1948, 33.1, 59.8,154.0,159.0,254.7,153.3,156.4, 97.2, 80.1, 76.2, 57.7, 50.1, 115.9, 567.8, 406.9, 214.0,1331.6
1949, 38.7, 87.7,130.3,138.3,224.2,253.2,193.3,177.2,146.4, 73.6, 40.8, 31.4, 176.5, 492.9, 623.8, 260.8,1535.3
1950, 35.1, 57.9,109.9,131.6,185.7,210.5,163.7,139.7, 91.1, 88.6, 49.2, 31.7, 124.3, 427.2, 513.9, 228.9,1294.6
1951, 35.0, 56.3, 79.2,170.0,177.7,213.7,167.7,124.1,104.3,102.4, 43.1, 36.2, 123.1, 426.9, 505.5, 249.8,1309.7
1952, 51.9, 75.9, 92.5,137.6,176.7,164.5,140.5,141.1, 93.8, 95.0, 66.6, 33.6, 164.0, 406.8, 446.1, 255.4,1269.7
1953, 33.8, 50.9,133.6,174.1,202.1,159.7,160.7,157.0,110.8, 96.1, 41.4, 27.9, 118.3, 509.7, 477.4, 248.3,1348.0
1954, 41.4, 55.4,106.1,185.2,147.0,131.8,105.5,103.7,133.6, 59.4, 49.4, 24.1, 124.7, 438.3, 341.0, 242.5,1142.6
1955, 33.9, 74.5,149.4,153.5,192.3,143.0,289.1,211.9,136.6,101.3, 54.4, 31.8, 132.5, 495.2, 644.0, 292.3,1571.7
1956, 45.0, 75.9,132.8,159.1,226.1,159.6,137.5,127.4, 89.8,104.5, 46.6, 19.2, 152.7, 518.0, 424.5, 240.9,1323.5
1957, 37.3, 77.4, 82.7,153.5,201.3,283.8,117.8,117.3,100.8, 70.4, 52.5, 47.5, 133.9, 437.6, 519.0, 223.7,1342.4
1958, 43.0, 53.6,105.6,142.5,153.4,131.3,149.8,115.2,104.6, 73.0, 38.6, 29.9, 144.1, 401.4, 396.3, 216.1,1140.4
1959, 70.5, 59.5, 86.4,122.5,223.9,216.2,195.5,183.8,177.2,114.7, 41.4, 22.2, 160.0, 432.8, 595.5, 333.3,1513.8
1960, 34.7, 72.9, 80.3,158.1,184.1,250.6,140.4,151.1,124.8, 64.4, 46.4, 50.2, 129.7, 422.5, 542.1, 235.6,1358.0
1961, 37.2, 57.2,107.1, 90.7,191.3,184.1,132.8,158.7,117.4, 94.1, 58.6, 50.6, 144.6, 389.0, 475.5, 270.0,1279.5
1962, 48.3, 62.4,120.9,167.9,170.7,194.7,120.7,132.0, 84.6, 96.0, 45.3, 57.0, 161.4, 459.4, 447.4, 226.0,1300.5
1963, 66.9, 95.2,103.8,105.4,179.6,185.8,159.9,112.1,137.5, 78.8, 43.4, 49.2, 219.1, 388.9, 457.8, 259.8,1317.8
1964, 42.1, 60.3, 63.3,113.6,172.8,130.9,142.9,170.7,144.9, 94.6, 60.8, 45.5, 151.6, 349.8, 444.5, 300.3,1242.5
1965, 54.4, 37.3,124.5,150.4,145.3,177.7,120.1,163.6, 83.5,114.1, 71.2, 42.3, 137.1, 420.2, 461.5, 268.9,1284.5
1966, 35.6, 36.7, 94.9, 99.8,210.9,138.1,170.0,146.8,124.2, 83.0, 44.1, 33.2, 114.6, 405.6, 454.8, 251.3,1217.3
1967, 51.8, 66.8,124.4,108.5,135.9,219.9,159.8,138.4,113.1, 78.7, 59.3, 50.4, 151.8, 368.8, 518.1, 251.1,1307.0
1968, 28.6, 84.8, 94.2,169.5,147.8,200.7,141.3,163.2,101.4, 50.2, 49.9, 37.9, 163.9, 411.5, 505.2, 201.5,1269.6
1969, 25.1, 55.9, 83.2,182.1,125.0,239.2,181.8,135.8, 85.0, 93.2, 64.8, 30.4, 118.9, 390.3, 556.9, 242.9,1301.5
1970, 29.6, 88.9,114.0,133.6,167.7,234.6,127.0,159.4,109.1, 87.8, 43.7, 49.3, 148.9, 415.3, 520.9, 240.6,1344.7
1971, 34.8, 53.2, 73.3,123.1,221.1,132.3,220.6,126.3,155.1,110.3, 60.6, 24.3, 137.3, 417.5, 479.2, 326.1,1335.0
1972, 37.6, 45.8,117.8,130.2,133.3,138.7,171.5,161.6,129.1, 97.9, 52.2, 34.3, 107.8, 381.2, 471.7, 279.1,1249.9
1973, 34.0, 65.4,128.8,150.5,160.8,195.1,156.0,168.5,119.1, 79.8, 65.6, 42.0, 133.8, 440.0, 519.5, 264.5,1365.5
1974, 42.5, 52.0,106.6,177.8,182.4,195.0,134.5,150.7,105.4, 68.2, 44.2, 29.4, 136.4, 466.9, 480.2, 217.7,1288.6
1975, 30.8, 88.1,104.0,124.2,234.5,259.5,165.3,203.7,135.7,106.9, 70.1, 32.7, 148.4, 462.6, 628.6, 312.8,1555.5
1976, 34.6, 55.1, 99.8,134.4,132.7,215.6,226.0,243.0, 76.6, 64.2, 61.7, 44.4, 122.4, 366.9, 684.6, 202.4,1388.0
1977, 41.8, 52.8, 71.8,145.8,244.6,193.4,197.0,153.3, 94.5, 95.4, 59.9, 34.1, 139.0, 462.2, 543.7, 249.8,1384.4
1978, 42.1, 49.8, 99.7,117.5,205.7,145.2,147.0,111.1, 98.3, 71.3, 54.0, 32.1, 126.1, 422.8, 403.2, 223.6,1173.6
1979, 54.6, 70.7, 73.0,125.2,157.9,165.4,139.2,149.4,133.4, 88.1, 51.3, 41.1, 157.4, 356.0, 454.1, 272.8,1249.3
1980, 47.1, 30.7, 82.9,167.6,237.0,126.5,132.4,116.0,107.4, 79.5, 53.2, 39.6, 119.0, 487.5, 374.8, 240.1,1219.8
1981, 33.6, 68.4, 72.7,145.3,150.3,134.5,130.4,160.6,130.4,101.3, 41.8, 43.5, 141.6, 368.3, 425.6, 273.5,1212.9
