year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.1,,3.8,,5.0,,6.0,,9.6, 12.6, 14.4, 15.2, 13.0,,8.3,
1885,,2.1,,4.2,,3.3,,6.2,,7.4, 12.0, 14.1, 12.0, 10.6,,6.1,
1886,,1.0,,0.8,,2.5,,6.3,,8.5, 11.7, 13.9, 13.9, 11.7,,9.8,
1887,,1.9,,3.1,,2.7,,5.1,,8.2, 14.1, 15.3, 13.5, 10.5,,6.4,
1888,,2.7,,1.0,,1.8,,5.2,,9.2, 11.7, 12.2, 12.5, 10.8,,7.5,
1889,,3.1,,2.2,,3.5,,5.7, 11.3, 13.7, 13.4, 13.1, 11.5,,7.5,,5.9
1890,,4.9,,2.2,,5.0,,6.1, 10.5, 12.1, 12.8, 12.6, 13.6,,8.9,,5.1
1891,,1.3,,4.6,,2.9,,4.9,,8.3, 13.1, 13.4, 12.8, 12.9,,8.2,
1892,,1.5,,2.5,,1.7,,6.2,,9.9, 11.7, 12.6, 13.4, 10.8,,5.9,
1893,,1.8,,3.5,,6.4,,9.1, 11.5, 14.1, 14.8, 15.7, 11.5,,8.8,,4.2
1894,,2.5,,4.0,,5.7,,8.5,,7.7, 12.1, 14.5, 12.7, 10.4,,8.0,
1895, -0.9, -2.6,,3.8,,6.9, 10.8, 12.9, 13.4, 14.1, 14.3,,6.0,,6.1,,2.8
1896,,4.0,,3.9,,5.2,,7.9, 11.0, 14.5, 14.4, 12.8, 11.7,,5.7,,3.8
1897,,0.6,,4.4,,5.1,,5.7,,8.6, 13.4, 14.7, 14.8, 10.7,,9.3,
1898,,5.8,,3.6,,3.3,,7.3,,9.0, 12.2, 13.6, 14.6, 13.5, 10.1,,6.1
1899,,3.6,,3.9,,4.4,,6.5,,8.4, 14.0, 15.1, 16.1, 11.9,,8.4,
1900,,3.5,,1.4,,2.6,,7.2,,8.9, 13.3, 15.7, 13.5, 12.4,,8.5,
1901,,2.7,,1.4,,3.4,,7.4, 10.6, 12.2, 16.4, 14.3, 12.6,,8.6,,4.4
1902,,3.8,,0.5,,5.5,,6.3,,7.5, 12.4, 12.8, 12.6, 11.7,,8.6,
1903,,3.1,,5.8,,5.7,,5.3,,9.6, 11.7, 13.5, 12.9, 11.6,,9.1,
1904,,3.5,,2.3,,3.2,,7.5,,9.3, 12.1, 15.1, 13.5, 11.7,,8.9,
1905,,3.3,,4.1,,5.7,,6.1,,9.5, 13.4, 15.2, 13.2, 11.1,,6.3,
1906,,4.6,,2.3,,4.0,,6.2,,9.0, 13.1, 14.0, 15.2, 12.5,,9.6,
1907,,3.1,,2.0,,5.4,,6.4,,9.2, 11.1, 13.3, 12.8, 12.8,,8.7,
1908,,2.1,,4.5,,3.3,,5.2, 11.1, 12.8, 14.3, 13.3, 12.0, 11.6,,6.7,
1909,,3.1,,2.7,,2.7,,7.6,,9.6, 10.8, 13.3, 13.9, 10.8,,9.3,
1910,,2.7,,4.0,,5.4,,6.0, 10.0, 13.4, 13.3, 13.8, 11.5,,9.5,,2.8
1911,,3.4,,3.8,,4.3,,6.4, 11.7, 13.0, 16.1, 16.5, 12.3,,8.4,,5.2
1912,,2.8,,4.1,,6.0,,7.8, 10.2, 12.5, 14.7, 11.6, 10.1,,7.7,,5.6
1913,,3.4,,4.1,,4.8,,7.0,,9.8, 12.6, 13.6, 14.0, 12.9, 10.0,,7.4
1914,,3.0,,5.9,,5.0,,8.6,,9.3, 13.1, 14.6, 14.9, 12.3,,9.4,
1915,,3.3,,3.2,,4.2,,6.9,,9.5, 13.1, 13.2, 13.9, 12.4,,8.2,
1916,,6.7,,2.9,,2.3,,7.0,,9.8, 10.7, 14.0, 15.0, 12.1,,9.4,
1917,,1.0,,0.5,,2.4,,4.2, 11.2, 13.1, 14.9, 14.2, 12.9,,6.8,,7.3
1918,,3.4,,5.9,,4.7,,6.1, 11.3, 11.7, 13.9, 14.7, 10.6,,8.3,,4.8
1919,,2.4,,1.2,,2.2,,6.0, 12.2, 12.5, 12.8, 13.8, 11.6,,7.2,,2.5
1920,,4.1,,5.1,,5.8,,6.8, 10.2, 13.0, 12.8, 12.5, 11.7,,9.8,,6.7
1921,,6.2,,4.1,,6.0,,7.1,,9.8, 13.0, 16.4, 13.7, 12.7, 12.0,,4.2
1922,,2.9,,3.6,,3.7,,4.5, 10.7, 12.1, 12.1, 12.1, 10.9,,7.6,,5.5
