year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 13.7, 12.8,,2.9,,2.7,,0.1,,0.0,,0.0,,0.0,,0.0,
1961, 11.0,,0.5,,5.8,,0.2,,0.7,,0.0,,0.0,,0.0,,0.0
1962,,8.3, 10.7, 20.5,,1.6,,1.2,,0.7,,0.0,,0.0,,0.0,
1963, 29.1, 26.2,,7.4,,1.4,,0.1,,0.0,,0.0,,0.0,,0.0,
1964, 12.8,,9.5,,9.7,,2.3,,0.0,,0.0,,0.0,,0.0,,0.0
1965, 14.9, 14.0, 11.4,,2.3,,0.5,,0.0,,0.0,,0.0,,0.0,,0.4
1966, 15.1,,5.2,,5.4,,2.6,,0.0,,0.0,,0.0,,0.0,,0.0
1967, 10.3,,8.4,,2.2,,2.5,,1.5,,0.0,,0.0,,0.0,,0.0
1968, 12.3, 19.1,,5.9,,8.9,,0.2,,0.0,,0.0,,0.0,,0.0,
1969,,6.8, 18.6, 12.7,,6.2,,0.0,,0.0,,0.0,,0.0,,0.5,
1970, 10.2, 14.2, 15.4,,7.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.8
1971,,7.3,,9.0,,9.6,,2.9,,1.2,,0.0,,0.0,,0.0,
1972, 10.3,,4.5,,5.7,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0
1973, 10.7, 11.9, 10.8,,3.5,,0.3,,0.0,,0.0,,0.0,,0.0,,2.1
1974,,4.0,,5.7,,6.9,,2.4,,1.0,,0.0,,0.0,,0.0,
1975,,2.5,,7.9,,7.9,,6.0,,0.4,,0.0,,0.0,,0.0,
1976,,8.6,,9.9, 11.8,,4.1,,0.2,,0.0,,0.0,,0.0,,0.0
1977, 14.7,,5.0,,4.2,,6.2,,0.6,,0.0,,0.0,,0.0,,0.0
1978, 12.2, 15.4,,5.1,,6.4,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 25.8, 20.2,,8.0,,4.2,,4.0,,0.0,,0.0,,0.0,,0.0,
1980, 18.1,,4.6,,7.5,,2.4,,0.9,,0.0,,0.0,,0.0,,0.0
1981, 11.1, 18.2,,2.4,,3.6,,1.3,,0.0,,0.0,,0.0,,0.0,
1982, 13.2,,7.5,,5.8,,2.9,,1.6,,0.0,,0.0,,0.0,,0.0
1983,,3.3, 18.6,,4.0,,3.8,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 11.2, 10.7,,6.4,,7.0,,1.1,,0.0,,0.0,,0.0,,0.0,
1985, 23.6, 14.4, 12.5,,2.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.2
1986, 12.5, 24.3,,8.5,,5.7,,0.0,,0.0,,0.0,,0.0,,0.2,
1987, 19.9, 13.4, 14.8,,0.4,,0.2,,0.0,,0.0,,0.0,,0.0,,1.9
1988,,5.2,,7.7,,4.5,,4.6,,0.0,,0.0,,0.0,,0.0,
1989,,6.2,,6.3,,2.8,,5.0,,0.0,,0.0,,0.0,,0.0,
1990,,2.3,,0.9,,3.4,,6.2,,0.1,,0.0,,0.0,,0.0,
1991, 12.1, 19.2,,3.5,,3.7,,0.4,,0.1,,0.0,,0.0,,0.0,
1992, 13.9,,9.0,,1.1,,1.9,,0.0,,0.0,,0.0,,0.0,,0.0
1993,,5.1,,5.4,,8.3,,0.9,,0.2,,0.0,,0.0,,0.0,
1994,,7.3, 12.2,,1.4,,1.7,,0.0,,0.0,,0.0,,0.0,,0.0
