year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 10.9,,0.3, 10.2,,7.4, 15.7,,8.9, 14.4, 19.6, 10.9, 19.5, 12.8, 17.4,, ---
1892,,9.7, 11.6,,5.9,,6.7,,8.1, 11.2,,8.9, 11.8, 10.2, 16.6, 10.8,
1893, 12.0, 17.6,,3.2,,1.6,,6.6,,6.6, 14.7,,9.6,,9.3, 14.6, 10.9
1894, 17.1, 10.9,,8.2, 11.6, 12.4, 11.2, 15.3, 14.1,,8.5, 14.3, 12.9, 12.8,,39.9,
1895, 14.9,,1.7, 13.4,,9.4,,3.7,,5.7, 13.2, 14.1,,3.4, 14.0, 17.0, 13.6
1896,,6.5,,3.7, 17.9,,7.2,,2.2, 10.2,,7.7, 12.1, 19.7, 16.6,,5.8
1897, 11.4, 11.5, 16.4, 13.7,,8.3,,9.4,,5.2, 17.1, 11.2,,6.1,,8.7, 13.9
1898,,4.9, 10.5,,8.1,,9.9, 17.3,,9.7,,4.2, 10.2,,2.7, 13.1, 10.7
1899, 16.5, 10.1,,5.4, 14.6, 10.6,,5.5,,6.4,,6.2, 13.5,,8.1,,8.0
1900, 17.9, 17.1,,6.0,,8.5,,8.8, 14.7,,7.8, 14.3,,5.0, 13.7, 16.3, 16.2
1901, 10.1,,7.5, 13.1, 12.5,,6.2,,7.9,,7.7,,8.3,,8.5, 12.0,
1902,,7.2,,8.2,,9.0,,8.6, 15.6, 13.8,,8.7, 15.9,,7.6, 12.0, 11.6
1903, 13.4,,7.2, 17.4, 10.0, 13.5,,8.8, 13.3, 15.5, 12.1, 24.9, 10.4, 10.2,,30.4,
1904, 16.4, 17.1, 10.5,,8.5, 12.5,,6.1,,9.7, 10.6,,9.3,,7.9,,7.8
1905,,6.3,,6.6, 17.0, 13.8,,4.1, 12.9,,5.6, 15.5,,9.4, 10.1, 14.8,
1906, 17.8, 14.9, 11.4,,7.2, 12.3,,7.9,,6.2,,9.1,,5.8, 17.4, 13.1, 14.6
1907,,6.7,,8.6,,8.0, 15.5, 15.1, 15.5, 11.7, 11.8,,5.0, 20.2, 10.8, 14.6,
1908,,6.7, 10.2, 15.4, 11.3, 10.8,,5.5, 10.0, 12.5, 12.4,,8.3,,8.4, 15.5,
1909,,8.5,,3.8, 17.3, 10.1,,6.5, 13.9, 13.4,,9.4, 13.8, 20.4,,6.1, 17.7
1910, 13.8, 18.5,,5.4, 13.4, 14.1, 11.5, 12.1, 14.8,,2.6, 12.0, 14.6, 17.8,,50.0,
1911,,7.3, 10.6, 11.8,,8.1,,5.9,,9.8,,2.6,,7.0,,8.2, 13.1
1912, 15.1, 12.9, 17.4,,1.5,,9.0, 17.8, 13.4, 23.1,,5.1, 11.4, 10.5, 16.9,,50.2
1913, 16.1,,6.3, 16.7, 14.6, 10.8,,6.4,,7.6,,7.6,,9.9, 14.0, 14.0,
1914,,6.8, 12.6, 19.9,,7.5,,9.6,,7.5, 13.7,,9.8,,7.2, 10.6, 15.3
1915, 15.7, 17.2,,6.6,,7.4,,8.3,,6.2, 15.6, 11.9,,6.4,,9.3,
1916,,9.5, 19.5, 16.1,,9.0, 11.7, 12.6,,8.6, 12.4,,8.0, 18.4, 13.0, 14.0,
1917,,8.9,,6.4, 13.7, 11.7,,7.8, 10.0,,9.9, 20.2,,8.2, 17.0,,9.7
1918, 11.1, 10.7,,6.4, 11.4,,8.7,,6.2, 16.0,,8.2, 21.2, 12.8, 11.1, 18.6,
1919, 18.5, 10.1, 15.1, 12.4,,4.7,,6.4, 10.6,,9.9,,8.4,,8.1, 13.3, 19.9
1920, 15.0,,6.4, 13.1, 20.2, 10.4,,9.3, 17.6,,6.8, 10.2,,8.5,,7.2, 14.6
1921, 15.1,,1.8, 11.3,,7.3, 10.5,,2.5,,3.7, 11.3,,4.3,,6.8,
1922, 17.7, 14.3, 13.0, 14.6,,6.8,,8.2, 15.4, 13.8, 10.7,,6.0,,7.5, 13.9,
1923,,9.9, 19.7, 10.8, 11.9, 12.2,,4.2,,9.8, 10.8, 11.6, 19.0,,9.9, 14.7,
1924, 13.8,,6.1,,6.5, 11.5, 17.4, 10.5, 13.0, 16.8, 15.9, 15.1,,9.3, 14.0,,34.7
1925, 11.3, 15.6,,7.0, 14.0, 15.3,,1.1, 11.5, 13.2, 12.6, 11.1, 10.5, 13.7,,40.9,
1926, 17.1, 12.0,,4.1, 14.3, 12.8, 11.0, 10.2,,9.9,,8.4, 11.9, 20.0,,4.6,
1927, 14.8, 12.4, 15.3, 10.0,,6.5, 16.0, 14.0, 17.4, 15.5,,9.6, 12.7, 10.1,,31.8,
1928, 18.6, 10.6, 13.4,,9.7,,8.3, 13.0,,6.4, 12.1,,5.0, 17.7, 15.5, 13.9,
1929,,7.8,,5.6,,1.2,,7.0,,9.0,,8.3,,7.9,,8.6,
1930, 16.2,,5.6,,9.9, 13.2, 13.0,,5.2, 12.7, 13.7, 14.9, 13.8, 15.7, 14.9,,42.7
1931, 13.6, 15.2,,3.5, 15.2, 12.3, 10.8, 15.1, 14.3,,9.6,,4.3, 14.2,,7.2,
1932, 10.0,,2.1,,8.9, 18.1, 17.1,,3.7, 13.3,,7.0, 14.1, 18.8,,9.7,
1933, 11.5, 10.9, 11.5,,6.7, 10.8, 11.0,,9.7,,5.9,,9.1, 12.7,,7.8,
1934, 12.7,,2.2, 13.8, 12.6,,6.0,,7.8,,6.2, 12.0,,9.8, 12.1,,8.6
1935,,7.9, 13.1,,5.4, 17.3,,7.1, 16.5,,4.6,,7.2, 17.3, 14.9, 18.6, 15.3
1936, 18.6, 12.5, 11.8,,9.5,,5.2, 14.1, 20.3,,4.8, 13.0, 10.4, 13.8, 13.7,,46.4
