year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862, 61.2, 15.2,107.8, 59.7, 83.4, 63.9, 62.3, 61.3, 67.6,105.2, 28.5, 55.2,, ---, 250.8, 187.5, 201.2
1863, 87.7, 21.1, 32.0, 29.9, 36.9, 98.3, 24.5, 66.5, 86.2, 94.1, 70.3, 49.7, 163.9,,98.7, 189.4, 250.6
1864, 37.3, 40.2, 74.2, 34.2, 46.0, 36.4, 17.7, 25.7, 63.3, 43.3, 81.2, 48.9, 127.2, 154.4,,79.8, 187.8
1865, 95.6, 71.0, 40.7, 18.8, 71.7, 46.4, 87.1,117.8,,5.1,175.7, 83.8, 56.7, 215.5, 131.2, 251.3, 264.6
1866,100.4, 96.3, 57.2, 49.8, 43.0, 69.8, 56.6, 85.8,144.7, 52.1, 59.2, 68.4, 253.4, 150.1, 212.2, 255.9, 883.3
1867,101.6, 52.7, 82.6, 68.7, 71.6, 36.9, 95.3, 54.2, 57.1, 84.1, 27.2, 55.9, 222.7, 222.9, 186.4, 168.4, 787.9
1868, 96.9, 42.9, 52.3, 53.0, 32.5, 15.7, 20.3,102.7, 82.1, 76.5, 52.4,158.1, 195.8, 137.9, 138.6, 211.0, 785.5
1869, 97.4, 72.2, 52.7, 38.5,114.7, 31.0, 17.3, 33.7,112.0, 58.3, 65.8,110.0, 327.7, 205.9,,82.0, 236.1
1870, 48.0, 50.1, 46.2, 15.2, 30.9, 18.9, 35.7, 53.9, 42.2,118.3, 56.3, 76.5, 208.1,,92.3, 108.6, 216.8
1871, 58.3, 47.6, 37.8, 92.1, 24.2, 76.2,105.4, 34.2,136.2, 64.2, 30.6, 49.4, 182.3, 154.1, 215.8, 231.0, 756.2
1872,130.2, 71.6, 68.1, 63.4, 63.7, 87.1,108.5, 68.9, 63.1,124.2,127.6,129.8, 251.2, 195.2, 264.5, 314.9,1106.3
1873, 93.1, 53.5, 68.4, 24.3, 51.9, 57.5, 66.8, 85.8, 61.6, 73.9, 66.5, 18.2, 276.5, 144.6, 210.1, 202.0, 721.6
1874, 63.5, 54.8, 24.8, 44.6, 27.6, 39.3, 34.5, 67.1,104.0, 93.8, 74.9, 79.0, 136.5,,97.0, 140.9, 272.7
1875,103.2, 42.7, 24.7, 38.0, 53.6, 79.4,142.4, 50.5, 80.2,148.5,127.0, 37.4, 224.9, 116.2, 272.4, 355.8, 927.7
1876, 43.2, 80.9, 89.8, 78.4, 18.6, 45.7, 33.0, 75.7,135.4, 54.8,100.1,175.1, 161.4, 186.8, 154.4, 290.3, 930.5
1877,130.7, 54.7, 63.6, 81.9, 68.1, 32.5, 92.2,103.1, 55.1, 60.2,129.3, 58.0, 360.5, 213.6, 227.9, 244.7, 929.7
1878, 48.4, 43.6, 34.8, 68.1,123.0, 64.0, 37.7,135.7, 52.4, 89.9,101.0, 57.1, 150.1, 225.9, 237.4, 243.3, 855.8
1879, 76.7, 95.0, 23.3, 73.3, 75.3,130.2,102.3,136.7, 89.1, 31.2, 24.5, 27.7, 228.8, 171.9, 369.2, 144.8, 885.3
1880, 14.0, 80.3, 36.9, 52.1, 27.7, 75.8,132.0, 32.1,105.1,150.9, 71.4, 95.8, 121.9, 116.7, 240.0, 327.4, 874.1
1881, 38.6, 88.3, 60.5, 25.8, 32.7, 64.9, 55.1,125.1, 57.7, 73.0, 90.1, 88.8, 222.7, 119.0, 245.1, 220.8, 800.6
1882, 48.4, 51.7, 38.2, 98.7, 46.9, 90.8, 93.5, 63.9, 79.7,160.3,104.6,100.9, 189.0, 183.8, 248.2, 344.6, 977.7
1883, 74.7,101.8, 31.3, 36.8, 48.2, 74.7, 80.4, 30.8,122.4, 72.8,103.3, 32.6, 277.4, 116.3, 185.8, 298.5, 809.8
1884, 77.1, 51.4, 55.9, 41.5, 26.3, 51.1, 76.7, 43.8, 59.0, 38.9, 45.2, 80.1, 161.1, 123.7, 171.6, 143.1, 647.0
1885, 59.7, 83.5, 36.1, 58.2, 73.3, 50.5, 13.8, 46.4,117.2,126.1, 94.1, 33.2, 223.3, 167.6, 110.6, 337.4, 792.1
1886,100.9, 18.9, 62.0, 51.9,105.1, 25.1, 81.3, 43.5, 53.2,114.6, 81.0,124.8, 153.0, 219.0, 150.0, 248.7, 862.3
