year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.7,,8.2, 10.2, 11.1, 16.6, 19.0, 20.9, 23.0, 19.0, 13.2,,8.5,,7.0,
1885,,4.9,,9.1,,8.7, 12.4, 13.4, 19.2, 21.9, 19.0, 17.0, 11.0,,8.5,,6.3
1886,,4.8,,3.7,,7.4, 12.2, 15.4, 18.4, 21.1, 20.9, 18.4, 14.7,,9.5,,5.6
1887,,5.0,,7.3,,7.4, 11.3, 13.8, 21.3, 23.5, 21.8, 16.1, 11.2,,7.5,,5.8
1888,,5.7,,4.0,,6.5, 10.0, 15.8, 18.1, 17.7, 18.8, 17.2, 12.6, 10.3,,7.8,
1889,,5.5,,6.0,,8.6, 11.0, 17.1, 20.6, 19.8, 19.4, 17.3, 12.5,,9.7,,6.1
1890,,8.9,,6.1, 10.0, 11.7, 16.7, 18.4, 19.0, 19.2, 19.8, 14.1,,9.3,,1.3,
1891,,4.3,,8.7,,7.9, 10.6, 14.3, 19.4, 19.4, 18.4, 18.9, 13.6,,8.8,,7.8
1892,,5.0,,6.5,,6.7, 13.6, 16.7, 18.5, 18.8, 20.1, 16.9, 11.0,,9.7,,5.3
1893,,4.4,,7.9, 13.1, 16.9, 18.5, 21.2, 21.2, 22.8, 18.3, 14.3,,8.4,,7.7,
1894,,6.1,,8.4, 11.5, 14.6, 13.9, 18.2, 20.3, 18.7, 16.0, 13.0, 10.7,,7.9,,7.36
1895,,3.1,,1.7,,9.5, 12.7, 17.9, 20.5, 20.1, 20.4, 21.9, 11.7, 11.0,,6.8,
1896,,7.1,,7.7, 10.9, 13.5, 17.6, 21.5, 22.2, 19.2, 16.8, 11.1,,7.4,,6.6,
1897,,3.8,,8.5, 10.3, 11.3, 15.2, 20.1, 21.9, 21.0, 16.6, 14.1, 10.4,,7.8,,6.23
1898,,8.5,,8.0,,8.1, 13.0, 14.3, 18.2, 20.8, 21.7, 21.2, 14.9, 10.4,,9.9,
1899,,8.1,,9.0, 10.0, 11.9, 14.8, 21.0, 22.8, 24.1, 18.5, 14.2, 11.5,,5.3,,8.99
1900,,7.0,,5.9,,7.0, 13.2, 14.8, 19.2, 23.4, 20.2, 19.1, 13.9,,9.9,,9.7
1901,,6.1,,4.7,,7.2, 13.4, 16.9, 19.1, 23.0, 21.2, 18.4, 13.8,,8.2,,6.4
1902,,7.5,,4.5, 10.8, 12.2, 13.3, 18.1, 20.0, 19.1, 17.6, 12.9,,9.6,,6.9,
1903,,6.8,,9.8, 10.8, 10.8, 15.7, 17.3, 20.1, 18.7, 17.5, 13.9,,9.5,,5.6,
1904,,6.6,,6.3,,8.0, 13.1, 15.3, 18.2, 22.4, 20.3, 17.2, 13.6,,8.8,,7.1
1905,,6.3,,8.0, 10.7, 11.1, 16.1, 19.1, 22.6, 19.4, 16.5, 11.1,,8.2,,7.0,
1906,,8.0,,6.4,,8.8, 12.6, 14.9, 18.9, 21.3, 22.3, 19.5, 14.7, 10.2,,5.8,
1907,,5.9,,5.9, 11.3, 11.8, 15.0, 16.6, 18.7, 19.3, 19.2, 13.7,,9.9,,7.3,
1908,,5.3,,8.3,,7.8, 10.1, 17.0, 19.7, 20.8, 19.7, 17.1, 15.9, 10.8,,6.8,
1909,,6.0,,6.2,,6.7, 14.0, 16.5, 16.0, 19.1, 21.1, 16.2, 14.1,,8.2,,6.9
1910,,6.5,,8.2, 10.1, 11.5, 16.0, 19.3, 18.2, 19.4, 17.1, 14.1,,7.2,,8.7,
1911,,5.9,,7.6,,8.3, 11.5, 18.0, 19.6, 24.6, 24.2, 20.3, 13.4,,9.1,,8.8
1912,,6.3,,8.3, 10.6, 14.1, 16.9, 18.2, 20.5, 17.0, 15.2, 12.9,,8.9,,9.7,
1913,,7.3,,7.8, 10.0, 11.7, 16.5, 19.1, 19.0, 20.5, 18.3, 14.9, 11.7,,7.4,,8.25
1914,,5.6,,9.8,,9.8, 15.0, 15.8, 19.8, 20.5, 21.3, 18.8, 14.2, 10.0,,7.7,
1915,,6.3,,7.4,,8.8, 12.3, 16.3, 19.6, 19.2, 20.0, 18.4, 13.0,,6.8,,8.6
1916,,9.9,,6.6,,6.5, 13.2, 16.6, 16.0, 20.0, 21.4, 17.3, 14.4,,9.6,,5.0
1917,,3.1,,4.1,,6.8,,9.8, 18.3, 20.6, 20.8, 19.1, 18.4, 12.1, 10.8,,4.9
1918,,6.6,,9.0, 10.2, 10.6, 18.1, 18.7, 20.5, 20.9, 16.2, 12.7,,9.2,,9.7,
1919,,5.5,,4.6,,7.2, 11.4, 18.3, 19.4, 18.3, 21.5, 17.9, 12.1,,6.2,,8.4
1920,,8.2,,9.3, 11.4, 11.8, 16.7, 19.1, 18.2, 18.1, 17.7, 14.7, 10.1,,6.8,,8.65
1921,,9.7,,8.0, 11.3, 13.5, 16.9, 20.3, 24.7, 20.4, 19.9, 18.0,,8.0,,9.2,
1922,,6.8,,7.9,,7.9, 10.0, 18.5, 19.1, 17.9, 17.8, 16.4, 12.2,,9.0,,8.0
1923,,8.1,,8.5,,9.9, 11.7, 14.1, 16.8, 22.5, 20.5, 17.4, 13.4,,6.6,,6.7
1924,,7.1,,5.6,,8.8, 11.7, 16.0, 18.5, 20.1, 18.5, 16.9, 13.7,,9.7,,8.9
1925,,8.0,,8.3,,8.3, 11.7, 16.0, 20.7, 21.8, 20.0, 15.9, 14.6,,7.2,,5.7
1926,,7.1,,9.6, 10.0, 13.4, 14.6, 18.1, 21.2, 21.3, 19.3, 12.3,,9.4,,6.6,
1927,,7.3,,7.1, 10.7, 12.4, 16.6, 17.3, 19.4, 19.9, 16.3, 14.4,,9.1,,4.1,
1928,,8.3,,9.3,,9.7, 12.4, 15.5, 17.8, 22.2, 20.0, 18.4, 14.3, 10.9,,6.6,
1929,,3.7,,3.1, 11.9, 11.1, 16.2, 18.1, 21.5, 20.4, 21.9, 13.7, 10.2,,8.7,,4.49
1930,,8.6,,5.2,,9.2, 11.9, 15.1, 20.4, 19.6, 20.6, 17.6, 14.3, 10.0,,7.1,
1931,,6.2,,6.9,,8.2, 11.4, 15.5, 18.9, 19.3, 18.6, 15.6, 13.4, 10.7,,7.8,
1932,,9.0,,5.7,,8.8, 10.6, 14.2, 19.0, 20.2, 22.4, 17.6, 12.7,,9.3,,7.8
1933,,5.2,,7.3, 12.0, 13.6, 16.7, 20.5, 22.9, 23.4, 20.2, 13.8,,8.4,,3.5,
1934,,7.2,,7.1,,8.9, 12.1, 16.7, 20.3, 23.9, 20.4, 19.6, 14.0,,8.8, 10.2,
1935,,6.9,,8.7, 10.2, 12.1, 15.0, 19.4, 23.0, 22.4, 18.0, 13.5,,9.9,,5.7,
1936,,6.8,,5.6, 10.3, 10.3, 16.3, 19.3, 19.0, 21.0, 18.2, 13.4,,8.9,,8.2,
1937,,7.9,,8.6,,7.1, 12.7, 16.5, 19.1, 20.2, 22.3, 18.3, 14.3,,8.6,,5.6
1938,,8.4,,7.6, 13.9, 12.6, 15.1, 19.2, 19.6, 20.7, 18.2, 14.1, 12.2,,6.7,,7.22
1939,,7.0,,8.8,,9.1, 13.1, 16.0, 19.1, 19.3, 21.0, 18.7, 12.2, 11.6,,5.5,
1940,,2.2,,5.2, 10.0, 12.9, 17.9, 21.9, 19.8, 21.0, 18.5, 13.5, 10.1,,6.5,,4.30
1941,,2.9,,6.6,,9.1, 10.5, 13.6, 20.0, 22.7, 19.0, 18.7, 14.2,,9.6,,8.2
1942,,3.8,,2.9,,8.8, 13.6, 16.0, 20.1, 20.1, 21.1, 18.4, 14.5,,8.4,,9.1
1943,,7.8,,9.1, 11.2, 15.5, 17.4, 19.0, 21.5, 20.7, 17.9, 14.9,,9.4,,6.3,
