year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,6.2,,5.2,,6.2,,6.8, 11.2, 13.8, 16.2, 17.1, 14.6,,9.1,,5.4
1885,,2.6,,5.9,,4.5,,7.7,,8.9, 14.1, 16.3, 14.1, 12.4,,7.5,
1886,,1.9,,1.0,,4.0,,7.8, 10.6, 13.4, 16.0, 16.0, 14.0, 11.3,,6.4,
1887,,1.9,,3.7,,3.6,,6.3,,9.5, 15.3, 17.5, 15.8, 11.8,,7.2,
1888,,2.8,,1.4,,3.2,,6.1, 10.5, 13.4, 13.8, 14.4, 12.7,,7.9,,7.9
1889,,2.6,,2.7,,4.6,,7.1, 12.5, 15.4, 15.2, 14.8, 12.9,,8.8,,6.8
1890,,5.7,,3.1,,5.9,,7.2, 11.6, 13.8, 14.6, 14.6, 14.7,,9.6,,5.8
1891,,0.9,,4.0,,4.1,,6.3,,9.5, 14.5, 14.8, 14.3, 14.1,,9.8,
1892,,2.0,,3.4,,2.6,,7.5, 11.4, 13.3, 14.3, 15.4, 12.4,,7.1,,6.6
1893,,1.7,,4.7,,7.4, 10.3, 12.8, 15.3, 16.4, 17.4, 13.1, 10.1,,5.0,,4.2
1894,,3.1,,4.8,,6.5,,9.7,,9.3, 13.7, 15.7, 14.6, 11.8,,9.5,
1895,,0.2, -2.1,,5.3,,8.2, 12.0, 14.5, 15.5, 15.7, 15.7,,7.5,,7.8,
1896,,4.4,,4.1,,7.0,,8.9, 11.7, 16.1, 16.6, 14.5, 13.2,,7.3,,4.1
1897,,1.4,,5.8,,6.8,,7.3, 10.1, 15.2, 16.6, 16.2, 12.2, 10.1,,7.1,
1898,,5.9,,4.6,,4.1,,8.1, 10.6, 13.5, 15.5, 16.6, 15.4, 11.4,,7.2,
1899,,5.0,,5.2,,4.9,,8.0, 10.1, 15.2, 17.5, 18.0, 13.9,,9.4,,8.2
1900,,4.2,,2.8,,3.5,,8.1, 10.1, 14.4, 17.8, 15.4, 13.8,,9.8,,7.0
1901,,3.2,,1.8,,3.9,,8.3, 11.2, 13.8, 17.6, 16.0, 13.9,,9.6,,4.6
1902,,4.7,,1.4,,6.7,,7.4,,8.8, 13.5, 14.9, 14.6, 12.9,,9.4,
1903,,4.1,,6.6,,7.0,,6.4, 11.0, 12.6, 15.3, 14.3, 13.2, 10.6,,6.3,
1904,,3.7,,3.5,,4.3,,8.8, 10.8, 13.3, 17.2, 15.2, 12.5,,9.8,,5.2
1905,,3.2,,5.0,,6.8,,7.5, 10.6, 14.6, 17.5, 14.9, 12.5,,7.0,,4.8
1906,,5.1,,3.2,,4.9,,7.1, 10.5, 13.7, 15.8, 17.0, 14.1, 11.1,,7.2,
1907,,3.2,,2.5,,6.2,,7.5, 10.6, 12.6, 14.0, 14.7, 13.9,,9.9,,6.7
1908,,2.2,,5.0,,4.2,,6.0, 12.3, 14.3, 15.9, 14.8, 12.8, 11.8,,7.4,
1909,,3.2,,2.6,,3.4,,8.7, 10.7, 11.9, 14.8, 15.8, 12.2, 10.6,,4.8,
1910,,3.6,,5.0,,5.7,,7.3, 11.2, 14.6, 14.3, 15.3, 12.8, 10.9,,3.6,
1911,,3.2,,4.5,,5.1,,7.4, 12.6, 14.5, 18.3, 18.6, 14.5,,9.7,,6.0
1912,,3.7,,5.3,,7.3,,8.7, 12.1, 13.8, 16.2, 13.1, 11.2,,8.2,,6.1
1913,,4.5,,4.5,,6.3,,7.8, 11.6, 14.0, 14.6, 15.4, 14.1, 11.2,,8.1,
1914,,3.0,,6.4,,6.2,,9.6, 10.8, 14.4, 15.9, 16.2, 13.5, 10.3,,6.6,
1915,,3.9,,4.1,,5.0,,7.6, 11.1, 14.1, 14.7, 15.5, 13.4,,9.2,,3.3
1916,,7.1,,3.6,,3.5,,8.2, 11.7, 11.6, 15.1, 16.5, 13.0, 10.9,,6.3,
1917,,1.3,,0.9,,3.1,,5.3, 12.7, 15.2, 15.9, 15.4, 14.1,,7.8,,7.7
1918,,3.6,,6.1,,5.8,,6.7, 12.6, 13.1, 15.6, 16.1, 12.4,,9.2,,5.7
1919,,2.8,,1.8,,3.9,,7.0, 12.8, 14.0, 13.9, 16.3, 13.0,,7.4,,3.2
1920,,5.0,,5.8,,7.1,,8.4, 11.9, 14.3, 14.2, 13.6, 13.1, 10.7,,6.4,
1921,,7.1,,4.6,,7.2,,8.3, 11.5, 14.5, 18.4, 15.8, 14.5, 13.0,,4.9,
1922,,3.8,,4.6,,4.8,,5.7, 12.8, 13.9, 13.7, 13.6, 12.3,,8.3,,5.4
1923,,5.0,,5.8,,6.4,,7.7,,9.7, 12.5, 17.6, 15.5, 12.6,,9.9,
1924,,4.5,,2.8,,4.3,,7.2, 11.6, 14.0, 15.3, 14.2, 13.4, 10.4,,6.9,
1925,,5.2,,5.2,,4.8,,7.4, 11.5, 14.8, 16.7, 15.6, 11.6, 10.7,,4.1,
1926,,4.2,,6.8,,6.4,,9.0, 10.2, 13.3, 16.6, 16.4, 14.9,,8.3,,6.3
1927,,4.4,,4.0,,7.2,,8.1, 11.4, 12.7, 15.5, 15.7, 12.6, 10.4,,6.1,
1928,,5.0,,5.8,,6.1,,8.1, 10.7, 13.1, 16.6, 15.4, 12.9, 10.4,,7.8,
1929,,1.3,,0.1,,6.0,,6.5, 10.9, 13.1, 16.0, 15.5, 16.1,,9.7,,6.7
1930,,5.6,,2.7,,5.3,,8.1, 10.7, 15.2, 15.2, 15.9, 13.8, 10.6,,6.4,
1931,,3.3,,3.8,,4.1,,7.7, 11.1, 14.5, 15.2, 14.5, 11.7,,9.0,,7.6
1932,,5.9,,2.8,,4.5,,6.8, 10.2, 13.8, 15.9, 17.5, 13.4,,8.9,,6.6
