year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.7,,2.3,,2.3,,2.4,,5.9,,8.6, 11.4, 11.3, 10.2,,5.1
1885,,0.2,,2.8,,0.4,,2.9,,4.3,,9.0, 10.6,,9.3,,7.9
1886, -0.9, -1.6,,0.6,,3.3,,5.9,,8.4, 11.0, 11.2,,9.7,,7.9,
1887, -1.2,,0.0, -0.1,,1.3,,5.3,,9.3, 11.5,,9.8,,7.6,,3.0
1888,,0.0, -1.2, -0.1,,2.1,,5.3,,8.8,,9.9,,9.9,,8.2,
1889, -0.3, -0.5,,0.6,,3.1,,8.1, 10.2, 10.6, 10.2,,8.4,,5.0,,3.8
1890,,2.4,,0.0,,1.8,,2.6,,6.4,,9.2, 10.2, 10.1,,9.6,
1891, -2.5, -0.5,,0.4,,1.8,,4.8,,9.7, 10.2, 10.2,,9.4,,6.0,
1892, -1.1,,0.2, -1.4,,1.3,,6.1,,7.9,,9.9, 10.7,,8.0,,3.2
1893, -1.1,,1.6,,1.6,,3.5,,7.2,,9.5, 11.7, 12.1,,8.0,,5.9
1894,,0.1,,1.3,,1.6,,4.7,,4.7,,9.1, 11.1, 10.6,,7.7,
1895, -2.6, -5.9,,1.2,,3.8,,6.2,,8.6, 10.9, 11.0,,9.6,,3.3,
1896,,1.7,,0.6,,3.2,,4.2,,5.9, 10.7, 11.0,,9.9,,9.6,
1897, -0.9,,3.0,,3.2,,3.2,,5.0, 10.4, 11.2, 11.5,,7.9,,6.1,
1898,,3.4,,1.1,,0.1,,3.2,,6.6,,8.7, 10.2, 11.6,,9.5,
1899,,2.0,,1.4, -0.2,,4.0,,5.3,,9.4, 12.1, 12.1,,9.3,,4.7
1900,,1.4, -0.4, -0.0,,3.0,,5.4,,9.7, 12.2, 10.8,,8.5,,5.7,
1901,,0.3, -1.1,,0.6,,3.2,,5.6,,8.6, 12.1, 10.9,,9.5,,5.5
1902,,1.9, -1.6,,2.7,,2.7,,4.2,,9.0,,9.8, 10.0,,8.3,
1903,,1.5,,3.4,,3.3,,2.0,,6.3,,7.9, 10.6,,9.9,,8.9
1904,,0.7,,0.7,,0.6,,4.4,,6.4,,8.2, 11.9, 10.2,,7.8,
1905,,0.0,,2.0,,2.8,,3.7,,5.2, 10.1, 12.3, 10.4,,8.5,,2.9
1906,,2.1, -0.1,,1.1,,1.4,,6.2,,8.4, 10.4, 11.7,,8.7,,7.5
1907,,0.4, -0.8,,1.0,,3.2,,6.2,,8.7,,9.4, 10.1,,8.6,
1908, -0.9,,1.8,,0.5,,1.9,,7.7,,8.9, 11.0,,9.9,,8.5,
1909,,0.3, -1.0,,0.0,,3.4,,4.9,,7.8, 10.5, 10.5,,8.2,,7.1
1910,,0.7,,1.8,,1.4,,3.1,,6.4,,9.9, 10.2, 11.1,,8.5,
1911,,0.6,,1.3,,1.8,,3.1,,7.3,,9.4, 11.9, 12.9,,8.7,
1912,,1.0,,2.3,,3.9,,3.3,,7.4,,9.3, 11.8,,9.2,,7.3
1913,,1.8,,1.2,,2.5,,3.9,,6.7,,8.9, 10.2, 10.3,,9.9,
1914,,0.3,,3.0,,2.5,,4.1,,5.8,,9.0, 11.3, 11.1,,8.1,
1915,,1.4,,0.8,,1.2,,2.8,,5.8,,8.5, 10.2, 10.8,,8.4,
1916,,4.3,,0.6,,0.4,,3.3,,6.7,,7.2, 10.2, 11.5,,8.8,
1917, -0.5, -2.2, -0.6,,0.8,,7.2,,9.9, 10.9, 11.8,,9.7,,3.5,,4.7
1918,,0.6,,3.2,,1.4,,2.8,,7.2,,7.5, 10.6, 11.2,,8.6,
1919,,0.2, -1.1,,0.5,,2.5,,7.3,,8.7,,9.5, 11.0,,8.2,
1920,,1.8,,2.2,,2.8,,5.0,,7.1,,9.4, 10.3,,9.1,,8.5
1921,,4.4,,1.2,,3.1,,3.0,,6.1,,8.8, 12.1, 11.2,,9.1,
