year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.2, 11.2,,3.0,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,
1961, 10.9,,0.2,,7.2,,0.0,,1.1,,0.0,,0.0,,0.0,,0.0
1962,,9.0, 11.5, 19.8,,1.2,,1.5,,0.8,,0.0,,0.0,,0.0,
1963, 29.5, 26.3,,7.4,,2.0,,0.1,,0.0,,0.0,,0.0,,0.0,
1964, 10.8,,9.3,,8.9,,2.7,,0.0,,0.0,,0.0,,0.0,,0.0
1965, 14.4, 15.4, 11.3,,1.8,,0.3,,0.0,,0.0,,0.0,,0.0,,0.4
1966, 15.4,,3.3,,6.0,,2.1,,0.0,,0.0,,0.0,,0.0,,0.0
1967, 11.1,,9.0,,2.0,,2.8,,1.7,,0.0,,0.0,,0.0,,0.0
1968, 13.4, 18.4,,5.3,,9.4,,0.1,,0.0,,0.0,,0.0,,0.0,
1969,,6.2, 18.2, 11.5,,6.6,,0.0,,0.0,,0.0,,0.0,,0.2,
1970,,9.5, 14.0, 15.3,,8.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1971,,7.0,,9.5, 10.1,,2.7,,1.2,,0.0,,0.0,,0.0,,0.0
1972, 10.2,,2.8,,5.1,,0.6,,0.0,,0.0,,0.0,,0.0,,0.0
1973, 11.1, 13.4, 12.6,,3.1,,0.4,,0.0,,0.0,,0.0,,0.0,,1.8
1974,,3.1,,5.7,,7.3,,1.9,,1.0,,0.0,,0.0,,0.0,
1975,,1.9,,8.2,,7.2,,6.4,,0.3,,0.0,,0.0,,0.0,
1976,,9.1,,9.3, 11.2,,4.9,,0.1,,0.0,,0.0,,0.0,,0.0
1977, 14.4,,5.1,,4.2,,7.4,,0.5,,0.0,,0.0,,0.0,,0.0
1978, 13.1, 14.8,,5.1,,5.9,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 25.5, 18.9,,7.4,,4.5,,3.9,,0.0,,0.0,,0.0,,0.0,
1980, 18.6,,5.2,,7.3,,2.4,,0.8,,0.0,,0.0,,0.0,,0.0
1981, 11.9, 18.6,,2.4,,3.5,,1.4,,0.0,,0.0,,0.0,,0.0,
1982, 12.8,,7.0,,7.0,,3.1,,1.7,,0.0,,0.0,,0.0,,0.0
1983,,3.0, 18.8,,5.4,,3.9,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 10.3, 10.1,,6.7,,7.0,,0.7,,0.0,,0.0,,0.0,,0.0,
1985, 23.2, 15.5, 13.2,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.4
1986, 12.3, 24.3,,9.2,,5.6,,0.1,,0.0,,0.0,,0.0,,0.0,
1987, 20.2, 14.0, 15.0,,0.4,,0.2,,0.0,,0.0,,0.0,,0.0,,1.3
1988,,5.3,,8.3,,4.4,,4.6,,0.0,,0.0,,0.0,,0.0,
1989,,6.8,,6.1,,2.2,,4.0,,0.0,,0.0,,0.0,,0.0,
1990,,2.6,,0.4,,3.5,,5.3,,0.0,,0.0,,0.0,,0.0,
1991,,9.9, 19.4,,3.4,,3.4,,0.4,,0.1,,0.0,,0.0,,0.0
1992, 14.7, 10.7,,0.8,,1.8,,0.0,,0.0,,0.0,,0.0,,0.0,
1993,,5.4,,5.8,,8.9,,0.7,,0.0,,0.0,,0.0,,0.0,
1994,,7.5, 11.5,,1.8,,1.3,,0.0,,0.0,,0.0,,0.0,,0.0
1995,,8.1,,2.2, 12.1,,3.3,,0.8,,0.0,,0.0,,0.0,,0.0
1996,,6.8, 18.1, 10.0,,4.7,,2.1,,0.0,,0.0,,0.0,,0.0,
