year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 11.0,,0.1, 11.3,,5.6, 15.5,,8.9, 14.5, 20.0, 11.9, 20.3, 13.2, 18.9,, ---
1892,,7.4, 11.5,,6.2,,6.1,,5.5, 10.6,,9.5, 12.8, 10.1, 15.1, 11.6,
1893, 12.3, 18.8,,3.7,,0.5,,5.6,,6.5, 13.2,,7.5, 10.2, 15.2, 12.0, 11.2
1894, 19.3, 11.2,,9.1, 11.0, 11.4, 10.7, 16.2, 12.8,,9.5, 14.4, 14.3, 12.2,,41.7,
1895, 13.0,,1.9, 12.4, 10.4,,3.0,,4.6, 13.8, 14.6,,3.0, 13.6, 17.2, 13.9,
1896,,6.6,,3.0, 16.8,,6.2,,2.7, 10.0,,6.5, 12.5, 20.7, 16.5,,6.1
1897, 12.0, 11.4, 17.3, 13.9,,7.8,,8.6,,4.8, 16.5, 10.2,,4.8,,8.3, 14.1
1898,,4.4, 10.4,,7.8,,9.1, 16.8,,9.2,,4.0,,7.1,,2.2, 12.1
1899, 16.4, 10.2,,4.1, 15.0,,8.8,,5.8,,5.9,,5.6, 13.1,,7.8,
1900, 16.7, 18.1,,5.1,,8.6,,8.3, 12.9,,6.4, 13.7,,4.4, 11.7, 16.2, 16.6
1901,,9.4,,6.9, 13.0, 12.1,,5.5,,7.3,,8.0,,8.4,,7.5, 12.0
1902,,6.2,,8.3,,8.8,,7.6, 16.8, 14.2,,9.0, 15.3,,6.7, 11.1, 11.9
1903, 14.7,,7.4, 16.4,,9.0, 12.0, 10.1, 12.0, 14.9, 10.7, 24.1,,9.2,,9.2,
1904, 17.6, 16.9, 10.2,,8.5, 12.7,,6.6,,8.5, 10.1,,9.8,,9.2,,6.0
1905,,4.9,,4.6, 16.8, 13.0,,4.8, 12.9,,4.7, 14.3, 10.9,,7.9, 15.6,
1906, 17.9, 15.2, 11.4,,6.2, 10.5,,6.8,,5.2,,6.8,,6.0, 15.9, 13.9, 13.2
1907,,4.9,,7.5,,7.8, 16.0, 13.6, 13.8, 10.3, 11.1,,4.9, 22.1,,9.2, 13.0
1908,,5.5,,8.8, 14.8,,9.9, 10.2,,4.9,,9.7, 12.5, 11.6,,8.8,
1909,,7.6,,4.1, 18.7,,9.5,,7.0, 15.2, 13.2,,8.8, 15.5, 20.6,,5.3
1910, 13.6, 19.3,,5.6, 13.2, 13.5, 12.7, 12.2, 13.2,,2.1, 13.1, 12.4, 16.6,,50.4,
1911,,8.0,,9.4, 11.6,,8.6,,6.8,,9.5,,2.2,,5.7,,7.2
1912, 13.9, 14.3, 17.4,,0.6,,8.0, 15.7, 11.3, 24.7,,4.0, 12.2,,9.7, 17.7,
1913, 16.2,,6.6, 17.3, 15.6,,8.7,,5.2,,9.5,,8.0,,9.7, 15.3, 13.7
1914,,5.9, 14.4, 21.1,,7.5,,8.4,,6.8, 12.6,,9.1,,6.6, 10.8, 15.4
1915, 14.8, 17.0,,6.2,,7.4,,8.3,,5.5, 13.3, 11.4,,5.9,,9.3,
1916,,8.5, 18.9, 15.2,,8.8, 10.5, 12.8,,6.7, 12.0,,9.4, 18.2, 12.7, 14.0,
1917,,8.2,,6.9, 14.7, 12.3,,8.1,,8.3, 12.2, 19.3,,8.2, 16.5,,8.3
1918, 11.6, 10.4,,5.8, 12.7,,8.6,,6.3, 15.9,,8.4, 20.1, 12.5, 11.1, 17.9,
