year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862, 67.8, 13.7,125.8, 63.2,100.2, 66.7, 64.1, 55.6, 56.6,132.3, 26.1, 59.6,, ---, 289.1, 186.5, 215.0
1863, 92.3, 24.1, 25.8, 19.7, 45.8,110.0, 18.0, 55.5, 79.3, 73.6, 59.3, 49.5, 176.0,,91.3, 183.5, 212.2
1864, 37.8, 32.1, 81.0, 35.8, 40.6, 34.6, 14.3, 28.6, 67.1, 42.0, 94.3, 35.3, 119.3, 157.3,,77.5, 203.4
1865,108.1, 73.1, 33.9, 16.6, 71.5, 49.0, 75.6,112.5,,5.5,204.2, 87.3, 63.4, 216.4, 121.9, 237.1, 296.9
1866,123.5,118.4, 58.5, 56.1, 36.6, 72.5, 52.0, 70.3,147.0, 48.2, 50.9, 63.0, 305.3, 151.2, 194.9, 246.0, 897.0
1867, 97.1, 51.8, 75.9, 57.5, 54.8, 39.3,109.6, 57.4, 55.5, 77.8, 26.3, 48.5, 212.0, 188.2, 206.3, 159.6, 751.6
1868,114.6, 35.4, 47.0, 58.7, 34.6, 14.4, 33.5,103.6, 86.6, 72.3, 44.3,168.1, 198.5, 140.2, 151.5, 203.2, 812.9
1869, 94.6, 74.7, 54.0, 34.7,101.0, 34.1, 17.6, 33.3,111.3, 59.6, 61.2, 98.5, 337.4, 189.6,,85.0, 232.2
1870, 47.1, 52.1, 48.3, 10.8, 34.5, 11.4, 32.0, 56.8, 52.1,110.3, 51.2, 80.8, 197.7,,93.6, 100.2, 213.7
1871, 73.3, 41.7, 38.9, 98.6, 18.0, 79.4,101.0, 33.1,126.1, 46.0, 19.7, 51.3, 195.8, 155.6, 213.5, 191.8, 727.1
1872,150.1, 56.1, 66.7, 44.9, 81.1, 75.8, 78.5, 49.9, 44.8,134.7,134.5,143.8, 257.5, 192.7, 204.1, 314.0,1060.8
1873,100.4, 53.5, 62.4, 22.6, 40.3, 57.6, 58.5, 72.7, 68.7, 85.8, 69.5, 16.9, 297.7, 125.3, 188.8, 224.0, 709.0
1874, 55.2, 52.1, 18.6, 55.8, 23.0, 55.2, 32.8, 61.6, 92.4,115.4, 72.5, 68.7, 124.2,,97.4, 149.7, 280.4
1875,112.0, 49.5, 25.5, 37.2, 46.9, 76.2,131.0, 42.5, 60.7,143.1,126.0, 37.0, 230.2, 109.5, 249.7, 329.8, 887.6
1876, 35.3, 77.4, 91.0, 63.8, 23.3, 44.1, 19.3, 86.7,114.3, 41.6, 95.6,187.9, 149.6, 178.1, 150.1, 251.5, 880.3
1877,160.5, 48.4, 68.8, 75.5, 64.7, 28.1, 84.7, 86.3, 42.7, 67.4,166.2, 58.0, 396.8, 209.0, 199.2, 276.3, 951.3
1878, 45.5, 50.6, 38.2, 78.7,109.4, 62.2, 43.4,130.7, 38.9, 89.2, 94.4, 51.0, 154.1, 226.4, 236.3, 222.4, 832.1
1879, 87.7,106.6, 20.8, 82.4, 87.0,121.5, 98.1,142.5, 89.3, 25.0, 21.5, 25.5, 245.3, 190.2, 362.2, 135.8, 908.0
1880, 13.6, 87.1, 29.0, 52.6, 11.9, 71.3,109.0, 32.2,115.3,161.9, 81.9, 99.7, 126.2,,93.5, 212.5, 359.1
1881, 46.8, 82.3, 60.3, 18.7, 31.9, 58.7, 48.9,133.8, 61.6, 65.8,100.2, 88.5, 228.8, 110.8, 241.4, 227.5, 797.4
1882, 38.7, 44.9, 33.8, 93.4, 42.4, 79.6, 78.7, 52.4, 76.0,174.3, 95.8, 77.8, 172.2, 169.6, 210.6, 346.2, 888.0
1883, 67.1,111.0, 27.7, 36.3, 56.8, 48.6, 76.2, 26.4, 96.6, 65.2,100.0, 26.8, 255.9, 120.8, 151.2, 261.8, 738.7
1884, 81.4, 49.5, 52.2, 40.6, 21.2, 59.2, 64.5, 33.4, 70.7, 32.1, 41.2, 87.3, 157.8, 114.0, 157.0, 143.9, 633.3
1885, 65.8, 90.2, 46.3, 45.1, 79.9, 40.8,,9.0, 25.5,123.3,106.3, 94.0, 34.9, 243.4, 171.3,,75.3
1886,112.1, 18.0, 48.8, 54.0,104.1, 21.6, 69.4, 35.8, 50.8,106.5, 93.3,137.8, 165.0, 206.9, 126.8, 250.6, 852.3
1887, 67.5, 19.2, 44.6, 40.0, 41.7, 28.6, 22.9, 61.9, 73.7, 42.8,107.5, 55.6, 224.5, 126.3, 113.4, 223.9, 606.0
1888, 28.0, 38.8, 94.4, 47.4, 36.7, 76.2,140.2, 53.6, 33.9, 46.0,124.5, 53.2, 122.4, 178.5, 270.0, 204.5, 773.0
1889, 27.2, 62.5, 57.3, 64.5, 63.8, 30.4, 71.1, 66.9, 35.7,131.1, 30.3, 47.6, 142.9, 185.6, 168.4, 197.1, 688.4
1890, 81.1, 24.4, 45.6, 61.5, 47.0, 70.8, 98.2, 77.8, 31.2, 32.3, 63.5, 23.6, 153.2, 154.2, 246.8, 127.0, 657.2
1891, 65.1,,1.1, 61.8, 21.6, 72.0, 39.7, 76.6,140.0, 34.1,188.9, 79.3,105.8,,89.7, 155.4, 256.3
1892, 21.8, 39.5, 30.6, 28.4, 25.8, 57.6, 64.2, 94.1, 69.2,121.9, 72.6, 46.6, 167.2,,84.8, 216.0, 263.8
1893, 54.1, 99.6, 11.5,,1.5, 22.9, 25.1, 89.5, 31.1, 52.2,105.4, 64.0, 74.7, 200.3,,36.0, 145.6
1894, 89.9, 53.6, 41.2, 57.1, 49.0, 58.2,122.3, 59.6, 64.9,111.0,132.1, 61.9, 218.1, 147.3, 240.1, 308.1, 900.9
1895, 71.2,,6.0, 48.1, 53.6,,8.9, 17.0,100.9, 68.6, 22.0, 91.9,132.5, 69.4, 139.1, 110.6, 186.5
1896, 24.6,,9.9, 85.5, 17.6,,7.7, 70.1, 30.7, 62.9,169.0, 96.5, 32.3,111.4, 103.9, 110.7, 163.7
1897, 61.5, 78.0,113.1, 51.1, 35.1, 59.7, 26.2, 90.5, 68.4, 20.5, 32.4,100.3, 250.9, 199.3, 176.4, 121.3, 736.8
1898, 17.8, 39.0, 30.5, 36.2, 87.4, 44.9, 15.5, 36.9, 24.7, 97.1, 92.7, 74.4, 157.1, 154.1,,97.3, 214.5
1899, 87.7, 74.5, 19.5, 72.8, 41.7, 40.4, 28.2, 26.7, 69.4, 63.2,108.5, 47.9, 236.6, 134.0,,95.4, 241.1
1900, 92.2,132.3, 29.3, 32.9, 35.5, 69.6, 31.6, 70.7, 22.7, 62.0, 77.2,101.9, 272.5,,97.6, 172.0, 161.9
1901, 32.4, 43.4, 56.4, 59.0, 25.5, 39.8, 63.2, 52.8, 47.7, 61.4, 16.9,121.0, 177.7, 140.9, 155.8, 126.0, 619.5
1902, 26.6, 37.1, 47.7, 30.2, 62.1, 83.1, 35.1, 99.9, 31.0, 53.9, 72.8, 47.8, 184.6, 140.0, 218.1, 157.7, 627.3
1903, 72.6, 41.2, 82.8, 62.9, 79.8,112.3,100.4,100.3, 67.4,186.5, 54.5, 61.3, 161.6, 225.5, 313.0, 308.3,1022.1
1904,106.1, 90.6, 38.2, 33.3, 76.3, 27.6, 49.5, 58.5, 45.4, 51.1, 41.3, 77.3, 258.0, 147.8, 135.5, 137.8, 695.2
1905, 25.5, 20.0,106.8, 54.1, 20.8,111.5, 18.0, 80.0, 52.7, 47.2,105.6, 21.9, 122.8, 181.7, 209.5, 205.5, 664.0
1906,132.0, 66.9, 39.6, 23.4, 54.1, 58.2, 20.5, 27.1, 33.7,130.0,125.1, 56.9, 220.8, 117.2, 105.9, 288.8, 767.8
1907, 25.0, 38.7, 22.3, 90.2, 55.9, 53.9, 45.9, 50.6, 16.1,149.0, 64.3, 95.0, 120.5, 168.4, 150.4, 229.5, 707.0
1908, 42.9, 32.9, 76.6, 72.0, 47.9, 31.9, 66.0, 95.1, 48.3, 47.5, 29.6, 76.6, 170.8, 196.4, 193.0, 125.4, 667.3
1909, 25.8, 14.4, 99.0, 43.6, 38.1, 86.7, 75.2, 66.3, 84.5,163.7, 22.3,108.0, 116.8, 180.7, 228.1, 270.5, 827.6
1910, 73.6,101.3, 32.2, 57.8, 56.8, 82.9, 64.5, 67.3, 11.4, 99.5,106.7,118.4, 283.0, 146.9, 214.7, 217.6, 872.5
1911, 36.5, 43.1, 58.2, 45.2, 37.3, 53.9,,9.3, 27.1, 34.2,104.8,118.2,179.1, 198.0, 140.7,,90.3
1912, 96.0, 63.4,108.4,,2.3, 35.6, 93.6, 52.3,156.6, 68.3, 93.2, 56.4,102.1, 338.5, 146.3, 302.5, 217.9
1913,111.3, 28.8, 76.9, 81.0, 52.7, 16.4, 51.4, 45.2, 62.4,112.1, 85.4, 41.8, 242.3, 210.7, 113.0, 259.9, 765.6
1914, 20.1,101.6,126.6, 33.7, 35.7, 32.7, 66.6, 45.0, 30.2, 63.4,101.8,205.2, 163.5, 196.1, 144.4, 195.4, 862.8
1915,105.9,127.2, 24.4, 33.5, 90.9, 25.9,106.7, 54.7, 64.8, 86.0, 73.5,182.4, 438.4, 148.9, 187.3, 224.3, 976.0
1916, 36.9,123.1,103.7, 29.4, 50.2, 59.5, 30.4, 90.7, 45.1,128.0,121.2, 96.6, 342.5, 183.2, 180.7, 294.3, 914.9
1917, 37.9, 26.8, 58.5, 54.1, 51.4, 71.0,103.0,143.3, 44.1,111.6, 31.8, 44.3, 161.3, 164.0, 317.4, 187.5, 777.8
1918, 89.7, 33.3, 27.2, 71.8, 45.0, 27.0,124.7, 41.1,147.9, 48.3, 64.6, 66.9, 167.3, 144.0, 192.7, 260.8, 787.5
1919,118.1, 67.4,113.0, 68.0, 11.7, 25.2, 54.4, 70.5, 42.6, 25.3, 58.9,132.0, 252.5, 192.7, 150.1, 126.7, 787.1
1920, 90.4, 18.4, 47.8, 88.1, 35.1, 50.8,128.2, 39.7, 63.9, 55.0, 40.1, 74.7, 240.8, 171.0, 218.7, 159.0, 732.1
1921, 75.6, 11.1, 36.3, 27.5, 39.7,,4.6,,9.7, 43.7, 32.6, 26.4, 52.5, 47.6, 161.4, 103.5,
1922, 97.7, 71.2, 57.7, 83.8, 23.7, 35.6, 96.8, 79.3, 54.4, 33.0, 44.5, 97.7, 216.6, 165.3, 211.7, 131.9, 775.6
1923, 41.9,122.1, 56.9, 68.7, 63.9, 12.4, 41.7, 59.8, 55.7,153.9, 50.0, 81.5, 261.6, 189.5, 114.0, 259.7, 808.7
1924, 76.7, 14.6, 34.6, 82.2,101.8, 63.2,102.1, 76.5, 99.2,112.2, 76.2,118.9, 172.8, 218.7, 241.7, 287.6, 958.2
1925, 81.0,111.5, 18.0, 65.9, 83.8,,3.2, 94.5, 72.6, 76.4, 93.6, 70.5, 95.2, 311.4, 167.7, 170.3, 240.6
1926,101.9, 62.9, 13.1, 92.1, 54.6, 75.1, 50.8, 41.4, 23.5, 74.0,174.5, 14.1, 260.0, 159.9, 167.2, 271.9, 777.9
1927, 65.7,108.5, 85.7, 49.0, 25.7, 87.3, 87.6,105.7,139.3, 51.4, 84.7,108.4, 188.3, 160.4, 280.6, 275.4, 999.0
1928,118.1, 48.5, 59.8, 52.4, 46.0, 64.7, 48.0, 60.4, 28.5,151.9, 84.2, 81.0, 275.0, 158.2, 173.0, 264.6, 843.4
1929, 34.8, 21.9,,2.9, 25.7, 49.8, 38.0, 42.1, 50.7, 13.5,104.7,190.6,178.5, 137.8,,78.4, 130.8
1930,102.1, 28.1, 40.2, 54.4, 62.7, 21.9, 63.6, 88.0, 88.5, 49.7,132.7, 80.1, 308.7, 157.3, 173.5, 270.9, 812.0
1931, 55.4, 57.4, 12.5, 86.0, 73.4, 51.3, 90.8,106.8, 52.0, 16.5,101.8, 21.9, 193.0, 171.9, 248.8, 170.3, 725.8
1932, 70.6,,7.2, 43.6, 70.3,107.9, 37.1, 84.2, 30.2, 73.5,155.1, 41.1, 23.4,,99.8, 221.8, 151.5
1933, 57.6, 85.7, 78.1, 29.0, 52.1, 48.6, 51.4, 22.2, 83.0, 53.2, 27.4, 16.6, 166.8, 159.2, 122.3, 163.6, 605.0
1934, 64.1,,4.2, 72.4, 58.4, 19.7, 36.3, 40.9, 63.9, 50.0, 48.2, 69.7,197.6,,84.9, 150.6, 141.0
1935, 26.3, 92.1, 15.7, 93.9, 35.4, 89.5, 23.1, 80.7,112.2,112.3,161.9, 99.4, 316.1, 145.0, 193.2, 386.4, 942.5
1936,124.1, 61.0, 49.1, 49.7, 14.4, 82.0,106.6, 18.2, 75.2, 48.3,102.2, 75.3, 284.5, 113.2, 206.8, 225.8, 806.2
1937,144.7,130.6,101.4, 68.4, 70.0, 40.6, 35.0, 37.9, 59.2, 89.9, 45.0,106.5, 350.6, 239.8, 113.4, 194.0, 929.1
1938, 88.8, 20.6, 10.0,,6.0, 52.4, 20.6, 55.0, 57.5, 56.3, 90.9,103.0, 95.8, 216.0,,68.3, 133.1
1939,138.5, 38.7, 37.9, 69.1, 37.0, 43.8, 92.8, 61.1, 28.3,160.9,149.6, 45.4, 273.0, 144.1, 197.7, 338.8, 903.1
1940, 69.2, 68.6, 76.5, 41.0, 29.6, 16.5, 77.1,,3.0, 40.7, 97.5,197.7, 49.9, 183.1, 147.1,,96.7
1941, 79.1, 74.3, 80.1, 42.9, 49.1, 47.7, 74.3,115.6, 12.1, 34.7, 80.7, 50.9, 203.4, 172.1, 237.5, 127.6, 741.5
1942, 81.4, 18.9, 63.1, 39.4, 88.2,,9.4, 51.8, 79.4, 52.7,100.2, 48.1, 93.4, 151.1, 190.7, 140.6, 201.0
1943,147.1, 38.5, 14.2, 28.7, 68.4, 37.2, 52.7, 44.7, 46.8, 85.6, 46.0, 53.8, 279.0, 111.3, 134.6, 178.4, 663.7
1944, 51.7, 23.6,,5.3, 39.6, 16.8, 47.0, 63.3, 62.3, 62.9,116.4,130.9, 60.0, 129.1,,61.8, 172.5
1945, 50.6, 53.1, 28.1, 28.7, 56.4, 60.5, 75.5, 50.2, 53.1, 85.3, 11.5,104.0, 163.7, 113.2, 186.2, 149.8, 656.9
1946, 63.8, 72.9, 33.0, 58.5, 87.8, 75.5, 48.7,125.8,102.6, 33.7,137.3, 79.0, 240.7, 179.3, 249.9, 273.6, 918.6
1947, 62.4, 43.8,152.6, 54.4, 39.7, 55.7, 49.8, 11.8, 34.7, 15.7, 39.1, 74.1, 185.2, 246.7, 117.3,,89.5
1948,132.5, 37.7, 24.2, 41.4, 74.9, 63.9, 32.9, 98.1, 58.0, 58.1, 46.7,102.9, 244.3, 140.6, 194.9, 162.8, 771.4
1949, 30.9, 34.4, 32.1, 43.1, 54.9, 16.0, 24.9, 37.7, 50.3,189.5, 88.7, 45.1, 168.2, 130.1,,78.6, 328.5
1950, 24.3,128.3, 33.0, 66.1, 43.3, 34.7,100.2, 83.1, 85.3, 18.7,155.7, 54.6, 197.7, 142.4, 218.0, 259.6, 827.3
1951, 89.6,154.9,100.0, 71.4, 64.2, 32.1, 47.8,121.2, 86.9, 32.8,175.7, 70.8, 299.2, 235.7, 201.1, 295.3,1047.4
1952, 64.4, 22.1, 78.8, 42.9, 64.3, 37.7, 16.7, 89.0, 89.0, 96.1,101.9, 75.5, 157.2, 186.0, 143.4, 286.9, 778.3
1953, 27.1, 40.8, 11.9, 60.5, 49.9, 49.8, 89.3, 54.6, 80.9, 89.6, 43.0, 21.4, 143.4, 122.3, 193.8, 213.5, 618.8
1954, 43.1, 69.9, 77.3,,8.5, 57.9, 89.4, 79.0, 85.4, 66.7, 66.1,146.7, 64.1, 134.4, 143.8, 253.8, 279.4
1955, 85.3, 45.4, 34.6, 10.9,108.9, 65.4, 23.4, 28.1, 47.7, 96.0, 50.1, 88.0, 194.9, 154.4, 116.9, 193.8, 683.8
1956,120.0, 12.6, 19.4, 37.4, 10.9, 59.9, 84.9,102.0, 81.9, 45.5, 20.0,110.1, 220.6,,67.7, 246.9, 147.4
1957, 57.5,101.4, 43.4,,6.8, 36.7, 36.9,101.6, 72.3, 83.0, 51.7, 73.5, 65.1, 269.0,,86.9, 210.7
1958, 88.9, 73.3, 41.4, 28.0, 62.5,100.4, 55.4,100.4,108.4, 83.4, 60.9, 96.3, 227.3, 131.8, 256.2, 252.6, 899.3
1959, 88.7,,3.6, 70.6, 67.8, 23.2, 28.9, 53.0, 43.8,,3.7, 74.4, 98.4,168.3, 188.7, 161.7, 125.7
1960, 88.2, 65.7, 47.2, 25.6, 43.3, 57.7, 93.5,107.6,102.3,194.0,138.2,103.3, 322.3, 116.2, 258.8, 434.6,1066.8
1961,107.8, 67.0,,2.9, 85.3, 30.4, 32.5, 41.7, 40.3, 72.8, 97.8, 60.8,100.2, 278.2, 118.6, 114.4, 231.4
1962,105.9, 14.6, 39.9, 49.9, 51.0,,7.1, 49.9, 84.6, 86.0, 43.5, 78.8, 70.4, 220.7, 140.8, 141.6, 208.3
1963, 19.6, 22.1,101.9, 80.1, 45.5, 70.3, 41.0, 88.3, 68.5, 53.0,154.3, 24.1, 112.0, 227.5, 199.6, 275.7, 768.6
1964, 21.6, 29.9, 94.8, 73.2, 72.2, 89.3, 27.8, 30.3, 20.7, 51.6, 58.1, 70.9,,75.6, 240.2, 147.4, 130.4
1965, 78.0,,9.9, 64.5, 44.0, 48.2, 58.1, 84.6, 66.9,119.2, 18.2, 90.7,130.6, 158.8, 156.7, 209.5, 228.1
1966, 47.8,113.4, 17.6, 98.8, 56.1, 68.5, 83.6, 86.1, 35.4,152.5, 62.3, 84.2, 291.8, 172.6, 238.2, 250.2, 906.3
1967, 68.0, 77.5, 55.7, 51.0,117.3, 44.9, 30.7, 60.7, 85.7,139.7, 59.9, 66.4, 229.7, 224.0, 136.3, 285.3, 857.6
1968, 65.3, 50.1, 29.2, 65.9, 62.8, 75.8, 74.3, 67.7,156.0, 85.8, 47.6, 83.7, 181.8, 157.9, 217.9, 289.3, 864.3
1969, 90.7, 48.5, 64.9, 27.5, 85.8, 34.2, 68.6, 74.0, 22.5,,6.1,118.4, 76.0, 222.9, 178.2, 176.9, 147.0
1970,103.2, 59.9, 51.1, 63.0, 26.2, 30.9, 59.0, 63.0, 71.9, 19.8,188.2, 43.0, 239.1, 140.4, 152.9, 279.9, 779.3
1971,107.2, 24.6, 66.2, 54.2, 51.9,136.5, 25.8, 73.9, 14.0, 62.8, 64.1, 26.4, 174.8, 172.2, 236.2, 140.8, 707.5
1972, 84.7, 72.1, 68.1, 62.1, 58.3, 44.3, 38.9, 25.0, 36.0, 28.1, 79.2,108.1, 183.3, 188.5, 108.2, 143.3, 704.9
1973, 32.0, 24.7, 17.6, 54.5, 71.4, 64.7, 50.9, 40.4, 81.2, 38.8, 32.1, 53.1, 164.9, 143.6, 156.0, 152.1, 561.6
1974,109.8,113.7, 35.4, 15.2, 30.0, 75.6, 51.9, 88.6,168.2, 73.0,152.9, 53.0, 276.6,,80.7, 216.1, 394.2
1975,128.0, 28.1, 95.2, 49.4, 54.7, 12.1, 37.2, 40.1,133.9, 30.7, 71.5, 33.2, 209.2, 199.3,,89.4, 236.1
1976, 18.4, 32.2, 21.9, 10.7, 25.1, 14.4, 31.0, 18.3,132.4,146.6,125.0, 93.4,,83.8,,57.6,
1977, 87.9,103.7, 75.4, 33.9, 48.7, 68.9, 22.0,119.1, 23.7, 53.3, 84.1, 96.6, 285.0, 157.9, 210.0, 161.1, 817.3
1978,103.2, 62.3, 66.8, 57.2, 54.6, 41.8, 77.8, 42.3, 20.7,,6.1, 22.8,160.0, 262.2, 178.6, 161.9,
1979, 76.2, 61.0,114.4, 61.3,106.1, 43.7, 33.9, 67.7, 20.2, 62.6, 59.7,131.7, 297.1, 281.8, 145.3, 142.5, 838.4
1980, 53.6, 62.1, 85.3, 19.9, 26.1,104.7, 76.3, 65.8, 56.5,110.0, 50.8, 48.1, 247.4, 131.4, 246.8, 217.3, 759.3
1981, 34.1, 28.3,134.3, 41.1, 92.4, 42.9, 48.2, 32.6,134.9, 97.9, 43.3, 96.3, 110.6, 267.8, 123.7, 276.0, 826.3
1982, 47.7, 39.5, 81.4, 19.7, 46.2, 85.1, 31.7, 57.2, 66.2,152.5,110.3, 93.3, 183.5, 147.3, 174.0, 329.0, 830.8
1983, 72.2, 34.6, 44.4,101.8, 98.2, 39.0, 28.3, 22.0, 69.0, 60.2, 44.0, 84.0, 200.0, 244.4,,89.4, 173.2
1984,133.5, 39.4, 74.0,,4.4, 82.5, 28.7, 29.5, 31.7, 79.5, 98.0,116.0, 93.1, 256.9, 160.9,,90.0
1985, 67.2, 34.0, 56.4, 45.9, 56.6, 88.5, 52.6,104.0, 18.9, 29.7, 58.1,120.5, 194.3, 158.9, 245.1, 106.7, 732.4
1986,121.5, 15.4, 65.0, 66.6, 65.0, 21.9, 43.9, 93.9, 35.5, 85.0,117.0, 98.4, 257.5, 196.6, 159.7, 237.5, 829.1
1987, 19.9, 43.4, 72.0, 56.4, 43.2, 86.1, 75.1, 46.2, 42.9,187.1, 72.7, 33.3, 161.7, 171.6, 207.3, 302.7, 778.2
1988,158.9, 50.1, 78.6, 37.6, 43.0, 27.6, 88.6, 54.3, 46.0, 82.1, 30.5, 17.8, 242.3, 159.2, 170.4, 158.6, 714.9
1989, 33.2, 70.0, 75.8, 78.7, 11.7, 39.8, 29.5, 36.5, 33.8, 76.7, 46.0,146.4, 121.0, 166.2, 105.7, 156.4, 677.9
1990,114.3,135.4,,8.3, 43.0,,9.5, 56.5, 15.4, 34.6, 37.1, 85.7, 50.4, 68.3, 396.0,,60.9
1991, 96.1, 39.1, 57.5, 60.2, 14.7,113.7, 84.1, 16.7, 51.8, 49.0, 74.0, 21.2, 203.5, 132.3, 214.4, 174.9, 678.1
1992, 20.9, 31.4, 56.4, 77.2, 34.3, 35.2, 74.3,109.9, 79.0, 75.9,136.2, 73.1,,73.5, 167.9, 219.3, 291.0
1993, 93.4,,7.5, 30.3, 86.5, 58.7, 54.6, 58.9, 34.9,114.0,125.1, 54.3,135.8, 174.1, 175.5, 148.3, 293.5
1994,115.7, 64.3, 56.9, 67.1, 85.1, 32.7, 25.9, 62.3, 85.2,105.4, 63.2,113.7, 315.8, 209.1, 120.9, 253.7, 877.5
1995,156.9,100.6, 54.6, 19.5, 29.5, 17.9, 32.2,,4.8,129.9, 35.9, 71.0, 95.5, 371.3, 103.6,,54.9
1996, 61.5, 67.0, 41.9, 30.3, 46.1, 17.0, 34.0, 73.5, 28.3, 54.9,133.7, 27.7, 224.1, 118.3, 124.5, 216.9, 615.9
1997, 15.8, 89.9, 16.2, 11.8, 48.2,113.5, 28.2, 93.6, 11.6, 74.1,126.3, 95.4, 133.4,,76.2, 235.3, 212.1
1998,105.4,,9.3, 68.0,105.5, 25.3,103.0, 35.6, 20.6,105.8,141.5, 62.0, 85.1, 210.1, 198.7, 159.3, 309.2
1999,114.2, 31.9, 37.0, 56.6, 36.3, 75.6, 13.2,106.7,124.4, 67.3, 42.1,132.6, 231.2, 129.9, 195.6, 233.7, 837.8
2000, 26.8, 80.5, 22.3,146.2, 99.7, 20.0, 57.2, 46.2,108.1,197.2,171.4,133.4, 239.9, 268.3, 123.4, 476.7,1109.0
2001, 99.3, 99.4,122.1, 78.6, 32.3, 23.3, 55.3, 79.6, 72.0,133.1, 40.8, 25.8, 332.1, 233.1, 158.2, 245.9, 861.6
2002, 85.7,102.0, 46.7, 43.3, 92.7, 59.1, 73.4, 47.5, 40.2, 93.6,183.8,140.4, 213.4, 182.7, 180.0, 317.6,1008.4
2003, 86.5, 32.4, 25.2, 36.6, 45.6, 46.0, 58.0, 18.0, 12.3, 51.0,143.4, 84.8, 259.3, 107.4, 122.0, 206.6, 639.7
2004,103.6, 32.6, 43.6, 77.3, 51.6, 33.4, 53.3,102.6, 35.1,129.9, 34.8, 59.4, 221.0, 172.5, 189.3, 199.8, 757.1
2005, 39.4, 24.7, 51.4, 50.1, 33.1, 34.1, 61.5, 55.3, 40.0, 97.4, 54.4, 69.2, 123.5, 134.6, 151.0, 191.8, 610.6
2006, 23.3, 57.4, 58.6, 39.0, 96.1, 20.6, 39.2, 61.4, 71.2,118.1, 97.1,106.0, 149.9, 193.7, 121.2, 286.5, 788.1
2007, 79.6,103.8, 55.7,,2.5,104.5,101.9,119.7, 52.7, 30.6, 45.2, 81.5, 66.8, 289.4, 162.7, 274.3, 157.3
2008,108.4, 26.7, 92.7, 62.5, 86.5, 43.6, 76.6, 75.0, 72.2, 65.5, 97.7, 44.7, 201.8, 241.8, 195.2, 235.3, 852.0
2009, 90.1, 67.1, 38.5, 40.6, 36.1, 33.8, 84.3, 36.2, 27.8, 65.4,189.8,112.8, 201.9, 115.2, 154.3, 283.1, 822.5
2010, 72.4, 98.2, 58.9, 22.7, 30.1, 32.8, 26.1,100.0, 50.9, 78.5, 76.6, 42.2, 283.4, 111.6, 158.9, 206.0, 689.3
2011, 99.6, 58.7, 16.0,,3.6, 27.2, 82.4, 49.2, 78.1, 40.3, 36.1, 45.6, 93.8, 200.5,,46.8, 209.7
2012, 48.7, 19.3, 26.6,133.8, 42.7,138.2,103.6, 56.0, 66.8,125.0,102.2,142.4, 161.8, 203.2, 297.8, 294.0,1005.4
2013, 81.3, 38.1, 70.3, 41.8, 56.4, 22.8, 31.9, 39.0, 52.6,138.5, 71.6,161.3, 261.9, 168.6,,93.7, 262.7
2014,205.4,147.1, 38.0, 75.2, 74.0, 37.5, 45.7,102.1, 13.9,111.0,135.7, 53.9, 513.8, 187.2, 185.3, 260.6,1039.5
2015, 96.5, 58.5, 23.4, 18.5, 62.8, 26.4, 59.8,108.2, 67.4, 58.1, 77.5, 80.1, 208.9, 104.6, 194.4, 203.0, 737.2
