year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1919, 43.1, 57.8, 95.7,136.1,247.8,230.1,132.8,238.7,164.3,147.3, 49.6, 34.5,, ---, 479.6, 601.7, 361.2
1920, 53.3, 78.8,136.3, 89.7,210.3,208.0,140.2,164.0,108.5,134.0, 72.8, 34.6, 166.6, 436.4, 512.2, 315.2,1430.6
1921, 35.4, 76.2,134.4,214.5,230.6,239.2,266.5,173.1,178.0,162.7, 72.0, 37.7, 146.2, 579.6, 678.8, 412.7,1820.4
1922, 48.7, 93.8,101.8,156.8,282.3,227.0,161.6,135.3,122.5,132.2, 56.6, 47.7, 180.2, 540.8, 523.9, 311.2,1566.2
1923, 61.4, 57.5, 99.8,134.2,170.4,133.0,226.1,247.6,187.6, 96.2, 95.2, 47.4, 166.7, 404.4, 606.6, 379.0,1556.3
1924, 61.0, 59.0,172.7,140.5,200.7,197.3,242.8,159.6,121.9, 81.1, 52.7, 52.6, 167.3, 513.9, 599.7, 255.6,1541.7
1925, 52.8, 75.2,106.0,146.9,211.0,288.9,198.2,155.6,139.2,111.4, 90.4, 62.5, 180.6, 463.9, 642.7, 341.0,1638.2
1926, 50.7, 46.0,115.8,120.8,168.4,206.0,183.6,208.1,136.5, 98.0, 42.3, 55.8, 159.2, 405.0, 597.7, 276.8,1431.9
1927, 57.1, 52.7,126.1,173.4,238.5,183.4,130.6,173.2,110.9,102.3, 54.5, 34.2, 165.6, 538.0, 487.1, 267.7,1436.8
1928, 63.2,104.1,102.1,138.3,175.7,222.3,286.2,201.6,216.5,112.2, 63.3, 46.5, 201.5, 416.0, 710.0, 392.0,1731.9
1929, 42.2, 68.1,184.4,160.4,250.3,212.4,256.4,193.3,200.9,111.0, 76.1, 63.4, 156.9, 595.0, 662.1, 388.0,1818.9
1930, 48.8, 69.8,123.3,127.1,157.7,239.0,195.9,223.3,131.3,123.3, 68.8, 36.0, 181.9, 408.0, 658.2, 323.4,1544.1
1931, 64.2, 73.0,139.1,115.1,169.6,193.2,165.3,149.3,122.8,110.9, 61.9, 37.4, 173.2, 423.8, 507.9, 295.7,1402.0
1932, 50.9, 71.6,142.2,127.1,121.3,217.9,147.9,201.4,107.4,105.1, 44.5, 52.9, 159.9, 390.6, 567.2, 257.0,1390.2
1933, 61.2, 81.6,187.6,174.5,176.9,245.0,250.2,255.3,187.2,108.2, 60.3, 45.9, 195.7, 539.0, 750.5, 355.7,1833.9
1934, 56.1, 93.7,121.5,132.7,226.2,213.0,286.8,193.5,178.6, 75.8, 37.3, 28.3, 195.7, 480.4, 693.3, 291.6,1643.4
1935, 56.6, 60.1,121.7,136.6,186.8,206.1,279.8,202.2,152.3,101.9, 55.8, 44.5, 145.0, 445.2, 688.1, 310.0,1604.3
1936, 33.1, 87.1, 86.9,137.6,203.5,192.3,149.5,190.0,101.1,107.5, 46.4, 65.0, 164.7, 428.0, 531.8, 255.0,1400.1
1937, 49.7, 61.3,115.6,118.2,181.2,206.5,143.5,208.5,157.4, 91.8, 70.9, 34.4, 176.0, 415.0, 558.6, 320.1,1439.1
1938, 45.8, 77.6,178.5,176.8,162.8,213.4,158.3,167.0,135.3,121.5, 54.7, 52.3, 157.8, 518.1, 538.7, 311.4,1543.9
1939, 47.8,105.6, 97.5,180.3,213.1,221.1,167.9,181.9,169.5, 94.2, 40.8, 45.6, 205.7, 491.0, 570.9, 304.6,1565.4
1940, 75.3, 27.6,126.8,126.7,239.7,278.7,198.3,209.3,173.4, 99.0, 77.2, 47.9, 148.5, 493.3, 686.3, 349.7,1680.2
