year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.7,,8.3, 10.4, 11.2, 16.9, 19.0, 21.0, 23.3, 19.2, 13.6,,8.7,,7.4,
1885,,5.0,,9.1,,8.8, 12.8, 13.8, 19.5, 22.4, 19.7, 17.1, 11.3,,8.8,,6.3
1886,,5.1,,3.6,,7.5, 12.4, 15.7, 18.9, 21.4, 21.3, 18.9, 15.1,,9.8,,5.9
1887,,4.8,,7.0,,7.4, 11.4, 14.2, 20.7, 23.3, 22.0, 16.3, 11.5,,7.7,,5.8
1888,,5.5,,4.1,,6.4, 10.0, 15.7, 18.1, 17.9, 19.0, 17.6, 12.7, 10.6,,7.9,
1889,,5.5,,6.0,,8.7, 11.3, 17.3, 20.8, 20.1, 19.7, 17.8, 12.9,,9.8,,6.1
1890,,9.0,,6.2, 10.0, 11.9, 16.9, 18.4, 19.3, 19.6, 19.8, 14.2,,9.5,,1.2,
1891,,4.1,,8.2,,7.9, 10.9, 14.6, 19.8, 19.7, 18.7, 18.7, 14.1,,9.1,,8.0
1892,,5.2,,6.8,,6.8, 13.7, 17.1, 18.6, 19.5, 20.6, 17.3, 11.4, 10.0,,5.4,
1893,,4.1,,8.1, 12.8, 16.8, 18.9, 21.4, 21.5, 23.1, 18.6, 14.5,,8.4,,7.6,
1894,,6.1,,8.3, 11.4, 14.8, 14.5, 18.5, 20.4, 19.2, 16.3, 13.2, 11.0,,7.9,,7.31
1895,,3.3,,1.7,,9.4, 12.6, 18.1, 20.9, 20.6, 20.7, 21.9, 12.1, 11.4,,7.2,
1896,,7.0,,7.6, 11.1, 13.6, 17.6, 21.5, 22.6, 19.8, 17.2, 11.6,,7.5,,6.7,
1897,,4.1,,8.6, 10.5, 11.6, 15.7, 20.5, 22.3, 21.1, 17.0, 14.5, 10.5,,8.0,,6.40
1898,,8.4,,8.3,,8.2, 12.9, 14.6, 18.2, 21.4, 22.2, 21.6, 15.1, 10.9, 10.0,,8.22
1899,,8.4,,9.1,,9.9, 12.2, 15.2, 21.3, 23.6, 24.5, 19.1, 14.5, 11.7,,5.6,
1900,,7.2,,6.3,,7.3, 13.2, 15.2, 19.4, 23.8, 20.6, 19.6, 14.2, 10.3,,9.9,
1901,,6.4,,4.7,,7.3, 13.4, 17.0, 19.5, 23.2, 21.6, 18.6, 14.2,,8.3,,6.8
1902,,7.5,,4.5, 11.0, 12.3, 13.8, 18.2, 20.6, 19.6, 17.9, 13.2,,9.8,,7.0,
1903,,7.0,,9.7, 11.1, 11.0, 16.2, 17.6, 20.5, 19.3, 18.0, 14.4,,9.8,,5.9,
1904,,6.6,,6.7,,8.2, 13.4, 15.6, 18.7, 22.8, 20.9, 17.5, 13.8,,8.9,,7.6
1905,,6.5,,8.2, 10.7, 11.5, 16.8, 19.2, 23.0, 19.9, 16.8, 11.4,,8.4,,7.0,
1906,,8.3,,6.6,,8.7, 12.7, 15.3, 19.2, 21.7, 22.5, 19.6, 15.2, 10.5,,5.7,
1907,,5.9,,5.8, 11.4, 12.1, 15.4, 16.9, 19.2, 19.7, 19.5, 14.1, 10.3,,7.6,,5.79
1908,,5.3,,8.3,,7.9, 10.6, 17.0, 20.2, 21.2, 20.2, 17.4, 16.1, 11.0,,6.8,
1909,,6.1,,6.1,,6.7, 13.9, 16.7, 16.2, 19.4, 21.4, 16.6, 14.2,,8.3,,7.2
1910,,6.6,,8.2, 10.1, 11.7, 16.3, 19.6, 18.4, 19.6, 17.5, 14.6,,7.5,,8.9,
1911,,5.7,,7.5,,8.7, 11.3, 18.2, 19.8, 25.3, 24.8, 20.9, 13.8,,9.3,,9.1
1912,,6.6,,8.4, 10.8, 14.3, 17.3, 18.3, 21.3, 17.2, 15.5, 13.0,,8.9,,9.7,
1913,,7.7,,7.7, 10.2, 12.0, 16.8, 19.3, 19.4, 20.5, 18.5, 15.3, 11.9,,7.4,,8.37
1914,,5.3,,9.7,,9.9, 15.0, 16.3, 20.3, 20.7, 21.7, 19.2, 14.5, 10.1,,8.1,
1915,,6.3,,7.6,,8.7, 12.4, 17.0, 19.7, 19.6, 20.5, 18.6, 13.3,,7.1,,8.9
1916,,9.8,,6.9,,7.0, 13.6, 17.3, 16.3, 20.3, 21.7, 17.6, 14.7,,9.6,,5.2
1917,,3.1,,4.2,,6.8, 10.1, 18.7, 21.1, 20.8, 19.1, 18.8, 12.6, 10.8,,4.7,
1918,,6.6,,8.7, 10.5, 10.8, 18.5, 19.1, 20.7, 21.1, 16.9, 13.1,,9.5,,9.9,
1919,,5.7,,4.9,,7.6, 11.7, 18.6, 19.7, 18.6, 22.2, 18.5, 12.2,,6.3,,8.5
1920,,8.3,,9.5, 11.8, 12.3, 17.0, 19.4, 18.5, 18.5, 18.1, 15.2, 10.2,,6.9,,8.75
1921,,9.7,,8.1, 11.4, 14.0, 17.2, 20.8, 25.0, 21.0, 20.3, 18.5,,8.1,,9.2,
1922,,7.2,,8.1,,8.3, 10.3, 18.8, 19.5, 18.5, 18.4, 16.8, 12.2,,8.9,,8.1
1923,,8.0,,8.9, 10.1, 12.1, 14.6, 17.2, 23.0, 21.1, 18.1, 13.8,,6.6,,7.0,
1924,,7.3,,5.5,,9.1, 11.8, 16.5, 18.7, 20.4, 18.7, 17.2, 14.0, 10.0,,8.8,
1925,,8.1,,8.5,,8.5, 11.8, 16.1, 21.2, 22.0, 20.0, 16.3, 15.0,,7.4,,5.9
1926,,7.1,,9.8, 10.2, 13.4, 14.9, 18.3, 21.5, 21.6, 19.9, 12.6,,9.8,,6.5,
1927,,7.4,,7.1, 10.8, 12.8, 17.3, 17.8, 19.6, 20.0, 16.7, 14.5,,9.1,,4.4,
1928,,8.3,,9.6,,9.9, 12.5, 16.0, 18.2, 23.0, 20.4, 18.9, 14.6, 11.2,,6.6,
1929,,3.6,,3.1, 11.9, 11.4, 16.6, 18.5, 22.1, 20.8, 22.6, 14.0, 10.6,,9.0,,4.49
1930,,9.0,,5.6,,9.6, 12.3, 15.4, 20.7, 20.1, 21.0, 18.0, 14.7, 10.4,,7.3,
1931,,6.2,,7.0,,8.5, 11.6, 15.6, 19.2, 19.5, 19.1, 15.8, 13.5, 10.9,,7.8,
1932,,8.9,,5.7,,8.9, 10.9, 14.5, 19.4, 20.5, 23.1, 17.9, 13.1,,9.4,,7.8
1933,,5.2,,7.3, 12.1, 13.9, 17.3, 21.0, 23.2, 23.9, 20.5, 14.2,,8.4,,3.3,
1934,,7.0,,6.9,,9.1, 12.6, 17.2, 20.8, 24.2, 20.7, 20.0, 14.3,,8.9, 10.4,
1935,,6.9,,8.7, 10.3, 12.1, 15.4, 19.4, 23.5, 22.6, 18.4, 13.7, 10.2,,6.0,,8.65
1936,,7.2,,6.1, 10.4, 10.5, 17.1, 19.9, 19.2, 21.4, 18.5, 13.4,,9.0,,8.2,
1937,,8.1,,9.0,,7.5, 13.2, 17.0, 19.8, 20.6, 22.9, 18.6, 14.8,,8.7,,5.8
1938,,8.5,,7.6, 13.9, 12.8, 15.1, 19.7, 19.9, 21.4, 18.8, 14.3, 12.4,,6.7,,7.27
1939,,7.4,,9.0,,9.3, 13.4, 16.3, 19.5, 19.5, 21.4, 19.2, 12.5, 11.8,,5.4,
1940,,2.2,,5.6, 10.0, 13.2, 18.3, 22.3, 20.0, 21.6, 18.9, 13.7, 10.6,,6.4,,4.37
1941,,3.1,,6.8,,9.5, 10.9, 13.8, 20.5, 23.1, 19.2, 19.1, 14.5,,9.8,,8.2
1942,,3.7,,2.8,,9.0, 13.8, 16.1, 20.7, 20.4, 21.3, 18.7, 15.0,,8.5,,9.1
1943,,8.1,,9.1, 11.5, 15.9, 17.8, 19.5, 21.8, 21.2, 18.5, 15.4,,9.5,,6.5,
1944,,8.9,,6.0,,9.5, 14.9, 17.6, 18.6, 20.7, 22.9, 17.4, 13.0,,9.8,,6.5
1945,,3.2, 10.3, 12.3, 15.5, 17.8, 19.2, 21.7, 20.9, 18.2, 16.2, 10.2,,8.1,,6.54, 15.20
1946,,5.8,,9.0,,8.9, 15.3, 15.4, 17.5, 21.5, 19.4, 17.8, 13.6, 10.9,,6.1,
1947,,4.8,,0.5,,7.6, 13.2, 18.4, 20.8, 22.3, 25.3, 20.6, 15.6, 10.6,,7.9,
1948,,8.8,,7.6, 13.2, 14.5, 17.4, 18.6, 20.6, 19.8, 18.7, 14.3, 10.8,,8.7,,8.09
1949,,8.5,,9.6,,9.0, 15.0, 16.1, 20.5, 23.8, 22.9, 21.6, 16.5,,9.9,,8.9
1950,,6.8,,9.4, 11.7, 12.4, 16.3, 21.6, 20.7, 20.7, 17.3, 13.6,,9.4,,3.7,
1951,,7.1,,6.9,,8.0, 11.8, 14.5, 19.1, 21.8, 19.5, 18.5, 14.0, 11.6,,8.9,
1952,,6.2,,6.5,,9.9, 14.6, 18.3, 20.1, 22.2, 21.0, 15.9, 13.0,,7.2,,6.1
1953,,5.3,,6.8, 10.5, 12.4, 17.6, 19.0, 20.0, 21.5, 18.6, 14.4, 11.3,,9.7,,6.07
1954,,5.4,,5.7,,9.9, 12.5, 16.1, 17.7, 18.4, 19.2, 17.4, 15.6, 11.1,,9.5,
1955,,5.3,,4.7,,7.2, 13.9, 14.4, 18.8, 22.9, 23.4, 19.1, 13.7, 10.3,,9.3,
1956,,7.2,,2.3, 10.2, 11.5, 17.8, 17.7, 20.2, 18.4, 18.4, 13.6,,8.9,,8.3,
1957,,8.2,,8.8, 12.8, 13.4, 15.3, 21.8, 21.4, 20.3, 17.1, 15.2,,8.9,,7.5,
1958,,6.6,,8.8,,7.5, 11.6, 15.8, 18.3, 20.5, 19.9, 19.2, 14.6,,9.4,,8.0
1959,,5.5,,6.9, 11.1, 13.7, 17.7, 20.6, 23.3, 22.9, 21.7, 17.1, 10.6,,9.1,,6.77
1960,,6.5,,7.4,,9.5, 13.4, 17.4, 20.8, 19.3, 19.6, 17.5, 13.8, 11.0,,6.8,
1961,,6.7,,9.9, 12.9, 14.0, 16.1, 20.3, 20.9, 20.7, 20.0, 15.2,,9.4,,6.4,
