year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,6.1,,5.4,,6.4,,6.9, 11.6, 14.0, 16.3, 17.4, 14.9,,9.2,,5.4
1885,,2.5,,6.1,,4.6,,8.0,,9.3, 14.4, 16.6, 14.6, 12.7,,7.6,
1886,,2.0,,0.9,,3.8,,7.9, 10.9, 13.8, 16.2, 16.1, 14.4, 11.4,,6.4,
1887,,1.6,,3.4,,3.6,,6.3,,9.7, 15.0, 17.4, 16.0, 12.0,,7.1,
1888,,2.6,,1.2,,3.2,,6.0, 10.5, 13.5, 14.0, 14.5, 13.1,,7.7,,8.1
1889,,2.5,,2.6,,4.6,,7.3, 12.8, 15.6, 15.5, 15.0, 13.1,,9.0,,6.7
1890,,5.8,,3.1,,5.8,,7.4, 11.8, 13.8, 14.8, 15.0, 14.7,,9.5,,5.8
1891,,0.7,,3.7,,4.1,,6.4,,9.8, 14.8, 15.0, 14.5, 14.2, 10.2,,5.8
1892,,2.1,,3.6,,2.7,,7.7, 11.5, 13.5, 14.6, 15.8, 12.8,,7.3,,6.8
1893,,1.4,,4.9,,7.3, 10.5, 13.1, 15.6, 16.7, 17.6, 13.5, 10.3,,4.9,,4.1
1894,,3.1,,4.9,,6.7, 10.0,,9.8, 13.9, 15.9, 15.1, 12.1,,9.7,,7.8
1895,,0.4, -2.1,,5.2,,8.2, 12.2, 14.9, 15.9, 15.9, 16.0,,7.7,,8.1,
1896,,4.3,,4.1,,7.3,,8.9, 11.7, 16.2, 16.9, 14.9, 13.4,,7.6,,4.1
1897,,1.6,,5.8,,6.8,,7.5, 10.3, 15.4, 16.9, 16.4, 12.5, 10.4,,7.1,
1898,,5.9,,4.7,,4.3,,8.1, 10.9, 13.6, 15.9, 17.0, 15.7, 11.6,,7.5,
1899,,5.4,,5.4,,4.9,,8.1, 10.3, 15.5, 18.0, 18.5, 14.2,,9.7,,8.4
1900,,4.2,,3.1,,3.8,,8.2, 10.5, 14.5, 18.1, 15.8, 14.0, 10.0,,7.4,
1901,,3.3,,1.7,,4.1,,8.4, 11.2, 14.1, 17.6, 16.2, 14.1,,9.8,,4.6
1902,,4.7,,1.5,,6.8,,7.6,,9.0, 13.6, 15.3, 15.0, 13.2,,9.4,
1903,,4.3,,6.6,,7.3,,6.5, 11.3, 12.8, 15.6, 14.7, 13.5, 11.0,,6.4,
1904,,3.5,,3.7,,4.4,,8.9, 11.2, 13.6, 17.4, 15.7, 12.6, 10.0,,5.2,
1905,,3.1,,5.2,,6.9,,7.7, 11.1, 14.8, 17.8, 15.2, 12.8,,7.1,,4.9
1906,,5.2,,3.2,,4.9,,7.1, 10.8, 13.7, 16.1, 17.1, 14.3, 11.5,,7.4,
1907,,3.1,,2.4,,6.2,,7.6, 10.9, 12.9, 14.4, 14.9, 14.1, 10.3,,6.9,
1908,,2.1,,4.8,,4.2,,6.2, 12.3, 14.7, 16.2, 15.1, 12.8, 11.8,,7.4,
1909,,3.1,,2.3,,3.4,,8.7, 10.8, 12.1, 15.0, 16.1, 12.4, 10.8,,4.7,
1910,,3.7,,5.0,,5.8,,7.5, 11.4, 14.9, 14.4, 15.4, 13.0, 11.2,,3.6,
1911,,3.0,,4.3,,5.3,,7.2, 12.8, 14.7, 18.6, 18.9, 15.0,,9.9,,6.1
1912,,4.0,,5.5,,7.5,,8.9, 12.5, 14.0, 16.6, 13.3, 11.3,,8.3,,6.0
1913,,5.0,,4.6,,6.6,,8.0, 11.9, 14.2, 14.8, 15.5, 14.3, 11.6,,8.3,
1914,,2.6,,6.3,,6.3,,9.7, 11.2, 14.6, 16.1, 16.5, 13.7, 10.4,,6.8,
1915,,3.8,,4.3,,5.0,,7.6, 11.5, 14.3, 15.0, 15.8, 13.5,,9.4,,3.4
1916,,7.1,,3.8,,3.9,,8.5, 12.1, 11.8, 15.3, 16.8, 13.3, 11.3,,6.4,
1917,,1.2,,1.1,,3.2,,5.4, 13.1, 15.8, 15.9, 15.5, 14.3,,8.1,,7.7
1918,,3.5,,5.8,,5.9,,6.8, 13.0, 13.3, 15.8, 16.1, 12.9,,9.4,,6.0
1919,,2.9,,2.0,,4.3,,7.0, 13.0, 14.2, 14.0, 16.7, 13.5,,7.3,,3.3
1920,,5.0,,5.9,,7.4,,8.7, 12.2, 14.6, 14.5, 13.8, 13.4, 11.0,,6.4,
1921,,7.1,,4.6,,7.3,,8.6, 11.8, 14.9, 18.6, 16.1, 14.8, 13.2,,4.9,
1922,,4.1,,4.8,,5.0,,6.0, 12.9, 14.3, 14.1, 14.0, 12.5,,8.3,,5.3
1923,,4.7,,6.1,,6.7,,8.0, 10.1, 12.7, 17.9, 15.9, 12.9, 10.3,,3.2,
1924,,4.7,,2.7,,4.6,,7.3, 11.9, 14.2, 15.4, 14.4, 13.7, 10.6,,7.1,
1925,,5.3,,5.3,,4.8,,7.4, 11.6, 15.2, 16.9, 15.7, 11.8, 10.9,,4.3,
1926,,4.2,,7.0,,6.5,,9.0, 10.5, 13.5, 16.8, 16.6, 15.3,,8.5,,6.7
1927,,4.4,,4.0,,7.3,,8.3, 11.9, 13.1, 15.7, 15.8, 12.9, 10.5,,6.0,
1928,,5.0,,5.9,,6.4,,8.2, 11.0, 13.4, 17.2, 15.8, 13.2, 10.6,,8.0,
1929,,1.2, -0.0,,6.1,,6.5, 11.2, 13.5, 16.4, 15.9, 16.7,,9.9,,7.0,
1930,,6.1,,3.0,,5.5,,8.3, 11.0, 15.5, 15.6, 16.3, 14.0, 10.9,,6.8,
1931,,3.3,,3.8,,4.4,,7.8, 11.3, 14.7, 15.3, 15.0, 11.6,,9.2,,7.8
1932,,6.0,,2.6,,4.5,,7.1, 10.4, 14.0, 16.0, 18.0, 13.7,,9.2,,6.6
1933,,2.3,,4.1,,7.4,,8.8, 12.2, 15.4, 17.9, 18.0, 15.4, 10.3,,5.5,
1934,,3.7,,3.0,,5.1,,8.3, 11.7, 15.3, 18.1, 15.5, 14.9, 10.7,,6.1,
1935,,4.4,,5.6,,6.2,,8.1, 10.3, 15.0, 17.8, 16.8, 14.2,,9.9,,7.0
1936,,4.6,,2.8,,6.9,,6.4, 11.8, 15.0, 15.3, 16.3, 14.6,,9.1,,5.7
1937,,5.3,,6.0,,4.0,,9.3, 12.3, 14.5, 16.2, 17.4, 13.7, 10.9,,5.2,
1938,,5.7,,4.5,,8.8,,7.3, 10.3, 14.7, 15.3, 16.5, 14.1, 10.3,,9.3,
1939,,4.8,,5.4,,5.8,,8.7, 11.2, 14.4, 15.3, 16.5, 14.7,,8.7,,8.8
1940, -1.1,,2.8,,5.9,,8.7, 12.6, 16.4, 15.2, 16.0, 13.4,,9.8,,7.0,
1941,,0.9,,3.7,,5.4,,6.7,,9.0, 15.1, 17.6, 14.9, 14.5, 10.4,,6.6
1942,,0.6, -0.1,,5.2,,9.2, 11.1, 14.6, 15.7, 16.5, 14.2, 11.1,,5.0,,6.4
1943,,5.2,,5.4,,6.7, 10.8, 12.4, 14.5, 16.5, 16.4, 13.4, 11.2,,6.0,,3.7
1944,,5.9,,3.1,,4.8,,9.9, 11.4, 13.8, 16.4, 17.7, 12.8,,9.4,,6.4
1945,,0.2,,6.9,,7.6, 10.2, 12.6, 14.6, 16.7, 16.1, 14.5, 11.9,,7.2,,5.1
1946,,2.8,,6.0,,5.0,,9.7, 10.7, 13.1, 16.3, 14.9, 14.1, 10.2,,8.0,
1947,,1.8, -1.7,,4.3,,8.6, 13.1, 15.7, 17.4, 19.1, 15.4, 10.5,,7.3,,5.0
1948,,5.7,,4.5,,8.1,,9.2, 11.8, 14.1, 15.8, 15.3, 14.2, 10.1,,7.5,
1949,,5.3,,5.4,,5.0, 10.1, 10.9, 14.9, 17.8, 17.3, 16.9, 12.4,,6.6,,5.9
1950,,4.1,,6.0,,7.6,,8.0, 11.5, 16.4, 16.3, 16.1, 13.4,,9.9,,6.3
1951,,4.3,,4.0,,4.7,,7.1, 10.3, 14.0, 16.7, 15.2, 14.5,,9.7,,8.6
1952,,3.1,,3.1,,6.6,,9.6, 13.2, 14.8, 17.1, 16.5, 11.4,,9.4,,4.1
1953,,2.8,,3.7,,5.4,,8.0, 12.6, 14.4, 15.6, 16.5, 13.9, 10.5,,8.3,
1954,,2.6,,2.8,,6.3,,7.2, 11.3, 13.6, 14.5, 14.9, 13.2, 12.2,,7.4,
1955,,2.7,,1.8,,3.2,,8.9, 10.0, 14.2, 17.4, 17.9, 14.2,,9.2,,7.0
1956,,4.0, -1.0,,6.1,,6.7, 11.9, 13.3, 16.0, 14.1, 14.7,,9.6,,5.7,
1957,,5.3,,5.7,,9.1,,8.9, 10.5, 15.6, 17.1, 15.9, 13.2, 11.2,,6.2,
1958,,3.6,,5.3,,4.0,,7.2, 11.4, 13.9, 16.1, 16.0, 15.3, 11.2,,6.6,
1959,,2.2,,3.7,,7.3,,9.5, 12.3, 15.2, 17.6, 17.6, 15.7, 12.4,,7.1,
1960,,3.9,,4.2,,6.5,,8.8, 12.6, 15.6, 15.3, 15.1, 13.4, 10.6,,7.7,
1961,,3.9,,7.0,,7.8, 10.2, 11.1, 14.7, 15.8, 16.0, 15.5, 11.2,,6.2,,3.1
1962,,4.4,,4.0,,2.8,,7.7,,9.9, 13.4, 15.1, 14.9, 12.8, 10.6,,5.6
1963, -2.7, -0.9,,5.7,,8.4, 10.4, 14.6, 15.2, 14.7, 13.3, 10.8,,8.5,,2.0, -0.57
1964,,2.8,,4.2,,4.4,,8.3, 13.1, 14.1, 16.6, 16.1, 14.7,,8.7,,7.6
1965,,3.5,,2.7,,5.5,,8.1, 11.5, 13.9, 14.4, 15.3, 12.3, 11.1,,4.9,
1966,,2.6,,6.3,,6.4,,8.1, 11.1, 15.5, 15.2, 15.1, 14.2, 10.9,,5.4,
1967,,4.2,,5.4,,7.2,,7.8, 10.9, 14.1, 17.1, 15.9, 14.0, 11.3,,5.6,
1968,,3.9,,2.2,,6.4,,7.9, 10.1, 14.7, 15.3, 15.7, 14.2, 12.8,,6.6,
1969,,5.7,,1.4,,4.2,,7.8, 11.5, 14.0, 17.3, 16.5, 14.4, 12.9,,5.9,
1970,,4.1,,3.3,,3.8,,6.7, 12.7, 16.3, 15.5, 16.1, 14.7, 10.9,,8.2,
1971,,4.6,,4.4,,4.9,,7.6, 11.7, 13.0, 17.2, 16.2, 14.2, 11.6,,5.9,
1972,,3.8,,4.7,,7.0,,8.5, 10.6, 11.8, 15.9, 15.5, 12.1, 10.7,,6.2,
1973,,4.3,,4.0,,5.9,,7.3, 11.5, 15.0, 15.9, 17.4, 14.8,,9.3,,6.2
