year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.5,,2.6,,2.5,,2.5,,6.3,,9.0, 11.6, 11.5, 10.5,,4.8
1885, -0.0,,3.2,,0.4,,3.2,,4.8,,9.2, 10.8,,9.4,,8.3,
1886, -1.1, -1.8,,0.2,,3.4,,6.1,,8.6, 11.0, 11.1,,9.9,,7.8,
1887, -1.6, -0.1, -0.1,,1.2,,5.3,,9.2, 11.4, 10.0,,7.6,,2.7,,1.7
1888, -0.3, -1.6, -0.1,,2.0,,5.3,,8.9, 10.1, 10.1,,8.5,,2.8,,5.6
1889, -0.5, -0.9,,0.5,,3.4,,8.3, 10.4, 10.9, 10.3,,8.3,,5.1,,3.6
1890,,2.6, -0.0,,1.6,,2.8,,6.6,,9.1, 10.3, 10.3,,9.6,,4.8
1891, -2.6, -0.8,,0.3,,1.9,,5.0,,9.7, 10.3, 10.3,,9.7,,6.4,
1892, -1.0,,0.4, -1.3,,1.6,,5.9,,8.0, 10.0, 11.0,,8.3,,3.1,
1893, -1.3,,1.8,,1.7,,3.9,,7.4,,9.7, 11.8, 12.1,,8.4,,6.1
1894,,0.2,,1.4,,2.1,,5.3,,5.0,,9.3, 11.5, 10.9,,8.0,
1895, -2.4, -5.8,,1.0,,3.9,,6.3,,8.8, 11.1, 11.1, 10.1,,3.3,,4.8
1896,,1.6,,0.5,,3.5,,4.3,,5.9, 10.8, 11.3,,9.9,,9.6,
1897, -0.8,,3.0,,3.2,,3.5,,5.0, 10.4, 11.6, 11.7,,8.1,,6.4,
1898,,3.4,,1.2,,0.3,,3.3,,7.0,,8.9, 10.5, 11.9,,9.8,
1899,,2.3,,1.7, -0.2,,4.1,,5.4,,9.6, 12.4, 12.6,,9.2,,4.9
1900,,1.2, -0.1,,0.2,,3.2,,5.7,,9.6, 12.5, 11.0,,8.4,,5.7
1901,,0.2, -1.4,,0.7,,3.4,,5.5,,8.6, 12.0, 10.9,,9.6,,5.5
1902,,1.8, -1.4,,2.6,,3.0,,4.2,,9.0, 10.0, 10.4,,8.5,,5.6
1903,,1.7,,3.4,,3.5,,2.0,,6.5,,8.0, 10.8, 10.2,,9.1,
1904,,0.5,,0.8,,0.6,,4.5,,6.7,,8.5, 12.0, 10.4,,7.8,
1905, -0.3,,2.3,,3.1,,4.0,,5.3, 10.4, 12.6, 10.7,,8.8,,2.7,
1906,,2.1, -0.1,,1.2,,1.6,,6.3,,8.2, 10.6, 11.7,,9.0,,7.8
1907,,0.4, -0.9,,0.9,,3.2,,6.5,,8.9,,9.5, 10.2,,8.8,
1908, -1.0,,1.4,,0.5,,1.9,,7.6,,9.1, 11.2, 10.0,,8.3,,7.6
1909,,0.3, -1.4,,0.1,,3.5,,5.0,,7.9, 10.6, 10.8,,8.2,,7.5
1910,,0.8,,1.8,,1.5,,3.4,,6.6, 10.2, 10.3, 11.2,,8.4,,7.9
1911,,0.4,,1.2,,1.8,,3.0,,7.5,,9.7, 12.0, 13.1,,9.0,
1912,,1.5,,2.6,,4.2,,3.5,,7.7,,9.5, 11.9,,9.4,,7.1
1913,,2.2,,1.5,,3.0,,4.0,,6.9,,9.1, 10.2, 10.5, 10.1,,7.9
1914, -0.1,,3.0,,2.7,,4.4,,6.0,,9.0, 11.4, 11.4,,8.3,,6.4
1915,,1.3,,1.0,,1.3,,2.9,,6.1,,8.8, 10.4, 11.1,,8.4,
1916,,4.4,,0.7,,0.7,,3.5,,7.0,,7.3, 10.2, 11.9,,9.0,
1917, -0.6, -2.1, -0.5,,0.8,,7.5, 10.3, 11.1, 12.0,,9.9,,3.6,,4.5, -1.1
1918,,0.5,,3.0,,1.3,,2.8,,7.5,,7.4, 10.9, 11.2,,9.0,
1919,,0.2, -0.9,,0.9,,2.4,,7.4,,8.6,,9.5, 11.3,,8.5,
1920,,1.8,,2.3,,3.0,,5.2,,7.3,,9.7, 10.5,,9.0,,8.7
1921,,4.5,,1.1,,3.1,,3.2,,6.4,,9.0, 12.3, 11.3,,9.3,
1922,,1.0,,1.5,,1.8,,1.8,,7.0,,9.1,,9.8,,9.7,
1923,,1.3,,3.3,,3.2,,4.0,,5.5,,8.2, 12.7, 10.7,,7.8,
1924,,2.2, -0.2,,0.1,,2.9,,7.3,,9.6, 10.4, 10.2, 10.1,,7.3,
1925,,2.5,,2.2,,1.0,,3.0,,7.1,,9.2, 11.8, 11.4,,7.3,
1926,,1.4,,4.4,,2.8,,4.5,,6.2,,8.7, 12.1, 11.7, 10.7,,4.5
1927,,1.5,,1.0,,3.9,,3.9,,6.5,,8.3, 11.8, 11.7,,9.1,
1928,,1.7,,2.3,,2.8,,3.9,,6.0,,8.5, 11.3, 11.1,,7.5,
1929, -1.2, -3.1,,0.2,,1.6,,5.9,,8.3, 10.7, 11.0, 10.8,,5.7,,3.3
1930,,3.2,,0.3,,1.5,,4.4,,6.5, 10.3, 11.2, 11.6, 10.0,,7.0,
1931,,0.5,,0.7,,0.3,,3.9,,7.0, 10.2, 11.2, 10.9,,7.5,,4.9
1932,,3.1, -0.4,,0.1,,3.3,,6.3,,8.7, 11.6, 12.9,,9.6,,5.3
1933, -0.5,,0.9,,2.7,,3.7,,7.1,,9.8, 12.6, 12.2, 10.4,,6.5,
1934,,0.4, -0.9,,1.1,,3.9,,6.2,,9.8, 12.0, 10.4,,9.8,,7.0
1935,,1.9,,2.6,,2.1,,4.1,,5.3, 10.6, 12.2, 11.0, 10.0,,6.0,
1936,,2.0, -0.4,,3.5,,2.4,,6.6, 10.1, 11.4, 11.2, 10.7,,4.8,,2.6
1937,,2.5,,3.1,,0.4,,5.3,,7.6,,9.3, 11.8, 11.8,,8.7,
1938,,2.9,,1.5,,3.6,,1.9,,5.5,,9.8, 10.7, 11.6,,9.5,
1939,,2.2,,2.0,,2.4,,4.0,,6.0,,9.3, 11.1, 11.7, 10.2,,4.9
1940, -4.3, -0.0,,1.9,,4.4,,6.9, 10.5, 10.4, 10.4,,7.8,,5.9,,3.5
1941, -1.3,,0.6,,1.4,,2.5,,4.2,,9.7, 12.0, 10.6,,9.9,,6.3
1942, -2.4, -2.9,,1.3,,4.6,,6.1,,8.5, 11.1, 11.9,,9.7,,7.2,
1943,,2.4,,1.8,,1.9,,5.8,,7.1,,9.4, 11.3, 11.6,,8.4,
1944,,2.8,,0.2,,0.0,,4.9,,5.1,,9.0, 12.2, 12.5,,8.2,
1945, -2.7,,3.6,,2.9,,5.0,,7.4,,9.9, 11.7, 11.3, 10.9,,7.6,
1946, -0.2,,3.2,,1.1,,4.1,,5.9,,8.8, 11.2, 10.5, 10.3,,6.8,
1947, -1.2, -3.8,,1.0,,4.1,,7.9, 10.6, 12.5, 12.9, 10.3,,5.6,,4.1,
