year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 12.0, 13.1,,2.1,,1.8,,0.2,,0.0,,0.0,,0.0,,0.0,
1961,,9.6,,0.4,,4.8,,0.1,,0.7,,0.0,,0.0,,0.0,
1962,,6.4,,9.0, 19.9,,1.7,,0.4,,0.1,,0.0,,0.0,,0.1
1963, 29.0, 24.2,,6.2,,0.9,,0.1,,0.0,,0.0,,0.0,,0.0,
1964, 10.1,,9.4,,9.2,,2.9,,0.0,,0.0,,0.0,,0.0,,0.0
1965, 13.3, 14.0, 10.3,,2.7,,0.8,,0.0,,0.0,,0.0,,0.0,,0.0
1966, 12.2,,4.1,,3.2,,3.1,,0.0,,0.0,,0.0,,0.0,,0.0
1967,,8.7,,7.3,,2.7,,1.5,,1.6,,0.0,,0.0,,0.0,
1968,,8.6, 19.4,,6.4,,8.6,,0.6,,0.0,,0.0,,0.0,,0.0
1969,,5.2, 16.9, 12.8,,4.6,,0.3,,0.1,,0.0,,0.0,,0.4,
1970,,9.1, 13.1, 13.5,,7.4,,0.0,,0.0,,0.0,,0.0,,0.0,
1971,,6.1,,8.6,,7.4,,2.3,,0.7,,0.0,,0.0,,0.0,
1972,,8.3,,3.1,,4.9,,0.4,,0.1,,0.0,,0.0,,0.0,
1973,,9.8,,8.8,,9.3,,3.7,,0.4,,0.1,,0.0,,0.0,
1974,,3.3,,4.9,,8.1,,2.6,,0.6,,0.0,,0.0,,0.0,
1975,,2.4,,4.3,,8.0,,7.0,,0.3,,0.0,,0.0,,0.0,
1976,,7.1, 10.2, 10.0,,4.3,,0.6,,0.0,,0.0,,0.0,,0.0,
1977, 14.2,,4.2,,2.9,,4.9,,1.0,,0.0,,0.0,,0.0,,0.0
1978,,9.0, 13.7,,4.5,,6.1,,0.0,,0.0,,0.0,,0.0,,0.0
1979, 24.4, 17.4,,8.8,,4.8,,4.0,,0.0,,0.0,,0.0,,0.1,
1980, 18.8,,2.8,,6.7,,2.1,,0.4,,0.0,,0.0,,0.0,,0.0
1981,,8.6, 16.0,,1.7,,3.8,,0.6,,0.0,,0.0,,0.0,,0.0
1982, 10.4,,7.0,,4.0,,2.4,,2.3,,0.0,,0.0,,0.0,,0.0
1983,,2.6, 16.8,,2.7,,3.6,,0.0,,0.0,,0.0,,0.0,,0.0
