year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 12.9,,0.2, 12.3,,9.2, 16.8, 11.4, 14.8, 20.9, 15.5, 21.7, 15.4, 19.6,, ---,
1892, 14.6, 14.3,,5.8,,7.0,,8.9,,9.7,,8.6, 13.8, 12.1, 17.5, 16.2, 11.6
1893, 13.4, 21.4,,4.5,,2.1,,7.8,,8.0, 15.4, 10.3, 12.4, 17.7, 11.0, 14.8,
1894, 22.0, 14.9, 10.9, 15.3, 15.0, 13.3, 18.1, 15.4,,9.4, 13.9, 16.3, 16.3,,51.7,,41.1
1895, 18.3,,1.6, 14.7, 10.5,,4.0,,6.9, 13.5, 15.7,,6.1, 16.6, 20.0, 20.9,
1896,,7.8,,4.9, 21.3,,8.0,,1.6, 11.3, 10.1, 12.8, 23.6, 17.3,,6.6, 21.3
1897, 12.8, 14.0, 18.9, 19.1, 10.2,,9.5,,7.0, 21.4, 13.0,,7.7,,9.9, 17.8,
1898,,7.6, 15.5,,9.5, 10.3, 19.1, 10.8,,4.0, 12.9,,5.5, 19.4, 14.0, 16.0,
1899, 20.1, 12.4,,7.1, 17.3, 11.8,,5.0,,6.7,,8.9, 16.0,,9.4,,9.3
1900, 21.6, 17.9,,8.6, 10.7, 10.1, 15.7,,8.1, 14.4,,8.0, 16.8, 19.8, 22.1,,56.5
1901, 16.5,,6.8, 13.2, 14.8,,6.8,,8.6,,8.5, 10.7, 14.4, 16.3,,7.3, 21.2
1902, 12.5,,8.5, 13.1, 10.1, 15.3, 15.4,,8.5, 16.9, 11.7, 14.8, 15.8, 12.5,,42.2,
1903, 17.7, 12.8, 22.7,,9.7, 14.4,,8.8, 14.9, 18.5, 14.8, 29.0, 14.4, 16.3,,42.9,
1904, 20.8, 21.5, 10.8, 12.2, 14.9,,7.5, 13.8, 15.0, 10.6,,9.3, 11.0, 17.1,,58.5,
1905,,9.2, 10.2, 19.4, 17.1,,3.9, 13.8,,7.6, 18.7,,9.7, 11.4, 18.1,,9.4
1906, 21.2, 17.7, 10.6,,9.1, 17.0,,7.7,,9.3, 13.6,,5.1, 22.8, 15.5, 15.8,
1907, 12.2, 10.7,,9.8, 18.5, 16.2, 20.0, 13.5, 15.5,,6.5, 25.5, 14.9, 20.8,,38.7,
1908, 10.8, 13.7, 18.4, 11.8, 13.3,,5.8, 10.4, 12.8, 16.5, 10.1, 10.4, 21.5,,45.3,,43.5
1909, 13.0,,3.7, 21.1, 13.7,,5.9, 12.5, 14.7, 10.1, 11.3, 23.3,,9.3, 20.2,,38.2
1910, 18.5, 24.1,,7.1, 16.7, 15.1, 14.4, 14.5, 18.6,,2.5, 15.0, 20.4, 22.5,,62.8,
1911,,8.6, 14.1, 12.8, 10.8,,6.9, 11.4,,2.6, 10.2, 10.5, 14.9, 20.4, 26.0,,45.2
1912, 16.9, 18.5, 23.3,,2.9, 10.3, 19.5, 15.3, 24.4,,4.3, 14.9, 11.8, 23.7,,61.4,
1913, 22.9,,8.7, 20.2, 16.9, 16.4,,8.6,,6.4,,9.2, 12.0, 16.5, 20.9, 13.9,
1914, 11.5, 17.1, 25.2,,9.6, 12.1,,8.9, 16.7, 13.0,,9.8, 12.8, 17.9, 23.7,,42.5
1915, 18.8, 21.2,,6.7, 10.8, 10.3,,9.0, 16.2, 13.0,,9.1, 14.0,,9.4, 24.3,
1916, 15.1, 23.5, 16.2, 10.9, 14.8, 14.1,,7.5, 13.5,,9.8, 24.1, 18.0, 15.8,,62.9,
1917,,7.7,,7.9, 16.5, 12.5,,9.9, 13.0, 10.3, 22.3, 10.9, 24.3, 14.8,,8.0,
1918, 14.6, 15.9,,9.1, 11.9,,9.0,,7.1, 17.5, 10.4, 25.7, 17.4, 14.3, 24.9,,38.6
1919, 21.5, 12.0, 18.6, 13.8,,7.3,,7.8,,8.9, 11.4, 11.7,,9.9, 14.4, 25.0,
1920, 22.0, 11.7, 18.1, 23.0, 13.0, 13.6, 22.5,,8.0, 10.1, 13.1, 10.3, 15.3,,58.7,,54.1
1921, 22.5,,2.0, 18.6,,7.2, 13.0,,1.8,,8.3, 15.5,,6.6,,8.2, 14.2
1922, 21.4, 17.3, 14.1, 16.9,,7.2,,9.5, 17.1, 15.6, 11.3,,5.3, 10.2, 18.7,,56.5
1923, 14.2, 23.1, 10.8, 16.2, 16.6,,4.2, 12.1, 14.6, 14.8, 23.8, 15.0, 19.2,,56.0,,43.7
1924, 18.9,,6.8,,8.3, 12.4, 19.7, 11.5, 15.0, 20.8, 19.2, 17.5, 10.5, 18.2,,44.9,
1925, 16.4, 21.7,,8.2, 15.8, 19.9,,0.4, 14.2, 15.4, 14.2, 13.9, 10.9, 18.5,,56.4,
1926, 22.4, 15.7,,6.7, 13.4, 13.6, 10.0, 11.5, 14.5, 10.9, 14.7, 24.5,,6.8,,56.7,
1927, 21.8, 13.4, 19.5, 10.7,,7.3, 15.3, 19.5, 19.5, 20.6, 12.0, 16.4, 12.0,,42.0,,37.5
1928, 23.5, 14.0, 18.0, 11.1,,7.6, 16.0,,9.3, 14.7,,7.1, 22.6, 19.7, 17.5,,49.5
1929,,7.8,,9.9,,3.0,,6.6, 11.9, 10.6,,9.1, 13.6,,4.3, 17.5, 21.9
1930, 21.4,,5.5, 15.3, 15.2, 13.4,,7.2, 14.8, 16.3, 17.6, 22.9, 16.8, 20.1,,52.0,
1931, 17.0, 18.7,,7.7, 14.8, 17.1, 13.8, 20.0, 14.8,,9.9,,7.4, 20.4, 12.1,,55.9
1932, 15.2,,0.4, 10.6, 19.8, 18.1,,4.1, 15.3,,7.4, 16.5, 21.4, 13.3, 14.2,,27.7
1933, 14.2, 15.5, 12.3,,7.6, 12.0, 11.3, 11.5,,8.4,,9.3, 16.6,,6.9,,6.0
1934, 17.4,,1.7, 16.8, 13.5,,8.2,,8.4,,6.6, 16.3, 16.8, 18.8, 10.1, 28.0,
1935,,8.0, 18.1,,7.6, 18.8,,8.5, 18.0,,5.5,,9.4, 21.5, 21.6, 21.6, 18.0
1936, 22.3, 14.5, 16.3, 11.0,,7.5, 12.8, 24.7,,6.2, 14.1, 11.4, 16.5, 16.7,,54.9,
1937, 22.5, 22.6, 17.2, 14.5, 11.3,,8.8, 11.6,,5.5, 14.2, 10.7,,9.1, 15.8,,61.8
1938, 21.6,,8.2,,3.4,,1.7, 14.2, 10.9, 14.5, 15.3, 11.8, 19.5, 20.5, 17.4,,45.6
1939, 19.9, 13.5, 11.8, 14.1,,6.7, 11.9, 21.5, 13.6,,4.8, 15.2, 22.4, 10.8,,50.8,
1940, 10.3, 14.5, 12.9, 15.5,,8.7,,4.9, 16.0,,2.8, 10.3, 15.8, 20.0, 15.2,,35.6
1941, 14.5, 18.2, 13.9,,8.7, 10.1,,6.8, 10.2, 19.6,,3.8, 12.4, 14.8, 13.7,,47.9
1942, 16.5,,4.3, 13.3,,8.4, 15.7,,3.2, 12.3, 18.7, 13.8, 16.4,,6.6, 21.0,
1943, 23.4, 10.6,,6.3,,7.6, 10.8, 12.2, 12.1, 17.5, 16.7, 14.7, 17.9, 11.4,,55.1,
1944, 16.4,,8.5,,3.1, 10.8,,6.6, 11.4, 14.3, 11.3, 12.6, 17.2, 22.5, 15.5,,36.3
1945, 13.1, 15.8,,7.6,,7.6, 18.3, 17.2, 10.1, 11.9, 14.2,,8.6,,6.9, 19.6,
1946, 15.1, 13.7,,7.9,,9.2, 13.0, 17.5, 10.8, 20.4, 18.8,,8.2, 19.7, 17.4,,48.4
1947, 16.1,,8.6, 24.3, 12.8, 15.6, 13.0, 13.0,,3.4, 11.7,,6.3, 16.6, 13.6,,42.1
1948, 26.3, 11.2,,7.5, 13.0,,8.7, 15.7, 10.9, 16.2, 10.7, 15.2, 11.7, 17.0,,51.2,
1949, 10.9,,9.4,,8.2, 10.2, 13.1,,4.1,,6.6, 10.0,,8.3, 18.4, 19.0, 18.2
1950,,9.5, 18.3, 10.4, 18.7,,9.4,,9.2, 15.8, 19.9, 22.9, 13.5, 20.2, 17.0,,46.1
1951, 19.1, 19.1, 20.0, 13.4, 13.4,,8.2,,7.6, 20.6, 14.3,,7.5, 23.0, 17.0,,55.2
1952, 18.6,,8.6, 12.9, 14.4, 13.3,,9.4,,5.7, 15.0, 15.3, 16.5, 15.4, 19.6,,44.2
1953,,5.8, 10.1,,6.0, 13.6,,9.3, 10.8, 17.4, 11.6, 14.3, 10.8, 13.2,,9.7,
1954, 11.7, 17.7, 15.9,,4.1, 11.2, 13.1, 15.4, 15.7, 20.4, 19.9, 19.6, 16.3,,39.1,,31.1
1955, 16.8, 14.1,,6.0, 10.5, 16.9, 12.2,,3.6,,4.8, 12.2,,9.3,,9.1, 22.7
1956, 17.9,,4.0,,8.0,,7.5,,6.1, 11.2, 13.4, 18.5, 14.5, 11.8,,9.6, 17.6
1957, 17.0, 20.7, 15.6,,2.3,,9.9,,7.3, 16.8, 14.4, 17.0, 12.6,,7.0, 15.0,
1958, 16.7, 16.2,,9.2,,5.4, 15.0, 14.5, 14.9, 19.6, 16.0, 13.4, 10.9, 17.8,,47.9,
1959, 16.0,,2.7, 18.1, 14.8,,8.5, 10.6,,9.9,,6.3,,1.8, 15.2, 20.1, 25.8
1960, 16.9, 16.2, 12.5, 10.6,,7.1,,9.3, 20.6, 18.1, 14.4, 21.7, 25.2, 19.0,,59.0,
1961, 19.1, 14.5,,2.9, 19.4,,6.5,,6.6,,8.6, 12.7, 13.6, 20.8, 12.4, 14.4,
1962, 20.1,,7.5,,9.3, 12.0, 13.7,,6.4, 10.6, 15.1, 14.5,,7.5, 13.6, 13.8,
1963,,4.8,,9.0, 17.5, 16.9, 12.7, 14.6, 12.0, 18.3, 11.4, 14.4, 25.8,,6.8,,27.7
1964,,6.5,,8.7, 12.0, 12.5, 12.3,,9.8,,7.5,,8.9,,8.0, 13.3, 12.6
1965, 17.3,,2.1, 14.5, 12.7, 13.4, 12.1, 16.1, 13.1, 16.3,,6.8, 16.7, 23.7,,35.5,
1966, 13.2, 19.8,,9.8, 18.8, 14.1, 15.2, 11.3, 13.5,,8.1, 18.7, 13.9, 20.8,,56.6,
1967, 15.4, 12.2, 11.8,,7.3, 21.4,,5.4, 10.6, 13.5, 18.4, 24.4, 14.5, 16.0,,48.3,
1968, 15.0,,8.8, 11.1, 13.1, 12.7, 13.1,,8.3, 11.4, 17.0, 15.5, 11.9, 13.0,,39.8,
1969, 20.1, 13.9, 10.5, 10.2, 20.8,,8.9,,4.4, 10.1,,9.3,,4.8, 18.7, 16.9,
1970, 20.9, 18.2, 16.7, 15.4,,6.1,,9.6, 13.0, 11.5, 12.2, 13.9, 21.5, 11.9,,56.0,
1971, 19.7,,8.7, 11.3,,5.9,,9.3, 12.9,,6.8, 16.1,,5.2,,9.8, 14.6
1972, 18.3, 18.7, 13.6, 12.9, 16.6, 17.4,,7.7,,7.2,,3.8,,7.8, 17.2, 18.3,
1973, 11.4, 11.8,,7.1, 10.3, 15.0,,5.6, 11.1,,8.5, 12.6, 10.2, 13.2, 15.9,,41.4
1974, 23.4, 16.0, 10.8,,3.4, 10.9, 11.7, 12.4, 15.2, 22.1, 16.5, 21.4, 18.0,,55.2,,25.2
1975, 21.6,,8.3, 13.8, 15.0,,6.1,,3.0, 11.3,,9.8, 14.2,,7.8, 15.3,
1976, 10.9, 11.3,,9.5,,3.5, 12.5,,3.3,,5.9,,2.4, 15.9, 23.6, 16.1, 15.3
1977, 18.3, 21.9, 17.5, 12.7, 10.5, 12.0,,6.4, 11.7,,9.2, 15.2, 18.4, 16.6,,55.5,
1978, 18.4, 16.8, 19.7, 11.9,,6.9, 11.0, 12.4,,9.9,,9.2,,4.9, 12.4, 21.3,
1979, 15.5, 12.2, 21.0, 14.4, 17.2,,7.5,,5.3, 14.2,,9.4, 15.9, 17.6, 19.3,,49.1
1980, 13.0, 15.9, 18.2,,3.2,,6.1, 16.3, 11.5, 12.2, 14.2, 18.8, 13.4, 18.4,,48.2,
1981, 12.7, 10.4, 20.1,,7.2, 20.2,,7.2, 10.8,,3.7, 17.1, 23.0, 13.4, 16.7,,41.5
1982, 15.9, 12.8, 16.9,,4.8,,7.3, 16.2,,6.6, 15.1, 11.0, 19.5, 22.2, 18.2,,45.3
1983, 18.3,,7.3, 16.1, 17.6, 20.6,,8.1,,4.5,,5.8, 16.2, 15.8,,6.9, 15.6
1984, 24.3, 10.6,,8.1,,2.6,,9.1,,5.4,,6.4,,8.5, 16.9, 17.1, 20.6
1985, 14.0,,5.8, 15.4, 13.3, 10.4, 13.2, 11.7, 22.1,,7.0,,6.9, 13.5, 19.9,,38.2
1986, 21.5,,1.7, 16.6, 15.1, 17.2,,7.6, 10.5, 16.2,,3.6, 14.5, 19.6, 22.7,,43.2
1987,,6.4, 12.4, 14.9, 12.2,,8.5, 14.7,,8.6,,7.1, 13.3, 21.3, 12.5, 13.1,
1988, 25.7, 11.9, 18.4,,7.6, 10.8,,7.9, 20.3, 14.5, 10.7, 15.2,,7.6,,8.8,
1989, 11.5, 16.8, 17.3, 13.6,,3.8,,8.9,,4.3,,9.3,,8.8, 15.7, 11.0, 14.5
1990, 24.0, 19.9,,7.7,,9.9,,4.0, 15.9,,6.8,,8.4,,9.7, 17.1, 13.0
1991, 15.2, 10.1, 16.1, 12.5,,2.8, 17.6, 12.8,,6.2, 10.3, 15.4, 15.0,,7.6,,40.4
1992,,6.1, 11.9, 18.3, 14.4,,7.9,,5.0, 13.2, 19.3, 16.0, 14.5, 22.8, 12.6,,25.6
1993, 22.5,,3.4,,6.2, 15.8, 14.9, 10.6, 14.1,,8.5, 14.6, 11.9, 10.8, 25.9,,38.5
1994, 23.2, 17.5, 19.1, 14.0, 13.6,,7.4,,8.7, 13.8, 17.2, 13.9, 13.9, 19.5,,66.6,
1995, 21.9, 21.5, 16.0,,5.7,,9.4,,4.4,,7.4,,3.1, 16.4,,9.8, 14.9
1996, 14.5, 13.5, 10.3, 12.0, 11.4,,7.1,,8.7, 12.2,,6.9, 19.3, 20.0,,7.8,
1997,,5.4, 19.1,,7.7,,4.7, 15.1, 14.7,,9.4, 16.1,,6.8,,9.9, 21.5
1998, 15.9,,6.2, 12.9, 22.9,,6.1, 18.5, 12.8,,8.2, 16.4, 19.7, 16.5, 20.0,,37.9
1999, 20.5, 13.1, 11.6, 16.4, 10.6, 12.3,,4.0, 13.9, 17.5, 12.3, 12.6, 24.5,,53.6,,38.5
2000,,9.8, 19.2,,9.0, 18.0, 14.2, 10.2, 10.7, 12.9, 17.2, 23.5, 24.2, 21.3,,53.5,
2001, 14.5, 13.8, 19.2, 15.8,,6.3,,6.6, 12.3, 14.5, 10.3, 19.4, 12.9, 10.1,,49.6,
2002, 19.0, 20.3, 11.4, 11.0, 16.9, 11.9, 10.9,,8.6,,4.9, 17.3, 23.8, 17.7,,49.3,
2003, 14.1, 10.3,,8.3,,9.4, 15.1, 11.2, 13.0,,3.4,,6.1, 11.9, 16.6, 15.1,
2004, 19.9,,9.2, 13.6, 12.6,,8.0,,8.3, 11.1, 15.4, 11.7, 21.2, 11.8, 12.5,,44.2
2005, 15.0,,9.0, 10.2, 15.6,,9.7, 10.7, 10.7,,8.6, 12.9, 17.2, 14.0, 10.2,,36.5
2006,,7.9, 10.1, 16.6,,8.7, 15.6,,5.4,,8.1, 11.4, 10.6, 18.5, 18.5, 18.0,
2007, 18.4, 18.1, 11.4,,2.8, 15.9, 16.8, 20.1, 10.3,,9.0,,7.9, 11.1, 13.3,,54.5
2008, 20.1,,7.6, 18.5, 14.9, 11.7,,9.2, 14.3, 20.0, 12.6, 16.5, 14.9, 10.6,,41.0,
2009, 15.4,,8.4, 10.0, 12.5, 12.3,,6.8, 21.5, 14.1,,5.2, 14.4, 25.0, 18.1,,34.4
2010, 12.3, 15.1, 12.0,,6.9,,9.2,,4.7, 12.8, 13.7, 11.8, 12.6, 17.4,,7.9,
2011, 13.9, 16.4,,5.8,,4.4, 11.4, 14.5, 11.2, 13.0, 14.6, 15.0, 13.4, 22.8,,38.2,
2012, 14.2,,7.1,,5.9, 19.4,,9.0, 19.4, 16.0, 20.3, 11.4, 19.1, 16.4, 23.2,,44.2
2013, 18.3,,8.6, 10.3,,8.8, 11.6, 10.7,,6.5, 10.6, 11.8, 21.0, 14.7, 20.2,,50.1
2014, 25.3, 24.5, 10.7, 13.1, 15.7,,9.3,,7.6, 17.1,,3.1, 19.4, 18.0, 15.0,,70.0
2015, 20.5, 12.4, 11.3,,6.1, 14.7,,6.8, 15.2, 15.9,,9.1, 10.4, 23.1, 24.4,,47.8
2016, 21.3, 16.1, 11.4, 13.3, 11.4, 14.6,,9.6, 10.4, 15.3,,6.3, 12.6, 11.4,,61.8,
2017, 12.2, 14.4, 17.0,,4.1, 11.2, 11.4, 14.0, 14.0, 19.5, 12.3, 16.7, 19.1,,38.0,,32.3
2018, 21.9, 10.7, 20.5, 13.5,,8.0,,3.8,,7.0, 11.8, 10.0, 10.1, 15.8, 19.4,,51.7
2019, 11.5, 10.3, 16.2, 10.9,,6.3, 14.6,,6.5, 14.9, 15.3, 21.3, 20.3, 19.7,,41.1,
2020, 16.9, 23.5, 14.0,,7.0,,2.8, 16.2, 10.9, 15.7,,8.4, 22.3, 17.3, 24.1,,60.1
2021, 18.2, 14.7,,9.8,,3.9, 19.9,,8.1, 13.2, 10.8,,9.7, 15.5, 11.3, 18.7,
