year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862,106.9, 27.0,127.2, 93.7, 74.0, 99.5, 94.6, 73.6, 83.0,184.3, 41.4,112.2,, ---, 294.8, 267.8, 308.6
1863,145.2, 39.3, 67.6, 58.0, 57.1,127.9, 30.6,120.8,139.0,190.2,120.4, 96.4, 296.7, 182.8, 279.3, 449.5,1192.5
1864, 84.4, 63.8, 85.7, 48.4, 36.3, 55.0, 38.4, 39.4,115.5, 75.1,128.4,107.9, 244.6, 170.5, 132.8, 318.9, 878.3
1865,153.7,107.5, 62.9, 34.0,113.3, 42.3,113.8,173.6,,3.7,227.3,160.3,113.1, 369.1, 210.2, 329.7, 391.4
1866,186.9,139.2,110.8, 61.0, 48.2, 77.5, 50.6,115.3,242.4, 76.7, 91.1,121.6, 439.2, 220.0, 243.4, 410.2,1321.4
1867,175.2, 99.5,139.7,116.8,109.3, 36.0,120.9, 53.7, 71.1,164.7, 40.5, 80.0, 396.3, 365.7, 210.6, 276.2,1207.2
1868,164.4, 69.2, 88.5, 74.7, 55.6, 22.1, 33.1,149.2,126.9,127.5, 88.4,255.0, 313.6, 218.8, 204.5, 342.8,1254.6
1869,180.5,128.4, 61.6, 52.1,162.6, 22.0, 26.8, 34.4,182.8,101.7,104.8,159.9, 563.8, 276.4,,83.3, 389.4
1870, 94.9, 96.8, 67.2, 19.3, 60.1, 18.8, 47.0, 67.9, 60.6,222.3,118.6, 81.0, 351.6, 146.5, 133.8, 401.4, 954.4
1871,118.8, 80.2, 61.4,134.8, 19.1, 68.7,155.4, 67.9,178.7,160.0, 46.0, 94.9, 280.0, 215.3, 292.1, 384.7,1186.0
1872,215.7,161.0,117.2, 85.5, 63.4,129.3,131.0, 76.6,121.1,191.6,220.2,217.2, 471.6, 266.1, 337.0, 532.9,1729.9
1873,190.9, 85.3,117.3, 31.1, 62.8, 57.0,101.9,148.4, 85.6,100.9,104.7, 34.6, 493.4, 211.2, 307.3, 291.2,1120.5
1874,138.3,103.8, 56.6, 67.2, 26.1, 46.7, 55.3,130.6,178.2,152.5,110.7,154.6, 276.7, 149.9, 232.6, 441.3,1220.5
1875,188.0, 64.3, 44.6, 57.6, 76.4,100.9,139.0, 94.0,132.0,206.0,183.2, 59.0, 407.0, 178.5, 333.9, 521.1,1344.9
1876, 58.6,133.5,122.0, 92.8, 11.1, 48.7, 45.2,120.7,186.8,134.3,142.0,263.8, 251.1, 225.8, 214.6, 463.0,1359.3
1877,202.9, 87.5, 85.3,114.5, 99.6, 57.3,127.9,155.1, 87.2,113.4,218.3, 90.4, 554.2, 299.4, 340.3, 418.9,1439.5
1878, 78.8, 65.9, 56.3, 93.1,145.8, 92.3, 56.3,164.8, 88.8,166.2,118.7, 92.1, 235.1, 295.3, 313.4, 373.7,1219.2
1879,118.9,142.8, 41.4, 76.3, 81.1,189.7,124.1,190.4,130.2, 55.8, 19.5, 61.2, 353.9, 198.8, 504.2, 205.5,1231.5
1880, 27.6,129.6, 65.0, 66.3, 47.9, 78.2,151.2, 24.5,108.6,169.5,124.4,161.2, 218.4, 179.2, 253.9, 402.5,1154.0
1881, 54.1,131.8,104.5, 40.2, 57.6, 98.0, 72.2,146.8, 65.1, 90.7,158.6,128.5, 347.1, 202.2, 317.0, 314.4,1147.9
1882, 96.5, 91.4, 65.6,148.7, 56.2,121.8,158.4,122.3,109.8,195.5,171.5,167.1, 316.4, 270.6, 402.5, 476.7,1504.9
1883,138.0,168.6, 41.6, 36.1, 58.2, 99.5,101.9, 54.2,167.1,125.9,164.5, 59.8, 473.8, 136.0, 255.6, 457.4,1215.5
1884,152.3,126.6,109.6, 54.4, 51.3, 61.2,106.0, 65.7, 84.5, 58.9, 72.0,152.9, 338.7, 215.2, 232.9, 215.4,1095.3
1885,102.4,142.1, 52.3, 93.0, 88.4, 69.4, 28.6, 64.5,174.2,170.2,137.3, 56.6, 397.4, 233.7, 162.5, 481.8,1179.1
1886,153.7, 41.4,124.2, 74.3,116.4, 32.3,108.4, 59.0,104.8,199.5,134.6,182.5, 251.6, 314.8, 199.8, 438.9,1331.1
1887,100.3, 29.8, 58.1, 41.5, 55.8, 14.7, 53.9, 61.9,104.7, 96.3,116.4,102.3, 312.6, 155.4, 130.4, 317.5, 835.7
1888, 52.6, 29.4,122.3, 54.9, 52.1, 95.9,180.8,103.4, 37.5, 69.3,228.1,132.3, 184.3, 229.4, 380.0, 334.9,1158.6
1889, 47.3, 76.9,104.1, 82.9, 83.9, 18.9, 96.9,107.0, 56.1,136.7, 64.4, 84.2, 256.5, 270.9, 222.8, 257.1, 959.3
1890,161.3, 32.3, 58.5, 70.1, 72.4, 91.1,110.1,104.8, 50.3, 71.1,139.2, 67.0, 277.8, 200.9, 306.0, 260.6,1028.0
1891, 97.7,,3.3, 68.9, 57.1, 92.2, 71.7, 77.6,191.2, 94.4,265.5,123.7,174.8, 168.0, 218.2, 340.4, 483.6
1892, 73.6, 75.0, 29.8, 35.5, 42.8, 58.5, 67.4,117.0, 91.5,121.9,101.4, 63.5, 323.4, 108.1, 242.9, 314.8, 877.8
1893, 81.9,147.7, 15.0,,7.8, 53.4, 39.8,118.9, 64.5, 73.1,127.0, 76.3,148.1, 293.1,,76.2, 223.1
1894,124.4, 94.4, 77.7, 72.0, 86.0, 68.8,133.3,112.6, 70.6,157.5,196.6,100.9, 366.9, 235.7, 314.7, 424.7,1294.9
1895,140.0,,4.7, 95.5, 72.6, 17.3, 36.9,109.4,104.0, 25.3,137.5,188.4,127.3, 245.6, 185.3, 250.3, 351.3
1896, 37.6, 25.1,126.0, 25.8,,3.3, 58.1, 61.7, 74.2,195.4,121.2, 36.8,200.7, 190.0, 155.1, 194.0, 353.4
1897, 71.1,124.5,147.3,114.1, 46.0, 81.6, 50.3,154.3,129.2, 54.3, 79.5,196.5, 396.3, 307.3, 286.2, 263.0,1248.5
1898, 52.8, 71.3, 41.9, 67.6,114.5, 62.8, 22.8, 97.9, 43.4,178.3,115.3,145.0, 320.6, 223.9, 183.6, 337.0,1013.6
1899,184.1,124.1, 38.7,107.2, 74.0, 42.7, 38.6, 54.9, 81.3,103.2,101.6,108.0, 453.2, 219.9, 136.2, 286.1,1058.4
1900,153.9,161.9, 43.5, 52.8, 68.4, 93.1, 48.9,104.5, 45.8,133.0,129.9,189.9, 423.9, 164.8, 246.5, 308.7,1225.7
1901, 98.5, 43.1, 95.8,107.1, 31.7, 69.2, 60.8, 83.8, 94.4, 86.4, 43.1,193.1, 331.5, 234.6, 213.8, 223.8,1006.9
1902, 61.9, 48.6, 78.6, 58.6, 68.7, 87.4, 62.6, 83.7, 70.7, 98.1,129.2, 97.5, 303.6, 205.8, 233.7, 298.0, 945.5
1903,144.8, 79.6,172.8, 70.5, 91.6, 64.4, 97.2,150.1,125.2,281.5, 82.8,128.1, 321.9, 334.9, 311.6, 489.5,1488.6
1904,158.1,164.2, 61.3, 58.3, 82.9, 41.8,111.9, 95.8, 80.4, 66.1, 82.6,109.3, 450.4, 202.5, 249.4, 229.1,1112.6
1905, 51.8, 44.5,167.0, 94.9, 19.2, 78.8, 37.9,146.8, 56.6, 73.8,135.9, 43.4, 205.7, 281.1, 263.5, 266.4, 950.7
1906,196.7,113.6, 69.8, 36.3,108.9, 63.5, 39.3, 90.0, 32.9,186.1,114.1, 97.9, 353.8, 215.0, 192.8, 333.2,1149.2
1907, 65.2, 60.2, 42.8,126.6, 92.6,104.7, 75.9, 92.4, 33.1,216.3,106.9,162.3, 223.3, 262.0, 273.0, 356.3,1179.1
1908, 65.7, 74.4,121.2, 75.1, 70.7, 31.4, 96.8,129.4, 92.3, 73.9, 65.6,129.1, 302.4, 267.0, 257.6, 231.8,1025.6
1909, 64.2, 19.8,136.9, 87.8, 43.7, 78.5, 91.3, 65.1, 88.8,216.9, 47.7,186.8, 213.2, 268.5, 234.9, 353.5,1127.8
1910,139.2,165.2, 35.8, 87.0, 71.8,111.3, 99.2,159.5,,9.8,150.4,169.6,216.6, 491.3, 194.6, 370.0, 329.7
1911, 49.4, 86.2, 77.0, 70.8, 48.9, 82.8, 14.9, 78.9, 76.2,117.8,163.3,290.7, 352.1, 196.7, 176.5, 357.3,1156.8
1912,138.1,102.7,194.5,,9.7, 49.9,153.4,103.4,253.9, 32.7,150.9, 94.6,187.4, 531.6, 254.2, 510.7, 278.2
1913,194.4, 53.2,160.4,147.3, 91.9, 54.7, 22.8, 47.7, 96.4,129.9,153.5, 87.8, 435.1, 399.5, 125.2, 379.7,1239.9
1914, 62.5,145.3,187.6, 50.2, 59.6, 58.1,138.2,102.7, 72.4, 83.2,143.7,257.3, 295.6, 297.4, 299.0, 299.2,1360.6
1915,129.1,206.5, 32.8, 46.4, 78.2, 54.0,133.9, 66.4, 41.7,135.1, 90.4,263.9, 592.9, 157.4, 254.4, 267.2,1278.5
1916, 83.5,183.5, 97.3, 53.9, 79.0, 71.6, 45.7,112.9, 77.6,227.5,146.1,116.4, 530.9, 230.1, 230.2, 451.2,1294.9
1917, 47.5, 42.4, 94.8, 59.3, 78.7, 92.5, 76.8,220.2, 72.5,182.7, 76.2, 40.2, 206.3, 232.9, 389.4, 331.3,1083.7
1918,137.2, 86.6, 63.9, 59.9, 51.7, 41.0,134.8, 78.0,236.9, 93.5,103.4,188.7, 264.0, 175.5, 253.8, 433.8,1275.6
1919,168.3,115.4,161.7, 70.5, 31.5, 44.3, 45.6, 94.2, 65.6, 61.4, 91.7,214.3, 472.5, 263.7, 184.2, 218.8,1164.8
1920,183.7, 50.6,137.1,158.2, 81.6, 82.9,163.4, 58.5, 91.1,124.3, 70.7,135.9, 448.6, 377.0, 304.7, 286.1,1338.0
1921,143.7,,8.0,102.7, 29.3, 58.8,,9.8, 44.9,107.9, 50.2, 51.1, 98.7, 92.2, 287.6, 190.8, 162.6
1922,140.4,133.6,107.9,100.6, 36.4, 38.3,134.3,109.5, 93.4, 44.3, 63.0,174.7, 366.1, 245.0, 282.1, 200.8,1176.5
1923, 85.5,256.0, 52.2, 92.1, 72.5, 22.2, 71.3,101.1,103.7,197.2,110.0,126.9, 516.2, 216.8, 194.6, 410.8,1290.6
1924,151.0, 28.0, 55.2,100.1,123.6, 74.2,143.8,138.7,159.8,181.7,106.7,191.4, 305.9, 278.9, 356.7, 448.2,1454.3
1925,129.6,183.4, 26.1, 87.1,135.0,,1.7, 92.6,117.9,114.5,147.4, 91.7,132.9, 504.4, 248.2, 212.2, 353.5
1926,175.8, 97.0, 26.8, 70.4, 62.7, 73.8, 81.3, 90.0, 48.0,107.9,259.7, 23.6, 405.7, 159.9, 245.1, 415.6,1116.9
1927,153.7,108.7,123.5, 60.8, 38.3,101.3,127.5,154.0,178.3, 96.9,123.5,105.7, 286.0, 222.5, 382.8, 398.8,1372.1
1928,226.2,122.0,120.0, 49.1, 31.1, 98.9, 71.1, 98.9, 48.7,209.5,172.5,139.3, 453.9, 200.3, 268.9, 430.7,1387.4
1929, 58.3, 52.3, 18.2, 26.1, 98.5, 72.1, 70.2, 90.8, 28.4,193.3,328.2,280.4, 249.8, 142.8, 233.1, 549.9,1316.7
1930,205.1, 31.7, 81.5, 88.4, 61.7, 35.9, 96.8,134.0,148.8,158.6,168.8,154.1, 517.2, 231.7, 266.7, 476.2,1365.4
1931,113.8,104.7, 47.6, 87.4,114.6,104.3,141.3,126.5, 66.2, 36.4,227.1, 69.3, 372.5, 249.6, 372.1, 329.7,1239.1
1932,160.7,,2.0, 74.8, 97.9,127.4, 59.5,106.8, 45.4,138.1,232.6, 90.3, 92.4, 232.0, 300.1, 211.6, 461.0
1933,101.4,125.7,107.2, 49.5, 60.9, 64.4, 79.6, 44.0, 54.8,152.5, 34.2, 50.3, 319.4, 217.5, 188.0, 241.6, 924.6
1934,125.9, 10.7, 93.8, 88.4, 55.5, 50.1, 28.8,116.6, 99.7,110.4, 59.5,308.2, 186.9, 237.8, 195.5, 269.5,1147.6
1935, 36.9,134.4, 37.5,146.2, 50.6,125.8, 21.8, 67.9,163.6,168.2,194.2,131.8, 479.5, 234.3, 215.5, 526.1,1278.9
1936,165.2, 92.0,100.9, 76.6, 33.6, 88.9,198.7, 22.4, 98.1, 64.5,133.0,150.8, 389.0, 211.0, 310.0, 295.6,1224.6
1937,192.1,201.0,121.9, 90.8, 65.0, 39.4, 80.8, 34.2, 88.8,107.9, 66.3,109.2, 543.9, 277.8, 154.5, 263.1,1197.7
1938,166.9, 51.0, 16.4,,5.3, 86.7, 70.8,111.1,126.5, 59.7,167.3,200.8,135.8, 327.1, 108.3, 308.4, 427.7
1939,200.2, 90.1, 55.1, 86.4, 26.2, 79.0,205.4, 91.1, 28.0,104.2,248.0, 84.3, 426.1, 167.7, 375.5, 380.1,1297.9
1940, 93.9,124.8, 91.7, 80.4, 50.8, 23.2,114.8,,9.6, 59.7,142.9,260.2,107.6, 303.0, 222.9, 147.7, 462.9
1941,117.9,130.9,102.4, 42.6, 70.8, 49.4, 63.6,144.7, 25.5, 85.9, 88.8,100.7, 356.4, 215.8, 257.6, 200.2,1023.1
1942,145.7, 14.0, 91.5, 60.1,165.4, 14.6, 83.1,121.8, 99.9,110.3, 31.8,175.4, 260.4, 317.0, 219.5, 242.1,1113.7
1943,222.8, 73.6, 35.4, 38.0,113.0, 72.5, 86.6,110.3,129.3,125.7, 93.6, 85.7, 471.7, 186.3, 269.4, 348.7,1186.5
1944,113.9, 34.2, 11.3, 69.2, 38.7, 79.4, 83.8, 93.3,103.4,167.2,220.8,111.2, 233.9, 119.1, 256.5, 491.5,1126.5
1945,103.0,123.8, 47.8, 48.1,105.8,116.7, 93.7, 80.4, 87.7,129.3, 30.5,183.1, 338.0, 201.7, 290.8, 247.5,1149.9
1946,145.9,112.3, 47.9, 58.6,116.4,109.9, 63.5,171.2,175.5, 58.8,214.8,145.5, 441.3, 222.9, 344.6, 449.0,1420.2
1947,123.5, 55.5,240.2, 96.4, 86.1, 77.0, 77.8, 24.8, 61.4, 36.7,114.1,112.5, 324.5, 422.7, 179.6, 212.3,1106.1
1948,244.1, 63.7, 57.5, 70.2, 85.4, 88.6, 61.5,130.3, 93.4,124.9, 79.4,204.9, 420.3, 213.1, 280.4, 297.6,1303.8
1949, 48.2, 54.7, 54.0, 81.2, 90.3, 19.3, 50.3, 67.8, 82.8,225.4,156.6,106.5, 307.8, 225.6, 137.4, 464.9,1037.3
1950, 41.5,209.4, 65.8, 84.8, 59.4, 51.2,132.1,192.3,189.6, 67.4,203.9,108.4, 357.4, 210.0, 375.6, 461.0,1405.9
