year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,6.5,,5.3,,5.9,,6.6, 10.5, 13.3, 15.1, 16.1, 14.1,,9.5,,6.0
1885,,3.4,,6.0,,4.6,,7.0,,8.3, 13.4, 15.3, 13.8, 12.0,,7.6,
1886,,2.2,,1.7,,3.7,,7.7, 10.3, 13.3, 15.5, 15.4, 13.3, 11.0,,6.8,
1887,,3.0,,3.8,,3.6,,5.9,,9.5, 15.4, 16.5, 15.2, 11.5,,7.2,
1888,,3.2,,1.5,,3.2,,6.2, 10.2, 13.0, 13.6, 13.8, 12.2,,8.5,,8.0
1889,,3.6,,3.3,,4.6,,7.0, 11.6, 14.8, 14.8, 14.2, 12.8,,8.6,,7.3
1890,,6.1,,3.3,,5.9,,7.4, 11.4, 13.2, 14.0, 14.2, 14.1,,9.8,,6.3
1891,,1.8,,4.7,,4.0,,6.5,,9.3, 14.3, 14.3, 13.7, 13.7,,9.4,
1892,,2.5,,4.0,,2.9,,7.8, 10.8, 12.8, 14.3, 14.8, 12.0,,7.1,,7.1
1893,,2.5,,5.1,,7.5, 10.8, 12.9, 15.2, 16.1, 16.8, 12.9,,9.9,,5.4,
1894,,3.6,,5.2,,6.6,,9.5,,9.1, 13.2, 15.0, 14.1, 11.7,,9.7,
1895,,0.7, -1.9,,5.1,,8.0, 11.7, 14.3, 14.8, 14.8, 15.4,,7.5,,8.1,
1896,,4.8,,4.7,,7.1,,9.1, 12.2, 15.5, 16.0, 14.3, 12.9,,7.0,,4.1
1897,,2.0,,6.4,,6.5,,7.4, 10.0, 15.0, 16.5, 15.5, 12.0, 10.7,,7.7,
1898,,6.4,,4.8,,4.1,,8.1, 10.2, 13.2, 15.4, 16.1, 14.8, 11.3,,7.5,
1899,,5.2,,5.6,,5.4,,7.8, 10.0, 15.2, 16.5, 18.0, 13.8, 10.0,,8.6,
1900,,5.0,,3.2,,3.4,,8.0,,9.6, 13.6, 16.6, 14.9, 13.3,,9.9,
1901,,3.7,,2.3,,4.1,,8.1, 11.5, 13.3, 17.0, 15.3, 13.5,,9.8,,5.1
1902,,5.1,,1.9,,6.9,,7.2,,8.7, 13.0, 14.3, 14.4, 12.7,,9.7,
1903,,4.7,,6.6,,6.8,,6.6, 10.7, 12.2, 14.5, 13.7, 12.7, 10.7,,6.9,
1904,,4.5,,4.0,,4.4,,8.2, 10.0, 12.7, 16.1, 14.5, 12.4, 10.1,,5.8,
1905,,4.0,,5.4,,6.6,,7.7, 10.4, 13.9, 16.2, 14.2, 12.0,,7.5,,5.0
1906,,5.7,,3.7,,5.0,,7.0,,9.8, 13.4, 14.7, 16.1, 13.4, 10.8,,7.1
1907,,3.9,,2.8,,6.2,,7.1, 10.0, 11.7, 14.1, 14.1, 13.8,,9.7,,7.1
1908,,3.1,,5.5,,4.4,,6.2, 11.5, 13.7, 15.3, 14.6, 12.6, 12.2,,8.1,
1909,,4.0,,3.4,,3.5,,8.4, 10.5, 11.8, 14.2, 15.4, 12.1, 10.5,,5.1,
1910,,4.1,,5.5,,6.0,,6.9, 10.9, 13.8, 14.0, 14.6, 12.6, 10.6,,4.7,
1911,,3.8,,4.7,,5.1,,6.9, 12.3, 14.1, 17.3, 17.7, 14.0, 10.1,,6.1,
1912,,4.3,,5.5,,7.2,,8.8, 11.4, 12.9, 15.5, 12.4, 11.3,,8.5,,6.7
1913,,5.2,,4.7,,6.1,,7.6, 10.8, 13.1, 14.8, 15.5, 13.8, 11.3,,8.5,
1914,,3.4,,6.5,,6.3,,9.5, 10.5, 14.0, 15.1, 15.6, 13.4, 10.3,,6.7,
1915,,4.3,,4.2,,5.0,,7.7, 11.2, 13.6, 13.9, 14.9, 13.2,,9.4,,3.5
1916,,7.4,,3.9,,3.5,,7.8, 10.7, 11.2, 14.8, 16.0, 13.2, 11.1,,6.5,
1917,,1.3,,1.3,,3.7,,5.5, 11.9, 13.8, 15.3, 14.7, 13.5,,8.1,,8.0
1918,,4.2,,6.6,,5.9,,7.0, 12.0, 12.8, 15.0, 15.3, 12.1,,9.2,,6.4
1919,,3.5,,2.7,,4.0,,6.7, 12.3, 13.3, 14.1, 15.7, 12.7,,8.1,,3.5
1920,,5.4,,6.3,,6.6,,8.1, 11.1, 13.7, 13.6, 13.5, 12.8, 11.0,,7.3,
1921,,7.3,,5.0,,6.9,,8.1, 10.9, 14.6, 17.8, 14.9, 14.1, 12.9,,6.6,
1922,,4.8,,5.2,,4.9,,5.7, 11.9, 13.3, 13.1, 13.1, 12.3,,8.4,,6.0
1923,,5.5,,6.4,,6.6,,7.6,,9.4, 12.4, 16.5, 14.8, 12.1,,9.9,
1924,,5.4,,3.4,,4.8,,6.9, 10.7, 13.1, 14.3, 13.7, 12.9, 10.3,,7.0,
1925,,5.9,,5.4,,5.0,,7.3, 10.4, 14.6, 15.7, 15.2, 11.6, 10.8,,4.2,
1926,,5.2,,7.0,,6.3,,8.6,,9.9, 12.7, 16.4, 16.0, 14.6,,8.5,
1927,,5.0,,4.4,,7.0,,7.7, 11.4, 12.3, 15.2, 15.0, 12.3, 10.6,,6.5,
1928,,5.5,,6.2,,5.9,,8.1, 11.0, 12.7, 15.3, 14.8, 12.6, 10.6,,8.0,
1929,,1.9,,1.4,,6.2,,6.8, 10.5, 12.5, 15.2, 14.5, 15.3,,9.7,,7.1
1930,,5.6,,2.5,,5.3,,8.0, 10.4, 14.5, 14.6, 15.0, 13.6, 10.7,,6.8,
1931,,3.9,,4.4,,4.3,,7.3, 10.4, 13.6, 14.2, 14.3, 11.7,,9.2,,7.9
1932,,6.4,,3.0,,4.8,,6.5,,9.6, 13.8, 15.0, 16.8, 13.2,,9.0,
1933,,2.7,,4.0,,7.3,,8.1, 11.4, 14.6, 16.5, 16.7, 14.8, 10.2,,5.8,
1934,,4.5,,3.3,,5.1,,7.3, 10.8, 14.7, 17.5, 14.5, 13.8, 10.4,,6.3,
1935,,4.8,,5.7,,6.0,,8.0, 10.2, 13.8, 16.5, 15.6, 13.5,,9.7,,6.5
1936,,4.6,,3.4,,6.8,,6.2, 11.2, 13.8, 14.4, 15.4, 14.1,,9.5,,6.2
1937,,5.5,,6.1,,3.8,,9.2, 11.4, 13.5, 15.1, 16.2, 13.1, 10.3,,5.6,
1938,,5.9,,4.8,,8.0,,7.5, 10.1, 13.3, 14.0, 15.2, 13.2, 10.6,,9.2,
1939,,4.8,,5.6,,6.1,,8.3, 11.0, 14.0, 14.2, 15.8, 13.8,,8.5,,8.9
1940,,0.2,,4.0,,6.0,,8.5, 11.9, 15.6, 14.2, 15.4, 12.8,,9.7,,7.3
1941,,1.3,,3.8,,5.3,,6.3,,8.7, 14.0, 15.8, 14.3, 14.1, 10.5,,7.1
1942,,2.6,,0.8,,5.9,,9.0, 10.3, 13.6, 14.7, 15.4, 13.4, 10.3,,5.3,
1943,,6.0,,6.0,,6.7,,9.9, 11.2, 13.3, 15.6, 15.0, 12.5, 10.5,,6.8,
1944,,6.4,,3.7,,5.3,,9.5, 10.7, 13.2, 15.4, 16.3, 12.3,,9.2,,6.8
1945,,1.0,,6.7,,7.2,,9.8, 11.4, 13.3, 15.1, 15.3, 13.9, 11.7,,7.4,
1946,,3.6,,6.3,,5.2,,9.2, 10.4, 11.9, 14.9, 13.8, 13.3, 10.2,,8.3,
1947,,2.7, -1.4,,4.3,,8.0, 11.7, 13.9, 15.3, 18.0, 14.3, 10.5,,7.8,,5.5
1948,,5.7,,4.6,,8.3,,8.4, 11.1, 13.0, 14.8, 14.5, 13.3, 10.2,,8.3,
1949,,5.8,,5.7,,5.6,,9.2, 10.4, 14.5, 16.9, 16.1, 15.7, 12.0,,7.0,
1950,,4.4,,5.8,,7.4,,7.6, 11.2, 15.0, 14.9, 14.5, 12.7,,9.8,,6.1
