year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,4.4,,2.9,,2.9,,2.6,,6.1,,8.8, 11.5, 11.4, 10.5,,6.1
1885,,1.1,,3.2,,0.9,,2.6,,4.4,,9.0, 10.4,,9.0,,7.9
1886, -0.7, -1.0,,0.6,,3.4,,6.0,,8.8, 11.1, 11.2,,9.6,,8.2,
1887,,0.0,,0.6, -0.2,,0.9,,5.6,,9.6, 11.3,,9.7,,7.6,
1888,,0.5, -0.9, -0.1,,2.5,,5.6,,8.9, 10.2, 10.1,,7.7,,4.5,
1889,,1.0,,0.4,,1.2,,3.2,,7.5,,9.9, 10.6, 10.3,,8.7,
1890,,3.1,,0.4,,2.4,,3.2,,7.1,,9.4, 10.3, 10.4,,9.8,
1891, -1.4,,0.5,,0.7,,2.4,,4.8,,9.9, 10.3, 10.3,,9.9,,6.1
1892, -0.3,,1.2, -0.9,,2.2,,6.4,,8.2, 10.2, 11.2,,8.3,,3.5,
1893, -0.1,,2.3,,2.6,,4.7,,8.1,,9.8, 12.1, 12.4,,8.5,,6.1
1894,,0.8,,2.3,,2.2,,4.9,,5.1,,9.2, 11.2, 10.7,,7.4,
1895, -2.2, -5.4,,1.4,,4.0,,6.1,,8.6, 10.9, 11.0, 10.1,,3.7,,5.3
1896,,2.3,,1.4,,3.8,,4.8,,6.4, 10.7, 11.2, 10.2,,9.8,,3.3
1897, -0.4,,4.2,,3.4,,3.8,,5.4, 10.6, 11.9, 11.7,,8.1,,7.2,
1898,,4.1,,1.7,,0.4,,3.7,,6.4,,8.8, 10.5, 11.9,,9.9,
1899,,2.5,,2.3,,0.8,,4.2,,5.9,,9.8, 11.9, 12.5,,9.7,
1900,,2.5,,0.1, -0.0,,3.4,,5.2,,9.4, 11.6, 10.5,,8.4,,6.3
1901,,1.1, -0.5,,0.7,,3.6,,6.3,,9.0, 12.2, 11.1,,9.9,,6.3
1902,,2.8, -1.0,,3.5,,2.6,,4.7,,9.3,,9.8, 10.4,,8.4,
1903,,2.3,,4.0,,3.8,,2.5,,6.6,,8.2, 10.5, 10.2,,9.1,
1904,,2.0,,1.6,,1.3,,4.8,,6.2,,8.4, 12.0, 10.6,,8.4,
1905,,1.4,,3.0,,3.4,,4.6,,5.6, 10.0, 12.1, 10.5,,8.4,,3.7
1906,,2.9,,0.6,,1.6,,2.0,,6.2,,9.0, 10.4, 12.3,,8.7,
1907,,1.5, -0.4,,1.8,,3.3,,6.2,,8.5, 10.1, 10.6,,9.4,,6.5
1908,,0.2,,3.0,,1.1,,2.3,,7.7,,9.0, 11.1, 10.4,,9.1,
1909,,1.4,,0.2,,0.4,,4.3,,5.4,,7.8, 10.7, 10.7,,8.3,
1910,,1.5,,2.8,,2.4,,3.3,,6.8,,9.8, 10.3, 11.1,,8.5,
1911,,1.4,,2.0,,2.0,,3.2,,7.7,,9.6, 12.1, 13.1,,9.4,
