year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.3, 14.5,,3.6,,2.7,,0.2,,0.0,,0.0,,0.0,,0.0,
1961, 12.7,,1.6,,4.7,,0.8,,0.7,,0.0,,0.0,,0.0,,0.0
1962,,8.6, 10.4, 21.2,,2.7,,0.9,,0.6,,0.0,,0.0,,0.0,
1963, 28.4, 26.7,,7.9,,1.7,,0.2,,0.0,,0.0,,0.0,,0.0,
1964, 12.8, 10.3, 10.6,,2.4,,0.0,,0.0,,0.0,,0.0,,0.1,,2.3
1965, 15.3, 13.4, 12.4,,3.1,,0.9,,0.0,,0.0,,0.0,,0.0,,0.2
1966, 15.3,,7.2,,5.5,,4.2,,0.1,,0.0,,0.0,,0.0,,0.0
1967, 10.4,,7.9,,2.7,,2.7,,1.8,,0.0,,0.0,,0.0,,0.0
1968, 12.5, 20.5,,6.7,,9.3,,0.8,,0.0,,0.0,,0.0,,0.0,
1969,,7.7, 19.2, 14.7,,7.1,,0.3,,0.0,,0.0,,0.0,,0.4,
1970, 10.9, 15.2, 16.1,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,0.7
1971,,8.0,,9.0,,9.8,,3.6,,1.3,,0.1,,0.0,,0.0,
1972, 10.4,,5.8,,6.5,,0.7,,0.1,,0.0,,0.0,,0.0,,0.1
1973, 10.3, 11.7, 10.4,,4.5,,0.8,,0.0,,0.0,,0.0,,0.0,,2.5
1974,,4.9,,6.4,,7.7,,3.3,,1.1,,0.0,,0.0,,0.0,
1975,,3.7,,8.7,,9.5,,6.2,,1.0,,0.1,,0.0,,0.0,
1976,,8.9,,9.9, 12.5,,4.3,,0.2,,0.0,,0.0,,0.0,,0.0
1977, 15.7,,6.1,,4.4,,6.0,,1.1,,0.0,,0.0,,0.0,,0.0
1978, 13.2, 16.1,,5.4,,6.7,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 26.0, 21.0, 10.0,,4.7,,4.3,,0.0,,0.0,,0.0,,0.2,,0.4
1980, 18.5,,5.1,,9.1,,2.9,,1.0,,0.0,,0.0,,0.0,,0.0
1981, 12.0, 18.0,,3.4,,4.3,,1.4,,0.0,,0.0,,0.0,,0.0,
1982, 13.6,,8.6,,6.1,,3.3,,2.0,,0.0,,0.0,,0.0,,0.0
1983,,4.2, 19.4,,4.1,,5.4,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 13.1, 11.9,,7.3,,7.3,,1.7,,0.0,,0.0,,0.0,,0.0,
1985, 24.0, 14.8, 12.8,,3.0,,0.1,,0.0,,0.0,,0.0,,0.0,,0.2
1986, 13.7, 24.6,,8.9,,6.7,,0.0,,0.0,,0.0,,0.0,,0.5,
1987, 20.1, 14.2, 15.1,,0.6,,0.6,,0.0,,0.0,,0.0,,0.1,,2.0
