year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 11.3,,0.8, 11.3,,8.8, 15.6,,8.8, 14.2, 20.3, 12.4, 19.3, 14.0, 17.6,, ---
1892, 12.1, 12.6,,6.8,,7.4, 11.1, 12.6,,9.3, 12.8, 12.3, 18.0, 12.1, 10.3,,42.3
1893, 12.4, 17.9,,4.2,,2.5,,8.0,,7.5, 14.7, 11.4, 11.1, 14.5, 12.4, 13.7,
1894, 18.2, 13.4,,8.9, 12.3, 13.9, 12.2, 15.4, 15.3,,7.7, 15.1, 12.9, 13.5,,45.4,
1895, 17.1,,2.8, 14.2,,9.9,,4.5,,6.8, 14.4, 14.8,,4.7, 15.2, 17.4, 14.5
1896,,7.5,,4.9, 18.5,,9.0,,2.7, 11.8,,9.0, 13.0, 20.5, 18.2,,6.6
1897, 12.2, 12.4, 17.8, 14.2,,9.1, 10.7,,6.3, 18.1, 12.1,,6.7, 10.1, 15.2,,43.8
1898,,6.6, 12.5,,9.0, 10.7, 16.5, 11.0,,4.7, 12.2,,3.9, 14.7, 12.2, 13.3,
1899, 17.5, 10.4,,7.5, 15.8, 12.5,,6.6,,8.0,,7.0, 15.0,,9.1,,9.1
1900, 19.2, 17.2,,6.9,,9.6,,9.1, 15.2,,9.5, 15.0,,6.5, 16.1, 17.9, 17.7
1901, 11.8,,9.0, 13.4, 13.0,,7.2,,9.0,,8.5, 10.2,,9.5, 13.9,,7.5
1902,,9.3,,8.8, 10.9,,9.3, 16.6, 13.4, 10.1, 15.8,,9.0, 14.1, 11.8, 11.4,
1903, 14.6,,9.7, 18.7, 10.4, 13.7,,8.5, 13.9, 16.6, 13.4, 25.9, 12.3, 11.3,,35.7,
1904, 16.8, 17.8, 11.4, 10.7, 12.8,,6.8, 10.5, 12.1,,9.2,,7.7,,9.1, 13.3,
1905,,7.7,,8.8, 17.3, 15.4,,4.5, 11.4,,7.0, 16.5, 10.4, 11.5, 16.1,,7.0
1906, 18.1, 14.8, 11.9,,8.0, 14.5,,8.5,,7.8, 11.7,,5.7, 19.5, 14.1, 15.7,
1907,,8.1,,9.6,,9.8, 15.0, 15.8, 17.9, 12.8, 13.2,,4.7, 21.0, 12.5, 15.5,
1908,,8.7, 12.0, 16.5, 12.3, 12.6,,6.3, 10.9, 13.0, 13.4,,8.6,,9.8, 15.8,
1909, 10.0,,4.9, 17.6, 11.8,,7.5, 12.9, 15.1, 11.0, 12.9, 20.2,,7.4, 18.5,,30.7
1910, 15.4, 19.6,,5.9, 14.7, 14.4, 11.9, 12.3, 16.2,,3.2, 11.8, 15.8, 18.6,,53.5,
