year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862, 74.6, 22.4,104.6, 71.0, 86.7, 79.1, 80.8, 71.1, 78.4,128.5, 33.8, 81.5,, ---, 262.4, 231.0, 240.7
1863,111.4, 27.3, 38.2, 37.4, 42.1,102.6, 30.3, 87.1,100.4,120.3, 86.2, 63.5, 220.2, 117.7, 220.0, 307.0, 846.8
1864, 48.7, 54.8, 78.0, 37.9, 50.3, 50.0, 28.2, 38.2, 84.9, 60.8, 94.1, 68.3, 167.0, 166.3, 116.3, 239.8, 694.3
1865, 96.7, 72.3, 44.0, 26.1, 87.0, 38.8, 84.4,123.8, 11.4,170.2, 94.8, 57.0, 237.3, 157.1, 247.0, 276.4, 906.6
1866,117.6,102.6, 68.3, 48.8, 41.6, 78.4, 70.8, 97.2,160.4, 59.3, 85.3, 88.1, 277.2, 158.6, 246.3, 304.9,1018.1
1867,111.2, 65.7, 78.2, 92.5, 69.9, 38.9,101.0, 63.0, 67.4, 95.8, 30.1, 68.2, 265.0, 240.6, 203.0, 193.4, 882.1
1868,106.2, 57.8, 76.4, 59.8, 39.3, 17.4, 21.2,104.2, 82.7, 91.4, 61.6,186.9, 232.2, 175.5, 142.8, 235.7, 904.9
1869,112.5, 90.6, 52.2, 50.9,110.4, 31.7, 23.2, 43.4,139.0, 67.2, 86.0,121.6, 390.0, 213.5,,98.3, 292.1
1870, 65.0, 60.9, 53.4, 24.3, 40.8, 32.1, 37.2, 55.2, 51.6,159.2, 73.0, 83.3, 247.5, 118.6, 124.5, 283.8, 736.1
1871, 62.9, 63.9, 43.8, 94.6, 29.7, 77.2,116.7, 45.6,136.9, 88.4, 39.2, 65.2, 210.1, 168.2, 239.5, 264.5, 864.1
1872,142.6, 91.6, 82.7, 72.1, 64.1,106.1,117.7, 80.7,104.5,144.2,146.1,138.1, 299.4, 219.0, 304.4, 394.8,1290.5
1873,114.7, 48.9, 75.0, 25.6, 58.7, 55.6, 81.4, 99.0, 69.2, 90.8, 69.3, 27.0, 301.6, 159.3, 236.0, 229.3, 815.0
1874, 81.4, 61.0, 47.3, 47.3, 36.0, 34.9, 46.4, 94.2,105.8,109.2, 92.4, 92.2, 169.3, 130.5, 175.5, 307.4, 848.0
1875,118.5, 44.7, 28.2, 38.2, 55.0, 83.4,132.8, 67.4, 95.6,146.4,138.0, 49.3, 255.4, 121.3, 283.7, 380.1, 997.7
1876, 47.3, 95.7, 96.4, 80.5, 20.3, 56.9, 48.6, 83.0,132.1, 74.3,106.4,185.3, 192.4, 197.2, 188.5, 312.8,1026.7
