year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.1,,7.5,,9.4, 10.5, 15.7, 18.2, 19.9, 21.8, 18.2, 12.5,,8.1,,6.4
1885,,4.6,,8.3,,7.9, 11.6, 12.6, 18.3, 20.8, 17.9, 16.1, 10.2,,8.0,,6.0
1886,,4.2,,3.5,,6.7, 11.3, 14.3, 17.4, 20.0, 19.9, 17.3, 13.8,,9.0,,4.9
1887,,4.7,,7.0,,6.9, 10.6, 13.0, 20.6, 22.3, 20.6, 15.2, 10.6,,7.0,,5.4
1888,,5.5,,3.8,,5.7,,9.4, 15.1, 17.2, 16.8, 17.9, 16.3, 12.0,,9.7,
1889,,5.5,,5.6,,7.8, 10.2, 16.4, 19.9, 19.1, 18.4, 16.5, 11.7,,9.2,,5.8
1890,,8.4,,5.7,,9.4, 11.0, 16.0, 17.6, 18.1, 18.2, 19.0, 13.3,,8.8,,1.4
1891,,4.1,,8.5,,7.1,,9.8, 13.5, 18.7, 18.6, 17.5, 18.1, 12.8,,8.2,
1892,,4.5,,5.9,,6.2, 12.6, 15.8, 17.5, 17.8, 19.0, 15.9, 10.3,,9.1,,4.8
1893,,4.3,,7.2, 12.3, 15.8, 17.6, 20.4, 20.2, 21.8, 17.2, 13.5,,8.0,,7.4,
1894,,5.6,,7.8, 10.9, 13.8, 13.0, 17.5, 19.8, 17.8, 15.3, 12.3, 10.2,,7.5,,6.93
1895,,2.5,,1.4,,8.5, 12.0, 17.2, 19.7, 19.2, 19.7, 20.9, 10.8, 10.2,,6.2,
1896,,6.8,,7.4, 10.0, 12.8, 17.0, 20.7, 21.0, 18.2, 16.1, 10.3,,7.1,,6.1,
1897,,3.4,,7.8,,9.4, 10.6, 14.4, 19.2, 20.9, 20.4, 15.8, 13.5, 10.0,,7.4,
1898,,8.3,,7.4,,7.6, 12.3, 13.7, 17.7, 19.9, 20.7, 20.0, 14.2,,9.8,,9.5
1899,,7.4,,8.4,,9.4, 11.2, 14.1, 20.5, 21.7, 23.0, 17.4, 13.6, 11.1,,4.8,
1900,,6.5,,5.2,,6.4, 12.5, 14.1, 18.6, 22.3, 19.2, 18.2, 13.1,,9.4,,9.3
1901,,5.7,,4.4,,6.9, 12.8, 16.4, 18.4, 22.4, 20.3, 17.6, 13.1,,7.9,,5.8
1902,,7.0,,4.1, 10.0, 11.6, 12.5, 17.4, 18.8, 18.2, 16.8, 12.3,,9.2,,6.7,
1903,,6.3,,9.3, 10.0, 10.1, 14.8, 16.8, 19.0, 17.9, 16.7, 13.1,,9.1,,5.3,
1904,,6.3,,5.6,,7.3, 12.3, 14.5, 17.5, 21.2, 19.3, 16.7, 13.1,,8.4,,6.5
1905,,6.1,,7.4, 10.0, 10.4, 15.2, 18.7, 21.6, 18.6, 15.8, 10.7,,7.7,,7.0,
1906,,7.5,,5.9,,8.2, 12.0, 13.9, 18.3, 20.3, 21.2, 18.7, 14.0,,9.8,,5.5
1907,,5.7,,5.6, 10.7, 11.1, 14.1, 15.9, 18.0, 18.2, 18.4, 13.1,,9.3,,6.8,
1908,,5.2,,7.7,,7.2,,9.5, 16.2, 18.8, 19.9, 18.7, 16.5, 15.5, 10.3,,6.4
1909,,5.7,,5.9,,6.3, 13.3, 15.8, 15.5, 18.2, 20.0, 15.5, 13.4,,7.9,,6.3
1910,,5.9,,7.5,,9.6, 10.8, 15.3, 18.6, 17.8, 18.7, 16.3, 13.5,,6.5,,8.2
