year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.7,,4.7,,5.7,,6.4, 10.6, 13.3, 15.5, 16.4, 14.0,,8.8,,5.1
1885,,2.3,,5.2,,4.0,,7.1,,8.3, 13.4, 15.5, 13.3, 11.7,,7.0,
1886,,1.5,,0.9,,3.4,,7.1,,9.8, 12.7, 15.3, 15.3, 13.2, 10.7,,6.1
1887,,1.8,,3.5,,3.3,,5.8,,8.9, 14.8, 16.7, 15.0, 11.2,,6.8,
1888,,2.7,,1.3,,2.6,,5.7, 10.0, 12.6, 13.1, 13.7, 11.9,,7.7,,7.3
1889,,2.7,,2.5,,4.1,,6.5, 12.0, 14.8, 14.5, 14.2, 12.3,,8.3,,6.4
1890,,5.3,,2.8,,5.6,,6.6, 11.1, 13.2, 13.9, 13.9, 14.3,,9.3,,5.4
1891,,0.9,,4.1,,3.6,,5.7,,8.9, 13.9, 14.3, 13.7, 13.6,,9.1,
1892,,1.7,,2.9,,2.3,,6.9, 10.8, 12.6, 13.6, 14.7, 11.8,,6.6,,6.1
1893,,1.7,,4.2,,6.9,,9.6, 12.2, 14.8, 15.7, 16.8, 12.5,,9.5,,4.7
1894,,2.7,,4.4,,6.1,,9.1,,8.6, 13.0, 15.2, 13.9, 11.2,,8.9,
1895, -0.3, -2.3,,4.7,,7.7, 11.5, 13.9, 14.8, 15.2, 15.1,,6.9,,7.1,,3.5
1896,,4.2,,4.0,,6.3,,8.4, 11.3, 15.4, 15.8, 13.9, 12.6,,6.7,,4.0
1897,,1.1,,5.2,,6.1,,6.6,,9.4, 14.5, 15.8, 15.7, 11.6,,9.7,
1898,,5.8,,4.1,,3.7,,7.7,,9.9, 12.9, 14.8, 15.9, 14.7, 10.9,,6.7
1899,,4.4,,4.6,,4.6,,7.4,,9.4, 14.7, 16.7, 17.3, 13.1,,9.0,
1900,,3.8,,2.2,,3.1,,7.7,,9.6, 13.9, 17.0, 14.7, 13.2,,9.2,
1901,,2.9,,1.6,,3.7,,7.9, 10.8, 13.3, 17.1, 15.4, 13.4,,9.2,,4.5
1902,,4.3,,1.0,,6.2,,7.0,,8.2, 13.0, 14.1, 13.8, 12.4,,9.1,
1903,,3.7,,6.3,,6.5,,5.9, 10.3, 12.2, 14.6, 13.7, 12.5, 10.0,,6.0,
1904,,3.5,,3.0,,3.9,,8.3, 10.2, 12.8, 16.3, 14.6, 12.2,,9.4,,5.0
1905,,3.2,,4.6,,6.3,,6.9, 10.1, 14.0, 16.7, 14.3, 11.9,,6.7,,4.5
1906,,4.8,,2.8,,4.5,,6.6,,9.9, 13.4, 15.2, 16.3, 13.5, 10.5,,6.9
1907,,3.0,,2.3,,5.8,,7.0,,9.9, 12.0, 13.6, 14.0, 13.3,,9.4,
1908,,2.1,,4.7,,3.8,,5.6, 11.7, 13.6, 15.3, 14.1, 12.5, 11.6,,7.0,
1909,,2.9,,2.5,,3.0,,8.2, 10.2, 11.4, 14.2, 15.1, 11.6, 10.0,,4.5,
1910,,3.1,,4.5,,5.6,,6.8, 10.6, 14.0, 13.8, 14.7, 12.2, 10.4,,3.2,
1911,,3.3,,4.2,,4.7,,7.0, 12.2, 13.9, 17.4, 17.7, 13.7,,9.2,,5.6
1912,,3.2,,4.8,,6.8,,8.3, 11.4, 13.3, 15.5, 12.5, 10.8,,8.0,,5.8
1913,,3.9,,4.3,,5.7,,7.4, 10.9, 13.5, 14.2, 14.8, 13.6, 10.7,,7.8,
1914,,2.9,,6.2,,5.7,,9.2, 10.2, 13.9, 15.4, 15.7, 13.0, 10.0,,6.3,
1915,,3.6,,3.7,,4.7,,7.3, 10.3, 13.6, 14.1, 14.8, 12.9,,8.8,,2.9
1916,,6.9,,3.3,,3.0,,7.7, 10.9, 11.2, 14.7, 15.9, 12.6, 10.3,,6.2,
1917,,1.1,,0.7,,2.7,,4.8, 12.0, 14.4, 15.4, 15.0, 13.6,,7.3,,7.5
