year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.3,,1.9,,2.1,,2.3,,5.6,,8.2, 11.0, 11.0,,9.7,
1885,,0.1,,2.2,,0.2,,2.6,,4.0,,8.5, 10.2,,8.8,,7.4
1886, -1.2, -1.7,,0.2,,2.8,,5.4,,8.1, 10.6, 10.8,,9.1,,7.6,
1887, -1.2, -0.1, -0.2,,1.0,,4.9,,9.1, 11.2,,9.5,,7.3,,3.0,
1888, -0.0, -1.2, -0.5,,2.0,,5.0,,8.1,,9.4,,9.5,,7.6,,3.3
1889, -0.1, -0.6,,0.5,,2.8,,7.6,,9.6, 10.0, 10.0,,8.2,,4.8,
1890,,2.1, -0.1,,1.8,,2.2,,6.2,,8.9,,9.8,,9.7,,9.6
1891, -2.3, -0.2,,0.1,,1.5,,4.4,,9.1,,9.9,,9.9,,9.2,
1892, -1.2, -0.1, -1.7,,1.2,,5.8,,7.7,,9.4, 10.3,,7.7,,3.0,
1893, -1.0,,1.2,,1.5,,3.3,,7.0,,9.2, 11.2, 11.9,,7.8,,5.5
1894, -0.1,,1.0,,1.3,,4.3,,4.3,,8.6, 10.8, 10.1,,7.3,,5.5
1895, -3.1, -5.9,,1.0,,3.4,,5.8,,8.2, 10.4, 10.7,,9.4,,3.0,
1896,,1.5,,0.6,,2.6,,4.1,,5.6, 10.3, 10.6,,9.6,,9.2,
1897, -1.2,,2.6,,2.7,,2.7,,4.6,,9.9, 10.7, 11.2,,7.4,,5.8
1898,,3.3,,0.9, -0.1,,3.1,,6.1,,8.3,,9.7, 11.1,,9.4,
1899,,1.5,,1.0, -0.1,,3.6,,4.8,,9.0, 11.7, 11.6,,8.8,,4.4
1900,,1.2, -1.0, -0.2,,2.9,,5.1,,9.4, 11.8, 10.3,,8.2,,5.3,
1901,,0.2, -1.2,,0.5,,3.0,,5.4,,8.2, 11.9, 10.6,,9.2,,5.2
1902,,1.6, -2.0,,2.5,,2.3,,4.0,,8.6,,9.4,,9.4,,8.0
1903,,1.1,,3.2,,3.0,,1.7,,5.9,,7.6, 10.2,,9.6,,8.4
1904,,0.7,,0.4,,0.4,,4.2,,5.9,,8.0, 11.4, 10.0,,7.7,
