year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 15.0, 15.4,,4.2,,3.3,,0.1,,0.0,,0.0,,0.0,,0.0,
1961, 14.4,,1.4,,5.3,,0.8,,0.9,,0.0,,0.0,,0.0,,0.0
1962,,8.5, 10.6, 22.5,,2.7,,1.1,,0.6,,0.0,,0.0,,0.0,
1963, 28.6, 27.5,,8.6,,1.4,,0.2,,0.0,,0.0,,0.0,,0.0,
1964, 13.5, 11.2, 11.8,,2.7,,0.0,,0.0,,0.0,,0.0,,0.1,,2.8
1965, 16.3, 13.6, 13.3,,3.2,,1.1,,0.0,,0.0,,0.0,,0.0,,0.2
1966, 17.0,,8.4,,5.9,,4.8,,0.0,,0.0,,0.0,,0.0,,0.0
1967, 10.4,,8.7,,2.5,,2.4,,1.8,,0.0,,0.0,,0.0,,0.0
1968, 13.3, 21.8,,7.2,,9.7,,0.6,,0.0,,0.0,,0.0,,0.0,
1969,,8.3, 20.1, 17.2,,8.0,,0.1,,0.0,,0.0,,0.0,,0.6,
1970, 11.7, 15.6, 16.9,,8.9,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5
1971,,8.3,,9.1, 10.1,,3.9,,1.6,,0.0,,0.0,,0.0,,0.0
1972, 11.1,,6.7,,7.6,,0.6,,0.1,,0.0,,0.0,,0.0,,0.0
1973, 11.4, 11.8, 11.5,,4.3,,0.8,,0.0,,0.0,,0.0,,0.0,,3.3
1974,,5.6,,7.7,,8.3,,3.4,,1.2,,0.0,,0.0,,0.0,
1975,,3.9,,9.7,,9.7,,6.4,,1.1,,0.0,,0.0,,0.0,
1976,,9.2, 11.2, 14.2,,4.3,,0.2,,0.0,,0.0,,0.0,,0.0,
1977, 17.2,,6.2,,4.7,,6.3,,0.7,,0.0,,0.0,,0.0,,0.0
1978, 13.8, 17.4,,5.9,,7.4,,0.0,,0.0,,0.0,,0.0,,0.0,
1979, 27.6, 23.4, 10.5,,4.8,,4.9,,0.0,,0.0,,0.0,,0.1,,0.4
1980, 19.0,,5.2,,9.8,,3.1,,1.2,,0.0,,0.0,,0.0,,0.0
1981, 12.4, 19.4,,3.2,,4.7,,1.4,,0.0,,0.0,,0.0,,0.0,
1982, 14.4,,9.5,,6.1,,3.6,,1.9,,0.0,,0.0,,0.0,,0.0
1983,,4.5, 20.9,,4.4,,5.4,,0.0,,0.0,,0.0,,0.0,,0.0
1984, 14.2, 13.5,,7.4,,7.8,,2.1,,0.0,,0.0,,0.0,,0.0,
1985, 24.9, 15.2, 13.7,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1
1986, 15.9, 25.1,,9.6,,7.1,,0.0,,0.0,,0.0,,0.0,,0.6,
1987, 20.7, 14.4, 16.5,,0.3,,0.7,,0.0,,0.0,,0.0,,0.0,,2.9
1988,,5.1,,8.8,,6.0,,5.1,,0.0,,0.0,,0.0,,0.0,
1989,,5.8,,7.1,,4.6,,7.6,,0.1,,0.1,,0.0,,0.0,
1990,,3.5,,1.8,,4.4,,7.4,,0.0,,0.0,,0.0,,0.0,
1991, 16.7, 20.1,,4.2,,4.4,,0.3,,0.3,,0.0,,0.0,,0.0,
1992, 15.1,,8.1,,1.7,,2.1,,0.1,,0.0,,0.0,,0.0,,0.0
1993,,6.2,,6.9,,8.6,,1.6,,0.5,,0.0,,0.0,,0.0,
1994,,8.9, 15.0,,1.7,,2.7,,0.1,,0.0,,0.0,,0.0,,0.0
1995, 11.5,,3.7, 14.6,,4.1,,1.6,,0.0,,0.0,,0.0,,0.0,
1996,,9.3, 19.9, 10.1,,5.9,,4.0,,0.0,,0.0,,0.0,,0.0,
1997, 19.9,,4.3,,2.6,,4.5,,1.1,,0.0,,0.0,,0.0,,0.0
1998,,9.8,,4.4,,3.8,,4.1,,0.1,,0.0,,0.0,,0.0,
1999,,6.5,,8.1,,2.6,,3.9,,0.0,,0.0,,0.0,,0.0,
2000, 10.6,,5.8,,5.9,,4.7,,0.0,,0.0,,0.0,,0.0,,0.0
2001, 16.3, 15.0, 10.4,,3.3,,0.2,,0.0,,0.0,,0.0,,0.0,,0.0
2002,,8.6,,4.5,,5.1,,3.7,,0.0,,0.0,,0.0,,0.0,
2003, 11.8, 15.5,,8.3,,4.6,,0.2,,0.0,,0.0,,0.0,,0.0,
2004, 10.7, 11.7,,6.1,,0.9,,0.0,,0.0,,0.0,,0.0,,0.0,
2005,,4.7, 10.9,,8.6,,2.5,,1.2,,0.0,,0.0,,0.0,,0.0
2006, 10.6, 12.0, 12.9,,3.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2007,,4.4,,8.0,,3.4,,0.3,,0.0,,0.0,,0.0,,0.0,
2008,,3.5, 12.6,,6.5,,5.8,,0.1,,0.0,,0.0,,0.0,,0.0
2009, 15.7, 13.1,,5.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,
2010, 18.7, 16.4, 10.5,,2.6,,1.4,,0.0,,0.0,,0.0,,0.0,,2.5
2011, 14.7,,2.8,,7.1,,0.1,,0.5,,0.0,,0.0,,0.0,,0.0
2012,,9.4, 13.3,,2.7,,5.0,,0.6,,0.0,,0.0,,0.0,,0.0
2013, 16.0, 16.3, 19.9,,8.7,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0
2014,,4.8,,1.8,,4.5,,0.7,,0.6,,0.0,,0.0,,0.0,
2015, 12.2, 11.2,,5.5,,1.8,,0.2,,0.0,,0.0,,0.0,,0.0,
2016,,7.9, 11.2,,7.6,,5.4,,0.3,,0.0,,0.0,,0.0,,0.0
2017, 15.2,,4.8,,1.2,,2.1,,0.2,,0.0,,0.0,,0.0,,0.0
2018,,7.1, 15.4, 11.5,,0.6,,0.3,,0.0,,0.0,,0.0,,0.1,
2019, 14.3,,8.0,,1.2,,5.2,,0.2,,0.0,,0.0,,0.0,,0.0
2020,,3.6,,3.2,,6.9,,1.4,,1.8,,0.0,,0.0,,0.0,
2021, 17.2, 11.6,,4.3, 13.6,,1.4,,0.0,,0.0,,0.0,,0.0,,0.0
