year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.3,,7.6,,9.7, 10.8, 16.2, 18.8, 20.4, 22.5, 18.5, 12.4,,8.0,,6.2
1885,,4.3,,8.5,,8.0, 11.9, 12.9, 18.8, 21.6, 17.9, 16.5, 10.1,,7.7,,5.9
1886,,4.1,,3.3,,6.9, 11.7, 14.6, 17.6, 20.4, 20.4, 17.5, 13.8,,8.8,,4.7
1887,,4.5,,7.3,,6.8, 11.0, 13.1, 21.4, 23.1, 21.2, 15.3, 10.5,,6.9,,5.3
1888,,5.4,,3.8,,5.9,,9.7, 15.7, 17.5, 16.9, 18.3, 16.3, 12.0,,9.6,
1889,,5.3,,5.6,,8.0, 10.3, 17.0, 20.5, 19.4, 18.6, 16.5, 11.6,,9.2,,5.7
1890,,8.4,,5.6,,9.7, 11.1, 16.5, 18.0, 18.4, 18.4, 19.4, 13.2,,8.8,,0.7
1891,,4.1,,8.7,,7.2,,9.9, 13.8, 19.1, 18.8, 17.6, 18.4, 12.6,,8.0,
1892,,4.2,,5.8,,6.4, 13.1, 16.2, 17.9, 17.7, 19.3, 15.9, 10.2,,8.9,,4.4
1893,,4.2,,7.1, 12.9, 16.7, 18.1, 20.9, 20.7, 22.4, 17.4, 13.6,,7.9,,7.4,
1894,,5.5,,8.0, 11.2, 14.3, 13.1, 17.9, 20.3, 17.7, 15.1, 12.1, 10.2,,7.3,,6.95
1895,,2.0,,1.3,,8.8, 12.4, 17.8, 20.1, 19.4, 19.9, 21.5, 10.7, 10.0,,5.8,
1896,,6.8,,7.3, 10.2, 13.0, 17.5, 21.1, 21.4, 18.1, 16.1, 10.1,,7.0,,5.9,
1897,,2.9,,7.8,,9.7, 10.6, 14.8, 19.5, 21.3, 20.7, 15.8, 13.2,,9.7,,7.1
1898,,8.2,,7.3,,7.6, 12.6, 13.7, 18.0, 20.1, 20.9, 20.3, 13.9,,9.4,,9.5
1899,,7.2,,8.3,,9.5, 11.3, 14.3, 20.8, 22.0, 23.6, 17.3, 13.3, 11.0,,4.1,
1900,,6.1,,4.8,,6.2, 12.9, 14.2, 18.9, 22.9, 19.3, 18.1, 12.9,,9.1,,9.2
1901,,5.3,,4.2,,6.8, 13.3, 16.7, 18.7, 22.8, 20.4, 17.7, 12.9,,7.4,,5.3
1902,,6.9,,3.8, 10.3, 11.8, 12.6, 17.9, 19.0, 18.1, 16.8, 12.0,,8.8,,6.4,
1903,,5.9,,9.4, 10.1, 10.2, 14.9, 17.0, 19.4, 17.8, 16.7, 12.8,,8.7,,4.8,
1904,,6.2,,5.2,,7.4, 12.5, 14.7, 17.8, 22.0, 19.4, 16.7, 13.0,,8.1,,5.9
1905,,5.7,,7.5, 10.3, 10.4, 15.4, 19.2, 22.1, 18.5, 15.6, 10.4,,7.4,,6.7,
1906,,7.3,,5.4,,8.4, 12.4, 14.1, 18.8, 20.9, 21.8, 18.9, 13.7,,9.6,,5.3
1907,,5.5,,5.6, 11.0, 11.4, 14.3, 16.1, 18.2, 18.4, 18.5, 12.9,,9.0,,6.4,
1908,,4.9,,7.8,,7.1,,9.5, 16.8, 19.1, 20.4, 18.8, 16.5, 15.3, 10.1,,6.1
1909,,5.4,,5.8,,6.2, 13.9, 16.3, 15.5, 18.5, 20.4, 15.2, 13.4,,7.7,,6.1
1910,,5.8,,7.6,,9.8, 11.0, 15.7, 19.2, 18.0, 18.8, 16.2, 13.2,,6.0,,8.1
1911,,5.7,,7.3,,7.6, 11.2, 17.9, 19.3, 24.2, 23.6, 19.2, 12.5,,8.3,,8.1
1912,,5.3,,7.7, 10.0, 13.8, 16.2, 17.7, 19.7, 16.3, 14.5, 12.4,,8.5,,9.2,
1913,,6.2,,7.5,,9.3, 11.3, 16.0, 18.9, 18.5, 20.0, 17.8, 13.9, 11.0,,6.8,
1914,,5.6,,9.6,,9.1, 15.0, 15.0, 19.5, 20.2, 20.8, 18.2, 13.5,,9.4,,6.7
1915,,5.8,,6.9,,8.5, 11.9, 15.7, 19.8, 18.4, 19.4, 18.0, 12.1,,6.0,,7.7
