year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.8,,4.6,,5.7,,6.5, 10.7, 13.4, 15.6, 16.5, 14.0,,8.6,,4.9
1885,,2.0,,5.2,,4.0,,7.2,,8.3, 13.6, 15.9, 13.3, 11.8,,6.8,
1886,,1.4,,0.8,,3.4,,7.2,,9.9, 12.9, 15.5, 15.6, 13.2, 10.7,,5.9
1887,,1.5,,3.5,,3.2,,6.0,,9.0, 15.2, 17.1, 15.1, 11.2,,6.6,
1888,,2.6,,1.3,,2.7,,5.8, 10.2, 12.7, 13.1, 13.7, 11.8,,7.3,,7.2
1889,,2.4,,2.4,,4.2,,6.6, 12.3, 15.1, 14.6, 14.2, 12.3,,8.0,,6.2
1890,,5.1,,2.6,,5.7,,6.5, 11.2, 13.3, 14.0, 13.9, 14.4,,9.1,,5.3
1891,,0.7,,4.1,,3.6,,5.5,,9.0, 14.1, 14.2, 13.6, 13.6,,8.8,
1892,,1.4,,2.7,,2.2,,6.9, 11.0, 12.7, 13.4, 14.7, 11.7,,6.4,,5.8
1893,,1.5,,4.1,,7.0,,9.8, 12.3, 14.9, 15.9, 17.0, 12.5,,9.4,,4.5
1894,,2.7,,4.4,,6.0,,9.1,,8.5, 13.2, 15.4, 13.8, 11.1,,8.7,
1895, -0.7, -2.7,,4.8,,7.9, 11.8, 14.1, 14.9, 15.2, 15.2,,6.7,,6.9,,3.1
1896,,4.1,,3.8,,6.3,,8.4, 11.4, 15.7, 15.9, 13.7, 12.6,,6.5,,3.8
1897,,0.7,,5.1,,6.2,,6.5,,9.5, 14.6, 15.9, 15.7, 11.5,,9.2,
1898,,5.6,,4.0,,3.6,,7.6,,9.8, 13.0, 14.7, 15.9, 14.6, 10.6,,6.4
1899,,4.2,,4.4,,4.6,,7.4,,9.3, 14.8, 16.8, 17.3, 12.9,,8.4,
1900,,3.5,,1.9,,2.8,,7.7,,9.5, 14.1, 17.3, 14.7, 12.9,,9.0,
1901,,2.5,,1.4,,3.5,,8.0, 10.8, 13.3, 17.4, 15.4, 13.2,,8.8,,4.0
1902,,4.1,,0.7,,6.3,,6.8,,8.2, 13.1, 14.1, 13.6, 12.2,,8.9,
1903,,3.3,,6.2,,6.4,,5.8, 10.2, 12.2, 14.6, 13.5, 12.3,,9.7,,5.6
1904,,3.3,,2.6,,3.7,,8.3, 10.1, 12.7, 16.5, 14.4, 11.9,,8.9,,4.5
1905,,2.7,,4.4,,6.3,,6.6, 10.0, 14.1, 16.8, 14.0, 11.6,,6.5,,4.2
1906,,4.5,,2.4,,4.4,,6.5,,9.9, 13.5, 15.3, 16.4, 13.3, 10.2,,6.6
1907,,2.7,,2.2,,5.8,,7.0,,9.9, 12.0, 13.4, 13.9, 13.1,,9.1,
1908,,1.6,,4.7,,3.5,,5.4, 12.0, 13.5, 15.4, 14.0, 12.3, 11.2,,6.7,
1909,,2.5,,2.1,,2.8,,8.2, 10.1, 11.3, 14.2, 15.0, 11.4,,9.8,,4.3
1910,,2.8,,4.4,,5.4,,6.7, 10.7, 14.3, 13.8, 14.7, 12.1, 10.1,,2.6,
1911,,3.1,,4.2,,4.5,,7.1, 12.3, 14.0, 17.7, 17.9, 13.5,,8.8,,5.4
1912,,2.7,,4.6,,6.6,,8.2, 11.4, 13.3, 15.5, 12.4, 10.6,,7.6,,5.6
