year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 14.8, 19.2,,3.0,,1.4,,0.1,,0.0,,0.0,,0.0,,0.0,
1961, 11.5,,3.1,,0.7,,3.5,,0.1,,0.0,,0.0,,0.0,,0.0
1962, 11.8,,7.0, 18.5,,6.5,,0.3,,0.4,,0.0,,0.0,,0.0,
1963, 27.0, 22.7,,8.7,,2.6,,0.2,,0.0,,0.0,,0.0,,0.1,
1964,,4.1,,9.8,,7.7,,2.4,,0.0,,0.0,,0.0,,0.0,
1965, 15.9, 11.6,,8.7,,1.5,,1.7,,0.0,,0.0,,0.0,,0.0,
1966, 12.9,,5.9,,3.8,,6.4,,0.0,,0.0,,0.0,,0.0,,0.0
1967,,7.9,,6.0,,4.3,,3.7,,2.4,,0.0,,0.0,,0.0,
1968,,8.9, 21.8,,8.0,,9.3,,2.9,,0.0,,0.0,,0.0,,0.0
1969, 10.0, 18.0, 14.7,,8.0,,0.5,,0.0,,0.0,,0.0,,0.1,,0.2
1970, 11.3, 17.4, 13.0,,8.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
1971,,8.8,,7.6,,8.1,,3.9,,0.4,,0.0,,0.0,,0.0,
1972, 11.6,,7.2,,9.6,,2.1,,0.1,,0.0,,0.0,,0.0,,0.6
1973,,6.4, 10.5,,9.3,,5.3,,2.5,,0.0,,0.0,,0.0,,0.0
1974,,6.1,,7.1,,8.8,,3.8,,0.3,,0.0,,0.0,,0.0,
1975,,6.9,,6.0, 10.5,,5.3,,1.3,,0.4,,0.0,,0.0,,0.4
1976,,7.3,,7.6,,8.1,,3.5,,0.1,,0.0,,0.0,,0.0,
1977, 16.9, 10.5,,2.1,,5.3,,2.4,,0.0,,0.0,,0.0,,0.1,
1978, 13.5, 13.2,,6.4,,6.1,,0.4,,0.0,,0.0,,0.0,,0.0,
1979, 24.7, 17.7, 13.6,,4.7,,5.7,,0.0,,0.0,,0.0,,0.1,,0.3
1980, 17.6,,8.4, 11.5,,1.9,,0.2,,0.0,,0.0,,0.0,,0.0,
1981,,7.8, 10.8,,3.8,,3.8,,1.4,,0.0,,0.0,,0.0,,0.0
1982, 13.1,,8.5,,6.1,,2.8,,2.9,,0.0,,0.0,,0.0,,0.0
1983,,5.5, 13.5,,4.3, 11.4,,0.2,,0.0,,0.0,,0.0,,0.0,
1984, 19.0,,8.5, 10.7,,4.9,,2.4,,0.0,,0.0,,0.0,,0.1,
1985, 24.5, 13.0, 11.3,,2.0,,0.3,,0.0,,0.0,,0.0,,0.0,,0.1
1986, 14.9, 21.0,,9.5,,8.9,,0.0,,0.0,,0.0,,0.0,,0.6,
1987, 15.8, 13.8, 11.4,,1.9,,0.2,,0.0,,0.0,,0.0,,0.0,,2.7
1988,,9.9,,9.6,,3.4,,3.1,,0.5,,0.0,,0.0,,0.0,
1989,,2.9,,7.7,,6.7,,7.7,,0.2,,0.0,,0.0,,0.0,
1990,,4.0,,5.7,,2.0,,2.6,,0.0,,0.0,,0.0,,0.0,
1991, 16.0, 17.2,,3.7,,1.0,,0.6,,0.2,,0.0,,0.0,,0.3,
1992,,7.4,,6.7,,1.0,,0.7,,0.1,,0.0,,0.0,,0.0,
1993,,5.4,,3.7,,6.4,,0.8,,1.6,,0.0,,0.0,,0.0,
1994,,9.6, 10.8,,2.4,,3.5,,0.3,,0.0,,0.0,,0.0,,0.0
1995, 12.7,,4.1, 11.5,,3.6,,1.8,,0.0,,0.0,,0.0,,0.0,
1996,,4.7, 18.2,,5.1,,4.4,,3.5,,0.0,,0.0,,0.0,,0.0
1997, 12.5,,5.2,,5.1,,1.8,,1.1,,0.0,,0.0,,0.0,,0.0
1998,,9.9,,3.0,,2.3,,5.9,,0.0,,0.0,,0.0,,0.0,
1999,,8.1,,6.2,,5.0,,5.0,,0.0,,0.0,,0.0,,0.0,
2000,,5.7,,4.6,,3.2,,6.0,,0.1,,0.0,,0.0,,0.0,
2001, 13.9, 13.7, 11.4,,2.7,,0.2,,0.0,,0.0,,0.0,,0.0,,0.0
2002,,2.9,,4.4,,5.8,,4.0,,0.2,,0.0,,0.0,,0.0,
2003, 10.9, 10.7,,7.1,,2.5,,0.1,,0.0,,0.0,,0.0,,0.0,
2004,,7.2, 12.5,,5.6,,0.6,,0.0,,0.0,,0.0,,0.0,,0.0
2005,,4.5,,7.5,,5.9,,1.7,,0.5,,0.0,,0.0,,0.0,
2006,,7.4, 10.5, 10.3,,3.2,,0.4,,0.0,,0.0,,0.0,,0.0,
2007,,5.0,,8.4,,5.2,,1.1,,0.4,,0.0,,0.0,,0.0,
2008,,6.0,,8.7,,5.1,,4.0,,0.1,,0.0,,0.0,,0.0,
2009, 14.0, 11.0,,5.2,,0.3,,0.1,,0.0,,0.0,,0.0,,0.0,
2010, 16.8, 18.5, 12.6,,5.5,,1.5,,0.0,,0.0,,0.0,,0.1,,2.3
2011, 17.2,,6.1,,9.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2012,,3.8,,4.9,,3.0,,4.9,,1.4,,0.0,,0.0,,0.0,
2013,,9.2, 10.5, 16.2,,6.8,,0.3,,0.0,,0.0,,0.0,,0.0,
2014,,5.1,,6.5,,6.9,,1.1,,0.0,,0.0,,0.0,,0.0,
