year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,8.2,,7.7,,8.8, 10.8, 14.1, 16.8, 18.0, 18.3, 16.6, 12.2,,8.4,,6.7
1885,,6.5,,8.4,,8.0, 10.8, 11.9, 16.4, 19.0, 17.2, 14.7,,9.8,,8.9,
1886,,5.0,,5.8,,7.2, 10.8, 12.9, 16.1, 17.8, 17.9, 15.7, 12.9,,9.6,,4.9
1887,,6.7,,8.4,,8.5, 11.0, 14.6, 21.4, 19.7, 17.3, 14.8, 10.4,,7.3,,6.1
1888,,7.6,,5.5,,6.3,,9.8, 14.4, 16.7, 16.1, 16.9, 15.2, 12.1,,9.8,
1889,,7.3,,6.7,,8.6,,9.6, 15.1, 18.6, 17.7, 16.3, 15.4, 11.4,,9.8,
1890,,8.6,,6.7,,9.6, 11.4, 15.1, 16.6, 17.2, 16.7, 17.3, 13.3,,9.4,,5.2
1891,,5.8,,9.8,,7.9,,9.6, 12.9, 18.7, 17.5, 16.6, 16.7, 12.0,,7.8,
1892,,5.5,,6.7,,6.5, 11.8, 14.2, 16.0, 15.9, 16.7, 14.1, 10.0,,9.7,,6.1
1893,,5.8,,7.1, 10.8, 13.8, 15.7, 19.2, 18.8, 19.3, 15.7, 12.1,,8.0,,7.7,
1894,,5.8,,8.5, 10.5, 12.3, 12.2, 16.2, 18.0, 16.1, 15.3, 12.2,,9.8,,8.0,
1895,,3.2,,2.9,,8.2, 11.2, 16.0, 18.9, 17.2, 17.4, 18.2,,9.9,,8.9,
1896,,7.9,,8.7,,9.1, 12.4, 16.8, 18.9, 17.3, 16.8, 14.9,,9.3,,8.2,
1897,,4.8,,8.3,,8.4,,9.6, 13.5, 16.4, 19.3, 17.9, 14.9, 12.9, 10.2,,7.9
1898,,9.1,,7.3,,8.2, 12.0, 13.2, 16.7, 18.2, 18.2, 17.8, 12.9,,9.4,,9.6
1899,,6.6,,7.7,,9.6, 10.2, 13.5, 19.0, 18.3, 21.0, 15.3, 12.9, 10.9,,6.3,
1900,,7.0,,4.9,,6.7, 11.7, 13.4, 17.7, 18.7, 17.3, 16.4, 11.6,,8.7,,9.0
1901,,6.7,,5.9,,7.0, 11.2, 16.2, 15.8, 19.1, 17.4, 15.5, 11.5,,8.6,,5.7
1902,,6.4,,4.6,,9.1, 10.9, 11.4, 15.6, 16.4, 16.3, 15.7, 11.9,,9.5,,7.1
1903,,6.1,,9.2,,8.5,,9.3, 13.6, 15.9, 17.1, 16.0, 15.1, 11.6,,8.9,
1904,,6.6,,5.3,,7.3, 10.6, 13.3, 16.6, 17.9, 16.7, 15.2, 12.2,,8.5,,6.9
1905,,7.2,,7.5,,8.8,,9.6, 14.7, 18.4, 19.0, 16.3, 14.6, 10.3,,7.6,
1906,,7.3,,5.9,,8.2, 10.7, 12.1, 17.1, 17.4, 18.4, 16.9, 12.3,,9.5,,6.3
1907,,6.8,,6.4, 10.0, 10.0, 12.4, 14.1, 17.2, 16.5, 16.2, 11.5,,8.6,,7.0,
1908,,6.6,,8.3,,7.6,,9.0, 15.2, 16.4, 17.5, 16.6, 14.7, 14.1, 10.9,,7.8
1909,,6.9,,7.4,,6.3, 11.4, 14.1, 14.8, 16.3, 18.0, 14.8, 11.9,,8.4,,5.9
1910,,6.2,,7.7,,8.7,,9.9, 13.6, 16.3, 16.7, 17.0, 15.1, 13.0,,7.3,
1911,,7.0,,8.0,,7.9, 10.7, 15.2, 16.4, 19.2, 19.5, 16.2, 11.9,,8.2,,7.6
1912,,6.4,,7.4,,9.3, 12.1, 14.4, 15.6, 16.2, 14.4, 13.8, 11.4,,8.8,,8.9
1913,,7.0,,7.7,,7.9, 10.4, 13.0, 15.3, 16.1, 17.7, 15.7, 13.0, 10.5,,7.0,
1914,,6.6,,9.0,,8.3, 12.9, 13.9, 17.5, 17.7, 18.7, 15.8, 13.1,,9.4,,5.7
1915,,5.8,,6.4,,8.7, 11.4, 13.1, 17.1, 17.0, 17.3, 15.8, 12.1,,7.0,,6.6
