year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,2.9,,1.4,,2.6,,2.7,,5.2,,8.2, 10.5, 10.6,,8.5,
1885,,1.0,,1.1,,0.1,,2.9,,3.5,,7.0,,9.4,,8.6,
1886, -0.9, -0.1,,0.8,,1.9,,4.4,,7.7,,9.7,,9.6,,7.3,
1887,,0.6,,1.3,,1.1,,1.3,,5.2, 10.0, 11.3,,9.7,,6.7,
1888,,1.8, -0.2, -0.4,,2.5,,5.1,,7.9,,9.0,,8.8,,7.5,
1889,,1.7,,0.4,,2.2,,3.4,,7.5,,8.9,,9.3,,9.8,
1890,,2.0,,1.1,,2.2,,2.7,,6.7,,9.0,,9.4,,8.7,
1891, -0.0,,1.8, -0.0,,1.8,,4.4,,9.6, 10.4, 10.0,,9.3,,4.1,
1892, -0.5,,1.1, -0.9,,1.9,,6.2,,7.7,,9.4,,9.9,,7.1,
1893,,1.3,,1.5,,3.1,,4.7,,8.4, 10.1, 10.8, 11.7,,8.0,,4.8
1894,,0.3,,1.6,,1.8,,5.2,,4.2,,8.1, 10.8,,9.9,,6.0
1895, -2.0, -4.2,,2.1,,3.4,,6.0,,7.9,,9.3, 10.2,,9.6,,3.0
1896,,2.6,,3.3,,1.9,,4.8,,6.6,,9.5,,9.9,,8.8,
1897, -1.0,,2.9,,2.2,,1.7,,4.3,,9.0, 10.3, 10.2,,6.9,,6.6
1898,,4.3,,1.0,,0.9,,4.1,,5.8,,8.3,,9.1, 10.3,,9.9
1899,,0.5,,1.3,,1.6,,3.5,,4.8,,9.5, 11.2, 11.2,,7.7,
1900,,1.5, -1.8,,0.4,,3.7,,5.6,,9.0, 11.2,,9.8,,7.9,
1901,,1.6,,0.2,,1.1,,2.6,,5.5,,7.9, 11.7,,9.7,,9.0
1902,,1.8, -1.5,,3.3,,2.5,,4.5,,8.4,,9.4,,8.9,,8.6
1903,,0.8,,3.6,,1.7,,2.4,,6.1,,7.8,,9.8,,9.1,
1904,,1.5,,0.2,,0.8,,3.8,,5.5,,8.5, 10.7,,9.6,,7.9
1905,,2.6,,1.5,,1.7,,2.7,,5.7,,9.5, 10.9,,9.4,,7.6
1906,,2.1, -0.5,,1.3,,1.8,,5.3,,8.6,,9.1, 11.2,,7.8,
1907,,1.2, -0.6,,2.2,,2.5,,4.4,,6.8,,9.1,,8.2,,8.2
1908,,0.4,,2.2,,0.5,,0.9,,6.3,,7.7, 10.1,,8.8,,7.8
1909,,1.7,,1.7, -0.4,,2.6,,4.5,,7.1,,9.1,,9.5,,6.5
1910,,0.3, -0.1,,1.6,,1.9,,5.4,,8.6,,8.9, 10.0,,7.7,
1911,,1.1,,0.6,,1.0,,2.9,,6.2,,7.5, 10.5, 10.4,,7.3,
1912,,1.3,,1.4,,2.6,,3.9,,5.8,,8.5,,8.5,,7.2,
1913,,1.4,,1.9,,1.2,,2.8,,5.6,,7.8,,8.9,,8.8,
1914,,1.4,,1.9,,0.6,,3.8,,5.1,,8.1, 10.2, 10.0,,7.8,
1915,,0.1, -0.8,,0.9,,3.5,,4.4,,7.9,,8.9,,9.2,,8.5
