year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 19.1, 20.2,,9.3,,3.0,,1.4,,0.0,,0.0,,0.1,,0.9,
1961, 18.6,,8.1,,3.8,,5.6,,2.3,,0.4,,0.0,,0.0,,0.0
1962, 13.9, 14.2, 20.7, 10.9,,1.6,,0.4,,0.1,,0.1,,0.2,,2.5, 11.3
1963, 25.7, 25.7, 10.2,,6.6,,2.1,,0.0,,0.0,,0.0,,0.3,,0.9
1964, 10.7, 12.0, 12.6,,4.1,,0.0,,1.0,,0.0,,0.2,,0.7,,3.9
1965, 19.7, 14.4, 17.6,,7.9,,2.2,,0.1,,0.1,,0.1,,0.1,,1.8
1966, 18.1, 15.4,,9.4, 13.2,,1.7,,0.0,,0.1,,0.1,,0.0,,3.5
1967, 12.6,,9.0,,9.9,,8.4,,4.1,,0.0,,0.0,,0.1,,0.0
1968, 15.1, 24.4, 13.3, 10.8,,6.1,,0.1,,0.0,,0.0,,0.1,,0.7,
1969, 12.1, 22.6, 21.9, 11.2,,2.0,,0.4,,0.0,,0.1,,0.5,,0.4, 19.3
1970, 15.0, 21.5, 19.9, 14.6,,0.3,,0.1,,0.0,,0.0,,0.2,,2.1,
1971, 11.6,,9.7, 12.9,,6.9,,1.6,,0.2,,0.0,,0.0,,0.7,
1972, 13.3, 13.5, 11.7,,4.0,,0.7,,0.2,,0.0,,0.0,,2.0,,1.7
1973, 11.5, 14.6, 12.0, 10.6,,2.9,,0.2,,0.1,,0.2,,0.2,,6.9, 12.2
1974,,8.9,,9.5, 12.4,,9.2,,2.0,,0.1,,0.0,,0.0,,2.2
1975, 13.9, 13.0, 17.8,,8.5,,4.3,,1.2,,0.0,,0.0,,1.6,,2.0
1976, 14.4, 12.0, 14.0,,6.0,,1.0,,0.0,,0.0,,0.0,,0.4,,1.6
1977, 18.4, 16.2,,7.3,,9.7,,4.5,,0.6,,0.0,,0.3,,0.6,
1978, 20.6, 19.3, 10.6, 10.2,,1.8,,0.5,,0.0,,0.0,,0.0,,0.3,
1979, 25.9, 21.7, 20.7,,7.9,,8.2,,0.0,,0.0,,0.0,,1.2,,0.8
1980, 18.4, 10.7, 16.1,,4.3,,3.0,,0.2,,0.0,,0.0,,0.0,,5.4
1981, 17.1, 17.0, 11.6, 10.9,,2.9,,0.3,,0.0,,0.0,,0.2,,8.4,
1982, 14.6, 10.1, 11.9,,5.5,,5.9,,0.0,,0.0,,0.1,,0.3,,1.6
1983, 10.1, 21.4,,9.6, 14.2,,1.2,,0.2,,0.0,,0.0,,0.5,,3.4
1984, 23.5, 12.6, 13.4,,8.2,,4.2,,0.1,,0.0,,0.0,,0.6,,1.1
1985, 23.9, 15.8, 15.9,,6.4,,2.1,,0.6,,0.0,,0.0,,0.1,,2.0
1986, 19.2, 24.2, 11.7, 14.0,,0.4,,0.3,,0.0,,0.1,,2.5,,1.8,
1987, 20.9, 17.0, 19.0,,4.0,,2.2,,0.2,,0.0,,0.0,,0.3,,5.6
1988, 14.7, 12.4, 13.6,,7.2,,1.2,,0.1,,0.0,,0.0,,0.4,,3.4
1989,,4.2, 11.4, 11.1, 10.5,,1.5,,0.7,,0.0,,0.0,,0.7,,0.7
1990,,8.8,,9.3,,5.2,,7.5,,0.9,,0.0,,0.0,,0.0,
1991, 18.6, 19.6,,8.4,,5.7,,1.6,,1.1,,0.0,,0.0,,1.2,
1992, 14.2,,9.7,,8.0,,5.4,,1.9,,0.0,,0.0,,0.0,,0.1
1993, 13.0,,6.3, 10.5,,3.5,,2.7,,0.0,,0.0,,0.0,,1.7,
1994, 16.3, 17.4, 11.5,,8.3,,4.9,,0.0,,0.0,,0.0,,0.1,,2.8
1995, 18.2, 12.8, 18.6,,7.0,,6.4,,0.1,,0.0,,0.0,,0.6,,0.7
1996,,8.7, 19.8, 13.6,,5.0,,6.4,,0.1,,0.0,,0.0,,0.1,
1997, 19.3, 10.7,,5.2,,5.4,,3.9,,0.2,,0.0,,0.0,,0.6,
1998, 13.8,,4.4,,9.9, 10.2,,1.3,,0.8,,0.0,,0.0,,0.2,
1999, 11.5, 13.9,,9.4,,6.2,,0.6,,0.2,,0.0,,0.2,,0.0,
2000, 10.4, 11.5,,8.1,,9.3,,1.1,,0.3,,0.0,,0.0,,0.0,
2001, 18.9, 16.8, 17.2,,7.5,,2.4,,0.4,,0.0,,0.0,,0.0,,0.0
2002,,9.3, 11.1,,9.2,,5.4,,1.4,,0.0,,0.0,,0.0,,0.1
2003, 15.7, 16.3,,9.2,,3.3,,1.0,,0.0,,0.0,,0.0,,0.3,
2004, 13.0, 16.6,,9.4,,2.0,,0.8,,0.0,,0.0,,0.0,,0.0,
2005,,9.5, 13.4,,9.5,,4.8,,3.4,,0.2,,0.0,,0.0,,0.1
2006, 12.0, 13.6, 16.7,,7.3,,2.4,,0.0,,0.0,,0.0,,0.0,,0.2
2007,,9.2,,9.6,,8.6,,2.5,,1.5,,0.1,,0.0,,0.0,
2008, 13.5, 11.6, 13.6,,8.7,,0.8,,0.2,,0.0,,0.0,,0.1,,4.5
2009, 16.7, 12.7,,9.1,,3.0,,1.2,,0.4,,0.0,,0.0,,0.0,
2010, 20.9, 21.3, 13.2,,6.6,,4.5,,0.0,,0.0,,0.0,,0.8,,3.2
2011, 17.6, 10.6, 11.0,,1.2,,1.5,,0.2,,0.0,,0.0,,0.0,,0.6
2012, 13.3,,9.9,,4.6, 10.2,,4.7,,0.5,,0.0,,0.1,,0.8,
2013, 14.5, 18.2, 21.5, 11.8,,2.7,,0.1,,0.0,,0.0,,0.2,,0.9, 11.8
2014,,9.1,,8.0,,6.5,,2.5,,1.1,,0.0,,0.0,,0.1,
2015, 16.0, 13.5, 11.0,,7.6,,3.6,,0.5,,0.0,,0.0,,0.0,,1.2
2016, 14.3, 17.9, 10.8, 10.0,,1.1,,0.0,,0.0,,0.1,,0.0,,1.6, 13.4
2017, 14.6, 10.3,,9.8,,4.3,,1.0,,0.2,,0.0,,0.0,,0.0,
2018, 16.2, 19.1, 16.7,,5.9,,1.2,,0.0,,0.0,,0.0,,0.2,,4.4
2019, 17.2,,8.6,,7.4,,5.2,,4.0,,0.0,,0.0,,0.0,,0.0
2020,,7.8, 12.5, 11.7,,5.7,,3.8,,0.1,,0.0,,0.0,,1.1,
2021, 23.0, 12.2,,7.1, 16.8,,4.4,,0.2,,0.0,,0.0,,0.1,,0.9
