year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 17.9,,8.9, 16.4,,8.6, 14.5,,8.7, 18.1, 23.8, 21.1, 18.2, 17.6, 20.6,, ---
1892, 21.1, 16.1,,8.7, 11.2, 18.1, 15.7, 11.2, 21.1, 19.4, 21.8, 16.8, 14.8,,57.8,,37.9
1893, 18.3, 18.8, 12.3,,9.7, 13.0,,9.9, 16.7, 19.2, 19.5, 21.1, 16.5, 23.2,,51.9,
1894, 22.0, 22.5, 12.8, 12.3, 19.9, 14.0, 17.5, 19.4,,5.6, 15.6, 18.4, 19.5,,67.6,,45.0
1895, 18.0,,7.1, 20.0, 14.4,,7.7, 13.3, 19.3, 23.2, 11.3, 19.9, 17.4, 19.4,,44.6,
1896, 15.4, 12.1, 21.1, 15.8,,5.9, 18.4, 17.3, 16.5, 20.6, 19.4, 13.3, 21.9,,46.9,,42.9
1897, 13.3, 14.5, 24.4, 12.5, 14.7, 15.8, 12.7, 20.1, 18.4, 12.6, 16.1, 19.6,,49.7,,51.6,
1898, 18.8, 19.6, 16.7, 18.0, 15.8, 13.7, 10.9, 18.9, 15.9, 17.5, 17.3, 25.0,,57.9,,50.5,
1899, 20.7, 12.3, 17.8, 21.5, 12.8, 11.7, 16.3,,8.3, 23.5, 14.5, 20.5, 19.5,,58.0,,52.0
1900, 25.2, 16.0, 11.2, 18.2, 14.3, 16.6, 21.3, 15.0, 17.2, 23.1, 20.6, 26.6,,60.7,,43.8,
1901, 17.2, 14.0, 15.9, 16.3,,9.8, 15.3, 11.3, 18.7, 14.1, 21.6, 15.4, 23.5,,57.8,,42.0
1902, 18.7, 11.9, 21.0, 13.8, 20.6, 13.8, 18.2, 16.9, 15.3, 16.5, 15.5, 18.2,,54.1,,55.3,
1903, 19.9, 21.0, 26.2, 14.9, 14.3, 11.7, 19.8, 24.8, 15.9, 27.2, 20.6, 16.0,,59.0,,55.4,
1904, 19.8, 19.0, 14.7, 22.0, 18.0, 13.0, 14.3, 22.0, 14.4, 16.0, 18.7, 18.5,,54.8,,54.7,
1905, 17.2, 19.3, 24.1, 18.2, 13.2,,8.0, 17.4, 20.8, 17.0, 20.2, 21.3, 16.9,,55.0,,55.5
1906, 22.5, 18.0, 17.3, 13.3, 22.8,,9.7, 16.3, 20.2, 10.0, 23.4, 21.2, 21.1,,57.4,,53.5
1907, 16.1, 15.1, 16.6, 15.0, 17.1, 24.1, 14.8, 23.7,,8.8, 21.8, 16.9, 19.6,,52.4,,48.7
1908, 17.7, 19.6, 19.6, 13.5, 17.3, 13.1, 13.9, 14.0, 20.6, 11.1, 17.6, 19.7,,56.8,,50.3,
1909, 19.0,,9.8, 17.7, 16.6, 14.6, 10.2, 19.3, 16.5, 12.9, 22.1, 14.1, 17.0,,48.5,,49.0
1910, 19.9, 21.6, 12.5, 18.8, 15.2, 11.5, 14.4, 21.1,,9.3, 12.2, 19.3, 22.7,,58.5,,46.6
1911, 14.9, 16.6, 14.2, 15.4, 10.4, 12.4, 15.7, 13.3, 14.2, 13.6, 20.3, 25.0,,54.2,,40.1,
1912, 17.7, 15.8, 22.3,,8.5, 12.5, 21.9, 11.8, 19.0,,8.5, 19.6, 18.3, 24.5,,58.6,
1913, 17.1, 12.1, 22.5, 15.0, 16.6, 15.5,,6.7,,8.7, 11.2, 16.2, 21.6, 17.4,,53.7,
1914, 15.6, 20.3, 22.3, 12.7, 13.8, 11.1, 14.3, 15.2, 12.4, 13.2, 21.4, 20.4,,53.3,,48.9,
1915, 18.2, 19.7, 15.1, 17.6,,8.8,,7.6, 21.0, 17.1, 11.4, 12.2, 12.9, 24.2,,58.4,
1916, 23.0, 20.3, 16.5, 16.7, 18.7, 15.8, 17.4, 13.6, 11.2, 22.0, 20.1, 21.4,,67.5,,51.9,
1917, 13.7,,9.0, 16.3, 16.1, 12.8, 12.8, 10.1, 21.1, 18.6, 25.3, 20.5, 16.3,,44.2,,45.2
1918, 19.8, 21.6,,9.9,,7.6, 13.0, 12.6, 18.1, 19.6, 22.1, 20.5, 14.1, 22.4,,57.7,
1919, 20.4,,9.3, 15.5, 17.0,,8.2, 18.1,,5.7, 15.5, 17.7, 15.4, 21.2, 24.1,,52.2
