year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.5,,5.4,,6.7,,9.1, 12.2, 15.0, 16.8, 17.4, 14.9, 10.3,,6.2,
1885,,3.4,,5.1,,5.8,,9.3, 10.0, 14.7, 16.9, 14.7, 12.8,,7.4,,6.2
1886,,2.5,,2.8,,4.7,,8.8, 10.9, 14.4, 16.4, 15.8, 13.4, 11.2,,7.6,
1887,,4.7,,6.3,,6.1,,8.4, 12.5, 18.1, 17.7, 16.3, 12.9,,8.9,,5.7
1888,,5.2,,3.2,,3.8,,8.0, 12.1, 14.5, 14.3, 14.8, 13.7, 10.2,,7.2,
1889,,6.0,,4.1,,6.0,,7.7, 14.7, 17.3, 16.1, 15.1, 13.5,,9.8,,8.2
1890,,6.6,,5.0,,7.3,,9.4, 13.7, 14.3, 15.0, 15.2, 16.0, 10.9,,7.1,
1891,,4.1,,8.1,,4.7,,7.9, 11.3, 16.1, 16.1, 15.0, 14.5, 10.4,,6.4,
1892,,3.6,,4.2,,4.8,,9.6, 12.6, 14.2, 15.1, 15.2, 12.3,,7.6,,7.6
1893,,3.8,,4.9,,8.7, 12.2, 14.1, 17.2, 16.8, 17.6, 13.5, 10.5,,5.5,,6.4
1894,,4.3,,5.1,,8.7, 11.6, 10.3, 15.0, 17.3, 15.2, 13.3, 10.0,,8.7,,6.0
1895,,1.0,,1.0,,5.9, 10.0, 14.8, 16.4, 15.5, 16.3, 16.6,,8.2,,7.0,
1896,,5.8,,6.8,,7.1, 10.4, 15.4, 15.7, 16.1, 15.0, 13.2,,7.6,,7.0,
1897,,2.5,,5.6,,6.0,,8.2, 11.4, 15.0, 17.7, 17.3, 13.2, 11.6,,8.4,
1898,,7.5,,4.9,,6.1,,9.9, 11.3, 15.4, 16.5, 16.6, 16.1, 12.0,,7.4,
1899,,4.1,,5.9,,6.7,,8.3, 11.0, 17.3, 17.1, 19.1, 13.3, 11.3,,9.7,
1900,,4.8,,2.4,,5.1,,9.9, 11.8, 16.0, 16.8, 15.7, 14.8,,9.6,,7.1
1901,,4.8,,4.0,,5.5, 10.1, 14.9, 14.9, 19.4, 16.4, 15.2, 10.3,,7.2,,3.8
1902,,4.8,,3.0,,7.2,,9.6,,9.9, 14.8, 14.6, 14.5, 14.0, 10.7,,8.5
