year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.5,,3.0,,3.8,,5.5,,7.9, 11.0, 12.7, 13.4, 11.2,,7.2,
1885,,1.0,,2.2,,2.5,,5.7,,6.3, 10.5, 12.5, 10.6,,9.3,,4.5
1886,,0.2,,0.2,,1.8,,4.8,,7.0, 10.3, 12.1, 12.0,,9.7,,8.3
1887,,2.3,,3.5,,2.9,,4.4,,8.0, 12.9, 13.4, 12.1,,9.4,,5.6
1888,,2.7,,0.5,,0.9,,4.4,,7.7, 10.0, 10.8, 11.1,,9.7,,7.3
1889,,3.3,,1.3,,3.0,,4.8, 10.4, 12.5, 11.9, 11.8, 10.0,,6.4,,5.4
1890,,3.8,,2.2,,3.9,,5.3,,9.4, 10.7, 11.1, 11.5, 12.3,,7.9,
1891,,1.6,,4.6,,1.3,,3.9,,6.9, 11.6, 12.6, 11.7, 11.0,,7.0,
1892,,1.1,,1.4,,1.1,,4.8,,8.2, 10.0, 11.4, 11.7,,8.8,,4.8
1893,,1.3,,2.2,,4.7,,7.3, 10.0, 12.6, 13.0, 13.8,,9.9,,7.3,
1894,,1.7,,2.4,,4.5,,7.4,,6.3, 10.8, 13.4, 11.7,,9.4,,6.2
1895, -1.7, -2.7,,3.0,,6.0,,9.7, 11.5, 11.7, 12.9, 12.5,,4.8,,4.2,
1896,,3.1,,4.3,,3.7,,6.8, 10.3, 11.9, 12.3, 11.3, 10.1,,4.4,,4.4
1897,,0.3,,2.9,,3.3,,4.2,,7.1, 11.1, 13.2, 13.5,,9.4,,7.9
1898,,5.2,,2.4,,2.9,,6.5,,7.5, 11.1, 12.1, 12.6, 12.0,,8.8,
1899,,1.5,,2.6,,3.3,,4.7,,6.7, 12.6, 13.5, 14.4,,9.9,,7.7
1900,,2.7, -0.7,,1.8,,5.9,,7.9, 11.8, 13.3, 12.1, 10.8,,6.3,,4.6
1901,,2.5,,1.2,,2.7,,5.8,,9.6, 10.6, 14.9, 12.5, 11.6,,6.7,
1902,,2.2,,0.1,,4.1,,5.5,,6.0, 10.6, 10.9, 10.8, 10.6,,7.1,
1903,,1.7,,4.4,,3.8,,4.2,,8.1, 10.5, 11.6, 11.1, 10.5,,7.3,
1904,,3.0,,1.2,,2.5,,6.1,,7.8, 11.1, 12.8, 12.0, 10.4,,7.8,
1905,,3.6,,3.0,,4.3,,4.4,,8.7, 12.3, 13.7, 11.9, 10.2,,5.7,
1906,,3.4,,1.0,,2.6,,5.1,,6.9, 12.0, 12.1, 13.1, 11.5,,7.8,
1907,,2.6,,1.6,,4.5,,5.5,,7.6,,9.5, 11.7, 10.6, 11.0,,7.4
1908,,2.2,,3.5,,2.4,,4.0,,9.2, 11.4, 12.6, 11.8, 10.6, 10.4,,5.7
1909,,2.7,,2.7,,1.3,,5.8,,8.1, 10.1, 11.8, 12.3,,9.6,,7.2
1910,,1.1,,2.3,,4.6,,4.3,,8.5, 11.4, 11.8, 12.7, 10.5,,8.3,
1911,,3.2,,2.9,,3.1,,5.5, 10.0, 11.5, 13.6, 14.0, 10.4,,6.4,,3.6
1912,,1.9,,2.6,,4.6,,6.7,,8.6, 10.8, 12.7, 10.2,,9.0,,6.5
1913,,2.3,,3.1,,3.2,,5.4,,8.3, 11.3, 12.5, 12.4, 10.7,,8.5,
1914,,2.3,,4.2,,3.2,,7.4,,7.9, 11.6, 13.1, 13.1, 10.7,,8.1,
1915,,1.8,,2.0,,3.2,,5.7,,7.3, 11.2, 12.0, 12.8, 10.7,,7.2,
1916,,5.1,,1.7,,1.3,,5.7,,8.0,,9.5, 12.6, 13.0, 10.6,,7.4
1917,,0.7,,1.2,,1.6,,3.1,,8.6, 11.1, 13.2, 13.4, 10.9,,5.0,
1918,,1.0,,4.5,,3.8,,4.9,,9.8, 10.5, 12.4, 13.0,,8.0,,7.2
1919,,1.8,,0.1,,1.0,,5.2, 10.2, 10.7, 11.8, 12.1,,9.9,,6.7,
1920,,2.3,,4.0,,4.4,,5.2,,8.5, 11.5, 11.4, 11.3, 10.3,,8.5,
1921,,4.0,,3.8,,4.2,,6.3,,8.3, 11.3, 13.6, 11.5, 10.9,,9.8,
1922,,1.8,,2.6,,3.4,,3.3,,8.6, 10.2, 10.8, 10.8,,9.5,,6.6
1923,,4.6,,3.1,,4.7,,4.8,,6.2,,9.8, 13.4, 11.7,,9.5,
1924,,3.0,,2.8,,1.9,,4.9,,7.5, 10.4, 12.3, 11.8, 10.0,,7.6,
1925,,3.8,,2.5,,3.3,,5.0,,8.6, 11.9, 13.8, 12.6,,9.0,,8.0
1926,,3.3,,3.8,,4.3,,7.0,,7.5, 11.1, 13.7, 13.1, 10.8,,5.1,
1927,,2.8,,3.2,,4.9,,5.0,,7.2,,8.9, 13.5, 12.9,,9.5,
1928,,3.1,,3.5,,3.5,,5.9,,8.4,,9.1, 11.8, 12.2,,9.7,
1929,,0.3,,0.4,,5.1,,4.6,,8.7, 10.3, 12.6, 11.9, 11.5,,6.8,
1930,,2.7,,0.7,,2.4,,6.1,,8.1, 12.0, 12.7, 12.8, 10.8,,7.7,
1931,,1.8,,1.9,,1.8,,5.4,,8.7, 10.3, 12.6, 11.7,,9.7,,7.3
1932,,4.8,,3.5,,3.5,,4.3,,7.9, 11.4, 13.0, 13.1, 10.0,,6.2,
1933,,1.4,,2.3,,5.3,,6.9,,9.0, 12.9, 14.8, 13.8, 11.9,,7.9,
1934,,3.9,,4.5,,2.9,,4.9,,8.2, 11.7, 14.4, 12.5, 11.4,,7.4,
1935,,3.5,,3.1,,4.9,,5.3,,7.9, 11.4, 13.3, 13.4, 10.3,,6.8,
1936,,1.1,,1.2,,4.6,,4.5,,8.9, 11.7, 13.0, 13.3, 11.5,,7.5,
1937,,3.4,,2.1,,1.0,,6.7,,9.4, 11.0, 12.7, 13.2, 10.5,,7.8,
1938,,3.5,,3.3,,7.0,,6.3,,7.9, 10.7, 12.1, 12.9, 11.1,,8.1,
1939,,1.3,,4.2,,4.2,,5.9,,9.1, 11.7, 12.3, 13.6, 11.5,,6.4,
1940, -1.1,,1.4,,3.4,,5.7, 10.2, 13.4, 12.1, 12.2,,9.5,,7.6,,4.6
1941, -1.1,,0.9,,2.4,,4.3,,7.4, 11.6, 13.4, 11.9, 12.4,,8.0,,4.6
1942,,0.7,,0.1,,2.7,,6.5,,8.1, 10.5, 12.3, 13.0, 10.4,,7.6,
1943,,2.5,,4.5,,5.1,,7.3,,8.5, 11.4, 12.6, 11.7, 10.2,,8.8,
1944,,4.0,,2.4,,3.8,,7.4,,8.2, 10.7, 13.4, 13.6,,9.6,,7.0
1945, -1.2,,4.5,,6.5,,6.9,,8.6, 11.3, 13.8, 13.2, 11.8,,9.2,,6.0
1946,,2.0,,3.3,,3.8,,7.1,,8.6, 10.6, 12.8, 11.6, 11.2,,7.2,
1947,,1.5, -2.4,,0.1,,5.6,,9.7, 11.7, 13.4, 15.4, 11.1,,8.9,,4.4
1948,,1.6,,3.0,,6.2,,6.5,,8.4, 10.9, 12.8, 11.8, 10.6,,7.4,
1949,,3.5,,4.0,,3.5,,7.0,,8.5, 11.6, 13.5, 13.2, 12.5,,9.1,
1950,,3.5,,1.9,,5.4,,4.8,,8.6, 12.3, 13.0, 12.8,,9.9,,7.4
1951,,1.5,,1.3,,1.9,,3.8,,7.4, 10.5, 12.8, 11.9, 11.1,,8.6,
1952, -0.1,,2.1,,4.3,,7.1, 10.0, 10.3, 13.0, 12.4,,8.4,,6.7,,2.3
1953,,3.4,,3.5,,4.7,,4.5,,9.6, 11.9, 12.5, 12.8, 11.7,,8.6,
1954,,2.2,,0.9,,3.3,,5.9,,9.0, 10.7, 11.4, 11.8,,9.3,,8.2
1955,,0.6, -1.0,,2.0,,7.2,,7.1, 10.9, 14.5, 14.6, 11.7,,6.8,,6.1
1956,,1.3,,0.4,,4.3,,4.8,,9.2, 10.3, 12.5, 10.4, 11.3,,7.6,
1957,,3.5,,2.1,,6.5,,6.6,,8.0, 11.5, 12.7, 12.4,,9.4,,8.2
1958,,1.3,,1.5,,1.2,,5.5,,7.4, 10.9, 12.9, 12.7, 12.6,,8.7,
1959, -0.4,,3.0,,5.1,,6.5, 10.0, 11.8, 13.3, 14.0, 11.7, 10.1,,5.5,,3.4
1960,,1.9,,0.9,,4.2,,7.1, 10.2, 12.8, 12.4, 12.3, 10.4,,8.1,,4.5
1961,,1.6,,4.4,,6.4,,6.7,,8.4, 10.9, 11.7, 12.1, 11.6,,8.3,
1962,,2.6,,3.0,,0.9,,5.2,,7.8, 10.9, 11.5, 11.2,,9.9,,8.8
1963, -1.3, -1.3,,4.0,,5.9,,7.7, 11.9, 11.9, 11.4, 10.3,,8.4,,4.6,
1964,,3.5,,3.0,,3.1,,6.5,,9.8, 10.7, 12.4, 11.7, 10.6,,7.1,
1965,,1.3,,2.3,,2.9,,5.6,,8.5, 11.5, 10.6, 11.7, 10.1,,8.4,
1966,,1.4,,1.7,,4.6,,3.9,,8.2, 12.2, 12.0, 11.4, 11.4,,7.1,
1967,,3.0,,3.7,,4.3,,5.7,,7.3, 11.2, 12.5, 12.5, 11.0,,7.3,
1968,,2.4,,0.0,,3.9,,5.7,,6.7, 11.7, 11.9, 12.4, 11.0,,9.3,
1969,,3.1, -0.7,,1.5,,4.9,,8.0, 11.5, 13.2, 13.7, 11.0, 10.5,,2.1,
1970,,1.8,,0.2,,2.1,,4.1,,9.6, 13.1, 11.3, 13.2, 11.0,,8.0,
1971,,3.2,,3.5,,3.8,,5.8,,9.1,,9.7, 13.0, 12.4, 11.7,,8.8
1972,,2.5,,2.4,,4.1,,6.2,,8.4,,9.3, 12.6, 11.7,,9.4,
1973,,3.2,,2.2,,4.6,,4.6,,8.1, 11.5, 12.9, 12.8, 10.8,,6.9,
1974,,4.2,,3.5,,3.7,,6.4,,8.7, 10.9, 11.7, 12.2,,9.3,,6.0
1975,,3.6,,2.9,,2.8,,5.8,,7.2, 11.4, 13.4, 14.8,,9.9,,8.4
1976,,3.4,,3.2,,3.2,,6.2,,8.8, 12.6, 14.7, 13.9, 10.6,,8.0,
1977,,0.9,,1.6,,4.6,,4.7,,8.0, 10.1, 13.2, 12.4,,9.9,,9.5
1978,,1.1, -0.1,,4.1,,4.5,,9.5, 11.1, 11.7, 12.3, 11.0,,9.4,,5.9
1979, -1.1, -0.1,,1.8,,5.0,,6.7, 11.5, 12.3, 11.6, 10.3,,8.8,,4.1,
1980,,1.1,,3.1,,2.4,,6.7,,9.1, 11.2, 12.0, 12.7, 11.6,,6.4,
1981,,2.7,,2.1,,4.3,,5.7,,9.3, 10.6, 12.3, 13.1, 11.4,,4.9,
1982,,1.1,,3.5,,3.9,,6.6,,8.5, 11.6, 13.6, 12.7, 10.4,,8.1,
1983,,4.1,,0.7,,4.6,,4.1,,7.5, 10.7, 14.6, 14.2, 10.1,,7.7,
1984,,0.3,,2.8,,3.0,,6.4,,8.2, 11.6, 13.8, 14.0, 10.0,,8.0,
