year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,1.4,,0.5,,1.2,,1.8,,3.9,,7.2,,8.8,,9.7,
1885, -1.1, -0.4, -0.6,,2.0,,2.7,,6.5,,8.2,,6.6,,5.6,,1.8
1886, -2.2, -2.3, -0.9,,0.9,,3.4,,6.2,,8.3,,8.5,,6.2,,5.6
1887,,0.1,,0.6, -0.3,,0.5,,3.9,,7.8,,9.3,,8.1,,6.0
1888,,0.2, -2.0, -2.0,,1.1,,3.6,,5.5,,7.3,,7.6,,5.7,
1889,,0.8, -1.2,,0.0,,1.9,,6.3,,7.9,,7.8,,8.8,,6.5
1890,,1.4, -0.5,,0.4,,1.3,,5.4,,7.2,,7.6,,8.1,,8.6
1891, -0.9,,1.1, -2.0,,0.0,,2.9,,7.3,,9.2,,8.6,,7.8,
1892, -1.6, -1.3, -2.6,,0.1,,4.0,,6.1,,7.7,,8.4,,5.4,,2.1
1893, -1.1, -0.3,,0.7,,2.5,,6.1,,8.0,,9.4, 10.1,,6.2,,4.3
1894, -0.9, -0.1,,0.3,,3.2,,2.7,,6.7,,9.5,,8.5,,5.6,
1895, -4.4, -6.4,,0.2,,2.1,,4.7,,6.8,,8.2,,9.7,,8.7,
1896,,0.5,,1.9,,0.5,,3.4,,5.3,,8.3,,8.7,,7.9,
1897, -2.0,,0.3,,0.8,,0.5,,2.8,,7.2,,8.7,,9.9,,5.6
1898,,2.9, -0.3, -0.2,,3.2,,3.8,,7.0,,7.6,,8.9,,8.1,
1899, -1.0, -0.7, -0.0,,1.3,,2.6,,8.0, 10.1,,9.8,,6.5,,4.4,
1900,,0.5, -3.7, -1.5,,2.2,,4.4,,7.7, 10.0,,8.7,,6.8,,3.1
1901,,0.2, -1.5, -0.1,,1.6,,4.3,,6.5, 10.5,,9.0,,8.1,,3.4
1902, -0.5, -2.9,,1.1,,1.2,,2.4,,6.4,,7.4,,7.3,,7.4,
1903, -0.6,,2.0,,1.0,,0.5,,4.3,,6.2,,7.8,,7.5,,6.7
1904,,0.7, -1.1, -0.7,,2.6,,4.1,,7.0,,8.9,,8.3,,6.7,
1905,,1.0,,0.2,,1.3,,1.0,,4.5,,7.7,,9.6,,8.4,
1906,,1.1, -1.9, -0.6,,0.4,,3.7,,7.6,,7.8,,9.4,,6.8,
1907,,0.2, -1.4,,0.9,,1.9,,4.0,,6.1,,7.9,,7.1,,6.7
1908, -0.5,,1.0, -0.6,,0.3,,5.3,,7.3,,9.0,,7.9,,7.5,
1909,,0.3, -0.2, -1.7,,1.6,,3.6,,6.2,,8.3,,8.6,,5.9,
1910, -1.9, -0.6,,1.2,,0.8,,4.5,,7.0,,8.0,,9.4,,6.7,
1911,,0.9, -0.2,,0.1,,2.0,,5.4,,7.1,,9.2, 10.0,,6.6,
1912, -0.5, -0.2,,1.7,,2.5,,4.6,,7.7,,8.9,,6.9,,5.3,
1913,,0.1,,0.4,,0.1,,1.6,,4.6,,7.5,,8.5,,8.2,
1914, -0.1,,1.3,,0.0,,3.0,,4.1,,7.4,,9.2,,9.1,,6.9
1915, -0.6, -0.5, -0.1,,1.9,,2.5,,6.4,,8.2,,9.4,,7.0,,3.8
1916,,2.4, -0.8, -1.2,,2.1,,4.2,,6.0,,9.2,,9.2,,7.1,
1917, -1.1, -1.6, -1.5, -0.5,,4.5,,6.9,,8.7, 10.1,,7.6,,1.9,,3.1
1918, -1.8,,2.2,,0.6,,0.8,,5.8,,6.3,,8.5,,9.9,,4.5
1919, -0.5, -2.6, -2.1,,1.8,,5.6,,7.0,,7.5,,8.5,,6.2,,3.8
1920, -0.4,,1.0,,1.4,,2.1,,4.8,,7.2,,8.0,,7.8,,6.8
1921,,1.3,,1.0,,1.1,,1.8,,4.1,,6.8,,9.6,,8.1,
1922, -0.3,,0.0,,0.2, -0.8,,4.6,,6.4,,7.2,,7.4,,5.8,
1923,,2.2,,1.3,,1.2,,1.5,,2.6,,6.2, 10.0,,8.3,,6.1
1924,,0.7,,0.5, -1.6,,1.2,,4.2,,6.9,,8.9,,8.7,,6.7
1925,,1.5,,0.1,,0.5,,1.4,,5.4,,7.6, 10.0,,9.1,,5.8
1926,,1.1,,1.4,,1.3,,3.4,,3.6,,7.3,,9.7,,9.4,
1927,,0.5,,0.4,,1.6,,1.5,,3.3,,5.1,,9.9,,9.3,
1928,,0.5,,0.5,,1.0,,2.5,,4.4,,5.4,,8.8,,8.8,
1929, -2.4, -2.0,,0.3,,0.8,,4.4,,6.4,,8.8,,8.7,,8.2,
1930,,0.3, -2.2, -0.7,,2.9,,4.1,,7.5,,9.4,,9.5,,7.7,
1931, -0.6, -0.7, -1.6,,1.9,,4.9,,7.0,,9.6,,7.9,,6.1,,4.2
1932,,1.9,,0.5,,0.4,,0.6,,4.3,,7.1,,9.7,,9.4,
1933, -1.3, -0.4,,1.6,,3.5,,5.2,,8.2, 11.0, 10.0,,7.8,,5.2,
1934,,1.4,,1.8, -0.5,,1.6,,4.3,,7.4, 10.2,,9.1,,7.6,
1935,,1.0,,0.4,,1.6,,1.8,,3.1,,7.7,,9.0,,9.6,
1936, -1.3, -1.6,,1.7,,0.4,,4.7,,7.0,,9.4,,9.7,,8.1,
1937,,1.0, -0.4, -2.0,,3.4,,5.1,,7.3,,9.1,,9.3,,7.0,
1938,,1.0,,0.4,,4.1,,2.4,,3.9,,7.2,,8.6,,8.7,
1939, -1.4,,1.6,,1.1,,2.2,,5.0,,6.9,,9.0,,9.8,,7.9
1940, -3.9, -1.1,,0.1,,2.2,,5.7,,8.2,,8.6,,8.5,,5.9,
1941, -3.6, -1.9, -1.0,,1.0,,3.2,,7.1,,9.6,,8.3,,9.0,,4.8
1942, -1.6, -2.8, -0.5,,2.0,,3.5,,6.5,,8.5,,9.9,,7.1,,4.8
1943,,0.2,,1.8,,2.0,,3.9,,4.3,,7.5,,8.4,,8.4,
1944,,1.4, -0.5,,0.4,,3.9,,4.7,,7.0, 10.0,,9.7,,5.9,
1945, -4.2,,1.8,,3.3,,3.1,,4.5,,7.5, 10.0,,9.3,,8.3,
1946, -0.7,,0.6,,0.4,,3.1,,3.9,,6.8,,9.5,,7.8,,8.2
1947, -0.7, -4.9, -3.2,,2.3,,5.5,,8.1,,9.6, 10.1,,7.5,,5.8,
1948, -0.9,,0.3,,2.1,,2.6,,3.4,,7.2,,9.1,,8.7,,7.4
1949,,0.7,,1.0,,0.2,,3.5,,4.3,,6.9,,9.5,,9.7,
1950,,1.2, -1.0,,2.1,,1.2,,4.4,,8.2,,9.2,,9.0,,7.0
1951, -0.8, -1.2, -1.1,,0.3,,3.2,,6.1,,9.2,,8.6,,7.6,,5.6
1952, -3.0, -0.8,,1.3,,3.1,,6.1,,6.7,,9.1,,9.1,,5.1,
1953,,1.0,,0.7,,0.6,,0.5,,5.6,,8.0,,9.2,,9.2,
1954, -0.0, -1.8,,0.0,,1.6,,5.2,,7.2,,8.1,,8.6,,5.9,
1955, -1.9, -4.0, -1.3,,2.9,,2.9,,6.8,,9.4, 10.2,,8.1,,3.5,
1956, -1.4, -2.6,,1.0,,0.5,,5.2,,6.3,,9.0,,6.9,,8.1,
1957,,0.5, -0.9,,3.6,,2.5,,3.6,,6.7,,9.4,,9.1,,6.3
1958, -1.7, -1.6, -1.7,,1.7,,3.3,,7.1,,9.2,,9.4,,9.0,,5.8
1959, -3.4, -0.3,,2.0,,2.9,,5.4,,7.8,,9.6, 10.3,,7.1,,6.7
1960, -0.9, -2.3,,1.4,,3.5,,5.6,,8.5,,8.7,,8.6,,6.7,
1961, -1.1,,1.6,,3.4,,3.3,,4.4,,7.2,,8.6,,8.6,,8.2
1962, -0.1,,0.1, -2.4,,1.1,,4.1,,6.8,,7.8,,7.9,,6.9,
1963, -3.9, -4.5,,0.7,,2.4,,3.9,,8.0,,8.2,,8.3,,7.1,
1964,,0.9,,0.4,,0.6,,3.2,,6.2,,6.9,,9.0,,8.2,
1965, -1.4, -0.4, -0.6,,1.5,,5.0,,7.8,,7.2,,8.0,,7.2,,5.3
1966, -0.8, -0.7,,1.6,,0.7,,4.0,,8.9,,8.2,,7.7,,8.5,
1967,,0.8,,1.3,,1.5,,2.1,,3.8,,7.0,,9.0,,8.9,
1968, -0.3, -3.0,,0.8,,1.7,,3.1,,7.3,,8.5,,8.3,,7.7,
1969,,0.6, -3.5, -1.6,,0.9,,4.5,,7.0,,9.5, 10.2,,7.6,,7.5
1970, -0.6, -2.9, -1.1,,0.6,,6.0,,8.4,,8.2,,9.6,,7.9,,5.1
1971,,0.9,,0.9,,0.6,,1.9,,4.8,,6.0,,8.9,,8.9,
1972,,0.4, -0.1,,0.7,,2.6,,4.9,,5.7,,8.4,,8.0,,5.4
1973,,0.9, -0.8,,0.8,,1.1,,4.5,,7.5,,9.1,,9.0,,7.4
1974,,1.6,,1.0,,0.5,,1.4,,4.9,,6.7,,8.4,,8.5,
1975,,0.7,,0.0, -0.5,,2.5,,2.9,,6.8,,9.7, 10.7,,6.4,
1976,,0.8,,0.7,,0.4,,2.7,,5.2,,8.7, 10.4,,8.7,,7.8
1977, -1.6, -0.9,,1.6,,1.4,,3.6,,5.9,,9.1,,8.4,,6.7,
1978, -1.7, -3.2,,1.2,,1.3,,4.9,,7.3,,8.2,,9.4,,8.3,
1979, -4.2, -2.9, -1.0,,1.9,,3.0,,7.6,,9.0,,8.1,,6.8,,6.3
1980, -1.1,,0.6, -0.5,,2.7,,4.0,,7.7,,8.6,,9.5,,8.6,
1981, -0.3, -0.6,,1.2,,1.2,,5.3,,7.1,,9.0,,9.3,,8.0,
1982, -1.7,,0.8,,0.6,,2.8,,3.8,,7.9,,9.4,,9.3,,7.1
1983,,1.6, -2.2,,1.9,,0.5,,4.4,,7.0, 10.3, 10.0,,7.2,,4.8
1984, -2.5,,0.4,,0.3,,2.0,,3.4,,8.0,,9.5,,9.5,,7.0
1985, -2.6, -1.4, -0.4,,2.3,,4.4,,6.1,,9.4,,8.6,,7.5,,5.5
1986, -1.2, -3.7,,0.3,,0.2,,5.2,,7.3,,9.0,,7.1,,5.4,
1987, -2.0, -1.2, -0.9,,3.3,,4.0,,6.0,,9.6,,8.8,,6.9,,3.4
1988,,0.1,,0.5,,0.4,,2.3,,4.8,,8.2,,9.2,,9.1,
1989,,3.2,,0.7,,0.8,,1.1,,5.0,,6.8,,9.8,,9.2,
1990,,1.5,,1.5,,3.0,,2.0,,5.1,,7.5,,9.3, 10.2,,6.6
1991, -1.0, -1.8,,1.8,,2.6,,5.3,,6.0, 11.1, 10.3,,6.8,,5.1,
1992,,0.3,,1.2,,1.9,,2.8,,5.9,,8.7,,9.1,,8.4,
1993,,0.4,,2.4,,1.2,,3.2,,4.5,,8.1,,8.5,,7.9,
1994, -0.1, -1.1,,0.9,,1.9,,3.4,,7.4,,9.8,,8.7,,6.5,
1995, -0.9,,0.1, -0.5,,2.5,,4.5,,7.2, 10.1, 10.2,,7.5,,6.9,
1996,,2.0, -1.6,,0.5,,3.1,,2.8,,7.3,,8.8, 10.0,,7.7,
1997, -0.6,,0.8,,2.7,,3.2,,4.5,,7.3,,9.8, 11.1,,7.1,
1998,,0.6,,4.1,,1.9,,1.7,,5.8,,6.9,,9.2,,9.3,
1999,,0.7,,0.1,,1.6,,3.4,,6.0,,7.1,,9.8,,8.9,
2000,,1.1,,0.9,,2.4,,1.8,,4.7,,7.2,,8.8,,9.5,
2001, -1.3, -1.1, -1.1,,1.8,,5.4,,7.1,,9.6,,9.4,,7.7,,8.3
2002,,1.3,,0.7,,1.6,,3.2,,5.7,,8.6,,9.2, 10.4,,8.0
2003, -0.1, -0.8,,1.3,,3.7,,5.6,,9.2, 11.1, 10.1,,7.4,,3.1,
2004,,0.8, -0.3,,1.2,,4.1,,5.6,,8.6,,9.1, 10.9,,8.3,
2005,,1.6,,0.4,,2.5,,3.0,,4.2,,8.7,,9.7,,9.4,
2006,,0.6,,0.0, -0.5,,1.9,,4.5,,8.4, 11.0,,9.8,,9.7,
2007,,1.9,,1.2,,1.7,,4.5,,4.8,,8.5,,9.3,,9.1,
2008,,0.6,,0.6,,0.4,,2.0,,6.2,,7.4, 10.5, 10.4,,8.0,
2009, -0.2,,0.3,,1.5,,3.8,,5.0,,7.8, 10.0, 10.2,,8.8,,5.9
2010, -2.5, -2.7,,0.3,,2.6,,4.0,,8.5,,9.9,,8.8,,7.9,
2011, -0.6,,0.9,,1.1,,4.7,,5.5,,6.9,,8.5,,8.8,,8.7
2012,,0.6,,1.6,,3.2,,1.3,,4.2,,7.1,,8.9,,9.7,
2013,,0.7, -1.0, -1.6,,1.0,,4.4,,7.5, 10.8, 10.1,,7.7,,6.7,
2014,,1.2,,1.4,,2.3,,4.4,,6.1,,9.2, 10.1,,8.6,,8.9
2015, -0.2,,0.1,,1.0,,1.8,,4.0,,6.8,,8.7,,9.2,,7.0
2016,,0.7, -0.8,,1.2,,1.5,,5.6,,8.6,,9.8,,9.7,,9.5
2017,,0.7,,1.2,,1.8,,3.2,,6.0,,8.9,,9.2,,9.4,
2018, -0.3, -1.3, -0.4,,3.1,,5.9,,8.4, 10.6,,9.5,,7.2,,4.8,
2019, -0.2,,1.6,,2.4,,3.3,,4.2,,7.8, 11.2, 10.5,,8.0,,4.1
2020,,2.2,,0.4,,0.9,,2.4,,5.1,,8.8,,8.9,,9.9,
2021, -2.1, -0.1,,2.2, -0.4,,3.7,,8.4, 11.0,,9.9,,9.5,,6.5,
