year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 20.8, 21.5,,9.7,,3.5,,1.7,,0.0,,0.0,,0.1,,0.9,
1961, 20.3,,8.9,,4.3,,5.2,,2.5,,0.4,,0.1,,0.1,,0.0
1962, 17.0, 16.0, 21.6, 11.5,,1.5,,0.6,,0.1,,0.1,,0.3,,3.2, 13.1
1963, 27.1, 27.0, 11.4,,6.6,,2.4,,0.0,,0.0,,0.1,,0.4,,1.1
1964, 13.0, 13.2, 13.5,,4.0,,0.1,,1.0,,0.0,,0.3,,0.9,,5.1
1965, 21.3, 15.8, 19.8, 10.3,,2.5,,0.2,,0.1,,0.1,,0.2,,2.8, 17.3
1966, 18.9, 16.7, 10.4, 13.8,,2.1,,0.0,,0.1,,0.2,,0.0,,4.5, 14.8
1967, 15.1, 11.4, 10.5,,8.7,,4.2,,0.1,,0.0,,0.1,,0.1,,3.5
1968, 17.2, 25.8, 14.5, 12.0,,6.7,,0.1,,0.0,,0.0,,0.2,,1.2,
1969, 14.4, 23.6, 24.0, 13.4,,2.1,,0.3,,0.0,,0.1,,0.6,,0.5, 21.4
1970, 16.4, 22.5, 21.1, 16.8,,0.4,,0.1,,0.0,,0.0,,0.4,,2.6,
1971, 13.9, 11.5, 15.4,,8.2,,2.2,,0.3,,0.0,,0.0,,0.9,,5.7
1972, 13.7, 14.9, 12.8,,4.4,,0.9,,0.3,,0.0,,0.0,,3.0,,1.9
1973, 14.1, 16.1, 14.8, 11.3,,3.4,,0.3,,0.1,,0.3,,0.3,,7.1, 14.5
1974, 10.6, 11.1, 13.2, 12.7,,2.2,,0.1,,0.1,,0.0,,2.7,,4.3,
1975, 15.6, 15.5, 19.6,,9.0,,5.0,,1.5,,0.0,,0.1,,2.0,,2.4
1976, 15.9, 12.9, 16.7,,7.2,,0.8,,0.0,,0.0,,0.0,,0.4,,2.3
1977, 20.3, 18.3,,8.4, 10.5,,5.3,,0.7,,0.0,,0.5,,0.9,,0.5
1978, 22.6, 21.5, 12.0, 11.1,,2.3,,0.6,,0.0,,0.0,,0.1,,0.4,
1979, 26.7, 23.3, 21.3,,9.2,,8.5,,0.0,,0.0,,0.0,,1.7,,1.4
1980, 20.6, 11.6, 17.5,,5.4,,4.1,,0.3,,0.0,,0.0,,0.0,,6.7
1981, 19.0, 19.4, 12.6, 11.9,,3.3,,0.4,,0.0,,0.0,,0.2, 10.4,,9.0
