year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1891, 13.0,,5.0, 14.0,,8.3, 13.6,,7.0, 17.2, 21.9, 16.6, 14.9, 15.4, 17.3,, ---
1892, 14.9, 14.5,,7.4,,7.3, 16.0, 15.8,,9.2, 17.9, 15.1, 20.5, 14.7, 11.5,,46.7
1893, 15.7, 16.1,,7.8,,7.7, 10.9,,8.9, 15.0, 16.3, 15.9, 13.6, 14.3, 18.3,,43.2
1894, 19.1, 19.1,,9.2, 12.2, 20.6, 12.3, 15.9, 17.8,,5.9, 15.8, 13.5, 15.6,,56.5,
1895, 16.5,,7.0, 15.8, 10.9,,7.6, 11.7, 17.0, 21.6,,7.7, 18.4, 17.3, 18.7,,39.1
1896, 11.0,,8.4, 15.9, 10.6,,5.1, 16.9, 14.4, 13.6, 20.0, 17.6, 11.1, 21.7,,38.1,
1897, 12.9, 10.5, 21.8, 10.9, 12.0, 15.8, 10.3, 19.2, 15.4,,9.6, 13.3, 17.5,,45.1,,44.7
1898, 12.0, 14.2, 12.5, 16.4, 13.5, 11.5,,8.8, 16.5, 12.7, 17.4, 14.2, 19.8,,43.8,,42.4
1899, 19.6, 11.1, 15.5, 19.6, 13.7, 10.2, 13.9,,6.7, 19.8, 10.7, 15.8, 18.8,,50.4,,48.9
1900, 21.9, 14.6, 10.5, 15.4, 12.6, 15.6, 19.2, 14.4, 13.6, 20.2, 22.1, 24.4,,55.3,,38.5,
1901, 16.6, 11.5, 15.5, 14.6, 10.6, 12.8, 10.2, 15.4, 13.5, 17.7, 11.7, 20.6,,52.6,,40.6,
1902, 13.6,,8.7, 14.9, 12.9, 19.3, 13.9, 15.3, 15.5, 12.7, 14.4, 13.5, 17.0,,43.0,,47.1
1903, 18.4, 16.6, 23.6, 14.4, 11.4, 11.4, 19.1, 22.1, 14.0, 25.2, 16.2, 16.1,,52.0,,49.4,
1904, 16.1, 19.6, 13.8, 17.5, 16.7, 11.0, 12.5, 19.3, 11.9, 10.8, 12.5, 16.3,,51.8,,48.0,
1905, 11.1, 14.4, 21.2, 17.5, 10.9,,6.7, 12.4, 18.8, 14.7, 18.1, 20.3, 12.7,,41.7,,49.6
1906, 18.6, 13.8, 14.5, 10.4, 22.9,,9.5, 13.7, 18.9,,8.8, 21.2, 18.6, 16.7,,45.1,
1907,,9.7, 11.2, 12.1, 12.8, 15.9, 21.8, 14.5, 19.2,,6.2, 21.8, 12.3, 18.1,,37.7,
1908, 13.1, 14.2, 18.4, 12.1, 14.6, 10.8, 12.3, 11.3, 18.4,,9.9, 15.2, 14.7,,45.3,,45.1
1909, 14.2,,7.8, 19.4, 15.4, 12.0, 10.2, 16.5, 14.3, 13.1, 19.1,,9.5, 14.5,,36.7,
1910, 16.8, 18.8,,9.5, 15.5, 13.7, 11.2, 14.2, 20.5,,7.0, 12.6, 16.7, 19.7,,50.2,
1911, 11.6, 13.3, 14.9, 13.5,,8.2, 10.3, 13.0, 11.1,,9.2, 12.7, 21.1, 22.7,,44.6,
1912, 17.4, 15.2, 19.4,,4.9, 10.0, 21.6, 10.2, 18.7,,6.7, 17.1, 13.1, 20.8,,55.3,
1913, 16.4,,9.7, 20.6, 13.2, 13.1, 13.3,,5.1,,8.9, 10.4, 13.5, 17.6, 12.2,,46.9
1914, 13.1, 17.1, 21.1, 10.1, 11.9,,9.2, 11.6, 13.0,,8.5, 13.2, 20.0, 19.2,,42.4,
1915, 15.5, 18.7, 13.3, 13.2,,8.9,,6.5, 20.8, 15.4,,9.6, 13.3,,9.7, 22.9,
1916, 18.1, 20.1, 18.3, 13.6, 16.6, 15.8, 16.7, 12.1,,8.5, 21.1, 16.9, 18.9,,61.1,,48.5
1917, 14.1,,6.0, 13.0, 12.1, 12.1,,9.6,,8.1, 20.8, 12.5, 22.0, 15.4, 11.9,,38.9
1918, 15.6, 18.5,,9.1,,6.4, 11.9,,8.5, 16.6, 14.5, 19.1, 17.5, 10.2, 17.2,,46.0
1919, 18.8,,9.4, 14.1, 12.1,,7.5, 13.9,,5.4, 11.1, 13.1, 13.3, 22.4, 20.6,,45.4
1920, 17.8, 14.1, 16.6, 16.8, 14.6,,7.3, 19.5, 12.0, 12.6,,8.8, 12.5, 17.8,,52.4,
1921, 20.0,,4.4, 18.2,,7.1, 14.5,,6.6, 11.6, 17.2,,8.4, 15.2, 12.6, 17.0,
1922, 22.2, 16.5, 14.4, 14.0,,9.5, 11.6, 17.4, 14.4, 12.9, 11.1, 10.7, 16.0,,55.7,,37.9
1923, 16.7, 20.6, 10.8, 13.6, 14.8, 10.4, 14.9, 19.0, 16.1, 18.4, 18.6, 18.6,,53.3,,39.1,
1924, 15.3, 11.3,,5.9, 10.7, 22.1, 12.7, 22.2, 18.1, 15.5, 13.9, 12.2, 17.8,,45.1,,38.6
1925, 12.4, 20.5, 13.0, 16.6, 19.8,,4.8, 12.6, 13.5, 16.8, 14.4, 11.1, 17.3,,50.8,,49.4
1926, 21.7, 16.3, 13.5, 14.1, 18.1, 16.3, 11.6, 13.0, 14.6, 15.6, 18.6,,9.5,,55.4,,45.7
1927, 17.9, 12.1, 15.6, 16.3, 12.4, 18.0, 14.3, 19.0, 18.7, 15.2, 18.0, 11.5,,39.5,,44.3,
1928, 25.7, 13.2, 20.3, 10.3,,9.7, 18.3, 11.3, 19.3, 13.5, 18.9, 19.7, 16.4,,50.4,,40.3
1929,,9.5, 11.4,,3.8, 12.0, 12.8, 13.4, 11.9, 17.9,,7.4, 17.3, 19.5, 22.2,,37.3
1930, 18.3,,7.8, 12.3, 13.3, 10.7, 11.2, 14.9, 19.8, 15.7, 20.4, 16.3, 14.0,,48.3,,36.3
1931, 16.7, 17.4, 10.3, 15.5, 15.0, 15.7, 21.7, 10.5,,8.7, 13.3, 19.2, 12.6,,48.0,,40.8
1932, 15.4,,3.3, 14.5, 18.0, 16.2,,5.0, 18.6,,8.7, 15.6, 22.8, 12.8, 16.8,,31.2
1933, 11.3, 14.9, 10.9, 12.2, 13.1,,9.4, 16.2, 11.4,,7.4, 15.3, 13.8, 10.5,,42.9,
1934, 16.8,,3.9, 15.8, 19.0, 12.1,,9.3, 14.2, 14.3, 17.2, 19.1, 10.1, 22.7,,31.2,
1935, 11.1, 16.4, 11.2, 15.2,,5.6, 17.9,,9.5, 10.6, 17.1, 22.2, 20.0, 13.2,,50.2,
1936, 18.1, 13.0, 12.9,,8.1,,9.0,,9.0, 20.5, 10.4, 13.4, 13.6, 13.8, 16.7,,44.3
1937, 22.7, 17.5, 16.8, 11.9, 10.8, 12.9, 15.8, 12.2, 11.6, 13.5,,8.7, 16.5,,56.9,,39.6
1938, 19.4, 10.8,,9.4,,3.6, 15.9, 16.2, 17.3, 12.9, 15.8, 20.6, 20.3, 20.0,,46.8,
1939, 19.3, 16.2, 18.9, 11.5,,7.6, 11.8, 18.7, 10.5, 10.4, 17.2, 23.0, 10.1,,55.5,,38.0
1940, 11.6, 11.4, 17.4, 13.4,,9.5,,5.0, 22.6, 10.6, 12.3, 15.9, 19.7, 15.3,,33.1,
1941, 13.9, 18.7, 11.8, 13.0, 11.4,,4.9, 13.7, 20.3,,7.1, 17.5, 19.2, 10.6,,47.9,
1942, 17.6, 11.0, 11.5,,8.8, 12.8,,7.7, 15.7, 16.5, 15.8, 18.1,,6.1, 18.7,,39.3
1943, 18.5, 12.3,,7.7, 12.2, 14.3, 14.1, 11.0, 20.8, 13.4, 16.0, 14.9, 10.4,,49.4,,34.2
