year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1862,147.4, 51.4, 86.3, 68.6,103.2,103.7, 97.5, 95.8, 55.4,157.3, 51.5,136.4,, ---, 258.0, 297.0, 264.1
1863,164.5, 58.8, 40.7, 86.9, 50.9, 82.8, 17.4,126.3,120.6,100.9, 84.7,117.8, 359.7, 178.4, 226.6, 306.2,1052.4
1864, 68.7, 99.8, 97.9, 40.8, 48.4, 75.9, 63.7, 42.0,123.7,160.2,109.9,110.0, 286.3, 187.1, 181.6, 393.9,1041.0
1865, 80.6, 78.5, 50.2, 25.9, 80.9, 17.2, 99.8,118.4, 22.7,134.6, 99.3,100.1, 269.1, 157.1, 235.4, 256.6, 908.2
1866,122.2,123.2,100.2, 61.1, 42.2, 50.2, 97.3,113.7,116.5, 76.8, 94.0,123.4, 345.5, 203.5, 261.2, 287.3,1120.8
1867,125.1, 70.9, 66.9,115.7, 83.4, 53.3,155.6, 86.0, 75.7, 92.1, 22.9, 67.6, 319.4, 265.9, 294.9, 190.7,1015.1
1868,142.2,111.3, 94.6,107.7, 62.2, 27.4, 17.5,164.2,121.0, 86.7, 72.5,181.9, 321.2, 264.6, 209.1, 280.1,1189.2
1869,139.0, 94.7, 40.3, 58.7, 40.7, 66.5, 35.6, 34.4,156.3,107.4, 81.1,108.6, 415.6, 139.8, 136.6, 344.8, 963.5
1870, 66.5,114.7, 24.7, 37.5, 64.7, 45.1, 49.4, 52.1, 85.2,121.3, 67.5,106.3, 289.8, 126.9, 146.5, 274.0, 834.9
1871, 66.0,123.1, 56.3,127.6, 29.7, 61.9,122.2, 82.5, 84.3,116.6, 86.4, 85.2, 295.4, 213.6, 266.6, 287.3,1041.8
1872,154.0,162.9, 90.8, 71.9,109.6,155.9, 93.9,121.6,172.8,149.5,200.1,167.9, 402.1, 272.2, 371.5, 522.5,1651.1
1873,144.8, 40.9, 61.9, 26.2, 96.6, 50.7,139.3,107.1,129.8,133.9,100.3, 83.6, 353.7, 184.7, 297.1, 363.9,1115.1
1874, 93.0, 49.2, 80.1, 58.6, 53.5, 43.4, 97.9,156.6,103.4,146.5,120.3, 75.8, 225.9, 192.2, 297.9, 370.3,1078.4
1875,145.4, 43.2, 52.7, 40.4, 52.1, 77.2, 95.2, 85.3,124.9,154.0,137.6,112.9, 264.4, 145.3, 257.7, 416.4,1120.9
1876, 67.8,128.7,138.8, 93.5, 28.2, 83.8, 56.5, 91.2,108.7,128.4,114.9,255.5, 309.4, 260.6, 231.5, 352.0,1296.0
1877,169.1,102.1, 73.3, 97.1, 74.9,120.3,114.9,194.7, 71.6,148.7,156.8,104.5, 526.7, 245.4, 429.8, 377.2,1428.1
1878, 86.1, 47.3, 60.9, 47.5, 94.8, 78.6, 24.2,160.0,117.4,128.6,115.0, 91.6, 237.9, 203.2, 262.7, 361.0,1051.9
1879, 50.2, 79.6,100.5, 71.8, 69.6,116.5,122.5,136.2, 84.9, 41.3, 68.6, 58.8, 221.3, 241.9, 375.2, 194.8,1000.5
1880, 51.4,118.3, 61.5, 98.6, 32.3, 60.4,118.0, 24.6, 94.0, 76.0,137.0,100.1, 228.5, 192.4, 203.1, 307.0, 972.2
1881, 36.8,102.5, 87.8, 34.1, 68.1, 85.3,106.5,122.5, 93.8,124.1,147.5, 86.8, 239.4, 190.0, 314.4, 365.4,1095.9
1882, 85.2, 84.9,111.2, 99.5, 67.5,116.8,128.7, 69.4, 91.9,113.6,145.1,155.9, 256.8, 278.2, 314.9, 350.6,1269.7
