year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,5.6,,5.2,,6.7,,8.9, 12.6, 15.8, 17.1, 18.1, 15.1, 10.5,,6.2,
1885,,3.1,,5.3,,6.0,,9.4, 10.2, 15.9, 18.0, 14.9, 13.3,,7.5,,6.2
1886,,2.3,,2.3,,4.4,,8.7, 11.1, 15.2, 17.5, 16.7, 13.8, 11.1,,7.4,
1887,,4.4,,6.3,,6.2,,8.8, 12.7, 18.9, 18.9, 17.2, 13.4,,9.2,,5.3
1888,,5.1,,3.0,,3.6,,8.2, 12.6, 14.4, 14.6, 15.2, 14.0, 10.4,,7.0,
1889,,5.8,,4.1,,6.1,,7.7, 14.6, 17.9, 16.6, 15.8, 13.7,,9.4,,7.9
1890,,6.5,,4.6,,7.5,,9.5, 13.5, 15.2, 15.7, 15.8, 16.7, 11.2,,6.7,
1891,,3.6,,8.0,,4.9,,7.6, 11.2, 16.3, 17.0, 15.6, 15.0, 10.2,,5.8,
1892,,3.4,,3.8,,4.8,,9.8, 12.9, 14.7, 15.6, 15.9, 12.7,,7.6,,6.9
1893,,3.5,,4.6,,9.2, 12.0, 14.4, 17.5, 16.9, 18.4, 13.9, 10.8,,5.4,,6.0
1894,,3.9,,5.0,,9.1, 10.9, 10.3, 15.2, 17.6, 16.0, 13.3,,9.9,,8.3,
1895,,0.5,,0.4,,5.6, 10.0, 14.9, 16.9, 16.2, 16.9, 17.3,,7.9,,6.7,
1896,,5.7,,6.5,,7.3, 11.1, 15.8, 16.0, 16.8, 15.5, 13.1,,7.5,,6.5,
1897,,2.1,,5.6,,5.9,,8.0, 11.4, 14.9, 18.1, 17.7, 13.6, 11.6,,8.2,
1898,,7.5,,4.8,,6.1,,9.8, 11.4, 15.8, 17.6, 17.1, 16.6, 11.8,,7.2,
1899,,3.7,,5.6,,6.7,,8.6, 10.8, 17.7, 17.8, 19.1, 13.6, 11.4,,9.5,
1900,,4.4,,1.8,,4.7, 10.3, 11.9, 15.7, 17.5, 15.5, 15.0,,9.5,,6.7,
1901,,4.2,,3.4,,5.3, 10.3, 14.4, 15.5, 20.0, 17.2, 14.9, 10.2,,7.1,,3.4
1902,,4.6,,2.3,,7.4,,9.4,,9.9, 14.3, 15.2, 14.8, 13.9, 10.3,,8.0
1903,,3.6,,7.0,,6.8,,7.7, 12.1, 15.0, 15.9, 15.1, 13.9,,9.9,,6.8
1904,,4.9,,3.0,,5.3, 10.0, 11.8, 15.4, 16.9, 16.4, 14.2, 11.1,,6.5,,4.8
1905,,5.7,,5.8,,7.4,,7.7, 13.2, 16.9, 18.9, 15.9, 14.0,,8.9,,5.7
1906,,5.5,,3.9,,5.8, 10.4, 10.7, 17.0, 17.2, 17.2, 16.5, 11.1,,8.2,,4.3
1907,,4.9,,4.6,,8.5,,9.0, 10.9, 13.5, 15.5, 14.8, 15.7, 10.3,,6.9,
1908,,4.5,,6.2,,4.8,,7.3, 13.5, 16.2, 16.8, 16.3, 13.7, 13.5,,8.1,
1909,,4.7,,4.9,,3.5, 10.0, 12.7, 14.3, 16.4, 16.9, 13.2, 10.5,,6.1,,3.6
1910,,3.5,,4.8,,7.9,,8.1, 12.7, 16.1, 15.7, 16.1, 14.3, 11.3,,3.7,
1911,,5.3,,5.7,,5.5,,9.2, 15.1, 16.7, 19.1, 18.3, 15.0,,9.6,,6.1
1912,,3.7,,4.9,,7.7, 11.3, 13.2, 14.1, 16.7, 13.7, 12.8,,9.8,,6.6,
1913,,3.7,,5.8,,6.4,,9.3, 12.4, 16.2, 17.2, 17.6, 14.4, 11.6,,8.6,
1914,,4.5,,7.1,,6.2, 12.5, 12.8, 17.0, 17.6, 17.4, 15.1, 11.6,,7.3,,4.1
1915,,3.9,,4.2,,6.6, 10.0, 12.0, 16.5, 16.4, 16.5, 14.5, 10.3,,4.2,,3.7
1916,,7.9,,3.8,,3.1,,9.4, 12.1, 13.4, 16.7, 17.1, 14.2, 10.5,,7.8,
1917,,2.2,,3.5,,4.5,,6.9, 12.9, 16.0, 18.0, 16.6, 14.9,,8.1,,8.5
1918,,3.6,,6.7,,6.7,,8.5, 14.1, 15.7, 16.9, 16.7, 11.9, 10.2,,6.4,
1919,,3.5,,2.4,,3.8,,9.2, 14.5, 15.7, 16.7, 16.9, 14.3,,9.8,,3.2
1920,,4.7,,6.9,,7.5,,8.4, 13.0, 16.0, 15.2, 15.2, 14.0, 11.4,,8.3,
1921,,6.5,,6.3,,7.4, 10.8, 13.5, 16.7, 18.4, 15.2, 14.9, 13.2,,5.6,,7.5
1922,,3.2,,4.5,,6.1,,7.3, 13.4, 15.1, 14.9, 14.6, 13.1,,9.8,,7.4
1923,,6.9,,4.2,,7.6,,7.5, 10.1, 14.7, 17.7, 15.6, 13.2, 10.0,,4.4,
1924,,4.9,,4.6,,5.0,,8.6, 10.9, 14.7, 16.2, 15.2, 13.6, 10.4,,7.7,
1925,,5.6,,4.6,,6.1,,8.5, 12.0, 17.0, 18.4, 16.9, 12.5, 11.2,,4.7,
1926,,5.0,,5.9,,7.4, 10.6, 11.4, 15.2, 18.3, 17.5, 14.9,,8.4,,6.1,
1927,,4.9,,5.8,,7.9,,8.9, 11.0, 13.1, 17.3, 16.7, 12.8, 11.1,,6.3,
