year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,3.3,,2.7,,3.6,,5.0,,8.0, 11.3, 12.8, 13.5, 11.0,,7.1,
1885,,0.6,,2.3,,2.4,,5.5,,6.3, 11.1, 13.0, 10.6,,9.3,,4.5
1886, -0.2, -0.2,,1.5,,4.8,,7.1, 10.6, 12.5, 12.4,,9.7,,8.2,,4.5
1887,,1.9,,3.1,,2.8,,4.5,,7.9, 13.1, 14.0, 12.4,,9.5,,5.5
1888,,2.4,,0.4,,0.6,,4.3,,7.8,,9.6, 10.8, 11.1,,9.5,
1889,,2.9,,1.1,,2.7,,4.7, 10.1, 12.6, 12.0, 12.0,,9.8,,6.1,
1890,,3.5,,1.7,,3.9,,5.2,,9.0, 10.9, 11.4, 11.7, 12.4,,7.8,
1891,,1.0,,4.1,,1.4,,3.7,,6.7, 11.5, 13.0, 11.8, 11.1,,6.5,
1892,,0.7,,0.9,,0.9,,4.8,,8.1, 10.1, 11.4, 11.8,,8.7,,4.6
1893,,1.0,,1.8,,4.6,,6.9,,9.9, 12.5, 12.8, 14.0,,9.8,,7.1
1894,,1.1,,2.0,,4.4,,6.7,,6.2, 10.6, 13.3, 11.8,,9.3,,5.9
1895, -2.4, -3.5,,2.7,,5.9,,9.4, 11.6, 12.0, 13.1, 12.7,,4.6,,4.1,
1896,,2.7,,3.8,,3.6,,7.1, 10.3, 12.0, 12.6, 11.4,,9.8,,4.2,
1897, -0.2,,2.6,,3.0,,4.0,,6.8, 10.9, 13.2, 13.5,,9.3,,7.5,
1898,,4.8,,2.0,,2.6,,6.2,,7.2, 11.0, 12.4, 12.6, 12.1,,8.5,
1899,,1.0,,2.1,,3.0,,4.7,,6.3, 12.6, 13.7, 14.0,,9.7,,7.5
1900,,2.2, -1.3,,1.3,,5.9,,7.8, 11.4, 13.7, 11.8, 10.5,,6.0,,4.2
1901,,1.8,,0.5,,2.5,,5.6,,9.0, 10.7, 15.1, 12.8, 11.2,,6.5,
1902,,1.7, -0.6,,3.9,,5.1,,5.9, 10.0, 11.0, 10.7, 10.2,,6.7,,5.3
1903,,1.2,,4.1,,3.6,,3.8,,7.8, 10.5, 11.8, 11.0, 10.0,,7.0,
1904,,2.5,,0.5,,2.0,,6.0,,7.6, 10.9, 12.8, 12.1, 10.1,,7.3,
1905,,2.9,,2.7,,4.0,,4.1,,8.6, 11.9, 14.0, 11.9, 10.1,,5.4,
1906,,2.9,,0.7,,2.4,,5.1,,7.0, 12.2, 12.4, 13.1, 11.3,,7.6,
1907,,2.0,,1.3,,4.3,,5.1,,7.2,,9.5, 11.5, 10.6, 10.9,,7.2
1908,,1.6,,3.2,,1.8,,3.6,,9.1, 11.5, 12.6, 11.8, 10.4, 10.0,,5.0
1909,,2.0,,2.0,,0.7,,5.5,,7.8,,9.9, 12.1, 12.6,,9.2,
1910,,0.6,,1.8,,4.3,,4.3,,8.2, 11.2, 11.6, 12.6, 10.4,,8.1,
1911,,2.7,,2.4,,2.7,,5.5, 10.0, 11.6, 14.1, 14.0, 10.5,,6.0,,3.4
1912,,1.4,,2.3,,4.5,,6.7,,8.7, 10.7, 12.8, 10.2,,9.0,,6.2
1913,,1.4,,2.8,,3.0,,5.3,,8.2, 11.5, 12.8, 12.7, 10.7,,8.3,
1914,,2.0,,4.0,,2.9,,7.4,,8.2, 12.0, 13.3, 13.1, 10.7,,7.9,
1915,,1.4,,1.6,,3.0,,5.7,,7.0, 11.2, 12.1, 12.8, 10.6,,6.5,
1916,,4.8,,1.3,,0.8,,5.5,,7.9,,9.4, 12.7, 13.0, 10.4,,7.0
1917,,0.4,,0.5,,1.1,,3.1,,8.4, 11.2, 13.1, 13.2, 11.0,,4.7,
1918,,0.5,,4.2,,3.5,,4.4,,9.7, 10.8, 12.5, 13.1,,7.9,,7.1
1919,,1.2, -0.4,,0.5,,5.3,,9.7, 11.2, 11.9, 12.5, 10.0,,6.5,,0.4
1920,,1.9,,3.7,,4.3,,5.0,,8.6, 11.2, 11.4, 11.3, 10.1,,7.8,
1921,,3.6,,3.2,,4.1,,6.0,,8.5, 11.4, 13.9, 11.6, 11.0,,9.7,
1922,,1.0,,1.9,,2.9,,3.0,,8.8, 10.4, 10.9, 10.8,,9.2,,6.2
1923,,4.1,,2.5,,4.1,,4.3,,6.1, 10.2, 13.7, 11.7,,9.4,,6.9
1924,,2.3,,2.3,,1.2,,4.7,,7.3, 10.6, 12.4, 11.6,,9.9,,7.2
1925,,3.1,,2.1,,3.0,,4.6,,8.5, 12.0, 13.9, 12.7,,8.8,,7.8
1926,,2.6,,3.3,,4.3,,6.6,,7.1, 11.0, 13.9, 13.2, 10.8,,4.9,
1927,,2.3,,2.6,,4.6,,4.9,,6.9,,8.9, 13.3, 12.8,,9.2,
1928,,2.6,,3.0,,2.9,,5.5,,7.7,,9.0, 12.4, 12.1,,9.6,
1929, -0.1, -0.7,,4.8,,4.1,,8.5, 10.5, 12.7, 11.9, 11.6,,6.5,,4.1,
1930,,2.3, -0.1,,2.2,,5.6,,7.7, 12.1, 12.7, 12.9, 10.7,,7.4,,2.9
