year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1884,,1.0,,0.0,,0.6,,1.1,,3.6,,6.8,,8.7,,9.1,
1885, -1.8, -0.6, -1.1,,1.5,,2.5,,6.5,,8.0,,6.3,,5.1,,1.5
1886, -2.7, -2.6, -1.4,,0.8,,3.4,,6.0,,7.8,,8.4,,5.8,,5.4
1887, -0.5, -0.0, -0.6,,0.3,,3.4,,7.5,,9.2,,7.7,,5.7,,1.9
1888, -0.3, -2.2, -2.5,,0.6,,3.2,,4.9,,7.0,,7.2,,5.1,,4.2
1889,,0.0, -1.7, -0.7,,1.6,,5.7,,7.5,,7.6,,8.4,,6.0,
1890,,0.7, -1.2,,0.3,,0.9,,4.8,,6.8,,7.4,,7.7,,8.2
1891, -1.7,,0.1, -2.1, -0.2,,2.5,,6.9,,9.1,,8.1,,7.3,,2.8
1892, -2.1, -1.9, -3.1, -0.2,,3.6,,5.8,,7.3,,8.0,,4.9,,1.8,
1893, -1.5, -0.9,,0.1,,1.9,,5.7,,7.7,,8.9,,9.7,,5.7,
1894, -1.7, -0.9, -0.3,,2.6,,2.4,,6.1,,9.1,,7.8,,5.4,,2.0
1895, -5.2, -7.4, -0.1,,1.9,,4.1,,6.4,,8.0,,9.4,,8.2,,1.3
1896, -0.1,,1.1,,0.0,,3.1,,5.0,,8.2,,8.5,,7.4,,6.5
1897, -2.5, -0.3,,0.2,,0.0,,2.5,,6.9,,8.3,,9.4,,5.0,
1898,,2.1, -0.9, -0.8,,2.7,,3.3,,6.4,,7.3,,8.3,,7.7,
1899, -1.7, -1.4, -0.6,,0.9,,2.0,,7.6,,9.7,,9.0,,5.8,,3.7
1900, -0.0, -4.5, -2.1,,1.7,,4.0,,7.2,,9.9,,8.4,,6.2,,2.7
1901, -0.6, -2.3, -0.2,,1.1,,3.8,,6.0, 10.3,,8.4,,7.6,,2.8,
