year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1960, 18.7, 19.6, 11.1,,3.4,,1.7,,0.0,,0.0,,0.0,,1.3,,0.2
1961, 19.6, 10.0,,4.5,,7.3,,3.2,,0.7,,0.0,,0.0,,0.0,
1962, 14.0, 15.2, 20.8, 12.5,,2.0,,0.3,,0.1,,0.3,,0.2,,2.4, 10.7
1963, 24.1, 24.3,,9.7,,8.5,,2.8,,0.0,,0.0,,0.0,,0.5,
1964, 10.3, 12.2, 12.6,,5.1,,0.1,,1.7,,0.0,,0.2,,0.6,,4.0
1965, 20.1, 11.6, 18.1,,8.0,,2.5,,0.1,,0.1,,0.1,,0.0,,1.6
1966, 18.8, 15.9, 11.1, 14.5,,2.3,,0.0,,0.1,,0.2,,0.0,,3.3, 12.8
1967, 12.4,,8.0, 12.3,,9.7,,4.7,,0.0,,0.0,,0.1,,0.0,
1968, 15.4, 24.3, 13.8, 10.7,,7.5,,0.1,,0.0,,0.1,,0.1,,0.7, 11.4
1969, 12.0, 23.2, 21.2, 10.9,,2.2,,0.6,,0.0,,0.1,,0.7,,0.4, 19.8
1970, 16.3, 22.1, 21.0, 14.7,,0.4,,0.1,,0.0,,0.0,,0.1,,2.7,
1971, 11.6, 10.1, 12.2,,7.1,,1.7,,0.3,,0.0,,0.0,,0.6,,3.1
1972, 15.0, 15.5, 12.6,,4.6,,0.8,,0.2,,0.0,,0.0,,1.6,,1.5
1973, 11.3, 15.1, 11.2, 11.9,,3.0,,0.2,,0.1,,0.4,,0.2,,7.8, 11.8
1974,,9.4, 10.0, 13.5,,8.4,,2.1,,0.1,,0.0,,0.0,,1.7,
1975, 16.1, 13.3, 17.7,,9.3,,3.9,,1.3,,0.0,,0.0,,1.7,,2.3
1976, 15.9, 13.8, 13.6,,6.2,,1.5,,0.0,,0.0,,0.0,,0.5,,1.5
1977, 17.8, 18.0,,7.9, 11.2,,4.8,,0.8,,0.0,,0.3,,0.6,,0.5
1978, 20.9, 19.0, 12.3, 10.7,,2.3,,0.7,,0.0,,0.0,,0.0,,0.4,
1979, 25.7, 21.1, 22.1,,7.8,,9.0,,0.0,,0.0,,0.0,,0.9,,0.8
1980, 17.7, 11.8, 16.8,,3.9,,3.2,,0.3,,0.0,,0.0,,0.0,,5.3
1981, 17.7, 15.5, 13.0, 12.1,,3.1,,0.4,,0.0,,0.0,,0.2,,8.0,
1982, 14.4, 10.9, 11.6,,5.4,,7.0,,0.0,,0.0,,0.1,,0.3,,1.6
1983, 11.7, 21.5, 11.0, 15.0,,1.8,,0.3,,0.0,,0.0,,0.5,,2.8,
